,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES,TOTALES,TOTALES
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,4,2,4,6
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,43,13,43,13,56
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,34,20,34,20,54
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,2,8,2,10
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,1,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,0,4,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,31,5,31,5,36
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,3,1,3,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,33,11,33,11,44
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,6,5,6,11
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,15,8,15,23
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,9,4,9,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,43,20,43,20,63
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,13,15,13,15,28
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,6,8,6,8,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,3,0,3,3
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,47,4,47,4,51
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,6,3,6,9
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,2,1,2,3
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,6,5,6,11
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,17,18,17,18,35
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,0,1,0,1
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,6,23,6,23,29
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,9,1,9,10
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,12,0,12,0,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,4,7,4,11
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,48,12,48,12,60
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,102,5,102,5,107
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1321,65,1321,65,1386
LA RIVERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,0,2,0,2
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,7,3,7,10
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,15,20,15,20,35
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,4,4,4,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,0,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,38,66,38,66,104
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,0,2,0,2
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,4,0,4,4
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,8,7,8,15
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,3,5,3,8
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,10,4,10,4,14
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,16,6,16,6,22
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,17,0,17,0,17
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,1,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,20,7,20,7,27
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,7,3,7,10
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,9,21,9,21,30
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,18,25,18,25,43
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,10,2,10,12
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,1,4,1,5
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,36,4,36,4,40
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,176,28,176,28,204
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,3,3,3,6
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,24,29,24,29,53
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,3,0,3,3
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,21,5,21,26
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,24,9,24,9,33
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,5,7,5,12
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,434,33,434,33,467
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,12,7,12,7,19
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,9,7,9,7,16
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,46,8,46,8,54
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,13,1,13,14
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,32,3,32,3,35
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,2,5,2,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,4,3,4,7
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,4,4,4,8
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,4,0,4,4
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,21,15,21,15,36
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,0,3,0,3
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,8,4,8,12
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,25,4,25,29
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,12,10,12,10,22
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,13,5,13,5,18
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,2,1,2,3
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,18,2,18,2,20
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,9,16,9,16,25
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,7,7,7,14
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,27,1,27,1,28
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,1,2,1,3
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,383,29,383,29,412
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,15,1,15,16
PUCARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,26,19,26,19,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,19,7,19,26
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,15,2,15,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,3,0,3,3
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,6,0,6,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,14,19,14,19,33
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,9,0,9,0,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,22,3,22,3,25
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,83,13,83,13,96
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,14,36,14,36,50
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,53,5,53,5,58
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,176,18,176,18,194
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,6,8,6,8,14
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,11,7,11,18
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,11,0,11,0,11
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,194,33,194,33,227
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,16,10,16,10,26
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,19,4,19,4,23
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,0,4,0,4
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,207,78,207,78,285
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,3,5,3,8
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,6,19,6,19,25
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,8,2,8,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,3,7,3,10
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,1,7,1,8
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,14,14,14,14,28
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,4,1,4,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,5,4,5,9
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,12,9,12,9,21
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,70,10,70,10,80
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,10,7,10,7,17
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,40,9,40,9,49
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,30,13,30,13,43
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,107,23,107,23,130
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,3,0,3,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,21,7,21,7,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,2,8,2,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,30,1,30,1,31
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,11,0,11,0,11
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,45,17,45,17,62
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,2,2,2,4
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,9,5,9,5,14
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,24,26,24,26,50
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,31,8,31,8,39
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,17,3,17,3,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,2,0,2,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,29,0,29,0,29
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,24,8,24,32
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,4,5,4,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,8,5,8,13
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,2,5,2,7
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,23,1,23,1,24
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,4,5,4,9
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,26,16,26,16,42
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2318,243,2318,243,2561
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,11,7,11,7,18
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,30,5,30,5,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,5,2,5,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,8,2,8,10
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,7,0,7,7
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,2,3,2,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,5,2,5,7
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,8,3,8,11
SENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,6,3,6,3,9
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,19,24,19,24,43
SICAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,2,2,2,4
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,45,19,45,19,64
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,6,2,6,2,8
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,10,5,10,15
SORATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,17,30,17,30,47
SUCRE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,382,32,382,32,414
