,group,variable,month,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,TOTALES,TOTALES,TOTALES
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,15,23,15,23,38
EL TORNO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,109,3,109,3,112
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,3,6,3,9
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,27,7,27,7,34
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,55,3,55,3,58
ESMERALDA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,2,0,2,2
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,0,6,0,6
EXALTACION,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,22,7,22,7,29
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,26,0,26,0,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,9,2,9,11
GUANAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,27,15,27,15,42
GUAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,8,2,8,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,111,29,111,29,140
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,31,8,31,8,39
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,11,6,11,6,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,6,1,6,7
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,0,3,0,3
HUANUNI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,48,2,48,2,50
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,6,3,6,9
ICHOCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,4,1,4,5
ICLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,12,17,12,17,29
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,16,15,16,15,31
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,10,26,10,26,36
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,9,8,9,8,17
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,7,0,7,0,7
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,9,9,9,9,18
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,72,12,72,12,84
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,169,8,169,8,177
LA PAZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1426,5,1426,5,1431
LA RIVERA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,8,4,8,12
LAJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,23,17,23,17,40
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,4,6,4,10
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,82,12,82,12,94
LLICA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,0,1,0,1
LURIBAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,1,4,1,5
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,9,0,9,0,9
MACHARETI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,7,6,7,6,13
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,19,2,19,2,21
MAIRANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,19,0,19,0,19
MALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,3,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,14,8,14,8,22
MECAPACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,11,7,11,7,18
MINEROS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,40,1,40,1,41
MIZQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,31,33,31,33,64
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,12,6,12,18
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,10,12,10,12,22
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,52,6,52,6,58
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,152,0,152,0,152
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,18,30,18,30,48
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,1,3,1,4
OCURI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,13,31,13,31,44
OKINAWA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,25,4,25,4,29
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,10,4,10,14
ORURO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,521,22,521,22,543
PADCAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,14,5,14,5,19
PADILLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,15,3,15,3,18
PAILON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,31,8,31,8,39
PALCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,3,1,3,4
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,26,0,26,0,26
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,1,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,13,1,13,1,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,3,0,3,3
PASORAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,1,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,24,12,24,12,36
PAZÑA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,6,2,6,8
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,6,4,6,10
POCOATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,33,4,33,37
POCONA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,22,12,22,12,34
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,13,4,13,4,17
POOPO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,14,5,14,5,19
PORCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,30,0,30,0,30
POROMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,9,16,9,16,25
PORONGO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,10,10,10,10,20
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,45,2,45,2,47
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,385,3,385,3,388
PRESTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,7,8,7,8,15
PUCARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,2,1,2,3
PUCARANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,38,2,38,2,40
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,17,18,17,18,35
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,12,5,12,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,3,0,3,3
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,5,0,5,5
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,17,10,17,10,27
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,0,6,0,6
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,32,6,32,6,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,75,5,75,5,80
PUNA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,31,35,31,35,66
PUNATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,46,2,46,2,48
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,195,0,195,0,195
QUIME,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,15,16,15,16,31
RAVELO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,8,10,8,10,18
REYES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,16,0,16,0,16
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,183,4,183,4,187
ROBORE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,18,0,18,0,18
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,30,0,30,0,30
SABAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,0,6,0,6
SACABA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,234,23,234,23,257
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,4,2,4,6
SACACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,9,24,9,24,33
SAIPINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,6,4,6,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,8,7,8,7,15
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,9,3,9,3,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,0,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,0,2,0,2
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,5,3,5,8
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,3,1,3,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,8,11,8,11,19
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,16,0,16,0,16
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,82,5,82,5,87
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,14,7,14,7,21
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,33,0,33,0,33
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,47,14,47,14,61
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,104,8,104,8,112
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,27,5,27,5,32
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,3,4,3,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,32,0,32,0,32
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,13,0,13,0,13
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,59,16,59,16,75
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,7,0,7,0,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,16,6,16,6,22
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,34,48,34,48,82
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,29,3,29,3,32
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,15,1,15,1,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,1,0,1,1
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,28,0,28,0,28
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,38,2,38,40
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,6,1,6,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,6,5,6,11
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,10,0,10,0,10
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,27,0,27,0,27
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,8,0,8,0,8
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,29,1,29,1,30
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2454,69,2454,69,2523
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,20,0,20,0,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,24,8,24,8,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,6,4,6,10
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,10,1,10,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,6,0,6,6
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,4,6,4,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,8,1,8,1,9
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,6,1,6,7
SENA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,9,1,9,1,10
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,24,14,24,14,38
SICAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,2,1,2,3
SIPE SIPE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,49,0,49,0,49
SOPACHUY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,11,10,11,10,21
SORACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,8,3,8,11
