,group,variable,month,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,TOTALES,TOTALES,TOTALES
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,1,4,1,5
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,29,6,29,6,35
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,43,5,43,5,48
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,0,6,0,6
EXALTACION,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,29,3,29,3,32
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,15,1,15,1,16
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,6,2,6,8
GUANAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,10,5,10,15
GUAQUI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,5,1,5,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,19,6,19,6,25
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,15,3,15,3,18
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,2,3,2,5
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,3,0,3,3
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,33,2,33,2,35
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,8,1,8,9
ICHOCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,2,0,2,2
ICLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,9,3,9,12
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,19,21,19,21,40
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,6,6,6,12
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,9,8,9,8,17
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,0,8,0,8
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,2,11,2,13
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,25,1,25,1,26
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,54,7,54,7,61
LA PAZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,772,9,772,9,781
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,5,3,5,8
LAJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,7,8,7,15
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,3,6,3,9
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,24,4,24,4,28
LURIBAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,6,4,6,10
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,4,8,4,12
MACHARETI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,9,3,9,3,12
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,14,4,14,4,18
MAIRANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,0,11,0,11
MALLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,0,5,0,5
MECAPACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,6,8,6,14
MINEROS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,12,1,12,1,13
MIZQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,13,26,13,26,39
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,6,0,6,6
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,1,5,1,6
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,24,2,24,2,26
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,67,0,67,0,67
MORO MORO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,20,7,20,27
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,1,2,1,3
OCURI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,12,21,12,21,33
OKINAWA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,3,5,3,8
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,5,2,5,7
ORURO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,410,25,410,25,435
PADCAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,15,5,15,5,20
PADILLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,10,8,10,8,18
PAILON,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,22,7,22,7,29
PALCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,6,1,6,7
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,0,5,0,5
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,2,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,13,3,13,3,16
PASORAPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,3,6,3,9
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,14,10,14,10,24
PAZÑA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,2,7,2,9
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,8,3,8,11
POCOATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,33,6,33,39
POCONA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,12,5,12,17
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,15,1,15,1,16
POOPO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,1,4,1,5
PORCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,16,0,16,0,16
POROMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,7,6,7,13
PORONGO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,10,3,10,3,13
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,17,0,17,0,17
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,1,5,1,6
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,210,4,210,4,214
PRESTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,16,3,16,19
PUCARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,1,2,1,3
PUCARANI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,1,11,1,12
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,9,3,9,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,7,7,7,14
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,7,0,7,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,27,5,27,5,32
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,10,1,10,1,11
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,22,1,22,1,23
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,57,7,57,7,64
PUNA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,23,11,23,34
PUNATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,36,2,36,2,38
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,162,0,162,0,162
QUIME,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,2,3,2,5
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,11,4,11,15
REYES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,22,0,22,0,22
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,13,7,13,7,20
ROBORE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,17,0,17,0,17
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,0,6,0,6
SABAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,151,11,151,11,162
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,4,5,4,9
SACACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,12,12,12,12,24
SAIPINA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,4,5,4,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,7,7,7,14
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,3,6,3,9
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,0,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,0,5,0,5
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,3,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,2,1,2,3
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,16,2,16,2,18
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,39,1,39,1,40
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,12,11,12,23
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,25,0,25,0,25
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,14,4,14,4,18
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,97,13,97,13,110
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,2,8,2,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,12,0,12,0,12
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,0,5,0,5
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,46,19,46,19,65
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,0,4,0,4
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,15,2,15,2,17
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,10,8,10,8,18
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,19,2,19,2,21
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,18,2,18,2,20
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,24,0,24,0,24
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,7,4,7,11
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,5,6,5,11
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,2,2,2,4
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,10,0,10,0,10
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,0,3,0,3
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,0,7,0,7
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,25,1,25,1,26
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1479,37,1479,37,1516
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,14,0,14,0,14
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,21,5,21,5,26
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,10,4,10,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,4,0,4,4
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,2,3,2,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,4,1,4,5
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,1,0,1,1
SENA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,0,11,0,11
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,10,21,10,21,31
SICAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,2,2,2,4
SIPE SIPE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,40,0,40,0,40
SOPACHUY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,5,6,5,11
SORACACHI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,9,3,9,12
SORATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,6,7,6,13
SUCRE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,311,12,311,12,323
TACACOMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,2,2,2,4
TACOPAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,14,6,14,20
TAPACARI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,26,15,26,15,41
TARABUCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,13,13,13,13,26
TARACO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,2,3,2,5
TARATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,2,5,2,7
TARIJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,195,10,195,10,205
