,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2020-02-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2020-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-02-01,5,2,5,2,7
SUCRE,rabia,no de personas que abandonaron esquema,2020-02-01,14,9,14,9,23
TARATA,rabia,no de personas que abandonaron esquema,2020-02-01,0,1,0,1,1
TARIJA,rabia,no de personas que abandonaron esquema,2020-02-01,2,2,2,2,4
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-02-01,6,4,6,4,10
UYUNI,rabia,no de personas que abandonaron esquema,2020-02-01,0,2,0,2,2
VIACHA,rabia,no de personas que abandonaron esquema,2020-02-01,1,0,1,0,1
VILLA MONTES,rabia,no de personas que abandonaron esquema,2020-02-01,4,0,4,0,4
VINTO,rabia,no de personas que abandonaron esquema,2020-02-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2020-02-01,1,1,1,1,2
ACHOCALLA,rabia,no de personas que abandonaron esquema,2020-03-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2020-03-01,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2020-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-03-01,5,7,5,7,12
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2020-03-01,2,0,2,0,2
COMARAPA,rabia,no de personas que abandonaron esquema,2020-03-01,1,0,1,0,1
CONCEPCION,rabia,no de personas que abandonaron esquema,2020-03-01,1,1,1,1,2
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2020-03-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-03-01,17,11,17,11,28
ENTRE RIOS CBBA,rabia,no de personas que abandonaron esquema,2020-03-01,1,0,1,0,1
GUANAY,rabia,no de personas que abandonaron esquema,2020-03-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2020-03-01,3,1,3,1,4
MONTERO,rabia,no de personas que abandonaron esquema,2020-03-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2020-03-01,3,3,3,3,6
SACABA,rabia,no de personas que abandonaron esquema,2020-03-01,0,1,0,1,1
SAMAIPATA,rabia,no de personas que abandonaron esquema,2020-03-01,0,1,0,1,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-03-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2020-03-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2020-03-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-03-01,1,3,1,3,4
SICAYA,rabia,no de personas que abandonaron esquema,2020-03-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2020-03-01,15,9,15,9,24
TIPUANI,rabia,no de personas que abandonaron esquema,2020-03-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2020-03-01,1,1,1,1,2
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-03-01,1,3,1,3,4
UYUNI,rabia,no de personas que abandonaron esquema,2020-03-01,3,1,3,1,4
VIACHA,rabia,no de personas que abandonaron esquema,2020-03-01,1,2,1,2,3
WARNES,rabia,no de personas que abandonaron esquema,2020-03-01,0,1,0,1,1
CARANAVI,rabia,no de personas que abandonaron esquema,2020-04-01,1,6,1,6,7
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2020-04-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-04-01,13,8,13,8,21
COPACABANA,rabia,no de personas que abandonaron esquema,2020-04-01,1,0,1,0,1
CORIPATA,rabia,no de personas que abandonaron esquema,2020-04-01,0,2,0,2,2
EL ALTO,rabia,no de personas que abandonaron esquema,2020-04-01,4,0,4,0,4
LA PAZ,rabia,no de personas que abandonaron esquema,2020-04-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2020-04-01,1,2,1,2,3
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2020-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-04-01,1,2,1,2,3
SORATA,rabia,no de personas que abandonaron esquema,2020-04-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2020-04-01,7,5,7,5,12
TARIJA,rabia,no de personas que abandonaron esquema,2020-04-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-04-01,2,0,2,0,2
WARNES,rabia,no de personas que abandonaron esquema,2020-04-01,1,0,1,0,1
YAPACANI,rabia,no de personas que abandonaron esquema,2020-04-01,1,0,1,0,1
CABEZAS,rabia,no de personas que abandonaron esquema,2020-05-01,1,1,1,1,2
CARANAVI,rabia,no de personas que abandonaron esquema,2020-05-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-05-01,4,4,4,4,8
CORIPATA,rabia,no de personas que abandonaron esquema,2020-05-01,2,0,2,0,2
EL ALTO,rabia,no de personas que abandonaron esquema,2020-05-01,7,11,7,11,18
LA PAZ,rabia,no de personas que abandonaron esquema,2020-05-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2020-05-01,2,0,2,0,2
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2020-05-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2020-05-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2020-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-05-01,2,3,2,3,5
SHINAOTA,rabia,no de personas que abandonaron esquema,2020-05-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2020-05-01,4,6,4,6,10
TARIJA,rabia,no de personas que abandonaron esquema,2020-05-01,2,1,2,1,3
UYUNI,rabia,no de personas que abandonaron esquema,2020-05-01,1,0,1,0,1
VIACHA,rabia,no de personas que abandonaron esquema,2020-05-01,2,0,2,0,2
VILLAZON,rabia,no de personas que abandonaron esquema,2020-05-01,1,0,1,0,1
WALDO BALLIVIAN,rabia,no de personas que abandonaron esquema,2020-05-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2020-05-01,2,0,2,0,2
CARANAVI,rabia,no de personas que abandonaron esquema,2020-06-01,1,2,1,2,3
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-06-01,18,14,18,14,32
CORIPATA,rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
CURAHUARA DE CARANGAS,rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-06-01,11,8,11,8,19
IRUPANA (VILLA DE LANZA),rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2020-06-01,1,3,1,3,4
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2020-06-01,0,5,0,5,5
PUCARANI,rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2020-06-01,0,1,0,1,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2020-06-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-06-01,7,4,7,4,11
SUCRE,rabia,no de personas que abandonaron esquema,2020-06-01,8,3,8,3,11
TARIJA,rabia,no de personas que abandonaron esquema,2020-06-01,3,0,3,0,3
TIPUANI,rabia,no de personas que abandonaron esquema,2020-06-01,1,1,1,1,2
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-06-01,1,2,1,2,3
UYUNI,rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2020-06-01,2,0,2,0,2
WARNES,rabia,no de personas que abandonaron esquema,2020-06-01,3,1,3,1,4
YAPACANI,rabia,no de personas que abandonaron esquema,2020-06-01,1,0,1,0,1
ACHACACHI,rabia,no de personas que abandonaron esquema,2020-07-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas que abandonaron esquema,2020-07-01,1,1,1,1,2
CARANAVI,rabia,no de personas que abandonaron esquema,2020-07-01,3,4,3,4,7
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-07-01,4,4,4,4,8
CORIPATA,rabia,no de personas que abandonaron esquema,2020-07-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-07-01,5,7,5,7,12
LA PAZ,rabia,no de personas que abandonaron esquema,2020-07-01,0,1,0,1,1
LAJA,rabia,no de personas que abandonaron esquema,2020-07-01,2,1,2,1,3
MONTERO,rabia,no de personas que abandonaron esquema,2020-07-01,1,0,1,0,1
OKINAWA,rabia,no de personas que abandonaron esquema,2020-07-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2020-07-01,3,3,3,3,6
PUCARANI,rabia,no de personas que abandonaron esquema,2020-07-01,0,1,0,1,1
PUNATA,rabia,no de personas que abandonaron esquema,2020-07-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2020-07-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas que abandonaron esquema,2020-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-07-01,0,1,0,1,1
SORATA,rabia,no de personas que abandonaron esquema,2020-07-01,0,2,0,2,2
SUCRE,rabia,no de personas que abandonaron esquema,2020-07-01,4,7,4,7,11
TARIJA,rabia,no de personas que abandonaron esquema,2020-07-01,1,2,1,2,3
TIPUANI,rabia,no de personas que abandonaron esquema,2020-07-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2020-07-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-07-01,1,3,1,3,4
UYUNI,rabia,no de personas que abandonaron esquema,2020-07-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2020-07-01,3,0,3,0,3
YAPACANI,rabia,no de personas que abandonaron esquema,2020-07-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas que abandonaron esquema,2020-08-01,0,1,0,1,1
CARANAVI,rabia,no de personas que abandonaron esquema,2020-08-01,4,3,4,3,7
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-08-01,8,7,8,7,15
COLOMI,rabia,no de personas que abandonaron esquema,2020-08-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2020-08-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-08-01,2,1,2,1,3
LA PAZ,rabia,no de personas que abandonaron esquema,2020-08-01,3,0,3,0,3
ORURO,rabia,no de personas que abandonaron esquema,2020-08-01,1,2,1,2,3
RIBERALTA,rabia,no de personas que abandonaron esquema,2020-08-01,6,1,6,1,7
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2020-08-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-08-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2020-08-01,2,0,2,0,2
SAN RAFAEL,rabia,no de personas que abandonaron esquema,2020-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-08-01,2,1,2,1,3
SUCRE,rabia,no de personas que abandonaron esquema,2020-08-01,2,3,2,3,5
TARIJA,rabia,no de personas que abandonaron esquema,2020-08-01,2,1,2,1,3
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-08-01,1,3,1,3,4
UYUNI,rabia,no de personas que abandonaron esquema,2020-08-01,1,0,1,0,1
VILLA TUNARI,rabia,no de personas que abandonaron esquema,2020-08-01,0,1,0,1,1
VINTO,rabia,no de personas que abandonaron esquema,2020-08-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2020-08-01,2,2,2,2,4
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-09-01,9,4,9,4,13
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2020-09-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-09-01,4,10,4,10,14
GUANAY,rabia,no de personas que abandonaron esquema,2020-09-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),rabia,no de personas que abandonaron esquema,2020-09-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas que abandonaron esquema,2020-09-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2020-09-01,3,3,3,3,6
MONTERO,rabia,no de personas que abandonaron esquema,2020-09-01,0,1,0,1,1
OKINAWA,rabia,no de personas que abandonaron esquema,2020-09-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2020-09-01,5,5,5,5,10
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2020-09-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2020-09-01,0,1,0,1,1
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2020-09-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2020-09-01,2,2,2,2,4
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-09-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2020-09-01,1,2,1,2,3
SAN JULIAN,rabia,no de personas que abandonaron esquema,2020-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-09-01,3,1,3,1,4
SUCRE,rabia,no de personas que abandonaron esquema,2020-09-01,6,4,6,4,10
TARIJA,rabia,no de personas que abandonaron esquema,2020-09-01,1,2,1,2,3
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-09-01,12,4,12,4,16
WARNES,rabia,no de personas que abandonaron esquema,2020-09-01,0,2,0,2,2
ATOCHA,rabia,no de personas que abandonaron esquema,2020-10-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2020-10-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2020-10-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-10-01,12,7,12,7,19
COLOMI,rabia,no de personas que abandonaron esquema,2020-10-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-10-01,9,2,9,2,11
GUANAY,rabia,no de personas que abandonaron esquema,2020-10-01,0,1,0,1,1
GUAQUI,rabia,no de personas que abandonaron esquema,2020-10-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2020-10-01,5,1,5,1,6
MONTERO,rabia,no de personas que abandonaron esquema,2020-10-01,2,1,2,1,3
ORURO,rabia,no de personas que abandonaron esquema,2020-10-01,5,6,5,6,11
PORTACHUELO,rabia,no de personas que abandonaron esquema,2020-10-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2020-10-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2020-10-01,1,2,1,2,3
SACABA,rabia,no de personas que abandonaron esquema,2020-10-01,1,1,1,1,2
SAIPINA,rabia,no de personas que abandonaron esquema,2020-10-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-10-01,0,1,0,1,1
SAN PEDRO,rabia,no de personas que abandonaron esquema,2020-10-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-10-01,1,1,1,1,2
SUCRE,rabia,no de personas que abandonaron esquema,2020-10-01,7,9,7,9,16
TARIJA,rabia,no de personas que abandonaron esquema,2020-10-01,2,2,2,2,4
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2020-10-01,0,1,0,1,1
TOLATA,rabia,no de personas que abandonaron esquema,2020-10-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-10-01,8,7,8,7,15
UYUNI,rabia,no de personas que abandonaron esquema,2020-10-01,1,1,1,1,2
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2020-10-01,0,1,0,1,1
VIACHA,rabia,no de personas que abandonaron esquema,2020-10-01,1,1,1,1,2
VILLA TUNARI,rabia,no de personas que abandonaron esquema,2020-10-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2020-10-01,1,3,1,3,4
YACUIBA,rabia,no de personas que abandonaron esquema,2020-10-01,4,3,4,3,7
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-11-01,15,9,15,9,24
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2020-11-01,2,0,2,0,2
EL ALTO,rabia,no de personas que abandonaron esquema,2020-11-01,18,11,18,11,29
IRUPANA (VILLA DE LANZA),rabia,no de personas que abandonaron esquema,2020-11-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2020-11-01,6,6,6,6,12
ORURO,rabia,no de personas que abandonaron esquema,2020-11-01,11,8,11,8,19
PORONGO,rabia,no de personas que abandonaron esquema,2020-11-01,2,0,2,0,2
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2020-11-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2020-11-01,3,2,3,2,5
SACABA,rabia,no de personas que abandonaron esquema,2020-11-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-11-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2020-11-01,2,1,2,1,3
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2020-11-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-11-01,11,3,11,3,14
SIPE SIPE,rabia,no de personas que abandonaron esquema,2020-11-01,1,1,1,1,2
SUCRE,rabia,no de personas que abandonaron esquema,2020-11-01,23,11,23,11,34
TARATA,rabia,no de personas que abandonaron esquema,2020-11-01,1,1,1,1,2
TIPUANI,rabia,no de personas que abandonaron esquema,2020-11-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-11-01,2,4,2,4,6
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2020-11-01,1,0,1,0,1
VIACHA,rabia,no de personas que abandonaron esquema,2020-11-01,1,0,1,0,1
VILLA TUNARI,rabia,no de personas que abandonaron esquema,2020-11-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2020-11-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2020-11-01,4,1,4,1,5
YAPACANI,rabia,no de personas que abandonaron esquema,2020-11-01,2,1,2,1,3
ACHOCALLA,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
ALALAY,rabia,no de personas que abandonaron esquema,2020-12-01,0,34,0,34,34
CARANAVI,rabia,no de personas que abandonaron esquema,2020-12-01,1,1,1,1,2
CARMEN RIVERO TORREZ,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-12-01,17,16,17,16,33
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
COPACABANA,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-12-01,13,9,13,9,22
GUANAY,rabia,no de personas que abandonaron esquema,2020-12-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2020-12-01,10,2,10,2,12
MONTERO,rabia,no de personas que abandonaron esquema,2020-12-01,3,0,3,0,3
ORURO,rabia,no de personas que abandonaron esquema,2020-12-01,10,3,10,3,13
PUCARANI,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2020-12-01,2,1,2,1,3
SACABA,rabia,no de personas que abandonaron esquema,2020-12-01,1,1,1,1,2
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2020-12-01,0,1,0,1,1
SAN CARLOS,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
SAN PEDRO,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-12-01,4,7,4,7,11
SUCRE,rabia,no de personas que abandonaron esquema,2020-12-01,14,10,14,10,24
TARIJA,rabia,no de personas que abandonaron esquema,2020-12-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-12-01,8,2,8,2,10
UYUNI,rabia,no de personas que abandonaron esquema,2020-12-01,0,3,0,3,3
