,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES,TOTALES,TOTALES
COLCAPIRHUA,atencion odontologica,endodoncia,2016-01-01,17,6,0,1,0,0,0,8,1,0,0,0,0,0,18,15,33
"COLCHA ""K""",atencion odontologica,endodoncia,2016-01-01,5,1,0,0,0,1,0,2,0,1,0,0,0,0,5,5,10
COLLANA,atencion odontologica,endodoncia,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLOMI,atencion odontologica,endodoncia,2016-01-01,7,3,0,0,0,0,0,0,1,1,0,0,0,0,8,4,12
COLQUECHACA,atencion odontologica,endodoncia,2016-01-01,16,11,0,3,1,0,1,13,0,2,0,0,0,0,18,29,47
COLQUIRI,atencion odontologica,endodoncia,2016-01-01,6,4,2,8,0,2,0,8,1,0,0,0,0,0,9,22,31
COMANCHE,atencion odontologica,endodoncia,2016-01-01,0,2,1,0,1,0,0,1,0,0,0,0,0,0,2,3,5
COMARAPA,atencion odontologica,endodoncia,2016-01-01,4,15,1,2,2,17,7,18,5,10,0,0,0,0,19,62,81
COMBAYA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
CONCEPCION,atencion odontologica,endodoncia,2016-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
COPACABANA,atencion odontologica,endodoncia,2016-01-01,0,3,2,0,0,0,0,3,0,0,0,0,0,0,2,6,8
CORIPATA,atencion odontologica,endodoncia,2016-01-01,3,1,1,1,2,2,2,0,0,0,0,0,0,0,8,4,12
COROICO,atencion odontologica,endodoncia,2016-01-01,1,0,0,7,9,0,12,2,0,4,0,0,0,0,22,13,35
CORQUE,atencion odontologica,endodoncia,2016-01-01,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,5,5
COTAGAITA,atencion odontologica,endodoncia,2016-01-01,8,11,44,43,7,24,47,43,10,1,0,0,0,0,116,122,238
CUATRO CAÑADAS,atencion odontologica,endodoncia,2016-01-01,13,1,0,1,0,2,2,7,0,0,0,0,0,0,15,11,26
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncia,2016-01-01,0,0,2,0,0,0,1,4,0,0,0,0,0,0,3,4,7
CUEVO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CULPINA,atencion odontologica,endodoncia,2016-01-01,3,0,1,2,0,1,0,6,0,1,0,0,0,0,4,10,14
CURVA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,atencion odontologica,endodoncia,2016-01-01,131,105,177,186,66,142,68,158,180,9,0,0,0,0,622,600,1222
EL CHORO,atencion odontologica,endodoncia,2016-01-01,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,5,6
EL PUENTE(STC),atencion odontologica,endodoncia,2016-01-01,1,0,1,1,0,0,1,1,0,0,0,0,0,0,3,2,5
EL PUENTE(TJA),atencion odontologica,endodoncia,2016-01-01,0,0,1,4,2,2,0,5,0,0,0,0,0,0,3,11,14
EL TORNO,atencion odontologica,endodoncia,2016-01-01,10,11,7,7,11,10,13,15,5,5,0,0,0,0,46,48,94
EL VILLAR,atencion odontologica,endodoncia,2016-01-01,0,1,3,0,1,0,3,0,0,0,0,0,0,0,7,1,8
ENTRE RIOS TRJ,atencion odontologica,endodoncia,2016-01-01,1,1,4,4,2,13,6,26,0,0,0,0,0,0,13,44,57
ENTRE RIOS CBBA,atencion odontologica,endodoncia,2016-01-01,4,8,3,1,1,3,0,4,0,1,0,0,0,0,8,17,25
ESCOMA,atencion odontologica,endodoncia,2016-01-01,0,2,1,0,0,0,4,9,1,4,0,0,0,0,6,15,21
EUCALIPTUS,atencion odontologica,endodoncia,2016-01-01,1,1,2,3,1,0,0,3,0,1,0,0,0,0,4,8,12
FERNANDEZ ALONSO,atencion odontologica,endodoncia,2016-01-01,0,0,2,1,3,2,4,3,0,0,0,0,0,0,9,6,15
FILADELFIA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncia,2016-01-01,0,0,1,0,0,1,1,2,0,0,0,0,0,0,2,3,5
GUANAY,atencion odontologica,endodoncia,2016-01-01,0,0,3,3,5,2,5,3,2,6,0,0,0,0,15,14,29
GUAQUI,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,2,2,3,11,2,3,0,0,0,0,7,16,23
GUAYARAMERIN,atencion odontologica,endodoncia,2016-01-01,1,1,2,3,4,10,5,6,0,1,0,0,0,0,12,21,33
GUTIERREZ,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,1,1,0,4,4,2,0,0,0,0,5,7,12
HUACARETA,atencion odontologica,endodoncia,2016-01-01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
HUACAYA (VILLA DE HUACAYA),atencion odontologica,endodoncia,2016-01-01,0,0,1,0,0,2,2,3,0,0,0,0,0,0,3,5,8
HUACHACALLA,atencion odontologica,endodoncia,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUANUNI,atencion odontologica,endodoncia,2016-01-01,21,25,8,7,2,10,14,14,5,4,0,0,0,0,50,60,110
HUARINA,atencion odontologica,endodoncia,2016-01-01,0,4,0,2,0,2,1,4,1,0,0,0,0,0,2,12,14
HUATAJATA,atencion odontologica,endodoncia,2016-01-01,0,2,2,2,0,0,5,5,2,1,0,0,0,0,9,10,19
HUAYLLAMARCA,atencion odontologica,endodoncia,2016-01-01,0,1,3,3,0,1,0,0,1,0,0,0,0,0,4,5,9
HUMANATA,atencion odontologica,endodoncia,2016-01-01,1,2,0,0,0,0,0,0,2,1,0,0,0,0,3,3,6
ICLA,atencion odontologica,endodoncia,2016-01-01,2,0,0,1,0,0,4,3,0,0,0,0,0,0,6,4,10
INCAHUASI,atencion odontologica,endodoncia,2016-01-01,0,0,0,2,0,4,1,2,1,0,0,0,0,0,2,8,10
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
IXIAMAS,atencion odontologica,endodoncia,2016-01-01,0,0,0,1,0,0,2,3,0,0,0,0,0,0,2,4,6
JESUS DE MACHACA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4
LA ASUNTA,atencion odontologica,endodoncia,2016-01-01,4,5,2,2,2,4,1,8,0,0,0,0,0,0,9,19,28
LA GUARDIA,atencion odontologica,endodoncia,2016-01-01,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,6,7
LA PAZ,atencion odontologica,endodoncia,2016-01-01,107,144,146,170,96,130,245,440,66,66,0,0,0,0,660,950,1610
LAGUNILLAS,atencion odontologica,endodoncia,2016-01-01,0,0,0,1,0,0,0,1,3,3,0,0,0,0,3,5,8
LAJA,atencion odontologica,endodoncia,2016-01-01,3,7,1,2,0,8,1,12,0,0,0,0,0,0,5,29,34
LAS CARRERAS,atencion odontologica,endodoncia,2016-01-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
LLALLAGUA,atencion odontologica,endodoncia,2016-01-01,18,12,1,12,3,4,4,18,0,2,0,0,0,0,26,48,74
LURIBAY,atencion odontologica,endodoncia,2016-01-01,4,0,2,0,0,3,8,3,0,0,0,0,0,0,14,6,20
MACHACAMARCA,atencion odontologica,endodoncia,2016-01-01,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5
MACHARETI,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MAGDALENA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,4
MAIRANA,atencion odontologica,endodoncia,2016-01-01,1,8,2,1,0,1,3,1,0,0,0,0,0,0,6,11,17
MAPIRI,atencion odontologica,endodoncia,2016-01-01,1,0,0,1,0,0,3,1,0,0,0,0,0,0,4,2,6
MECAPACA,atencion odontologica,endodoncia,2016-01-01,5,3,1,0,0,7,3,2,0,0,0,0,0,0,9,12,21
MINEROS,atencion odontologica,endodoncia,2016-01-01,2,3,0,0,0,0,0,4,0,0,0,0,0,0,2,7,9
MIZQUE,atencion odontologica,endodoncia,2016-01-01,4,1,0,2,1,1,0,3,2,0,0,0,0,0,7,7,14
MOCOMOCO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,3
MOJOCOYA,atencion odontologica,endodoncia,2016-01-01,0,0,2,2,1,1,5,5,0,1,0,0,0,0,8,9,17
MONTEAGUDO,atencion odontologica,endodoncia,2016-01-01,4,11,0,5,4,1,1,8,0,0,0,0,0,0,9,25,34
MONTERO,atencion odontologica,endodoncia,2016-01-01,3,2,1,9,2,5,4,7,0,2,0,0,0,0,10,25,35
MOROCHATA,atencion odontologica,endodoncia,2016-01-01,0,1,2,1,2,5,0,7,4,1,0,0,0,0,8,15,23
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,endodoncia,2016-01-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,3
OCURI,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,5,5
ORURO,atencion odontologica,endodoncia,2016-01-01,118,83,104,88,33,57,95,147,33,17,0,0,0,0,383,392,775
PADCAYA,atencion odontologica,endodoncia,2016-01-01,1,0,2,2,2,4,0,6,0,0,0,0,0,0,5,12,17
PADILLA,atencion odontologica,endodoncia,2016-01-01,1,3,7,0,0,3,2,16,0,0,0,0,0,0,10,22,32
PAILON,atencion odontologica,endodoncia,2016-01-01,1,4,0,0,0,0,0,5,0,0,0,0,0,0,1,9,10
PALCA,atencion odontologica,endodoncia,2016-01-01,7,4,2,10,0,1,0,7,0,0,0,0,0,0,9,22,31
PALOS BLANCOS,atencion odontologica,endodoncia,2016-01-01,9,2,1,1,0,2,2,14,1,4,0,0,0,0,13,23,36
PAMPA AULLAGAS,atencion odontologica,endodoncia,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PASORAPA,atencion odontologica,endodoncia,2016-01-01,0,1,0,0,2,1,1,3,0,3,0,0,0,0,3,8,11
PAZÑA,atencion odontologica,endodoncia,2016-01-01,1,2,2,2,0,0,1,9,1,7,0,0,0,0,5,20,25
POCOATA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POJO (CBBA),atencion odontologica,endodoncia,2016-01-01,1,0,5,0,1,6,3,9,0,3,0,0,0,0,10,18,28
POOPO,atencion odontologica,endodoncia,2016-01-01,2,6,4,3,2,1,2,3,4,0,0,0,0,0,14,13,27
PORCO,atencion odontologica,endodoncia,2016-01-01,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
POROMA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,1,1,5,0,0,0,0,0,0,1,6,7
PORVENIR,atencion odontologica,endodoncia,2016-01-01,1,1,1,0,1,0,1,2,0,0,0,0,0,0,4,3,7
POSTRER VALLE,atencion odontologica,endodoncia,2016-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POTOSI,atencion odontologica,endodoncia,2016-01-01,73,76,81,65,114,130,83,162,6,8,0,0,0,0,357,441,798
PRESTO,atencion odontologica,endodoncia,2016-01-01,0,0,2,4,0,2,1,4,0,0,0,0,0,0,3,10,13
PUCARANI,atencion odontologica,endodoncia,2016-01-01,1,0,2,2,0,4,1,5,1,0,0,0,0,0,5,11,16
PUERTO ACOSTA,atencion odontologica,endodoncia,2016-01-01,0,0,0,1,0,1,6,2,0,0,0,0,0,0,6,4,10
PUERTO CARABUCO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3
PUERTO GONZALO MORENO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,4,5
PUERTO QUIJARRO,atencion odontologica,endodoncia,2016-01-01,0,0,1,8,6,9,18,1,0,0,0,0,0,0,25,18,43
PUERTO RICO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,2,0,3,1,0,0,0,0,0,0,5,1,6
PUERTO VILLARROEL,atencion odontologica,endodoncia,2016-01-01,22,14,11,8,1,16,7,37,1,2,0,0,0,0,42,77,119
PUNA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PUNATA,atencion odontologica,endodoncia,2016-01-01,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,3,4
QUIABAYA,atencion odontologica,endodoncia,2016-01-01,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,4
QUILLACOLLO,atencion odontologica,endodoncia,2016-01-01,74,71,81,53,55,63,43,79,52,51,0,0,0,0,305,317,622
QUIME,atencion odontologica,endodoncia,2016-01-01,4,3,1,2,2,3,2,2,1,3,0,0,0,0,10,13,23
QUIRUSILLAS,atencion odontologica,endodoncia,2016-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
RAVELO,atencion odontologica,endodoncia,2016-01-01,1,1,0,0,0,1,0,6,2,3,0,0,0,0,3,11,14
REYES,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RIBERALTA,atencion odontologica,endodoncia,2016-01-01,0,2,0,6,6,7,12,0,2,0,0,0,0,0,20,15,35
ROBORE,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
RURRENABAQUE,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SABAYA,atencion odontologica,endodoncia,2016-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SACABA,atencion odontologica,endodoncia,2016-01-01,42,26,4,7,4,21,5,24,5,1,0,0,0,0,60,79,139
SACABAMBA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,3
SACACA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
SAIPINA,atencion odontologica,endodoncia,2016-01-01,1,0,2,0,1,0,3,2,2,0,0,0,0,0,9,2,11
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncia,2016-01-01,1,1,3,2,2,1,0,2,1,0,0,0,0,0,7,6,13
SAMAIPATA,atencion odontologica,endodoncia,2016-01-01,2,4,6,2,0,0,1,7,0,0,0,0,0,0,9,13,22
SAN ANDRES,atencion odontologica,endodoncia,2016-01-01,0,0,1,4,4,1,5,4,0,0,0,0,0,0,10,9,19
SAN ANDRES DE MACHACA,atencion odontologica,endodoncia,2016-01-01,0,0,1,0,0,0,3,2,8,2,0,0,0,0,12,4,16
SAN BENITO,atencion odontologica,endodoncia,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN BORJA,atencion odontologica,endodoncia,2016-01-01,3,6,0,1,2,8,2,8,3,0,0,0,0,0,10,23,33
SAN BUENA VENTURA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,8,8
SAN CARLOS,atencion odontologica,endodoncia,2016-01-01,5,0,1,0,5,1,27,7,0,1,0,0,0,0,38,9,47
SAN IGNACIO,atencion odontologica,endodoncia,2016-01-01,4,2,1,3,0,3,4,3,2,0,0,0,0,0,11,11,22
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncia,2016-01-01,0,0,0,2,0,0,1,2,2,0,0,0,0,0,3,4,7
SAN JAVIER(STC),atencion odontologica,endodoncia,2016-01-01,1,1,0,2,0,0,1,1,1,0,0,0,0,0,3,4,7
SAN JOAQUIN,atencion odontologica,endodoncia,2016-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN JUAN DE YAPACANI,atencion odontologica,endodoncia,2016-01-01,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
SAN JULIAN,atencion odontologica,endodoncia,2016-01-01,46,8,2,0,0,0,8,10,13,7,0,0,0,0,69,25,94
SAN LORENZO(PND),atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,6
SAN LORENZO(TJA),atencion odontologica,endodoncia,2016-01-01,0,2,3,4,1,3,5,12,0,0,0,0,0,0,9,21,30
SAN LUCAS,atencion odontologica,endodoncia,2016-01-01,4,4,10,3,4,5,3,16,0,0,0,0,0,0,21,28,49
SAN MATIAS,atencion odontologica,endodoncia,2016-01-01,6,5,2,0,1,1,0,0,2,0,0,0,0,0,11,6,17
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,4
SAN PEDRO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,1,0,0,2,2,0,0,0,0,0,3,2,5
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncia,2016-01-01,1,0,4,0,0,1,0,0,0,0,0,0,0,0,5,1,6
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO DE QUEMES,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO DE TIQUINA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SAN RAFAEL,atencion odontologica,endodoncia,2016-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
SAN RAMON BENI,atencion odontologica,endodoncia,2016-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
SAN RAMON SCZ,atencion odontologica,endodoncia,2016-01-01,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4,4,8
SANTA ANA,atencion odontologica,endodoncia,2016-01-01,1,0,0,0,0,3,0,10,1,0,0,0,0,0,2,13,15
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncia,2016-01-01,93,100,45,57,41,87,114,237,44,68,0,0,0,0,337,549,886
SANTA ROSA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA ROSA DEL SARA,atencion odontologica,endodoncia,2016-01-01,0,1,0,4,0,5,1,2,0,0,0,0,0,0,1,12,13
SANTIAGO DE HUARI,atencion odontologica,endodoncia,2016-01-01,8,4,1,4,1,3,1,4,0,0,0,0,0,0,11,15,26
SANTIAGO DE HUATA,atencion odontologica,endodoncia,2016-01-01,1,0,2,1,1,0,0,14,6,6,0,0,0,0,10,21,31
SANTIAGO DE MACHACA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTIVAÑES,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,1,1,5,1,0,1,0,0,0,0,6,3,9
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncia,2016-01-01,2,2,0,0,0,0,0,1,2,0,0,0,0,0,4,3,7
SAPAHAQUI,atencion odontologica,endodoncia,2016-01-01,0,0,0,1,1,1,0,1,4,0,0,0,0,0,5,3,8
SENA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,3
SHINAOTA,atencion odontologica,endodoncia,2016-01-01,0,3,0,1,1,1,0,1,0,2,0,0,0,0,1,8,9
SICA SICA (VILLA AROMA),atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SIPE SIPE,atencion odontologica,endodoncia,2016-01-01,17,14,5,16,0,5,4,10,0,2,0,0,0,0,26,47,73
