,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES,TOTALES,TOTALES
CLIZA,atencion odontologica,aplicacion de fluor,2016-01-01,3,3,1,2,0,0,0,7,3,2,0,0,0,0,7,14,21
COBIJA,atencion odontologica,aplicacion de fluor,2016-01-01,65,54,3,1,0,0,1,1,0,0,0,0,0,0,69,56,125
COCAPATA,atencion odontologica,aplicacion de fluor,2016-01-01,6,18,0,0,0,2,0,4,0,1,0,0,0,0,6,25,31
COCHABAMBA,atencion odontologica,aplicacion de fluor,2016-01-01,205,215,175,230,57,90,45,125,13,8,0,0,0,0,495,668,1163
COLCAPIRHUA,atencion odontologica,aplicacion de fluor,2016-01-01,4,7,0,1,0,0,0,3,0,0,0,0,0,0,4,11,15
"COLCHA ""K""",atencion odontologica,aplicacion de fluor,2016-01-01,5,5,1,0,0,0,0,7,0,0,0,0,0,0,6,12,18
COLLANA,atencion odontologica,aplicacion de fluor,2016-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COLOMI,atencion odontologica,aplicacion de fluor,2016-01-01,5,7,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
COLPA BELGICA,atencion odontologica,aplicacion de fluor,2016-01-01,25,27,62,40,1,0,0,0,0,0,0,0,0,0,88,67,155
COLQUECHACA,atencion odontologica,aplicacion de fluor,2016-01-01,5,7,0,1,0,0,0,4,0,0,0,0,0,0,5,12,17
COLQUENCHA,atencion odontologica,aplicacion de fluor,2016-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
COLQUIRI,atencion odontologica,aplicacion de fluor,2016-01-01,10,8,8,8,0,3,0,1,0,0,0,0,0,0,18,20,38
COMARAPA,atencion odontologica,aplicacion de fluor,2016-01-01,8,10,0,0,0,6,0,3,1,0,0,0,0,0,9,19,28
COMBAYA,atencion odontologica,aplicacion de fluor,2016-01-01,5,2,1,1,0,0,0,0,0,2,0,0,0,0,6,5,11
CONCEPCION,atencion odontologica,aplicacion de fluor,2016-01-01,6,7,0,1,0,0,0,0,0,0,0,0,0,0,6,8,14
COPACABANA,atencion odontologica,aplicacion de fluor,2016-01-01,8,5,0,0,0,0,0,1,0,0,0,0,0,0,8,6,14
CORIPATA,atencion odontologica,aplicacion de fluor,2016-01-01,7,12,2,1,0,0,1,1,0,0,0,0,0,0,10,14,24
CORO CORO,atencion odontologica,aplicacion de fluor,2016-01-01,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,3,4
COTAGAITA,atencion odontologica,aplicacion de fluor,2016-01-01,11,10,5,4,0,1,1,2,0,0,0,0,0,0,17,17,34
COTOCA,atencion odontologica,aplicacion de fluor,2016-01-01,154,146,0,0,0,35,0,138,37,69,0,0,0,0,191,388,579
CUATRO CAÑADAS,atencion odontologica,aplicacion de fluor,2016-01-01,69,77,0,2,0,2,1,8,5,2,0,0,0,0,75,91,166
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,aplicacion de fluor,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUEVO,atencion odontologica,aplicacion de fluor,2016-01-01,12,7,0,0,0,1,0,3,0,1,0,0,0,0,12,12,24
CULPINA,atencion odontologica,aplicacion de fluor,2016-01-01,8,6,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
CURVA,atencion odontologica,aplicacion de fluor,2016-01-01,8,16,0,1,0,0,0,0,0,0,0,0,0,0,8,17,25
EL ALTO,atencion odontologica,aplicacion de fluor,2016-01-01,289,287,246,229,82,111,34,54,8,4,0,0,0,0,659,685,1344
EL CHORO,atencion odontologica,aplicacion de fluor,2016-01-01,23,10,1,0,0,1,0,4,2,1,0,0,0,0,26,16,42
EL PUENTE(STC),atencion odontologica,aplicacion de fluor,2016-01-01,13,15,0,0,0,0,0,5,2,1,0,0,0,0,15,21,36
EL PUENTE(TJA),atencion odontologica,aplicacion de fluor,2016-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
EL TORNO,atencion odontologica,aplicacion de fluor,2016-01-01,93,101,47,37,6,10,3,14,1,3,0,0,0,0,150,165,315
ENTRE RIOS TRJ,atencion odontologica,aplicacion de fluor,2016-01-01,0,1,1,0,0,9,0,1,0,0,0,0,0,0,1,11,12
ENTRE RIOS CBBA,atencion odontologica,aplicacion de fluor,2016-01-01,4,5,0,0,0,0,0,1,0,0,0,0,0,0,4,6,10
ESCOMA,atencion odontologica,aplicacion de fluor,2016-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EUCALIPTUS,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,1,4
FILADELFIA,atencion odontologica,aplicacion de fluor,2016-01-01,9,16,0,0,0,1,0,1,0,0,0,0,0,0,9,18,27
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,aplicacion de fluor,2016-01-01,6,4,0,2,0,0,2,0,1,0,0,0,0,0,9,6,15
GUANAY,atencion odontologica,aplicacion de fluor,2016-01-01,18,17,3,1,0,0,0,2,0,0,0,0,0,0,21,20,41
GUAQUI,atencion odontologica,aplicacion de fluor,2016-01-01,10,12,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22
GUAYARAMERIN,atencion odontologica,aplicacion de fluor,2016-01-01,11,17,9,10,4,7,2,1,0,0,0,0,0,0,26,35,61
GUTIERREZ,atencion odontologica,aplicacion de fluor,2016-01-01,20,14,0,0,0,0,0,0,0,0,0,0,0,0,20,14,34
HUACARETA,atencion odontologica,aplicacion de fluor,2016-01-01,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,4
HUACAYA (VILLA DE HUACAYA),atencion odontologica,aplicacion de fluor,2016-01-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
HUACHACALLA,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
HUANUNI,atencion odontologica,aplicacion de fluor,2016-01-01,2,1,1,1,2,1,0,4,0,0,0,0,0,0,5,7,12
HUARACAJE,atencion odontologica,aplicacion de fluor,2016-01-01,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
HUARINA,atencion odontologica,aplicacion de fluor,2016-01-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
HUATAJATA,atencion odontologica,aplicacion de fluor,2016-01-01,5,3,3,0,0,0,0,0,0,0,0,0,0,0,8,3,11
HUAYLLAMARCA,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
HUMANATA,atencion odontologica,aplicacion de fluor,2016-01-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
ICHOCA,atencion odontologica,aplicacion de fluor,2016-01-01,4,5,0,0,0,0,0,2,0,0,0,0,0,0,4,7,11
ICLA,atencion odontologica,aplicacion de fluor,2016-01-01,36,31,2,7,0,1,0,1,0,0,0,0,0,0,38,40,78
INCAHUASI,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
INQUISIVI,atencion odontologica,aplicacion de fluor,2016-01-01,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,5
IRUPANA (VILLA DE LANZA),atencion odontologica,aplicacion de fluor,2016-01-01,25,33,0,0,0,0,0,0,0,0,0,0,0,0,25,33,58
IXIAMAS,atencion odontologica,aplicacion de fluor,2016-01-01,5,2,4,1,0,1,1,1,0,0,0,0,0,0,10,5,15
JESUS DE MACHACA,atencion odontologica,aplicacion de fluor,2016-01-01,4,7,0,1,0,0,0,0,0,0,0,0,0,0,4,8,12
LA ASUNTA,atencion odontologica,aplicacion de fluor,2016-01-01,16,12,1,1,0,0,0,1,0,0,0,0,0,0,17,14,31
LA GUARDIA,atencion odontologica,aplicacion de fluor,2016-01-01,52,38,1,2,0,0,0,3,1,2,0,0,0,0,54,45,99
LA PAZ,atencion odontologica,aplicacion de fluor,2016-01-01,489,307,342,597,124,131,56,108,135,16,0,0,0,0,1146,1159,2305
LAJA,atencion odontologica,aplicacion de fluor,2016-01-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
LAS CARRERAS,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,7,4,3,16,7,21,1,5,0,0,0,0,18,46,64
LLALLAGUA,atencion odontologica,aplicacion de fluor,2016-01-01,12,12,5,6,0,4,0,2,0,0,0,0,0,0,17,24,41
LURIBAY,atencion odontologica,aplicacion de fluor,2016-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
MACHACAMARCA,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,3,0,1,0,0,1,0,2,0,0,0,0,5,3,8
MACHARETI,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,1,1,4,6,1,0,0,0,0,0,6,7,13
MAGDALENA,atencion odontologica,aplicacion de fluor,2016-01-01,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,3,5
MAIRANA,atencion odontologica,aplicacion de fluor,2016-01-01,9,13,3,8,0,1,0,5,0,0,0,0,0,0,12,27,39
MAPIRI,atencion odontologica,aplicacion de fluor,2016-01-01,4,3,1,0,0,3,2,10,0,0,0,0,0,0,7,16,23
MECAPACA,atencion odontologica,aplicacion de fluor,2016-01-01,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,5
MIZQUE,atencion odontologica,aplicacion de fluor,2016-01-01,2,1,0,0,0,0,0,0,2,1,0,0,0,0,4,2,6
MOCOMOCO,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,9,3,0,1,0,0,0,0,0,0,0,0,9,4,13
MOJOCOYA,atencion odontologica,aplicacion de fluor,2016-01-01,14,13,0,0,0,0,0,0,0,0,0,0,0,0,14,13,27
MONTEAGUDO,atencion odontologica,aplicacion de fluor,2016-01-01,4,5,2,1,0,1,1,4,0,0,0,0,0,0,7,11,18
MONTERO,atencion odontologica,aplicacion de fluor,2016-01-01,54,44,6,13,2,3,7,20,1,4,0,0,0,0,70,84,154
MORO MORO,atencion odontologica,aplicacion de fluor,2016-01-01,22,17,0,0,0,0,0,0,0,0,0,0,0,0,22,17,39
MOROCHATA,atencion odontologica,aplicacion de fluor,2016-01-01,18,9,0,0,0,1,0,0,0,0,0,0,0,0,18,10,28
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,aplicacion de fluor,2016-01-01,9,5,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
OCURI,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
OKINAWA,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ORURO,atencion odontologica,aplicacion de fluor,2016-01-01,27,42,35,44,15,25,25,68,3,6,0,0,0,0,105,185,290
PADCAYA,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,1,1,2,2,0,0,0,0,0,0,0,0,3,3,6
PADILLA,atencion odontologica,aplicacion de fluor,2016-01-01,2,3,1,4,0,0,0,0,0,0,0,0,0,0,3,7,10
PAILON,atencion odontologica,aplicacion de fluor,2016-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PALCA,atencion odontologica,aplicacion de fluor,2016-01-01,14,9,1,0,0,0,0,1,0,0,0,0,0,0,15,10,25
PALOS BLANCOS,atencion odontologica,aplicacion de fluor,2016-01-01,10,5,3,1,0,1,0,0,0,0,0,0,0,0,13,7,20
PAMPA AULLAGAS,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PAMPA GRANDE,atencion odontologica,aplicacion de fluor,2016-01-01,7,8,0,0,0,1,0,1,0,0,0,0,0,0,7,10,17
PAPEL PAMPA,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,4
PAZÑA,atencion odontologica,aplicacion de fluor,2016-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POCOATA,atencion odontologica,aplicacion de fluor,2016-01-01,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
POCONA,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,3
POJO (CBBA),atencion odontologica,aplicacion de fluor,2016-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POOPO,atencion odontologica,aplicacion de fluor,2016-01-01,0,1,0,3,0,1,0,1,2,5,0,0,0,0,2,11,13
PORCO,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POROMA,atencion odontologica,aplicacion de fluor,2016-01-01,9,7,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
PORONGO,atencion odontologica,aplicacion de fluor,2016-01-01,2,1,0,0,0,1,0,7,2,1,0,0,0,0,4,10,14
PORVENIR,atencion odontologica,aplicacion de fluor,2016-01-01,8,17,18,9,0,0,0,0,0,0,0,0,0,0,26,26,52
POSTRER VALLE,atencion odontologica,aplicacion de fluor,2016-01-01,13,4,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17
POTOSI,atencion odontologica,aplicacion de fluor,2016-01-01,44,57,11,12,9,13,3,17,4,3,0,0,0,0,71,102,173
PRESTO,atencion odontologica,aplicacion de fluor,2016-01-01,24,25,0,1,0,0,0,4,0,0,0,0,0,0,24,30,54
PUCARA,atencion odontologica,aplicacion de fluor,2016-01-01,13,4,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17
PUCARANI,atencion odontologica,aplicacion de fluor,2016-01-01,5,4,0,0,0,1,1,4,3,2,0,0,0,0,9,11,20
PUERTO ACOSTA,atencion odontologica,aplicacion de fluor,2016-01-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
PUERTO CARABUCO,atencion odontologica,aplicacion de fluor,2016-01-01,3,4,1,0,0,0,0,13,0,1,0,0,0,0,4,18,22
PUERTO GONZALO MORENO,atencion odontologica,aplicacion de fluor,2016-01-01,29,19,10,16,1,3,0,7,0,0,0,0,0,0,40,45,85
PUERTO QUIJARRO,atencion odontologica,aplicacion de fluor,2016-01-01,14,9,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23
PUERTO RICO,atencion odontologica,aplicacion de fluor,2016-01-01,5,8,0,3,0,0,0,0,0,0,0,0,0,0,5,11,16
PUERTO VILLARROEL,atencion odontologica,aplicacion de fluor,2016-01-01,11,11,0,0,0,0,0,9,0,0,0,0,0,0,11,20,31
PUNA,atencion odontologica,aplicacion de fluor,2016-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUNATA,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
QUIABAYA,atencion odontologica,aplicacion de fluor,2016-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
QUILLACOLLO,atencion odontologica,aplicacion de fluor,2016-01-01,61,60,43,45,25,41,42,58,27,21,0,0,0,0,198,225,423
QUIME,atencion odontologica,aplicacion de fluor,2016-01-01,6,15,2,5,0,1,0,2,0,0,0,0,0,0,8,23,31
RAVELO,atencion odontologica,aplicacion de fluor,2016-01-01,6,4,0,1,0,0,0,0,0,0,0,0,0,0,6,5,11
RIBERALTA,atencion odontologica,aplicacion de fluor,2016-01-01,74,75,8,11,4,13,7,16,0,1,0,0,0,0,93,116,209
ROBORE,atencion odontologica,aplicacion de fluor,2016-01-01,9,10,1,0,1,0,0,0,0,0,0,0,0,0,11,10,21
RURRENABAQUE,atencion odontologica,aplicacion de fluor,2016-01-01,10,14,9,10,6,5,2,3,0,0,0,0,0,0,27,32,59
SACABA,atencion odontologica,aplicacion de fluor,2016-01-01,12,15,13,21,3,4,1,4,0,0,0,0,0,0,29,44,73
SACACA,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SALINAS DE GARCI MENDOZA,atencion odontologica,aplicacion de fluor,2016-01-01,25,15,2,4,1,4,0,6,0,2,0,0,0,0,28,31,59
SAMAIPATA,atencion odontologica,aplicacion de fluor,2016-01-01,5,21,0,0,0,0,0,0,0,0,0,0,0,0,5,21,26
SAN ANDRES,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,3,1,4,0,1,0,0,0,0,0,0,1,8,9
SAN BENITO,atencion odontologica,aplicacion de fluor,2016-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN BORJA,atencion odontologica,aplicacion de fluor,2016-01-01,11,6,0,1,0,0,0,0,0,0,0,0,0,0,11,7,18
SAN BUENA VENTURA,atencion odontologica,aplicacion de fluor,2016-01-01,1,4,5,3,0,0,0,0,0,0,0,0,0,0,6,7,13
SAN CARLOS,atencion odontologica,aplicacion de fluor,2016-01-01,5,1,2,3,0,1,0,2,0,0,0,0,0,0,7,7,14
SAN IGNACIO,atencion odontologica,aplicacion de fluor,2016-01-01,6,9,12,13,10,6,5,6,4,1,0,0,0,0,37,35,72
SAN IGNACIO DE VELASCO,atencion odontologica,aplicacion de fluor,2016-01-01,17,11,1,0,1,4,0,1,0,1,0,0,0,0,19,17,36
SAN JAVIER(STC),atencion odontologica,aplicacion de fluor,2016-01-01,1,4,0,2,0,2,0,4,0,0,0,0,0,0,1,12,13
SAN JUAN DE YAPACANI,atencion odontologica,aplicacion de fluor,2016-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAN JULIAN,atencion odontologica,aplicacion de fluor,2016-01-01,51,42,2,2,0,4,1,6,0,2,0,0,0,0,54,56,110
SAN LORENZO(TJA),atencion odontologica,aplicacion de fluor,2016-01-01,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN LUCAS,atencion odontologica,aplicacion de fluor,2016-01-01,50,54,1,0,0,3,0,9,0,0,0,0,0,0,51,66,117
SAN MIGUEL DE VELASCO,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,atencion odontologica,aplicacion de fluor,2016-01-01,1,4,1,0,0,0,0,1,0,0,0,0,0,0,2,5,7
SAN PEDRO DE CURAHUARA,atencion odontologica,aplicacion de fluor,2016-01-01,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,4,5
SAN PEDRO DE QUEMES,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,atencion odontologica,aplicacion de fluor,2016-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN RAFAEL,atencion odontologica,aplicacion de fluor,2016-01-01,25,22,0,1,0,1,0,5,0,0,0,0,0,0,25,29,54
SAN RAMON BENI,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
SAN RAMON SCZ,atencion odontologica,aplicacion de fluor,2016-01-01,13,15,0,0,0,0,0,0,0,0,0,0,0,0,13,15,28
SANTA ANA,atencion odontologica,aplicacion de fluor,2016-01-01,3,1,5,5,1,7,0,0,0,0,0,0,0,0,9,13,22
SANTA CRUZ DE LA SIERRA,atencion odontologica,aplicacion de fluor,2016-01-01,1084,1040,266,294,157,387,344,1049,82,78,0,0,0,0,1933,2848,4781
SANTA ROSA,atencion odontologica,aplicacion de fluor,2016-01-01,4,8,3,4,0,1,0,0,0,0,0,0,0,0,7,13,20
SANTA ROSA DEL SARA,atencion odontologica,aplicacion de fluor,2016-01-01,9,2,1,10,0,0,0,0,0,0,0,0,0,0,10,12,22
