,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES,TOTALES,TOTALES
COCHABAMBA,atencion odontologica,periodoncia,2016-01-01,0,0,24,44,104,180,293,655,87,50,0,0,0,0,508,929,1437
COIPASA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,3,1,2,0,0,0,0,0,5,1,6
COLCAPIRHUA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,3,3,23,3,0,0,0,0,0,6,26,32
"COLCHA ""K""",atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,6,6
COLLANA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COLOMI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,5,2,4,0,0,0,0,2,10,12
COLQUECHACA,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,4,1,6,0,3,0,0,0,0,1,14,15
COLQUENCHA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLQUIRI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,4,2,2,2,0,0,0,0,6,4,10
COMARAPA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
COMBAYA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,4,0,1,1,1,0,0,0,0,1,6,7
CONCEPCION,atencion odontologica,periodoncia,2016-01-01,0,0,1,1,0,1,0,4,0,0,0,0,0,0,1,6,7
COPACABANA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CORIPATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CORQUE,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
COTAGAITA,atencion odontologica,periodoncia,2016-01-01,0,0,0,3,4,0,15,13,0,0,0,0,0,0,19,16,35
COTOCA,atencion odontologica,periodoncia,2016-01-01,0,0,0,2,1,0,1,8,0,0,0,0,0,0,2,10,12
CUATRO CAÑADAS,atencion odontologica,periodoncia,2016-01-01,0,0,2,1,1,1,5,9,3,2,0,0,0,0,11,13,24
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
CUEVO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CULPINA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CURVA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,atencion odontologica,periodoncia,2016-01-01,0,0,79,103,89,126,102,217,45,25,0,0,0,0,315,471,786
EL PUENTE(STC),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL PUENTE(TJA),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,6,8
EL TORNO,atencion odontologica,periodoncia,2016-01-01,0,0,6,7,8,31,17,70,6,10,0,0,0,0,37,118,155
EL VILLAR,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
ENTRE RIOS TRJ,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,1,9,0,0,0,0,0,0,1,11,12
ENTRE RIOS CBBA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,4,5
EUCALIPTUS,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
FILADELFIA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
GUANAY,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,2,1,0,0,1,2,0,0,0,0,3,3,6
GUAYARAMERIN,atencion odontologica,periodoncia,2016-01-01,0,0,7,11,2,10,2,10,1,1,0,0,0,0,12,32,44
GUTIERREZ,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
HUACHACALLA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,1,2,2,3,1,0,0,0,0,0,5,5,10
HUANUNI,atencion odontologica,periodoncia,2016-01-01,0,0,4,6,3,3,6,11,0,1,0,0,0,0,13,21,34
HUARACAJE,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
HUATAJATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,1,4
HUAYLLAMARCA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,3,2,1,1,0,0,0,0,4,3,7
HUMANATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,8
ICHOCA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
ICLA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,4,1,0,0,0,0,0,0,4,2,6
INCAHUASI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
INGAVI (HUMAITA),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,4,6
IXIAMAS,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
JESUS DE MACHACA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LA ASUNTA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,2,1,0,0,0,0,0,0,3,1,4
LA GUARDIA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,4,0,10,10,10,0,0,0,0,10,24,34
LA PAZ,atencion odontologica,periodoncia,2016-01-01,0,0,71,80,116,105,268,451,65,60,0,0,0,0,520,696,1216
LAGUNILLAS,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,5,6
LAJA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
LAS CARRERAS,atencion odontologica,periodoncia,2016-01-01,0,0,4,3,1,4,1,7,2,0,0,0,0,0,8,14,22
LLALLAGUA,atencion odontologica,periodoncia,2016-01-01,0,0,0,7,2,0,1,2,0,0,0,0,0,0,3,9,12
LURIBAY,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
MACHACAMARCA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,1,3,3,1,0,0,0,0,5,4,9
MACHARETI,atencion odontologica,periodoncia,2016-01-01,0,0,2,2,1,6,10,8,0,1,0,0,0,0,13,17,30
MAGDALENA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,2,5,1,0,0,0,0,0,3,5,8
MAIRANA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,3,6,15,4,4,0,0,0,0,10,22,32
MAPIRI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MECAPACA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
MINEROS,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,23,0,35,3,2,0,0,0,0,3,60,63
MIZQUE,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,1,0,5,0,0,0,0,0,0,1,6,7
MOCOMOCO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MOJOCOYA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
MONTEAGUDO,atencion odontologica,periodoncia,2016-01-01,0,0,1,1,3,1,1,6,0,0,0,0,0,0,5,8,13
MONTERO,atencion odontologica,periodoncia,2016-01-01,0,0,11,16,11,11,14,55,7,6,0,0,0,0,43,88,131
MOROCHATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,6,1,10,15,12,0,0,0,0,16,28,44
OCURI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
ORURO,atencion odontologica,periodoncia,2016-01-01,0,0,1,14,5,75,65,111,28,7,0,0,0,0,99,207,306
PADCAYA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,1,1,1,3,0,0,0,0,0,0,3,4,7
PADILLA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,3,3,6,7,0,2,0,0,0,0,10,12,22
PALCA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
PALOS BLANCOS,atencion odontologica,periodoncia,2016-01-01,0,0,4,1,1,2,3,1,0,0,0,0,0,0,8,4,12
PAMPA GRANDE,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PASORAPA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,3,5
PAZÑA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,4,5
POCOATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
POJO (CBBA),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,4,2,6,1,2,0,0,0,0,3,12,15
POOPO,atencion odontologica,periodoncia,2016-01-01,0,0,1,1,1,2,3,2,4,1,0,0,0,0,9,6,15
PORCO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
POROMA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,3
PORTACHUELO,atencion odontologica,periodoncia,2016-01-01,0,0,0,2,0,2,2,8,1,0,0,0,0,0,3,12,15
PORVENIR,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,2,8,0,0,0,0,0,0,3,8,11
POSTRER VALLE,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,3,5
POTOSI,atencion odontologica,periodoncia,2016-01-01,0,0,13,14,12,19,36,70,3,4,0,0,0,0,64,107,171
PRESTO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUCARA,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,2,0,4,9,2,6,0,0,0,0,8,16,24
PUERTO ACOSTA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO CARABUCO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,1,1,1,0,3,1,0,0,0,0,5,2,7
PUERTO GONZALO MORENO,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,2,0,2,1,0,0,0,0,0,1,5,6
PUERTO QUIJARRO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,3
PUERTO RICO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,3
PUERTO VILLARROEL,atencion odontologica,periodoncia,2016-01-01,0,0,2,0,0,5,2,16,0,0,0,0,0,0,4,21,25
PUNA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,2,4
PUNATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,2,1,4,0,1,0,0,0,0,1,8,9
QUILLACOLLO,atencion odontologica,periodoncia,2016-01-01,0,0,7,16,10,29,44,83,16,14,0,0,0,0,77,142,219
QUIME,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,5
RAVELO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,3,4
RIBERALTA,atencion odontologica,periodoncia,2016-01-01,0,0,1,3,6,16,10,19,5,1,0,0,0,0,22,39,61
ROBORE,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,9
RURRENABAQUE,atencion odontologica,periodoncia,2016-01-01,0,0,2,0,1,3,3,4,0,0,0,0,0,0,6,7,13
SABAYA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SACABA,atencion odontologica,periodoncia,2016-01-01,0,0,4,7,3,6,16,23,9,4,0,0,0,0,32,40,72
SACABAMBA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SACACA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
SAIPINA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,1,2,0,0,0,0,0,3,1,4
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,1,2,2,2,3,0,0,0,0,4,7,11
SAMAIPATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN AGUSTIN,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANDRES,atencion odontologica,periodoncia,2016-01-01,0,0,0,3,1,3,2,3,1,1,0,0,0,0,4,10,14
SAN ANDRES DE MACHACA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,3,4
SAN BENITO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SAN BORJA,atencion odontologica,periodoncia,2016-01-01,0,0,1,1,5,2,23,14,0,2,0,0,0,0,29,19,48
SAN CARLOS,atencion odontologica,periodoncia,2016-01-01,0,0,4,5,1,4,1,8,1,0,0,0,0,0,7,17,24
SAN IGNACIO,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,1,4,4,2,0,0,0,0,0,6,6,12
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncia,2016-01-01,0,0,0,3,1,1,3,9,2,1,0,0,0,0,6,14,20
SAN JAVIER(BNI),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN JAVIER(STC),atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,4,4,11,1,1,0,0,0,0,5,17,22
SAN JOAQUIN,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,3
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2
SAN JUAN DE YAPACANI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JULIAN,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,3,0,2,1,1,0,0,0,0,1,6,7
SAN LORENZO(TJA),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LUCAS,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,2,2,6,0,3,0,0,0,0,2,12,14
SAN MATIAS,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,1,1,3,0,0,0,0,0,4,2,6
SAN MIGUEL DE VELASCO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PABLO DE LIPEZ,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
SAN PEDRO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
SAN PEDRO DE CURAHUARA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
SAN PEDRO DE QUEMES,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN RAMON SCZ,atencion odontologica,periodoncia,2016-01-01,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3,3,6
SANTA ANA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncia,2016-01-01,0,0,83,179,148,239,700,1342,123,90,0,0,0,0,1054,1850,2904
SANTA ROSA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTA ROSA DEL SARA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,4,1,6,2,1,0,0,0,0,3,11,14
SANTIAGO DE HUARI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
SANTIAGO DE HUATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,1,2,5,3,0,0,0,0,6,6,12
SANTIAGO DE MACHACA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTIVAÑES,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
SANTUARIO DE QUILLACAS,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,3
SAPAHAQUI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,3
SENA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SHINAOTA,atencion odontologica,periodoncia,2016-01-01,0,0,1,3,2,3,4,7,1,1,0,0,0,0,8,14,22
SIPE SIPE,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,2,2,10,25,2,10,0,0,0,0,14,38,52
SOPACHUY,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,1,0,4,1,1,0,0,0,0,0,6,1,7
SORACACHI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,3
SORATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SUCRE,atencion odontologica,periodoncia,2016-01-01,0,0,16,24,17,50,137,159,58,10,0,0,0,0,228,243,471
TACACOMA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,1,4
TACOPAYA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TAPACARI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,1,0,1,9,10,1,0,0,0,0,12,10,22
TARABUCO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,4,0,8,12,15,0,0,0,0,12,27,39
