,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES,TOTALES,TOTALES
CARIPUYO,atencion odontologica,cirugia bucal menor,2016-01-01,0,1,4,10,2,1,3,3,10,4,0,0,0,0,19,19,38
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,3,5,0,0,0,2,1,3,0,0,0,0,4,10,14
CATACORA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,2,5,1,2,0,3,0,3,0,0,0,0,3,13,16
CHALLAPATA,atencion odontologica,cirugia bucal menor,2016-01-01,5,6,16,33,4,7,14,35,14,34,0,0,0,0,53,115,168
CHAQUI,atencion odontologica,cirugia bucal menor,2016-01-01,2,1,4,6,1,1,2,8,4,6,0,0,0,0,13,22,35
CHARAGUA,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,0,2,1,2,3,3,0,1,0,0,0,0,5,8,13
CHARAÑA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,4,0,0,2,1,6,2,0,0,0,0,8,7,15
CHAYANTA,atencion odontologica,cirugia bucal menor,2016-01-01,4,3,4,1,0,1,1,3,2,2,0,0,0,0,11,10,21
CHIMORE,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,12,3,0,1,1,2,0,0,0,0,0,0,13,6,19
CHIPAYA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,0,0,1,0,2,3,2,0,0,0,0,3,5,8
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,5,1,1,1,4,0,0,0,0,0,0,0,10,2,12
CHUA COCANI,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,1,3,1,3,6,1,2,0,0,0,0,7,10,17
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2016-01-01,2,4,5,9,1,4,4,10,6,0,0,0,0,0,18,27,45
CHUMA,atencion odontologica,cirugia bucal menor,2016-01-01,3,3,16,14,6,20,35,69,32,40,0,0,0,0,92,146,238
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2016-01-01,2,5,0,0,0,0,0,1,1,1,0,0,0,0,3,7,10
CKOCHAS,atencion odontologica,cirugia bucal menor,2016-01-01,2,2,7,4,0,0,7,7,0,5,0,0,0,0,16,18,34
CLIZA,atencion odontologica,cirugia bucal menor,2016-01-01,3,3,8,7,1,10,3,13,7,9,0,0,0,0,22,42,64
COBIJA,atencion odontologica,cirugia bucal menor,2016-01-01,11,1,9,13,3,2,15,18,1,2,0,0,0,0,39,36,75
COCAPATA,atencion odontologica,cirugia bucal menor,2016-01-01,3,6,0,0,0,2,0,14,0,6,0,0,0,0,3,28,31
COCHABAMBA,atencion odontologica,cirugia bucal menor,2016-01-01,111,95,115,141,43,70,77,202,67,55,0,0,0,0,413,563,976
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2016-01-01,7,18,10,7,0,4,4,5,10,5,0,0,0,0,31,39,70
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2016-01-01,4,3,9,8,1,8,10,16,7,0,0,0,0,0,31,35,66
COLLANA,atencion odontologica,cirugia bucal menor,2016-01-01,1,3,3,7,3,4,6,18,7,14,0,0,0,0,20,46,66
COLOMI,atencion odontologica,cirugia bucal menor,2016-01-01,4,4,0,0,0,4,0,4,0,0,0,0,0,0,4,12,16
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,0,2,0,3,2,0,0,0,0,0,0,6,2,8
COLQUECHACA,atencion odontologica,cirugia bucal menor,2016-01-01,8,13,3,6,1,8,9,23,8,9,0,0,0,0,29,59,88
COLQUENCHA,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,8,20,8,7,20,27,2,1,0,0,0,0,39,56,95
COLQUIRI,atencion odontologica,cirugia bucal menor,2016-01-01,9,7,15,21,3,9,29,50,22,22,0,0,0,0,78,109,187
COMANCHE,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,1,3,4,0,5,0,0,0,0,0,0,4,10,14
COMARAPA,atencion odontologica,cirugia bucal menor,2016-01-01,1,3,2,3,1,4,0,11,4,7,0,0,0,0,8,28,36
COMBAYA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,1,0,1,3,7,8,1,0,0,0,0,11,10,21
CONCEPCION,atencion odontologica,cirugia bucal menor,2016-01-01,0,2,14,5,1,5,8,0,3,2,0,0,0,0,26,14,40
COPACABANA,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,2,7,4,2,10,10,1,8,0,0,0,0,18,28,46
CORIPATA,atencion odontologica,cirugia bucal menor,2016-01-01,1,4,7,4,2,3,10,6,1,0,0,0,0,0,21,17,38
CORO CORO,atencion odontologica,cirugia bucal menor,2016-01-01,0,1,1,5,2,4,6,8,0,0,0,0,0,0,9,18,27
COROICO,atencion odontologica,cirugia bucal menor,2016-01-01,2,2,5,5,12,4,18,10,19,24,0,0,0,0,56,45,101
CORQUE,atencion odontologica,cirugia bucal menor,2016-01-01,2,3,1,2,1,2,2,7,8,6,0,0,0,0,14,20,34
COTAGAITA,atencion odontologica,cirugia bucal menor,2016-01-01,3,1,16,14,1,6,19,25,12,18,0,0,0,0,51,64,115
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2016-01-01,5,1,1,2,1,0,0,0,0,0,0,0,0,0,7,3,10
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2016-01-01,0,0,2,0,1,0,0,6,0,0,0,0,0,0,3,6,9
CUEVO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,2,5,0,2,0,5,0,1,0,0,0,0,2,13,15
CULPINA,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,1,9,0,4,5,23,9,10,0,0,0,0,17,46,63
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,0,2,1,0,1,1,3,1,0,0,0,0,7,4,11
CURVA,atencion odontologica,cirugia bucal menor,2016-01-01,2,2,2,3,1,0,0,4,0,0,0,0,0,0,5,9,14
DESAGUADERO,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,1,4,2,4,3,6,6,5,0,0,0,0,13,19,32
EL ALTO,atencion odontologica,cirugia bucal menor,2016-01-01,112,106,789,775,145,230,125,267,84,73,0,0,0,0,1255,1451,2706
EL CHORO,atencion odontologica,cirugia bucal menor,2016-01-01,1,6,0,3,0,1,4,4,11,9,0,0,0,0,16,23,39
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2016-01-01,3,5,0,1,0,2,2,5,0,0,0,0,0,0,5,13,18
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2016-01-01,0,0,8,10,2,9,7,34,2,2,0,0,0,0,19,55,74
EL TORNO,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,21,20,1,3,3,15,4,8,0,0,0,0,30,47,77
EL VILLAR,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,3,4
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2016-01-01,3,4,15,18,7,7,20,54,0,2,0,0,0,0,45,85,130
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2016-01-01,1,6,1,0,0,1,0,3,0,0,0,0,0,0,2,10,12
ESCOMA,atencion odontologica,cirugia bucal menor,2016-01-01,4,1,14,14,5,6,14,25,13,29,0,0,0,0,50,75,125
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,6,0,3,2,30,3,0,0,0,0,0,5,39,44
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,4,5,1,1,1,8,5,2,0,0,0,0,11,16,27
FILADELFIA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2016-01-01,0,0,11,5,2,0,13,29,11,2,0,0,0,0,37,36,73
GUANAY,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,1,2,4,3,11,6,8,7,0,0,0,0,26,18,44
GUAQUI,atencion odontologica,cirugia bucal menor,2016-01-01,2,2,12,14,1,7,12,25,13,15,0,0,0,0,40,63,103
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2016-01-01,3,8,14,23,6,16,4,22,4,2,0,0,0,0,31,71,102
GUTIERREZ,atencion odontologica,cirugia bucal menor,2016-01-01,1,2,0,0,0,0,2,4,5,0,0,0,0,0,8,6,14
HUACARETA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,4,1,3,4,0,6,2,0,0,0,0,0,9,11,20
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2016-01-01,1,0,6,1,2,3,12,9,0,0,0,0,0,0,21,13,34
HUACHACALLA,atencion odontologica,cirugia bucal menor,2016-01-01,3,0,1,2,0,1,1,1,0,0,0,0,0,0,5,4,9
HUANUNI,atencion odontologica,cirugia bucal menor,2016-01-01,9,8,11,19,6,10,16,9,3,4,0,0,0,0,45,50,95
HUARINA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,7,5,1,3,5,12,13,6,0,0,0,0,26,26,52
HUATAJATA,atencion odontologica,cirugia bucal menor,2016-01-01,3,1,2,2,0,3,8,5,15,7,0,0,0,0,28,18,46
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,10,5,1,1,3,2,2,1,0,0,0,0,17,9,26
HUMANATA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,1,2,2,1,4,11,10,0,0,0,0,15,17,32
ICHOCA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,0,1,2,1,3,5,0,0,0,0,0,8,5,13
ICLA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,18,0,2,10,14,2,9,0,0,0,0,12,43,55
INCAHUASI,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,2,6,3,1,1,32,0,3,0,0,0,0,6,42,48
INGAVI (HUMAITA),atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
INQUISIVI,atencion odontologica,cirugia bucal menor,2016-01-01,1,3,16,9,3,7,9,16,6,5,0,0,0,0,35,40,75
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2016-01-01,14,19,9,9,3,11,22,45,13,14,0,0,0,0,61,98,159
IXIAMAS,atencion odontologica,cirugia bucal menor,2016-01-01,1,2,11,19,11,19,13,21,2,0,0,0,0,0,38,61,99
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2016-01-01,2,3,3,6,5,6,1,6,14,12,0,0,0,0,25,33,58
LA ASUNTA,atencion odontologica,cirugia bucal menor,2016-01-01,8,12,30,35,14,30,37,92,4,3,0,0,0,0,93,172,265
LA GUARDIA,atencion odontologica,cirugia bucal menor,2016-01-01,12,12,8,2,7,8,3,10,14,10,0,0,0,0,44,42,86
LA PAZ,atencion odontologica,cirugia bucal menor,2016-01-01,98,106,324,349,151,183,225,401,141,164,0,0,0,0,939,1203,2142
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,3,1,0,0,0,1,0,0,0,0,0,0,3,2,5
LAJA,atencion odontologica,cirugia bucal menor,2016-01-01,2,6,19,20,17,31,14,39,8,21,0,0,0,0,60,117,177
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,4,3,1,3,0,7,2,0,0,0,0,0,7,13,20
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2016-01-01,0,1,2,0,1,0,1,0,0,1,0,0,0,0,4,2,6
LLALLAGUA,atencion odontologica,cirugia bucal menor,2016-01-01,26,23,24,6,6,17,9,40,7,10,0,0,0,0,72,96,168
LURIBAY,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,18,2,6,9,18,2,4,0,0,0,0,14,46,60
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2016-01-01,1,2,4,1,0,2,1,5,0,4,0,0,0,0,6,14,20
MACHARETI,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,0,3,2,5,4,0,1,0,0,0,0,8,7,15
MAGDALENA,atencion odontologica,cirugia bucal menor,2016-01-01,0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,3,5
MAIRANA,atencion odontologica,cirugia bucal menor,2016-01-01,5,2,7,9,1,3,2,9,4,6,0,0,0,0,19,29,48
MALLA,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,6
MAPIRI,atencion odontologica,cirugia bucal menor,2016-01-01,3,1,9,8,2,3,6,17,2,1,0,0,0,0,22,30,52
MECAPACA,atencion odontologica,cirugia bucal menor,2016-01-01,4,3,11,5,5,9,4,22,8,1,0,0,0,0,32,40,72
MINEROS,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,2,2,2,1,1,8,5,4,0,0,0,0,10,15,25
MIZQUE,atencion odontologica,cirugia bucal menor,2016-01-01,1,5,9,18,2,4,2,11,7,8,0,0,0,0,21,46,67
MOCOMOCO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,7,9,5,3,16,22,9,7,0,0,0,0,37,41,78
MOJOCOYA,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,8,4,0,3,8,19,2,7,0,0,0,0,20,33,53
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2016-01-01,1,3,9,11,5,12,9,21,6,1,0,0,0,0,30,48,78
MONTERO,atencion odontologica,cirugia bucal menor,2016-01-01,4,8,89,107,11,24,26,107,16,17,0,0,0,0,146,263,409
MORO MORO,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,4,3,3,1,1,4,2,1,0,0,0,0,11,9,20
MOROCHATA,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,3,3,0,3,2,8,13,6,0,0,0,0,19,20,39
OCURI,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,2,1,0,4,6,26,5,0,0,0,0,0,14,32,46
OKINAWA,atencion odontologica,cirugia bucal menor,2016-01-01,2,1,2,1,1,2,4,3,1,0,0,0,0,0,10,7,17
ORURO,atencion odontologica,cirugia bucal menor,2016-01-01,100,77,174,173,37,69,135,184,91,112,0,0,0,0,537,615,1152
PADCAYA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,16,15,4,13,7,15,3,0,0,0,0,0,30,43,73
PADILLA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,11
PAILON,atencion odontologica,cirugia bucal menor,2016-01-01,1,2,0,0,0,0,2,2,0,0,0,0,0,0,3,4,7
PALCA,atencion odontologica,cirugia bucal menor,2016-01-01,3,2,24,20,7,11,9,19,6,7,0,0,0,0,49,59,108
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2016-01-01,3,0,4,4,3,3,5,11,4,1,0,0,0,0,19,19,38
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,6,11,1,2,2,9,1,1,0,0,0,0,11,23,34
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,0,0,0,0,0,3,0,2,0,0,0,0,1,5,6
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,3,2,1,2,3,9,3,6,0,0,0,0,12,19,31
PASORAPA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,3,4
PAZÑA,atencion odontologica,cirugia bucal menor,2016-01-01,1,2,2,2,1,1,3,1,0,1,0,0,0,0,7,7,14
PELECHUCO,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,4,4,2,4,5,12,7,6,0,0,0,0,20,26,46
POCOATA,atencion odontologica,cirugia bucal menor,2016-01-01,3,1,3,3,1,2,2,2,0,2,0,0,0,0,9,10,19
POCONA,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,3,1,0,0,0,1,0,0,0,0,0,0,4,2,6
POJO (CBBA),atencion odontologica,cirugia bucal menor,2016-01-01,2,2,9,4,3,2,10,17,5,8,0,0,0,0,29,33,62
POOPO,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,6,8,3,4,3,6,7,1,0,0,0,0,20,20,40
PORCO,atencion odontologica,cirugia bucal menor,2016-01-01,0,2,3,1,1,1,1,6,0,0,0,0,0,0,5,10,15
POROMA,atencion odontologica,cirugia bucal menor,2016-01-01,2,3,4,4,2,6,7,33,2,7,0,0,0,0,17,53,70
PORONGO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,3
PORTACHUELO,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,15,18,5,0,2,0,7,2,0,0,0,0,30,20,50
PORVENIR,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,0,0,1,1,1,3,0,0,0,0,0,0,4,4,8
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,1,1,0,0,0,2,2,2,0,0,0,0,4,5,9
POTOSI,atencion odontologica,cirugia bucal menor,2016-01-01,47,47,64,87,72,88,98,145,5,10,0,0,0,0,286,377,663
PRESTO,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,4,8,0,6,8,27,4,4,0,0,0,0,18,45,63
PUCARA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,1,2,0,3,9,2,6,0,0,0,0,7,16,23
PUCARANI,atencion odontologica,cirugia bucal menor,2016-01-01,8,9,21,33,23,37,29,75,45,36,0,0,0,0,126,190,316
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2016-01-01,3,4,8,9,7,11,7,19,5,14,0,0,0,0,30,57,87
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,3,9,7,12,27,23,18,5,0,0,0,0,55,49,104
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,4,2,5,2,0,0,3,0,0,0,0,4,12,16
PUERTO RICO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,4,3,3,5,11,10,1,0,0,0,0,0,19,18,37
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2016-01-01,14,16,2,0,0,0,0,4,1,0,0,0,0,0,17,20,37
PUNA,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,2,4,3,0,4,11,1,2,0,0,0,0,11,17,28
PUNATA,atencion odontologica,cirugia bucal menor,2016-01-01,2,2,2,1,0,2,4,6,6,9,0,0,0,0,14,20,34
QUIABAYA,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,2,2,3,2,10,16,4,2,0,0,0,0,20,23,43
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2016-01-01,41,31,14,5,3,2,11,8,3,3,0,0,0,0,72,49,121
QUIME,atencion odontologica,cirugia bucal menor,2016-01-01,11,8,15,12,17,13,9,18,9,10,0,0,0,0,61,61,122
RAVELO,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,2,0,0,2,7,15,6,2,0,0,0,0,17,19,36
REYES,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,2,4,3,4,6,10,0,0,0,0,0,0,12,18,30
RIBERALTA,atencion odontologica,cirugia bucal menor,2016-01-01,12,11,21,14,15,17,24,36,11,11,0,0,0,0,83,89,172
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2016-01-01,6,7,14,12,15,14,23,22,14,7,0,0,0,0,72,62,134
