,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES,TOTALES,TOTALES
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,0,0,2,0,0,0,2,5,0,0,0,0,0,0,4,5,9
POROMA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,0,0,0,1,0,0,4,3,0,0,0,0,0,0,4,4,8
SACABA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,4,8
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,0,0,0,0,4,1,2,14,3,0,0,0,0,0,9,15,24
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
TOMINA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,2,1,6,3,6,2,7,12,0,6,0,0,0,0,21,24,45
GUANAY,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,1,0,0,2,5,6,0,0,0,0,0,0,6,8,14
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,1,0,0,0,3,5,7,3,1,0,0,0,0,8,12,20
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,6,3,2,0,2,0,2,0,0,0,0,0,12,3,15
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,3
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,4,0,0,0,2,0,0,1,0,0,0,0,6,1,7
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,0,0,0,0,4,12,3,2,0,0,0,0,7,14,21
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,0,0,0,4,3,6,6,3,0,0,0,0,9,13,22
TARVITA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,1,1,0,1,3,3,1,1,0,0,0,0,5,6,11
YOTALA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BERMEJO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARIPUYO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,0,0,1,0,1,1,1,2,1,0,0,0,0,3,4,7
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,0,0,0,0,0,0,5,2,6,0,0,0,0,2,11,13
COPACABANA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,0,8,6,2,5,3,8,0,0,0,0,0,0,13,19,32
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,0,2,0,4,7,2,0,0,0,0,0,0,0,8,7,15
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,5,5
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,0,0,2,0,0,3,0,2,1,0,0,0,0,5,3,8
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-07-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,2,11,5,0,0,0,0,0,0,0,0,0,0,11,7,18
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,2,1,4,5,3,4,0,2,0,0,0,0,9,12,21
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,3,4
PADCAYA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
PUNATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,0,0,0,2,1,4,0,0,0,0,0,0,1,6,7
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,0,0,0,1,2,4,1,3,0,0,0,0,3,8,11
WARNES,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-08-01,0,0,4,7,2,0,0,16,4,1,0,0,0,0,10,24,34
CAMIRI,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,3
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,8
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,11,5,10,15,12,7,9,4,0,0,0,0,42,31,73
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
PADILLA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,3,5
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,3,3,1,1,1,2,0,5,1,0,0,0,0,0,6,11,17
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,0,1,0,0,3,5,1,1,0,0,0,0,4,7,11
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,0,1,0,2,0,4,6,0,0,0,0,0,6,7,13
TOMAVE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,3
ZUDAÑEZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-09-01,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-10-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-10-01,0,0,0,1,0,0,2,4,0,0,0,0,0,0,2,5,7
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-10-01,1,0,8,3,2,0,4,12,0,6,0,0,0,0,15,21,36
EL TORNO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-10-01,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,3,7
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-10-01,1,0,9,3,1,1,12,12,0,0,0,0,0,0,23,16,39
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-10-01,0,0,0,0,0,0,6,2,3,1,0,0,0,0,9,3,12
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-10-01,1,0,2,3,0,0,0,4,0,2,0,0,0,0,3,9,12
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-10-01,0,0,0,1,0,0,1,1,2,1,0,0,0,0,3,3,6
"COLCHA ""K""",atencion odontologica,cirugia bucomaxilofacial  mediana,2016-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-11-01,0,0,0,0,2,3,2,2,2,2,0,0,0,0,6,7,13
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-11-01,3,2,1,1,0,2,0,1,0,0,0,0,0,0,4,6,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-11-01,0,0,1,0,1,2,1,0,1,0,0,0,0,0,4,2,6
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-11-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-12-01,0,0,1,1,0,2,6,4,0,0,0,0,0,0,7,7,14
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-12-01,0,0,0,0,0,0,4,11,0,0,0,0,0,0,4,11,15
MACHARETI,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-12-01,0,0,2,2,1,4,5,12,0,0,0,0,0,0,8,18,26
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
