,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
CATACORA,atencion odontologica,primera consulta,2016-01-01,0,4,2,5,1,3,0,9,0,0,0,1,0,1,3,23,26
CHALLAPATA,atencion odontologica,primera consulta,2016-01-01,96,90,93,134,13,45,59,157,37,55,0,30,0,27,298,538,836
CHAQUI,atencion odontologica,primera consulta,2016-01-01,12,6,7,12,2,5,7,25,12,16,0,4,0,4,40,72,112
CHARAGUA,atencion odontologica,primera consulta,2016-01-01,38,20,30,8,21,28,12,33,6,4,0,8,0,7,107,108,215
CHARAÑA,atencion odontologica,primera consulta,2016-01-01,8,2,1,5,0,0,2,6,3,3,0,0,0,0,14,16,30
CHAYANTA,atencion odontologica,primera consulta,2016-01-01,4,11,7,8,0,4,14,20,5,12,0,3,0,4,30,62,92
CHIMORE,atencion odontologica,primera consulta,2016-01-01,28,33,21,25,15,23,10,62,6,2,0,9,0,19,80,173,253
CHIPAYA,atencion odontologica,primera consulta,2016-01-01,0,0,1,1,0,1,3,3,5,2,0,0,0,1,9,8,17
CHOQUE COTA,atencion odontologica,primera consulta,2016-01-01,1,1,2,2,1,2,5,3,0,2,0,0,0,1,9,11,20
CHUA COCANI,atencion odontologica,primera consulta,2016-01-01,1,1,2,1,1,1,2,4,0,1,0,1,0,1,6,10,16
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2016-01-01,27,23,11,14,3,11,8,38,7,1,0,11,0,14,56,112,168
CHUMA,atencion odontologica,primera consulta,2016-01-01,26,33,17,20,11,26,42,73,29,24,0,9,0,4,125,189,314
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2016-01-01,2,3,1,1,2,2,3,11,1,1,0,1,0,9,9,28,37
CKOCHAS,atencion odontologica,primera consulta,2016-01-01,17,16,9,11,1,7,16,34,5,5,0,6,0,5,48,84,132
CLIZA,atencion odontologica,primera consulta,2016-01-01,29,26,32,58,6,19,10,52,10,17,0,6,0,6,87,184,271
COBIJA,atencion odontologica,primera consulta,2016-01-01,107,74,57,59,31,50,56,99,9,5,0,96,0,80,260,463,723
COCAPATA,atencion odontologica,primera consulta,2016-01-01,21,43,0,0,0,7,0,22,3,9,0,15,0,14,24,110,134
COCHABAMBA,atencion odontologica,primera consulta,2016-01-01,470,440,236,283,83,192,83,444,66,55,0,395,0,128,938,1937,2875
COIPASA,atencion odontologica,primera consulta,2016-01-01,0,4,7,9,1,3,9,13,3,2,0,1,0,0,20,32,52
COLCAPIRHUA,atencion odontologica,primera consulta,2016-01-01,28,46,6,13,3,8,6,32,9,6,0,10,0,11,52,126,178
"COLCHA ""K""",atencion odontologica,primera consulta,2016-01-01,20,16,21,17,4,17,25,45,14,13,0,10,0,9,84,127,211
COLLANA,atencion odontologica,primera consulta,2016-01-01,3,4,3,5,3,1,4,11,2,7,0,0,0,0,15,28,43
COLOMI,atencion odontologica,primera consulta,2016-01-01,20,17,0,0,0,4,0,7,3,5,0,5,0,6,23,44,67
COLPA BELGICA,atencion odontologica,primera consulta,2016-01-01,3,3,0,0,0,3,0,4,0,0,0,6,0,1,3,17,20
COLQUECHACA,atencion odontologica,primera consulta,2016-01-01,49,55,27,37,13,27,48,103,28,30,0,16,0,30,165,298,463
COLQUENCHA,atencion odontologica,primera consulta,2016-01-01,6,7,8,17,9,11,22,31,2,1,0,4,0,4,47,75,122
COLQUIRI,atencion odontologica,primera consulta,2016-01-01,42,34,40,52,9,20,39,88,25,21,0,13,0,11,155,239,394
COMANCHE,atencion odontologica,primera consulta,2016-01-01,1,1,2,1,4,3,2,8,0,0,0,0,0,0,9,13,22
COMARAPA,atencion odontologica,primera consulta,2016-01-01,23,39,13,12,5,28,24,57,14,15,0,8,0,9,79,168,247
COMBAYA,atencion odontologica,primera consulta,2016-01-01,5,3,2,2,0,6,3,10,13,5,0,2,0,6,23,34,57
CONCEPCION,atencion odontologica,primera consulta,2016-01-01,14,20,34,18,8,15,27,44,3,3,0,4,0,5,86,109,195
COPACABANA,atencion odontologica,primera consulta,2016-01-01,22,14,5,5,4,3,9,19,2,7,0,1,0,2,42,51,93
CORIPATA,atencion odontologica,primera consulta,2016-01-01,15,26,8,14,6,9,14,19,2,0,0,2,0,3,45,73,118
CORO CORO,atencion odontologica,primera consulta,2016-01-01,2,8,2,6,2,4,4,12,0,0,0,2,0,2,10,34,44
COROICO,atencion odontologica,primera consulta,2016-01-01,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,4
CORQUE,atencion odontologica,primera consulta,2016-01-01,4,11,5,5,5,4,7,23,9,8,0,3,0,3,30,57,87
COTAGAITA,atencion odontologica,primera consulta,2016-01-01,41,29,35,42,12,28,55,105,20,35,0,8,0,10,163,257,420
COTOCA,atencion odontologica,primera consulta,2016-01-01,170,159,23,13,6,38,6,110,32,51,0,165,0,0,237,536,773
CUATRO CAÑADAS,atencion odontologica,primera consulta,2016-01-01,80,90,26,31,7,15,15,67,13,9,0,20,0,19,141,251,392
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2016-01-01,2,0,2,0,1,4,2,7,0,0,0,2,0,1,7,14,21
CUEVO,atencion odontologica,primera consulta,2016-01-01,15,8,8,19,7,17,15,42,6,8,0,5,0,3,51,102,153
CULPINA,atencion odontologica,primera consulta,2016-01-01,47,45,9,19,4,14,20,94,7,9,0,25,0,21,87,227,314
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2016-01-01,6,10,2,2,3,2,3,15,1,1,0,7,0,3,15,40,55
CURVA,atencion odontologica,primera consulta,2016-01-01,9,18,1,3,1,0,3,12,0,0,0,2,0,5,14,40,54
DESAGUADERO,atencion odontologica,primera consulta,2016-01-01,6,3,3,3,3,5,4,8,4,4,0,0,0,0,20,23,43
EL ALTO,atencion odontologica,primera consulta,2016-01-01,781,774,1097,1165,367,612,261,688,86,69,0,145,0,118,2592,3571,6163
EL CHORO,atencion odontologica,primera consulta,2016-01-01,20,17,13,6,0,3,6,15,8,5,0,3,0,1,47,50,97
EL PUENTE(STC),atencion odontologica,primera consulta,2016-01-01,21,16,5,12,1,3,9,37,7,3,0,5,0,3,43,79,122
EL PUENTE(TJA),atencion odontologica,primera consulta,2016-01-01,4,5,27,35,14,24,11,55,3,3,0,0,0,0,59,122,181
EL TORNO,atencion odontologica,primera consulta,2016-01-01,182,181,108,105,39,82,67,244,46,30,0,77,0,46,442,765,1207
EL VILLAR,atencion odontologica,primera consulta,2016-01-01,11,10,16,9,1,9,7,18,1,0,0,3,0,1,36,50,86
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2016-01-01,32,37,70,72,18,75,47,214,7,7,0,12,0,5,174,422,596
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2016-01-01,14,24,2,6,0,11,6,23,1,5,0,7,0,15,23,91,114
ESCOMA,atencion odontologica,primera consulta,2016-01-01,11,9,19,13,6,10,22,43,15,15,0,1,0,3,73,94,167
EUCALIPTUS,atencion odontologica,primera consulta,2016-01-01,8,5,8,11,6,5,11,35,6,2,0,9,0,2,39,69,108
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2016-01-01,12,15,12,20,7,18,14,36,11,9,0,13,0,5,56,116,172
FILADELFIA,atencion odontologica,primera consulta,2016-01-01,8,14,9,6,1,7,4,5,0,0,0,8,0,2,22,42,64
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2016-01-01,7,5,3,1,0,2,1,3,0,0,0,0,0,4,11,15,26
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2016-01-01,13,13,6,3,1,4,7,27,8,13,0,3,0,7,35,70,105
GUANAY,atencion odontologica,primera consulta,2016-01-01,12,10,5,3,8,7,12,27,7,7,0,7,0,7,44,68,112
GUAQUI,atencion odontologica,primera consulta,2016-01-01,19,27,15,14,10,19,24,57,22,19,0,8,0,11,90,155,245
GUAYARAMERIN,atencion odontologica,primera consulta,2016-01-01,37,47,68,82,23,96,21,141,9,3,0,97,0,13,158,479,637
GUTIERREZ,atencion odontologica,primera consulta,2016-01-01,16,7,2,2,6,9,16,3,2,1,0,8,0,6,42,36,78
HUACARETA,atencion odontologica,primera consulta,2016-01-01,18,18,5,4,3,8,3,24,2,2,0,17,0,5,31,78,109
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2016-01-01,14,20,9,3,3,7,8,21,0,0,0,5,0,5,34,61,95
HUACHACALLA,atencion odontologica,primera consulta,2016-01-01,6,2,2,5,2,8,20,18,7,3,0,6,0,1,37,43,80
HUANUNI,atencion odontologica,primera consulta,2016-01-01,46,45,87,128,63,95,83,120,14,11,0,12,0,6,293,417,710
HUARINA,atencion odontologica,primera consulta,2016-01-01,5,10,6,7,1,5,8,18,12,5,0,2,0,0,32,47,79
HUATAJATA,atencion odontologica,primera consulta,2016-01-01,7,7,6,4,2,5,18,12,13,10,0,0,0,3,46,41,87
HUAYLLAMARCA,atencion odontologica,primera consulta,2016-01-01,1,3,18,19,5,6,15,16,6,2,0,2,0,1,45,49,94
HUMANATA,atencion odontologica,primera consulta,2016-01-01,6,3,0,1,2,2,1,4,15,14,0,2,0,4,24,30,54
ICHOCA,atencion odontologica,primera consulta,2016-01-01,6,6,1,0,2,2,2,8,3,3,0,3,0,0,14,22,36
ICLA,atencion odontologica,primera consulta,2016-01-01,59,55,3,26,1,4,16,24,3,7,0,5,0,2,82,123,205
INCAHUASI,atencion odontologica,primera consulta,2016-01-01,80,76,7,19,4,7,8,48,1,2,0,11,0,9,100,172,272
INGAVI (HUMAITA),atencion odontologica,primera consulta,2016-01-01,2,3,1,6,0,1,1,9,1,0,0,2,0,1,5,22,27
INQUISIVI,atencion odontologica,primera consulta,2016-01-01,34,32,17,10,3,14,12,25,17,15,0,10,0,11,83,117,200
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2016-01-01,42,36,10,6,4,15,20,35,13,4,0,4,0,4,89,104,193
IXIAMAS,atencion odontologica,primera consulta,2016-01-01,13,6,26,26,10,20,21,34,2,0,0,2,0,8,72,96,168
JESUS DE MACHACA,atencion odontologica,primera consulta,2016-01-01,11,24,8,11,8,13,3,14,14,11,0,1,0,5,44,79,123
LA ASUNTA,atencion odontologica,primera consulta,2016-01-01,51,45,43,50,24,39,51,105,5,5,0,11,0,29,174,284,458
LA GUARDIA,atencion odontologica,primera consulta,2016-01-01,63,39,8,16,8,14,9,18,11,10,0,13,0,24,99,134,233
LA PAZ,atencion odontologica,primera consulta,2016-01-01,989,883,764,901,435,460,430,942,238,235,0,219,0,106,2856,3746,6602
LAGUNILLAS,atencion odontologica,primera consulta,2016-01-01,0,0,15,13,13,20,7,34,1,0,0,4,0,4,36,75,111
LAJA,atencion odontologica,primera consulta,2016-01-01,25,23,15,16,9,18,21,40,2,13,0,8,0,4,72,122,194
LAS CARRERAS,atencion odontologica,primera consulta,2016-01-01,6,8,9,6,6,15,10,31,3,4,0,6,0,2,34,72,106
LICOMA PAMPA,atencion odontologica,primera consulta,2016-01-01,8,7,2,1,1,0,2,0,3,3,0,0,0,0,16,11,27
LLALLAGUA,atencion odontologica,primera consulta,2016-01-01,84,100,31,21,4,27,19,87,7,13,0,31,0,28,145,307,452
LURIBAY,atencion odontologica,primera consulta,2016-01-01,15,16,5,17,4,18,25,33,5,5,0,5,0,7,54,101,155
MACHACAMARCA,atencion odontologica,primera consulta,2016-01-01,11,26,28,13,1,10,16,31,8,12,0,6,0,6,64,104,168
MACHARETI,atencion odontologica,primera consulta,2016-01-01,8,5,4,1,3,3,5,16,1,2,0,4,0,1,21,32,53
MAGDALENA,atencion odontologica,primera consulta,2016-01-01,9,7,23,15,17,21,34,28,5,0,0,3,0,4,88,78,166
MAIRANA,atencion odontologica,primera consulta,2016-01-01,25,22,33,39,3,12,17,45,4,10,0,9,0,0,82,137,219
MALLA,atencion odontologica,primera consulta,2016-01-01,3,2,0,0,0,0,1,0,1,0,0,0,0,0,5,2,7
MAPIRI,atencion odontologica,primera consulta,2016-01-01,14,5,13,12,4,10,13,41,2,3,0,5,0,8,46,84,130
MECAPACA,atencion odontologica,primera consulta,2016-01-01,13,19,5,5,2,10,7,29,3,1,0,3,0,3,30,70,100
MINEROS,atencion odontologica,primera consulta,2016-01-01,27,23,4,4,2,9,3,31,5,1,0,4,0,0,41,72,113
MIZQUE,atencion odontologica,primera consulta,2016-01-01,35,32,17,32,2,17,6,23,11,11,0,4,0,11,71,130,201
MOCOMOCO,atencion odontologica,primera consulta,2016-01-01,8,9,23,18,13,12,31,39,13,13,0,0,0,5,88,96,184
MOJOCOYA,atencion odontologica,primera consulta,2016-01-01,24,24,9,6,2,14,20,41,5,8,0,9,0,4,60,106,166
MONTEAGUDO,atencion odontologica,primera consulta,2016-01-01,69,53,21,30,21,36,37,129,8,3,0,75,0,19,156,345,501
MONTERO,atencion odontologica,primera consulta,2016-01-01,92,109,109,166,40,87,61,254,31,22,0,22,0,25,333,685,1018
MORO MORO,atencion odontologica,primera consulta,2016-01-01,23,17,7,7,5,5,4,13,2,1,0,5,0,2,41,50,91
MOROCHATA,atencion odontologica,primera consulta,2016-01-01,33,32,2,6,3,17,5,32,26,24,0,9,0,21,69,141,210
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,primera consulta,2016-01-01,10,7,3,2,1,1,4,1,0,2,0,1,0,2,18,16,34
OCURI,atencion odontologica,primera consulta,2016-01-01,8,5,5,1,1,10,11,40,6,7,0,2,0,10,31,75,106
OKINAWA,atencion odontologica,primera consulta,2016-01-01,6,3,2,2,1,4,4,6,1,0,0,0,0,2,14,17,31
ORURO,atencion odontologica,primera consulta,2016-01-01,357,374,354,402,162,280,488,865,153,135,0,137,0,99,1514,2292,3806
PADCAYA,atencion odontologica,primera consulta,2016-01-01,11,8,31,35,19,36,23,61,3,3,0,3,0,1,87,147,234
PADILLA,atencion odontologica,primera consulta,2016-01-01,33,23,23,32,9,12,24,65,2,6,0,21,0,1,91,160,251
PAILON,atencion odontologica,primera consulta,2016-01-01,27,26,17,6,6,19,13,66,5,2,0,14,0,10,68,143,211
PALCA,atencion odontologica,primera consulta,2016-01-01,30,25,13,13,9,14,12,40,3,5,0,6,0,10,67,113,180
PALOS BLANCOS,atencion odontologica,primera consulta,2016-01-01,58,38,29,20,14,27,22,64,8,8,0,9,0,24,131,190,321
PAMPA AULLAGAS,atencion odontologica,primera consulta,2016-01-01,6,3,6,10,2,6,6,18,1,2,0,4,0,5,21,48,69
PAMPA GRANDE,atencion odontologica,primera consulta,2016-01-01,7,10,0,0,0,1,0,4,0,1,0,2,0,1,7,19,26
PAPEL PAMPA,atencion odontologica,primera consulta,2016-01-01,4,3,3,7,3,5,4,15,5,4,0,4,0,5,19,43,62
PASORAPA,atencion odontologica,primera consulta,2016-01-01,0,3,3,0,4,2,6,16,4,8,0,1,0,1,17,31,48
PAZÑA,atencion odontologica,primera consulta,2016-01-01,7,16,12,7,4,7,15,26,5,7,0,4,0,5,43,72,115
PELECHUCO,atencion odontologica,primera consulta,2016-01-01,10,3,4,4,3,4,7,13,4,5,0,1,0,1,28,31,59
POCOATA,atencion odontologica,primera consulta,2016-01-01,19,17,7,11,3,5,8,15,7,10,0,4,0,9,44,71,115
POCONA,atencion odontologica,primera consulta,2016-01-01,7,3,8,4,2,1,0,4,1,0,0,0,0,0,18,12,30
POJO (CBBA),atencion odontologica,primera consulta,2016-01-01,13,9,23,18,7,16,29,50,4,11,0,4,0,11,76,119,195
POOPO,atencion odontologica,primera consulta,2016-01-01,10,11,25,20,2,11,6,21,10,9,0,8,0,1,53,81,134
PORCO,atencion odontologica,primera consulta,2016-01-01,8,7,8,5,3,2,4,15,1,0,0,1,0,3,24,33,57
POROMA,atencion odontologica,primera consulta,2016-01-01,39,34,10,11,3,11,16,37,4,7,0,8,0,11,72,119,191
PORONGO,atencion odontologica,primera consulta,2016-01-01,10,7,1,0,0,1,1,8,6,2,0,5,0,6,18,29,47
PORTACHUELO,atencion odontologica,primera consulta,2016-01-01,2,4,2,5,3,2,4,16,1,0,0,0,0,2,12,29,41
PORVENIR,atencion odontologica,primera consulta,2016-01-01,19,23,30,28,13,9,17,32,3,1,0,7,0,1,82,101,183
POSTRER VALLE,atencion odontologica,primera consulta,2016-01-01,17,5,3,12,1,5,7,23,8,5,0,3,0,0,36,53,89
POTOSI,atencion odontologica,primera consulta,2016-01-01,240,219,181,195,163,223,248,408,26,28,0,129,0,95,858,1297,2155
PRESTO,atencion odontologica,primera consulta,2016-01-01,42,49,7,11,1,10,9,35,2,4,0,10,0,3,61,122,183
PUCARA,atencion odontologica,primera consulta,2016-01-01,15,5,1,1,1,0,6,7,1,2,0,0,0,0,24,15,39
PUCARANI,atencion odontologica,primera consulta,2016-01-01,21,17,27,42,14,39,42,79,27,19,0,8,0,2,131,206,337
PUERTO ACOSTA,atencion odontologica,primera consulta,2016-01-01,10,14,13,18,8,23,21,37,9,24,0,1,0,1,61,118,179
PUERTO CARABUCO,atencion odontologica,primera consulta,2016-01-01,11,34,14,14,6,24,28,38,14,5,0,0,0,3,73,118,191
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2016-01-01,35,21,17,18,3,5,4,8,1,3,0,2,0,5,60,62,122
PUERTO QUIJARRO,atencion odontologica,primera consulta,2016-01-01,29,23,2,7,1,20,13,15,2,1,0,2,0,1,47,69,116
PUERTO RICO,atencion odontologica,primera consulta,2016-01-01,6,5,8,7,9,5,22,17,1,0,0,2,0,1,46,37,83
PUERTO VILLARROEL,atencion odontologica,primera consulta,2016-01-01,52,41,24,15,5,27,11,52,5,6,0,14,0,30,97,185,282
PUNA,atencion odontologica,primera consulta,2016-01-01,10,15,11,9,5,15,20,57,8,10,0,9,0,12,54,127,181
PUNATA,atencion odontologica,primera consulta,2016-01-01,16,15,9,13,0,16,7,34,5,6,0,14,0,12,37,110,147
QUIABAYA,atencion odontologica,primera consulta,2016-01-01,16,9,4,2,2,4,10,22,5,3,0,0,0,1,37,41,78
QUILLACOLLO,atencion odontologica,primera consulta,2016-01-01,115,126,50,78,44,62,70,128,11,21,0,36,0,59,290,510,800
QUIME,atencion odontologica,primera consulta,2016-01-01,25,77,23,18,15,32,16,36,22,14,0,5,0,10,101,192,293
QUIRUSILLAS,atencion odontologica,primera consulta,2016-01-01,0,1,1,2,0,0,2,0,0,0,0,0,0,0,3,3,6
RAVELO,atencion odontologica,primera consulta,2016-01-01,82,68,5,3,1,10,10,54,16,17,0,13,0,30,114,195,309
REYES,atencion odontologica,primera consulta,2016-01-01,2,1,4,5,3,3,6,16,2,2,0,2,0,1,17,30,47
RIBERALTA,atencion odontologica,primera consulta,2016-01-01,104,111,93,111,110,136,138,222,48,45,0,42,0,12,493,679,1172
ROBORE,atencion odontologica,primera consulta,2016-01-01,13,11,10,10,5,8,5,22,3,1,0,13,0,3,36,68,104
RURRENABAQUE,atencion odontologica,primera consulta,2016-01-01,8,16,14,14,16,22,18,29,4,6,0,15,0,8,60,110,170
SABAYA,atencion odontologica,primera consulta,2016-01-01,10,11,21,18,3,16,21,45,23,25,0,9,0,11,78,135,213
SACABA,atencion odontologica,primera consulta,2016-01-01,68,96,33,32,7,35,20,79,40,40,0,25,0,47,168,354,522
SACABAMBA,atencion odontologica,primera consulta,2016-01-01,4,3,1,3,1,4,2,6,2,3,0,2,0,2,10,23,33
SACACA,atencion odontologica,primera consulta,2016-01-01,39,41,17,15,2,15,20,64,17,28,0,23,0,21,95,207,302
SAIPINA,atencion odontologica,primera consulta,2016-01-01,7,2,6,1,5,6,8,18,9,0,0,0,0,2,35,29,64
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2016-01-01,40,28,13,10,3,8,14,32,14,14,0,14,0,4,84,110,194
SAMAIPATA,atencion odontologica,primera consulta,2016-01-01,3,11,1,1,0,2,0,0,0,0,0,0,0,0,4,14,18
