,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2016-01-01,40,64,2,8,0,0,1,28,1,7,0,25,0,4,44,136,180
CATACORA,atencion odontologica,consulta nueva,2016-01-01,0,9,4,9,0,7,0,11,0,0,0,3,0,2,4,41,45
CHALLAPATA,atencion odontologica,consulta nueva,2016-01-01,289,307,282,396,26,116,102,337,63,114,0,65,0,114,762,1449,2211
CHAQUI,atencion odontologica,consulta nueva,2016-01-01,25,7,11,20,7,8,12,43,16,20,0,7,0,7,71,112,183
CHARAGUA,atencion odontologica,consulta nueva,2016-01-01,46,56,32,15,17,34,8,45,3,4,0,10,0,15,106,179,285
CHARAÑA,atencion odontologica,consulta nueva,2016-01-01,13,5,8,7,0,0,2,9,7,3,0,0,0,0,30,24,54
CHAYANTA,atencion odontologica,consulta nueva,2016-01-01,19,25,27,17,0,5,14,51,5,22,0,3,0,9,65,132,197
CHIMORE,atencion odontologica,consulta nueva,2016-01-01,42,70,39,72,27,45,15,99,8,4,0,15,0,60,131,365,496
CHIPAYA,atencion odontologica,consulta nueva,2016-01-01,0,0,2,1,0,1,4,4,12,2,0,0,0,1,18,9,27
CHOQUE COTA,atencion odontologica,consulta nueva,2016-01-01,1,4,6,6,4,11,5,5,0,3,0,0,0,3,16,32,48
CHUA COCANI,atencion odontologica,consulta nueva,2016-01-01,2,4,5,5,5,6,8,9,2,6,0,1,0,3,22,34,56
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2016-01-01,41,41,16,29,5,40,13,78,9,1,0,25,0,57,84,271,355
CHUMA,atencion odontologica,consulta nueva,2016-01-01,62,85,32,45,19,49,100,196,58,60,0,13,0,20,271,468,739
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2016-01-01,4,10,1,1,1,3,3,23,3,2,0,2,0,23,12,64,76
CKOCHAS,atencion odontologica,consulta nueva,2016-01-01,7,5,14,6,0,4,12,18,4,5,0,4,0,6,37,48,85
CLIZA,atencion odontologica,consulta nueva,2016-01-01,115,99,107,119,7,54,22,132,53,50,0,35,0,20,304,509,813
COBIJA,atencion odontologica,consulta nueva,2016-01-01,218,167,111,110,52,123,124,216,11,4,0,192,0,32,516,844,1360
COCAPATA,atencion odontologica,consulta nueva,2016-01-01,49,127,0,0,0,38,0,46,3,26,0,34,0,50,52,321,373
COCHABAMBA,atencion odontologica,consulta nueva,2016-01-01,2295,2173,2365,2965,813,1598,1202,3157,492,416,0,790,0,573,7167,11672,18839
COIPASA,atencion odontologica,consulta nueva,2016-01-01,0,0,17,15,4,9,8,20,3,1,0,1,0,0,32,46,78
COLCAPIRHUA,atencion odontologica,consulta nueva,2016-01-01,226,268,23,39,5,31,18,169,37,17,0,52,0,71,309,647,956
"COLCHA ""K""",atencion odontologica,consulta nueva,2016-01-01,63,42,21,16,3,20,23,58,26,25,0,29,0,14,136,204,340
COLLANA,atencion odontologica,consulta nueva,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLOMI,atencion odontologica,consulta nueva,2016-01-01,63,53,0,0,0,17,0,24,5,10,0,15,0,32,68,151,219
COLPA BELGICA,atencion odontologica,consulta nueva,2016-01-01,45,48,55,46,4,2,12,21,6,3,0,1,0,2,122,123,245
COLQUECHACA,atencion odontologica,consulta nueva,2016-01-01,62,54,23,33,16,23,51,157,46,48,0,23,0,50,198,388,586
COLQUENCHA,atencion odontologica,consulta nueva,2016-01-01,9,15,12,34,12,17,29,46,2,2,0,4,0,4,64,122,186
COLQUIRI,atencion odontologica,consulta nueva,2016-01-01,113,93,54,75,9,42,50,140,38,31,0,27,0,28,264,436,700
COMANCHE,atencion odontologica,consulta nueva,2016-01-01,4,2,2,1,4,6,3,7,0,0,0,0,0,0,13,16,29
COMARAPA,atencion odontologica,consulta nueva,2016-01-01,27,37,3,6,2,15,20,44,16,8,0,8,0,9,68,127,195
COMBAYA,atencion odontologica,consulta nueva,2016-01-01,5,2,2,2,0,9,3,11,13,5,0,2,0,10,23,41,64
CONCEPCION,atencion odontologica,consulta nueva,2016-01-01,19,22,41,20,8,16,30,50,4,3,0,4,0,7,102,122,224
COPACABANA,atencion odontologica,consulta nueva,2016-01-01,40,25,16,17,9,10,13,37,3,9,0,1,0,4,81,103,184
CORIPATA,atencion odontologica,consulta nueva,2016-01-01,25,38,12,22,10,12,21,30,2,0,0,3,0,3,70,108,178
CORO CORO,atencion odontologica,consulta nueva,2016-01-01,1,13,3,8,5,8,8,15,1,0,0,3,0,4,18,51,69
COROICO,atencion odontologica,consulta nueva,2016-01-01,28,9,29,29,22,58,37,73,26,28,0,0,0,1,142,198,340
CORQUE,atencion odontologica,consulta nueva,2016-01-01,13,29,5,5,5,5,6,38,18,19,0,5,0,16,47,117,164
COTAGAITA,atencion odontologica,consulta nueva,2016-01-01,61,58,72,78,25,58,99,149,30,45,0,7,0,8,287,403,690
COTOCA,atencion odontologica,consulta nueva,2016-01-01,392,365,35,18,8,80,10,370,91,147,0,321,0,8,536,1309,1845
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2016-01-01,216,253,41,62,6,27,20,151,25,5,0,46,0,51,308,595,903
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2016-01-01,10,0,3,0,1,8,2,9,0,0,0,4,0,2,16,23,39
CUEVO,atencion odontologica,consulta nueva,2016-01-01,1,0,10,14,7,11,14,31,6,4,0,4,0,0,38,64,102
CULPINA,atencion odontologica,consulta nueva,2016-01-01,66,79,12,25,7,22,22,146,12,18,0,51,0,60,119,401,520
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2016-01-01,10,12,1,3,3,3,2,20,3,1,0,0,0,12,19,51,70
CURVA,atencion odontologica,consulta nueva,2016-01-01,28,53,3,5,1,0,4,19,0,0,0,4,0,9,36,90,126
DESAGUADERO,atencion odontologica,consulta nueva,2016-01-01,9,3,3,5,3,6,4,9,8,7,0,0,0,0,27,30,57
EL ALTO,atencion odontologica,consulta nueva,2016-01-01,1790,1862,3356,3778,931,1824,492,1224,137,147,0,175,0,236,6706,9246,15952
EL CHORO,atencion odontologica,consulta nueva,2016-01-01,72,75,22,7,1,10,5,21,20,18,0,11,0,2,120,144,264
EL PUENTE(STC),atencion odontologica,consulta nueva,2016-01-01,27,19,5,14,0,3,10,36,7,3,0,4,0,3,49,82,131
EL PUENTE(TJA),atencion odontologica,consulta nueva,2016-01-01,13,19,46,72,19,60,19,111,3,3,0,0,0,0,100,265,365
EL TORNO,atencion odontologica,consulta nueva,2016-01-01,328,326,153,174,61,111,99,343,49,52,0,111,0,79,690,1196,1886
EL VILLAR,atencion odontologica,consulta nueva,2016-01-01,13,14,34,13,5,15,11,32,2,0,0,12,0,0,65,86,151
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2016-01-01,38,44,100,144,29,144,71,318,7,10,0,16,0,9,245,685,930
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2016-01-01,72,87,4,13,2,29,8,73,1,2,0,13,0,48,87,265,352
ESCOMA,atencion odontologica,consulta nueva,2016-01-01,11,9,19,13,6,10,22,43,15,15,0,1,0,3,73,94,167
EUCALIPTUS,atencion odontologica,consulta nueva,2016-01-01,12,9,12,18,19,7,14,71,6,2,0,11,0,8,63,126,189
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2016-01-01,16,32,22,21,19,28,25,56,22,10,0,13,0,7,104,167,271
FILADELFIA,atencion odontologica,consulta nueva,2016-01-01,23,43,17,11,2,18,10,19,0,0,0,25,0,8,52,124,176
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2016-01-01,8,8,3,1,0,2,1,4,0,1,0,1,0,4,12,21,33
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2016-01-01,35,44,21,16,2,6,38,72,28,19,0,3,0,10,124,170,294
GUANAY,atencion odontologica,consulta nueva,2016-01-01,15,15,8,5,11,6,12,14,7,8,0,8,0,7,53,63,116
GUAQUI,atencion odontologica,consulta nueva,2016-01-01,25,39,17,17,18,29,29,75,28,25,0,9,0,14,117,208,325
GUAYARAMERIN,atencion odontologica,consulta nueva,2016-01-01,74,86,116,133,62,160,243,272,40,38,0,57,0,32,535,778,1313
GUTIERREZ,atencion odontologica,consulta nueva,2016-01-01,24,25,2,4,5,12,9,27,1,1,0,8,0,6,41,83,124
HUACARETA,atencion odontologica,consulta nueva,2016-01-01,24,26,6,4,5,13,3,37,3,8,0,19,0,6,41,113,154
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2016-01-01,30,30,12,4,6,14,15,30,0,0,0,6,0,8,63,92,155
HUACHACALLA,atencion odontologica,consulta nueva,2016-01-01,7,3,17,6,2,14,26,27,8,3,0,8,0,4,60,65,125
HUANUNI,atencion odontologica,consulta nueva,2016-01-01,78,76,96,148,88,128,70,135,10,23,0,15,0,14,342,539,881
HUARACAJE,atencion odontologica,consulta nueva,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,4
HUARINA,atencion odontologica,consulta nueva,2016-01-01,16,29,13,7,1,9,10,30,19,10,0,3,0,0,59,88,147
HUATAJATA,atencion odontologica,consulta nueva,2016-01-01,23,16,20,9,4,11,41,41,50,14,0,0,0,12,138,103,241
HUAYLLAMARCA,atencion odontologica,consulta nueva,2016-01-01,3,4,31,50,5,6,18,23,10,3,0,4,0,1,67,91,158
HUMANATA,atencion odontologica,consulta nueva,2016-01-01,6,3,0,1,2,2,1,4,15,14,0,2,0,4,24,30,54
ICHOCA,atencion odontologica,consulta nueva,2016-01-01,17,15,1,0,3,2,2,10,5,3,0,6,0,0,28,36,64
ICLA,atencion odontologica,consulta nueva,2016-01-01,126,121,8,58,4,16,27,56,2,12,0,5,0,14,167,282,449
INCAHUASI,atencion odontologica,consulta nueva,2016-01-01,83,86,12,28,5,27,12,125,1,3,0,28,0,34,113,331,444
INGAVI (HUMAITA),atencion odontologica,consulta nueva,2016-01-01,1,4,1,6,0,1,0,8,1,0,0,3,0,1,3,23,26
INQUISIVI,atencion odontologica,consulta nueva,2016-01-01,122,116,37,19,6,43,23,88,68,56,0,41,0,46,256,409,665
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2016-01-01,157,136,20,14,5,29,33,61,25,18,0,11,0,13,240,282,522
IXIAMAS,atencion odontologica,consulta nueva,2016-01-01,17,15,31,37,20,37,30,57,3,0,0,5,0,11,101,162,263
JESUS DE MACHACA,atencion odontologica,consulta nueva,2016-01-01,13,24,9,11,7,16,3,15,18,13,0,1,0,6,50,86,136
LA ASUNTA,atencion odontologica,consulta nueva,2016-01-01,97,79,60,69,29,49,69,188,6,8,0,15,0,67,261,475,736
LA GUARDIA,atencion odontologica,consulta nueva,2016-01-01,155,127,10,13,9,13,11,31,36,20,0,15,0,52,221,271,492
LA PAZ,atencion odontologica,consulta nueva,2016-01-01,2560,2680,1935,2180,943,1255,1649,3167,653,585,0,459,0,351,7740,10677,18417
LAGUNILLAS,atencion odontologica,consulta nueva,2016-01-01,0,0,17,11,14,30,1,12,1,0,0,0,0,0,33,53,86
LAJA,atencion odontologica,consulta nueva,2016-01-01,35,49,31,34,22,54,30,77,9,28,0,14,0,18,127,274,401
LAS CARRERAS,atencion odontologica,consulta nueva,2016-01-01,7,12,13,11,8,30,12,51,4,8,0,13,0,4,44,129,173
LICOMA PAMPA,atencion odontologica,consulta nueva,2016-01-01,8,8,4,1,2,0,4,0,3,4,0,0,0,0,21,13,34
LLALLAGUA,atencion odontologica,consulta nueva,2016-01-01,221,228,44,34,7,46,30,200,15,28,0,51,0,101,317,688,1005
LURIBAY,atencion odontologica,consulta nueva,2016-01-01,17,18,4,23,4,18,30,40,5,6,0,8,0,8,60,121,181
MACHACAMARCA,atencion odontologica,consulta nueva,2016-01-01,22,26,62,14,6,20,21,69,14,24,0,16,0,18,125,187,312
MACHARETI,atencion odontologica,consulta nueva,2016-01-01,22,11,4,2,5,11,12,28,0,4,0,5,0,2,43,63,106
MAGDALENA,atencion odontologica,consulta nueva,2016-01-01,14,11,24,21,29,35,50,62,5,0,0,4,0,2,122,135,257
MAIRANA,atencion odontologica,consulta nueva,2016-01-01,73,66,66,97,5,34,34,114,11,20,0,18,0,33,189,382,571
MALLA,atencion odontologica,consulta nueva,2016-01-01,4,5,0,0,0,0,2,0,6,0,0,0,0,0,12,5,17
MAPIRI,atencion odontologica,consulta nueva,2016-01-01,17,4,16,14,7,16,13,48,2,9,0,7,0,13,55,111,166
MECAPACA,atencion odontologica,consulta nueva,2016-01-01,66,75,32,44,12,36,19,78,17,4,0,5,0,3,146,245,391
MINEROS,atencion odontologica,consulta nueva,2016-01-01,41,21,11,4,1,14,5,64,7,5,0,20,0,54,65,182,247
MIZQUE,atencion odontologica,consulta nueva,2016-01-01,84,56,29,44,4,21,9,45,18,15,0,6,0,21,144,208,352
MOCOMOCO,atencion odontologica,consulta nueva,2016-01-01,10,13,26,19,14,12,32,41,15,13,0,0,0,5,97,103,200
MOJOCOYA,atencion odontologica,consulta nueva,2016-01-01,53,64,23,12,8,29,31,74,6,13,0,17,0,9,121,218,339
MONTEAGUDO,atencion odontologica,consulta nueva,2016-01-01,200,195,40,71,69,98,68,295,12,3,0,131,0,88,389,881,1270
MONTERO,atencion odontologica,consulta nueva,2016-01-01,80,121,144,258,51,108,73,261,54,57,0,27,0,22,402,854,1256
MORO MORO,atencion odontologica,consulta nueva,2016-01-01,23,17,4,4,4,4,2,9,1,1,0,1,0,4,34,40,74
MOROCHATA,atencion odontologica,consulta nueva,2016-01-01,63,70,9,13,4,42,9,69,55,43,0,21,0,50,140,308,448
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consulta nueva,2016-01-01,15,12,7,5,1,1,5,1,0,2,0,1,0,2,28,24,52
OCURI,atencion odontologica,consulta nueva,2016-01-01,18,5,5,1,1,14,11,59,11,13,0,4,0,16,46,112,158
OKINAWA,atencion odontologica,consulta nueva,2016-01-01,7,3,2,2,1,4,4,8,1,0,0,2,0,3,15,22,37
ORURO,atencion odontologica,consulta nueva,2016-01-01,1202,1238,867,1014,339,736,891,1785,285,246,0,254,0,196,3584,5469,9053
PADCAYA,atencion odontologica,consulta nueva,2016-01-01,16,11,53,55,43,59,21,99,9,3,0,3,0,1,142,231,373
PADILLA,atencion odontologica,consulta nueva,2016-01-01,58,69,54,69,33,21,65,125,2,13,0,54,0,11,212,362,574
PAILON,atencion odontologica,consulta nueva,2016-01-01,33,40,15,13,6,20,15,91,10,2,0,28,0,17,79,211,290
PALCA,atencion odontologica,consulta nueva,2016-01-01,72,52,44,22,13,21,20,68,9,9,0,9,0,15,158,196,354
PALOS BLANCOS,atencion odontologica,consulta nueva,2016-01-01,80,47,38,25,19,41,33,93,9,16,0,13,0,40,179,275,454
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2016-01-01,9,5,6,12,3,20,7,27,1,3,0,7,0,18,26,92,118
PAMPA GRANDE,atencion odontologica,consulta nueva,2016-01-01,15,17,0,0,0,3,0,6,0,2,0,5,0,0,15,33,48
PAPEL PAMPA,atencion odontologica,consulta nueva,2016-01-01,12,3,4,10,4,7,5,20,7,7,0,9,0,5,32,61,93
PASORAPA,atencion odontologica,consulta nueva,2016-01-01,0,6,6,0,11,3,6,19,4,21,0,2,0,1,27,52,79
PATACAMAYA,atencion odontologica,consulta nueva,2016-01-01,28,15,13,14,2,10,2,18,4,2,0,0,0,0,49,59,108
PAZÑA,atencion odontologica,consulta nueva,2016-01-01,9,29,31,15,6,19,22,65,6,13,0,5,0,14,74,160,234
PELECHUCO,atencion odontologica,consulta nueva,2016-01-01,13,5,5,4,3,4,7,18,7,8,0,1,0,2,35,42,77
POCOATA,atencion odontologica,consulta nueva,2016-01-01,65,67,23,23,6,7,13,36,10,19,0,10,0,21,117,183,300
POCONA,atencion odontologica,consulta nueva,2016-01-01,32,12,10,7,5,2,0,7,2,0,0,0,0,0,49,28,77
POJO (CBBA),atencion odontologica,consulta nueva,2016-01-01,28,8,30,39,13,32,43,78,5,18,0,5,0,33,119,213,332
POOPO,atencion odontologica,consulta nueva,2016-01-01,25,34,79,51,17,48,23,37,19,20,0,9,0,1,163,200,363
PORCO,atencion odontologica,consulta nueva,2016-01-01,14,9,8,5,2,2,4,18,1,0,0,1,0,5,29,40,69
POROMA,atencion odontologica,consulta nueva,2016-01-01,63,58,14,14,6,26,26,82,9,15,0,27,0,23,118,245,363
PORONGO,atencion odontologica,consulta nueva,2016-01-01,10,7,1,0,0,1,1,8,6,2,0,5,0,6,18,29,47
PORTACHUELO,atencion odontologica,consulta nueva,2016-01-01,9,8,23,38,12,19,10,42,9,2,0,5,0,3,63,117,180
PORVENIR,atencion odontologica,consulta nueva,2016-01-01,17,27,17,30,36,12,14,64,2,1,0,10,0,6,86,150,236
POSTRER VALLE,atencion odontologica,consulta nueva,2016-01-01,61,14,4,15,1,8,9,38,12,11,0,7,0,0,87,93,180
POTOSI,atencion odontologica,consulta nueva,2016-01-01,611,553,540,517,425,720,493,1079,84,63,0,146,0,188,2153,3266,5419
PRESTO,atencion odontologica,consulta nueva,2016-01-01,89,97,10,23,1,18,17,81,5,4,0,17,0,7,122,247,369
PUCARA,atencion odontologica,consulta nueva,2016-01-01,11,4,2,0,6,0,2,8,1,5,0,0,0,0,22,17,39
PUCARANI,atencion odontologica,consulta nueva,2016-01-01,58,57,57,86,39,78,73,199,61,46,0,16,0,13,288,495,783
PUERTO ACOSTA,atencion odontologica,consulta nueva,2016-01-01,10,14,12,18,8,23,22,37,9,24,0,1,0,1,61,118,179
PUERTO CARABUCO,atencion odontologica,consulta nueva,2016-01-01,14,1,2,19,17,22,32,36,9,6,0,0,0,0,74,84,158
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2016-01-01,54,39,47,49,9,9,9,23,2,6,0,7,0,17,121,150,271
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2016-01-01,70,47,1,5,6,30,30,20,2,4,0,6,0,4,109,116,225
PUERTO RICO,atencion odontologica,consulta nueva,2016-01-01,17,3,7,4,13,6,21,23,0,1,0,0,0,2,58,39,97
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2016-01-01,175,173,86,55,30,106,35,205,14,10,0,55,0,142,340,746,1086
PUNA,atencion odontologica,consulta nueva,2016-01-01,16,31,13,16,5,16,29,77,19,12,0,13,0,12,82,177,259
PUNATA,atencion odontologica,consulta nueva,2016-01-01,35,48,25,41,0,51,12,73,14,25,0,37,0,40,86,315,401
QUIABAYA,atencion odontologica,consulta nueva,2016-01-01,43,25,9,4,5,11,23,54,12,7,0,0,0,4,92,105,197
QUILLACOLLO,atencion odontologica,consulta nueva,2016-01-01,787,690,307,325,119,285,211,719,96,104,0,84,0,200,1520,2407,3927
QUIME,atencion odontologica,consulta nueva,2016-01-01,144,215,60,87,41,83,47,105,60,45,0,20,0,42,352,597,949
QUIRUSILLAS,atencion odontologica,consulta nueva,2016-01-01,0,2,2,2,0,0,2,0,0,0,0,0,0,0,4,4,8
RAVELO,atencion odontologica,consulta nueva,2016-01-01,77,65,4,3,1,17,13,102,20,23,0,26,0,62,115,298,413
REYES,atencion odontologica,consulta nueva,2016-01-01,2,1,4,5,3,5,11,18,2,2,0,2,0,1,22,34,56
RIBERALTA,atencion odontologica,consulta nueva,2016-01-01,109,126,104,106,100,144,107,195,43,45,0,53,0,19,463,688,1151
ROBORE,atencion odontologica,consulta nueva,2016-01-01,13,11,14,14,9,11,8,25,3,1,0,2,0,0,47,64,111
RURRENABAQUE,atencion odontologica,consulta nueva,2016-01-01,15,31,34,37,42,61,51,75,18,12,0,22,0,10,160,248,408
SABAYA,atencion odontologica,consulta nueva,2016-01-01,21,18,27,26,4,22,27,86,38,37,0,20,0,35,117,244,361
