,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES,TOTALES,TOTALES
CHAYANTA,atencion odontologica,exodoncia,2016-01-01,0,0,5,7,0,0,4,16,2,14,0,0,0,0,11,37,48
CHIMORE,atencion odontologica,exodoncia,2016-01-01,1,0,10,3,0,2,1,9,5,1,0,0,0,0,17,15,32
CHOQUE COTA,atencion odontologica,exodoncia,2016-01-01,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,5
CHUA COCANI,atencion odontologica,exodoncia,2016-01-01,0,0,0,1,3,1,3,6,1,2,0,0,0,0,7,10,17
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,exodoncia,2016-01-01,0,0,3,7,1,3,3,5,6,0,0,0,0,0,13,15,28
CHUMA,atencion odontologica,exodoncia,2016-01-01,0,2,16,14,6,14,34,67,30,35,0,0,0,0,86,132,218
CKOCHAS,atencion odontologica,exodoncia,2016-01-01,0,0,4,5,0,1,3,3,3,5,0,0,0,0,10,14,24
CLIZA,atencion odontologica,exodoncia,2016-01-01,0,0,5,3,0,5,0,10,7,3,0,0,0,0,12,21,33
COBIJA,atencion odontologica,exodoncia,2016-01-01,4,6,15,30,7,4,19,17,2,0,0,0,0,0,47,57,104
COCAPATA,atencion odontologica,exodoncia,2016-01-01,0,2,0,0,0,1,0,3,1,4,0,0,0,0,1,10,11
COCHABAMBA,atencion odontologica,exodoncia,2016-01-01,9,12,235,254,59,69,103,175,71,52,0,0,0,0,477,562,1039
COIPASA,atencion odontologica,exodoncia,2016-01-01,0,1,2,3,1,1,2,7,0,0,0,0,0,0,5,12,17
COLCAPIRHUA,atencion odontologica,exodoncia,2016-01-01,2,1,9,4,0,5,3,4,11,4,0,0,0,0,25,18,43
"COLCHA ""K""",atencion odontologica,exodoncia,2016-01-01,1,0,9,7,1,8,5,19,8,6,0,0,0,0,24,40,64
COLLANA,atencion odontologica,exodoncia,2016-01-01,1,1,2,4,2,3,3,14,6,11,0,0,0,0,14,33,47
COLOMI,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLPA BELGICA,atencion odontologica,exodoncia,2016-01-01,0,0,1,0,2,0,5,4,5,1,0,0,0,0,13,5,18
COLQUECHACA,atencion odontologica,exodoncia,2016-01-01,1,0,19,30,5,24,20,50,26,23,0,0,0,0,71,127,198
COLQUENCHA,atencion odontologica,exodoncia,2016-01-01,0,0,6,13,6,6,16,19,1,1,0,0,0,0,29,39,68
COLQUIRI,atencion odontologica,exodoncia,2016-01-01,0,0,11,12,2,3,17,27,16,17,0,0,0,0,46,59,105
COMANCHE,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,3,3,1,5,0,0,0,0,0,0,5,9,14
COMARAPA,atencion odontologica,exodoncia,2016-01-01,1,3,8,6,3,8,2,27,10,12,0,0,0,0,24,56,80
COMBAYA,atencion odontologica,exodoncia,2016-01-01,0,0,0,1,0,1,3,6,7,1,0,0,0,0,10,9,19
CONCEPCION,atencion odontologica,exodoncia,2016-01-01,0,1,14,5,1,5,6,19,3,2,0,0,0,0,24,32,56
COPACABANA,atencion odontologica,exodoncia,2016-01-01,1,1,2,7,4,2,10,10,1,8,0,0,0,0,18,28,46
CORIPATA,atencion odontologica,exodoncia,2016-01-01,0,1,7,4,2,3,9,6,1,0,0,0,0,0,19,14,33
CORO CORO,atencion odontologica,exodoncia,2016-01-01,0,0,0,5,2,3,6,7,0,0,0,0,0,0,8,15,23
COROICO,atencion odontologica,exodoncia,2016-01-01,1,3,3,5,3,10,7,15,13,14,0,0,0,0,27,47,74
CORQUE,atencion odontologica,exodoncia,2016-01-01,0,0,3,2,3,1,2,2,3,3,0,0,0,0,11,8,19
COTAGAITA,atencion odontologica,exodoncia,2016-01-01,3,1,16,19,0,4,10,20,10,17,0,0,0,0,39,61,100
COTOCA,atencion odontologica,exodoncia,2016-01-01,0,0,0,10,4,0,1,0,0,0,0,0,0,0,5,10,15
CUATRO CAÑADAS,atencion odontologica,exodoncia,2016-01-01,1,4,14,17,2,4,1,16,9,6,0,0,0,0,27,47,74
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,exodoncia,2016-01-01,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,4
CUEVO,atencion odontologica,exodoncia,2016-01-01,0,0,2,5,0,2,1,12,3,2,0,0,0,0,6,21,27
CULPINA,atencion odontologica,exodoncia,2016-01-01,0,0,1,8,2,4,16,14,7,2,0,0,0,0,26,28,54
CURAHUARA DE CARANGAS,atencion odontologica,exodoncia,2016-01-01,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,8,8
CURVA,atencion odontologica,exodoncia,2016-01-01,0,0,2,3,1,0,0,3,0,0,0,0,0,0,3,6,9
DESAGUADERO,atencion odontologica,exodoncia,2016-01-01,1,0,1,4,2,4,3,6,6,3,0,0,0,0,13,17,30
EL ALTO,atencion odontologica,exodoncia,2016-01-01,23,22,626,635,100,171,86,185,57,57,0,0,0,0,892,1070,1962
EL CHORO,atencion odontologica,exodoncia,2016-01-01,0,0,2,2,0,1,4,1,6,9,0,0,0,0,12,13,25
EL PUENTE(STC),atencion odontologica,exodoncia,2016-01-01,2,4,1,7,0,0,3,12,6,0,0,0,0,0,12,23,35
EL PUENTE(TJA),atencion odontologica,exodoncia,2016-01-01,0,0,7,8,0,8,2,23,2,2,0,0,0,0,11,41,52
EL TORNO,atencion odontologica,exodoncia,2016-01-01,0,0,25,19,13,15,15,29,24,18,0,0,0,0,77,81,158
EL VILLAR,atencion odontologica,exodoncia,2016-01-01,0,0,9,4,0,1,1,12,1,0,0,0,0,0,11,17,28
ENTRE RIOS TRJ,atencion odontologica,exodoncia,2016-01-01,0,2,20,25,10,12,7,70,3,3,0,0,0,0,40,112,152
ENTRE RIOS CBBA,atencion odontologica,exodoncia,2016-01-01,0,2,0,1,0,5,0,4,0,0,0,0,0,0,0,12,12
ESCOMA,atencion odontologica,exodoncia,2016-01-01,4,1,14,14,5,6,14,25,13,29,0,0,0,0,50,75,125
EUCALIPTUS,atencion odontologica,exodoncia,2016-01-01,0,0,0,4,0,2,0,0,3,0,0,0,0,0,3,6,9
FERNANDEZ ALONSO,atencion odontologica,exodoncia,2016-01-01,0,0,4,5,1,1,3,12,7,5,0,0,0,0,15,23,38
FILADELFIA,atencion odontologica,exodoncia,2016-01-01,0,0,9,3,0,4,6,5,0,0,0,0,0,0,15,12,27
GENERAL SAAVEDRA,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,exodoncia,2016-01-01,0,0,5,3,2,0,7,22,9,1,0,0,0,0,23,26,49
GUANAY,atencion odontologica,exodoncia,2016-01-01,1,0,1,2,3,2,9,5,5,5,0,0,0,0,19,14,33
GUAQUI,atencion odontologica,exodoncia,2016-01-01,1,1,10,12,1,6,10,23,13,14,0,0,0,0,35,56,91
GUAYARAMERIN,atencion odontologica,exodoncia,2016-01-01,7,8,20,21,6,18,3,25,20,6,0,0,0,0,56,78,134
GUTIERREZ,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,1,2,14,3,3,3,0,0,0,0,19,9,28
HUACARETA,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,exodoncia,2016-01-01,0,0,4,0,2,2,6,8,0,0,0,0,0,0,12,10,22
HUACHACALLA,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,4
HUANUNI,atencion odontologica,exodoncia,2016-01-01,0,1,24,29,13,8,16,22,4,15,0,0,0,0,57,75,132
HUARACAJE,atencion odontologica,exodoncia,2016-01-01,1,1,7,4,2,0,3,4,1,0,0,0,0,0,14,9,23
HUARINA,atencion odontologica,exodoncia,2016-01-01,0,0,7,5,1,3,5,12,13,6,0,0,0,0,26,26,52
HUATAJATA,atencion odontologica,exodoncia,2016-01-01,0,0,1,2,0,2,7,5,8,6,0,0,0,0,16,15,31
HUAYLLAMARCA,atencion odontologica,exodoncia,2016-01-01,0,0,8,4,1,0,1,1,2,1,0,0,0,0,12,6,18
HUMANATA,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,2,2,1,4,11,10,0,0,0,0,15,17,32
ICHOCA,atencion odontologica,exodoncia,2016-01-01,0,0,1,0,1,2,1,3,5,0,0,0,0,0,8,5,13
ICLA,atencion odontologica,exodoncia,2016-01-01,0,0,0,13,0,1,7,13,0,8,0,0,0,0,7,35,42
INCAHUASI,atencion odontologica,exodoncia,2016-01-01,0,0,2,6,3,1,1,31,0,3,0,0,0,0,6,41,47
INGAVI (HUMAITA),atencion odontologica,exodoncia,2016-01-01,1,2,1,6,0,2,0,4,1,0,0,0,0,0,3,14,17
INQUISIVI,atencion odontologica,exodoncia,2016-01-01,0,1,16,9,3,5,8,15,5,5,0,0,0,0,32,35,67
IRUPANA (VILLA DE LANZA),atencion odontologica,exodoncia,2016-01-01,0,0,5,8,1,4,11,12,7,6,0,0,0,0,24,30,54
IXIAMAS,atencion odontologica,exodoncia,2016-01-01,0,0,11,14,10,17,11,20,0,0,0,0,0,0,32,51,83
JESUS DE MACHACA,atencion odontologica,exodoncia,2016-01-01,2,3,2,5,5,6,1,6,14,12,0,0,0,0,24,32,56
LA ASUNTA,atencion odontologica,exodoncia,2016-01-01,4,7,24,33,13,27,33,75,3,2,0,0,0,0,77,144,221
LA GUARDIA,atencion odontologica,exodoncia,2016-01-01,3,2,8,2,9,4,3,12,11,4,0,0,0,0,34,24,58
LA PAZ,atencion odontologica,exodoncia,2016-01-01,25,22,265,258,118,113,156,267,96,100,0,0,0,0,660,760,1420
LAGUNILLAS,atencion odontologica,exodoncia,2016-01-01,0,0,7,4,1,5,0,3,0,0,0,0,0,0,8,12,20
LAJA,atencion odontologica,exodoncia,2016-01-01,2,6,19,20,17,31,14,39,8,21,0,0,0,0,60,117,177
LICOMA PAMPA,atencion odontologica,exodoncia,2016-01-01,0,0,2,0,1,0,1,0,0,1,0,0,0,0,4,1,5
LLALLAGUA,atencion odontologica,exodoncia,2016-01-01,1,1,16,5,1,8,8,31,4,9,0,0,0,0,30,54,84
LURIBAY,atencion odontologica,exodoncia,2016-01-01,0,0,0,12,1,6,8,15,1,4,0,0,0,0,10,37,47
MACHACAMARCA,atencion odontologica,exodoncia,2016-01-01,0,0,8,1,0,0,1,5,0,2,0,0,0,0,9,8,17
MACHARETI,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MAGDALENA,atencion odontologica,exodoncia,2016-01-01,0,0,6,4,4,2,14,24,1,0,0,0,0,0,25,30,55
MAIRANA,atencion odontologica,exodoncia,2016-01-01,2,0,6,9,1,2,1,7,3,6,0,0,0,0,13,24,37
MAPIRI,atencion odontologica,exodoncia,2016-01-01,0,0,7,7,2,3,3,13,2,1,0,0,0,0,14,24,38
MECAPACA,atencion odontologica,exodoncia,2016-01-01,4,0,11,5,5,9,4,22,8,1,0,0,0,0,32,37,69
MIZQUE,atencion odontologica,exodoncia,2016-01-01,0,2,13,22,1,5,3,8,6,7,0,0,0,0,23,44,67
MOCOMOCO,atencion odontologica,exodoncia,2016-01-01,0,0,7,9,5,3,16,22,9,7,0,0,0,0,37,41,78
MOJOCOYA,atencion odontologica,exodoncia,2016-01-01,0,0,8,3,0,3,6,18,2,6,0,0,0,0,16,30,46
MONTEAGUDO,atencion odontologica,exodoncia,2016-01-01,0,0,9,9,5,12,6,17,3,0,0,0,0,0,23,38,61
MONTERO,atencion odontologica,exodoncia,2016-01-01,0,4,74,85,8,15,25,73,25,16,0,0,0,0,132,193,325
MORO MORO,atencion odontologica,exodoncia,2016-01-01,0,0,3,3,2,0,0,4,0,1,0,0,0,0,5,8,13
MOROCHATA,atencion odontologica,exodoncia,2016-01-01,0,0,2,3,1,3,2,8,14,17,0,0,0,0,19,31,50
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,exodoncia,2016-01-01,1,2,6,1,0,0,4,0,0,1,0,0,0,0,11,4,15
OCURI,atencion odontologica,exodoncia,2016-01-01,0,1,1,0,0,5,8,29,7,8,0,0,0,0,16,43,59
OKINAWA,atencion odontologica,exodoncia,2016-01-01,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,2,4
ORURO,atencion odontologica,exodoncia,2016-01-01,24,28,169,179,60,71,149,253,88,89,0,0,0,0,490,620,1110
PADCAYA,atencion odontologica,exodoncia,2016-01-01,0,0,14,15,3,8,6,20,2,0,0,0,0,0,25,43,68
PADILLA,atencion odontologica,exodoncia,2016-01-01,1,0,7,9,3,3,13,21,1,1,0,0,0,0,25,34,59
PAILON,atencion odontologica,exodoncia,2016-01-01,1,0,7,4,2,7,8,25,10,2,0,0,0,0,28,38,66
PALCA,atencion odontologica,exodoncia,2016-01-01,0,0,23,19,7,10,8,16,5,7,0,0,0,0,43,52,95
PALOS BLANCOS,atencion odontologica,exodoncia,2016-01-01,1,0,2,3,1,2,2,9,4,1,0,0,0,0,10,15,25
PAMPA AULLAGAS,atencion odontologica,exodoncia,2016-01-01,0,0,6,9,1,2,1,8,1,1,0,0,0,0,9,20,29
PAMPA GRANDE,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,5
PAPEL PAMPA,atencion odontologica,exodoncia,2016-01-01,0,0,0,2,1,1,2,5,2,5,0,0,0,0,5,13,18
PASORAPA,atencion odontologica,exodoncia,2016-01-01,0,0,6,0,1,0,1,5,2,9,0,0,0,0,10,14,24
PAZÑA,atencion odontologica,exodoncia,2016-01-01,0,1,4,4,1,1,1,0,0,0,0,0,0,0,6,6,12
PELECHUCO,atencion odontologica,exodoncia,2016-01-01,0,0,3,3,1,3,4,10,6,2,0,0,0,0,14,18,32
POCOATA,atencion odontologica,exodoncia,2016-01-01,0,0,1,4,1,2,2,13,9,13,0,0,0,0,13,32,45
POCONA,atencion odontologica,exodoncia,2016-01-01,0,0,2,1,2,0,0,0,2,0,0,0,0,0,6,1,7
POJO (CBBA),atencion odontologica,exodoncia,2016-01-01,0,0,10,2,2,0,4,10,2,4,0,0,0,0,18,16,34
POOPO,atencion odontologica,exodoncia,2016-01-01,0,0,6,12,2,4,1,6,4,2,0,0,0,0,13,24,37
PORCO,atencion odontologica,exodoncia,2016-01-01,0,0,2,0,1,0,1,5,1,0,0,0,0,0,5,5,10
POROMA,atencion odontologica,exodoncia,2016-01-01,0,0,2,1,1,6,5,26,1,5,0,0,0,0,9,38,47
PORTACHUELO,atencion odontologica,exodoncia,2016-01-01,3,2,13,16,7,1,4,17,7,2,0,0,0,0,34,38,72
PORVENIR,atencion odontologica,exodoncia,2016-01-01,1,0,6,16,2,9,14,18,2,1,0,0,0,0,25,44,69
POSTRER VALLE,atencion odontologica,exodoncia,2016-01-01,1,0,1,1,0,0,0,1,2,1,0,0,0,0,4,3,7
POTOSI,atencion odontologica,exodoncia,2016-01-01,0,7,57,74,122,150,245,282,22,28,0,0,0,0,446,541,987
PRESTO,atencion odontologica,exodoncia,2016-01-01,0,0,2,5,0,5,8,24,3,3,0,0,0,0,13,37,50
PUCARANI,atencion odontologica,exodoncia,2016-01-01,6,6,18,31,21,32,26,66,42,33,0,0,0,0,113,168,281
PUERTO ACOSTA,atencion odontologica,exodoncia,2016-01-01,3,4,8,9,7,11,7,19,5,14,0,0,0,0,30,57,87
PUERTO CARABUCO,atencion odontologica,exodoncia,2016-01-01,0,0,3,9,7,12,27,23,18,5,0,0,0,0,55,49,104
PUERTO GONZALO MORENO,atencion odontologica,exodoncia,2016-01-01,0,2,7,10,0,1,1,7,0,0,0,0,0,0,8,20,28
PUERTO QUIJARRO,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,7
PUERTO RICO,atencion odontologica,exodoncia,2016-01-01,0,0,7,5,5,4,14,16,1,0,0,0,0,0,27,25,52
PUERTO VILLARROEL,atencion odontologica,exodoncia,2016-01-01,2,4,13,11,1,5,4,25,10,2,0,0,0,0,30,47,77
PUNA,atencion odontologica,exodoncia,2016-01-01,0,0,2,0,2,0,1,10,1,2,0,0,0,0,6,12,18
PUNATA,atencion odontologica,exodoncia,2016-01-01,0,0,3,1,0,0,2,3,5,12,0,0,0,0,10,16,26
QUIABAYA,atencion odontologica,exodoncia,2016-01-01,0,0,2,2,3,2,9,14,3,1,0,0,0,0,17,19,36
QUILLACOLLO,atencion odontologica,exodoncia,2016-01-01,18,19,68,75,69,75,40,83,64,77,0,0,0,0,259,329,588
QUIME,atencion odontologica,exodoncia,2016-01-01,3,4,19,19,8,10,8,15,8,9,0,0,0,0,46,57,103
QUIRUSILLAS,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
RAVELO,atencion odontologica,exodoncia,2016-01-01,2,0,2,0,0,2,7,22,5,3,0,0,0,0,16,27,43
RIBERALTA,atencion odontologica,exodoncia,2016-01-01,4,0,19,25,25,23,32,28,11,10,0,0,0,0,91,86,177
ROBORE,atencion odontologica,exodoncia,2016-01-01,1,1,7,7,2,7,3,7,4,1,0,0,0,0,17,23,40
RURRENABAQUE,atencion odontologica,exodoncia,2016-01-01,4,5,8,8,11,10,13,10,7,4,0,0,0,0,43,37,80
SABAYA,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,5,9,13,0,5,0,0,0,0,9,23,32
SACABA,atencion odontologica,exodoncia,2016-01-01,3,2,10,24,5,10,2,18,22,18,0,0,0,0,42,72,114
SACABAMBA,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,2,0,0,2,0,4,0,0,0,0,3,7,10
SACACA,atencion odontologica,exodoncia,2016-01-01,1,1,11,5,1,5,7,13,1,0,0,0,0,0,21,24,45
SAIPINA,atencion odontologica,exodoncia,2016-01-01,0,0,2,0,2,3,1,7,7,0,0,0,0,0,12,10,22
SALINAS DE GARCI MENDOZA,atencion odontologica,exodoncia,2016-01-01,0,0,2,12,2,0,2,6,3,2,0,0,0,0,9,20,29
SAMAIPATA,atencion odontologica,exodoncia,2016-01-01,0,1,0,0,0,1,0,0,4,0,0,0,0,0,4,2,6
SAN AGUSTIN,atencion odontologica,exodoncia,2016-01-01,0,0,1,0,0,0,2,1,4,0,0,0,0,0,7,1,8
SAN ANDRES,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,1,0,0,1,0,1,0,0,0,0,2,3,5
SAN ANDRES DE MACHACA,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,0,1,2,9,5,4,0,0,0,0,8,15,23
SAN ANTONIO DE ESMORUCO,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,0,0,1,5,1,0,0,0,0,0,3,6,9
SAN ANTONIO DE LOMERIO,atencion odontologica,exodoncia,2016-01-01,0,0,0,2,4,3,3,4,1,1,0,0,0,0,8,10,18
SAN BENITO,atencion odontologica,exodoncia,2016-01-01,1,0,5,12,0,0,0,0,3,1,0,0,0,0,9,13,22
SAN BORJA,atencion odontologica,exodoncia,2016-01-01,1,1,15,17,4,9,12,39,5,22,0,0,0,0,37,88,125
SAN BUENA VENTURA,atencion odontologica,exodoncia,2016-01-01,0,2,2,2,2,2,0,15,1,6,0,0,0,0,5,27,32
SAN CARLOS,atencion odontologica,exodoncia,2016-01-01,0,3,1,3,2,0,4,6,0,3,0,0,0,0,7,15,22
SAN IGNACIO,atencion odontologica,exodoncia,2016-01-01,0,0,25,14,9,12,22,27,19,2,0,0,0,0,75,55,130
SAN IGNACIO DE VELASCO,atencion odontologica,exodoncia,2016-01-01,1,2,0,3,0,2,11,31,18,87,0,0,0,0,30,125,155
SAN JAVIER(BNI),atencion odontologica,exodoncia,2016-01-01,0,0,1,2,0,1,0,1,1,0,0,0,0,0,2,4,6
