,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES,TOTALES,TOTALES
COIPASA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
COLCAPIRHUA,atencion odontologica,consulta repetida,2016-01-01,15,7,0,0,0,3,1,11,1,0,0,10,0,5,17,36,53
"COLCHA ""K""",atencion odontologica,consulta repetida,2016-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COLOMI,atencion odontologica,consulta repetida,2016-01-01,7,4,0,0,0,1,0,0,0,0,0,0,0,0,7,5,12
COLQUECHACA,atencion odontologica,consulta repetida,2016-01-01,14,13,28,63,9,39,35,61,14,17,0,1,0,11,100,205,305
COLQUENCHA,atencion odontologica,consulta repetida,2016-01-01,0,0,1,2,0,0,6,4,0,0,0,0,0,0,7,6,13
COLQUIRI,atencion odontologica,consulta repetida,2016-01-01,8,10,1,23,13,16,5,24,1,0,0,5,0,2,28,80,108
COMANCHE,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COMARAPA,atencion odontologica,consulta repetida,2016-01-01,12,43,5,1,6,24,10,46,10,17,0,2,0,1,43,134,177
COPACABANA,atencion odontologica,consulta repetida,2016-01-01,5,2,0,0,0,0,1,1,0,0,0,0,0,0,6,3,9
CORO CORO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,1,2,0,2,0,0,0,0,0,2,1,6,7
COROICO,atencion odontologica,consulta repetida,2016-01-01,4,3,0,3,4,1,3,3,0,1,0,0,0,0,11,11,22
CORQUE,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
COTAGAITA,atencion odontologica,consulta repetida,2016-01-01,42,26,104,91,27,55,117,187,15,4,0,3,0,0,305,366,671
COTOCA,atencion odontologica,consulta repetida,2016-01-01,47,35,0,0,0,0,0,5,0,0,0,15,0,4,47,59,106
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2016-01-01,59,39,7,20,1,6,4,64,2,3,0,15,0,24,73,171,244
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta repetida,2016-01-01,0,0,1,0,0,0,0,5,0,0,0,2,0,0,1,7,8
CUEVO,atencion odontologica,consulta repetida,2016-01-01,0,0,2,2,0,2,2,4,1,1,0,0,0,0,5,9,14
CULPINA,atencion odontologica,consulta repetida,2016-01-01,9,1,4,4,5,0,1,21,1,3,0,0,0,7,20,36,56
CURAHUARA DE CARANGAS,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,3
EL ALTO,atencion odontologica,consulta repetida,2016-01-01,196,179,305,352,201,386,271,459,78,57,0,8,0,13,1051,1454,2505
EL CHORO,atencion odontologica,consulta repetida,2016-01-01,0,6,1,2,0,0,0,4,0,2,0,0,0,0,1,14,15
EL PUENTE(STC),atencion odontologica,consulta repetida,2016-01-01,22,8,0,2,0,0,2,7,8,1,0,0,0,0,32,18,50
EL PUENTE(TJA),atencion odontologica,consulta repetida,2016-01-01,1,2,0,2,1,1,1,3,0,0,0,0,0,0,3,8,11
EL TORNO,atencion odontologica,consulta repetida,2016-01-01,12,10,11,18,8,16,1,26,10,6,0,4,0,6,42,86,128
EL VILLAR,atencion odontologica,consulta repetida,2016-01-01,0,3,1,0,2,2,5,3,0,0,0,1,0,0,8,9,17
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2016-01-01,13,14,10,6,1,21,9,10,0,0,0,0,0,0,33,51,84
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2016-01-01,10,11,2,2,0,2,1,5,0,2,0,2,0,3,13,27,40
EUCALIPTUS,atencion odontologica,consulta repetida,2016-01-01,1,1,4,4,5,1,5,19,0,0,0,0,0,1,15,26,41
FERNANDEZ ALONSO,atencion odontologica,consulta repetida,2016-01-01,1,4,3,3,1,1,1,3,4,0,0,0,0,0,10,11,21
FILADELFIA,atencion odontologica,consulta repetida,2016-01-01,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,3
GENERAL SAAVEDRA,atencion odontologica,consulta repetida,2016-01-01,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,3
GUANAY,atencion odontologica,consulta repetida,2016-01-01,1,2,2,3,3,1,2,4,0,0,0,2,0,0,8,12,20
GUAQUI,atencion odontologica,consulta repetida,2016-01-01,1,1,1,0,1,1,1,2,0,1,0,0,0,0,4,5,9
GUAYARAMERIN,atencion odontologica,consulta repetida,2016-01-01,9,12,1,1,2,7,1,16,2,0,0,14,0,7,15,57,72
GUTIERREZ,atencion odontologica,consulta repetida,2016-01-01,0,1,0,0,2,2,1,9,1,1,0,4,0,13,4,30,34
HUACARETA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2016-01-01,0,0,2,0,0,4,10,6,0,0,0,0,0,0,12,10,22
HUACHACALLA,atencion odontologica,consulta repetida,2016-01-01,1,1,2,0,0,0,4,1,1,0,0,0,0,0,8,2,10
HUANUNI,atencion odontologica,consulta repetida,2016-01-01,31,23,22,27,12,30,22,42,5,7,0,2,0,3,92,134,226
HUAYLLAMARCA,atencion odontologica,consulta repetida,2016-01-01,0,2,11,12,0,0,2,11,2,2,0,1,0,0,15,28,43
HUMANATA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,1,5
ICLA,atencion odontologica,consulta repetida,2016-01-01,3,0,0,0,0,0,3,3,0,0,0,0,0,0,6,3,9
INCAHUASI,atencion odontologica,consulta repetida,2016-01-01,0,0,0,1,0,5,2,6,0,0,0,0,0,3,2,15,17
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta repetida,2016-01-01,0,1,0,0,0,1,0,4,2,0,0,1,0,0,2,7,9
IXIAMAS,atencion odontologica,consulta repetida,2016-01-01,1,2,3,9,3,2,3,8,0,0,0,0,0,2,10,23,33
JESUS DE MACHACA,atencion odontologica,consulta repetida,2016-01-01,0,0,1,0,1,1,0,1,1,0,0,0,0,0,3,2,5
LA ASUNTA,atencion odontologica,consulta repetida,2016-01-01,5,4,4,4,5,10,5,18,0,0,0,5,0,5,19,46,65
LA GUARDIA,atencion odontologica,consulta repetida,2016-01-01,65,40,0,1,0,13,0,19,12,1,0,2,0,14,77,90,167
LA PAZ,atencion odontologica,consulta repetida,2016-01-01,381,379,723,853,390,497,777,1234,197,194,0,38,0,42,2468,3237,5705
LAJA,atencion odontologica,consulta repetida,2016-01-01,0,1,0,3,0,1,0,3,0,0,0,0,0,1,0,9,9
LAS CARRERAS,atencion odontologica,consulta repetida,2016-01-01,0,0,1,0,0,1,2,8,0,2,0,0,0,0,3,11,14
LLALLAGUA,atencion odontologica,consulta repetida,2016-01-01,25,22,28,41,18,32,35,83,5,7,0,4,0,29,111,218,329
MACHACAMARCA,atencion odontologica,consulta repetida,2016-01-01,4,3,7,1,0,4,2,6,2,2,0,0,0,0,15,16,31
MACHARETI,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,5,6,0,0,0,0,0,4,5,10,15
MAGDALENA,atencion odontologica,consulta repetida,2016-01-01,1,0,4,3,7,1,6,1,0,0,0,0,0,0,18,5,23
MAIRANA,atencion odontologica,consulta repetida,2016-01-01,11,26,8,11,0,18,12,37,5,6,0,6,0,0,36,104,140
MAPIRI,atencion odontologica,consulta repetida,2016-01-01,0,0,0,2,2,5,0,2,0,0,0,0,0,0,2,9,11
MECAPACA,atencion odontologica,consulta repetida,2016-01-01,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4,4
MIZQUE,atencion odontologica,consulta repetida,2016-01-01,9,7,3,9,1,6,1,10,8,3,0,0,0,9,22,44,66
MOJOCOYA,atencion odontologica,consulta repetida,2016-01-01,1,1,5,3,2,5,5,18,0,1,0,1,0,1,13,30,43
MONTEAGUDO,atencion odontologica,consulta repetida,2016-01-01,20,42,1,7,19,6,7,21,0,0,0,1,0,5,47,82,129
MONTERO,atencion odontologica,consulta repetida,2016-01-01,5,1,7,23,5,14,4,29,1,0,0,1,0,1,22,69,91
MORO MORO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MOROCHATA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,2,2,0,2,0,0,0,0,0,2,2,6,8
OCURI,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,2,0,7,0,1,0,1,0,0,0,11,11
OKINAWA,atencion odontologica,consulta repetida,2016-01-01,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3
ORURO,atencion odontologica,consulta repetida,2016-01-01,255,212,237,336,149,237,336,555,109,81,0,19,0,41,1086,1481,2567
PADCAYA,atencion odontologica,consulta repetida,2016-01-01,3,3,4,5,5,12,2,11,0,1,0,0,0,0,14,32,46
PADILLA,atencion odontologica,consulta repetida,2016-01-01,9,16,13,8,1,9,10,24,3,1,0,9,0,8,36,75,111
PAILON,atencion odontologica,consulta repetida,2016-01-01,2,3,1,0,1,1,1,13,0,0,0,0,0,5,5,22,27
PALCA,atencion odontologica,consulta repetida,2016-01-01,3,3,2,0,0,1,3,1,0,0,0,0,0,0,8,5,13
PALOS BLANCOS,atencion odontologica,consulta repetida,2016-01-01,1,2,10,5,1,1,2,7,2,0,0,1,0,0,16,16,32
PAMPA AULLAGAS,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,7,4,4,0,0,0,1,0,6,4,18,22
PASORAPA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,2,0,0,1,0,2,0,1,0,0,2,4,6
PATACAMAYA,atencion odontologica,consulta repetida,2016-01-01,38,50,10,10,0,5,0,40,5,5,0,0,0,0,53,110,163
PAZÑA,atencion odontologica,consulta repetida,2016-01-01,2,3,7,3,0,4,4,17,1,3,0,0,0,3,14,33,47
POCOATA,atencion odontologica,consulta repetida,2016-01-01,0,1,1,2,0,0,0,2,0,0,0,0,0,0,1,5,6
POJO (CBBA),atencion odontologica,consulta repetida,2016-01-01,3,0,5,7,0,16,11,24,1,0,0,0,0,1,20,48,68
POOPO,atencion odontologica,consulta repetida,2016-01-01,6,8,8,10,3,11,7,14,9,3,0,1,0,2,33,49,82
PORCO,atencion odontologica,consulta repetida,2016-01-01,1,6,2,3,1,0,0,4,0,0,0,0,0,0,4,13,17
POROMA,atencion odontologica,consulta repetida,2016-01-01,0,0,1,0,0,1,1,8,0,0,0,0,0,0,2,9,11
PORVENIR,atencion odontologica,consulta repetida,2016-01-01,0,1,3,3,4,1,4,10,0,0,0,1,0,2,11,18,29
POSTRER VALLE,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
POTOSI,atencion odontologica,consulta repetida,2016-01-01,263,227,307,325,291,585,388,758,31,31,0,51,0,67,1280,2044,3324
PRESTO,atencion odontologica,consulta repetida,2016-01-01,0,0,1,0,0,1,3,6,0,0,0,0,0,0,4,7,11
PUCARA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
PUCARANI,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,3,4
PUERTO CARABUCO,atencion odontologica,consulta repetida,2016-01-01,5,0,0,4,2,7,0,3,4,0,0,0,0,0,11,14,25
PUERTO GONZALO MORENO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,4,0,0,4,3,0,0,0,3,0,0,4,10,14
PUERTO QUIJARRO,atencion odontologica,consulta repetida,2016-01-01,10,0,0,2,1,3,2,0,0,0,0,0,0,0,13,5,18
PUERTO RICO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,5,0,7,4,0,0,0,0,0,0,12,4,16
PUERTO VILLARROEL,atencion odontologica,consulta repetida,2016-01-01,35,40,13,10,2,25,6,43,3,0,0,3,0,38,59,159,218
PUNA,atencion odontologica,consulta repetida,2016-01-01,1,0,0,0,2,3,0,8,1,0,0,0,0,1,4,12,16
PUNATA,atencion odontologica,consulta repetida,2016-01-01,8,2,2,10,0,7,2,10,1,1,0,6,0,2,13,38,51
QUILLACOLLO,atencion odontologica,consulta repetida,2016-01-01,81,81,66,55,22,44,50,95,21,13,0,5,0,7,240,300,540
QUIME,atencion odontologica,consulta repetida,2016-01-01,2,6,3,3,17,2,36,8,0,4,0,0,0,0,58,23,81
REYES,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,1,1,4,2,1,0,1,0,0,3,7,10
RIBERALTA,atencion odontologica,consulta repetida,2016-01-01,9,18,27,44,62,35,46,46,43,36,0,3,0,1,187,183,370
RURRENABAQUE,atencion odontologica,consulta repetida,2016-01-01,0,2,8,3,2,6,8,3,0,0,0,1,0,1,18,16,34
SABAYA,atencion odontologica,consulta repetida,2016-01-01,2,0,0,0,0,0,1,7,0,0,0,4,0,3,3,14,17
SACABA,atencion odontologica,consulta repetida,2016-01-01,13,18,37,44,27,36,28,106,10,5,0,0,0,2,115,211,326
SACABAMBA,atencion odontologica,consulta repetida,2016-01-01,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3
SACACA,atencion odontologica,consulta repetida,2016-01-01,14,13,0,0,0,1,2,9,0,0,0,8,0,1,16,32,48
SAIPINA,atencion odontologica,consulta repetida,2016-01-01,3,0,2,0,2,3,6,8,0,0,0,0,0,1,13,12,25
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2016-01-01,3,5,4,4,0,3,2,3,4,0,0,1,0,0,13,16,29
SAN ANDRES DE MACHACA,atencion odontologica,consulta repetida,2016-01-01,1,0,1,0,0,0,2,0,6,3,0,0,0,0,10,3,13
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
SAN ANTONIO DE LOMERIO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BENITO,atencion odontologica,consulta repetida,2016-01-01,12,8,1,4,0,0,0,27,0,0,0,28,0,27,13,94,107
SAN BORJA,atencion odontologica,consulta repetida,2016-01-01,4,4,9,10,6,12,28,42,9,0,0,3,0,15,56,86,142
SAN BUENA VENTURA,atencion odontologica,consulta repetida,2016-01-01,0,0,1,0,0,0,0,3,0,0,0,1,0,1,1,5,6
SAN CARLOS,atencion odontologica,consulta repetida,2016-01-01,1,2,0,0,3,1,1,1,0,0,0,0,0,0,5,4,9
SAN IGNACIO,atencion odontologica,consulta repetida,2016-01-01,7,4,14,5,3,14,4,19,2,4,0,3,0,0,30,49,79
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2016-01-01,1,1,17,14,10,24,15,18,1,1,0,0,0,0,44,58,102
SAN JAVIER(BNI),atencion odontologica,consulta repetida,2016-01-01,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,4
SAN JAVIER(STC),atencion odontologica,consulta repetida,2016-01-01,1,0,0,1,0,0,3,2,1,0,0,1,0,2,5,6,11
SAN JOAQUIN,atencion odontologica,consulta repetida,2016-01-01,0,6,0,2,0,0,0,1,3,0,0,0,0,0,3,9,12
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta repetida,2016-01-01,0,0,5,0,0,0,10,14,0,0,0,0,0,0,15,14,29
SAN JULIAN,atencion odontologica,consulta repetida,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN LORENZO(PND),atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2016-01-01,2,6,11,22,23,24,33,62,0,0,0,0,0,0,69,114,183
SAN LUCAS,atencion odontologica,consulta repetida,2016-01-01,0,3,3,7,6,8,5,24,1,2,0,2,0,5,15,51,66
SAN MATIAS,atencion odontologica,consulta repetida,2016-01-01,18,16,6,1,0,20,4,1,15,1,0,5,0,0,43,44,87
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2016-01-01,0,0,6,1,6,12,13,15,0,3,0,4,0,3,25,38,63
SAN PEDRO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,3
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2016-01-01,0,0,3,0,1,1,4,8,0,0,0,1,0,4,8,14,22
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,2,2,3,0,0,0,0,0,2,2,7,9
SAN PEDRO DE QUEMES,atencion odontologica,consulta repetida,2016-01-01,3,0,3,0,0,0,0,2,0,0,0,0,0,0,6,2,8
SAN RAFAEL,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAN RAMON BENI,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,2,2,0,6,0,0,0,0,0,0,2,8,10
SANTA ANA,atencion odontologica,consulta repetida,2016-01-01,0,0,2,6,5,8,6,7,1,0,0,0,0,0,14,21,35
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2016-01-01,285,454,219,292,554,335,436,758,248,172,0,110,0,67,1742,2188,3930
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2016-01-01,5,0,0,1,0,6,2,8,0,0,0,1,0,2,7,18,25
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2016-01-01,10,10,8,10,1,5,11,18,2,6,0,0,0,1,32,50,82
SANTIAGO DE HUATA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,2,4,2,1,5,5,0,0,0,0,0,10,9,19
SANTIVAÑES,atencion odontologica,consulta repetida,2016-01-01,0,0,1,2,2,6,12,8,0,5,0,0,0,0,15,21,36
SANTUARIO DE QUILLACAS,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,1,3,10,0,0,0,0,0,11,3,14
SAPAHAQUI,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SENA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SHINAOTA,atencion odontologica,consulta repetida,2016-01-01,0,4,0,0,0,0,0,3,0,4,0,3,0,1,0,15,15
SICA SICA (VILLA AROMA),atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SIPE SIPE,atencion odontologica,consulta repetida,2016-01-01,14,3,0,4,0,5,0,6,0,3,0,0,0,1,14,22,36
SOPACHUY,atencion odontologica,consulta repetida,2016-01-01,4,1,5,13,4,5,5,18,2,0,0,4,0,6,20,47,67
SORACACHI,atencion odontologica,consulta repetida,2016-01-01,1,2,0,0,0,0,0,2,3,2,0,0,0,0,4,6,10
SORATA,atencion odontologica,consulta repetida,2016-01-01,4,2,1,2,1,2,1,9,0,0,0,11,0,7,7,33,40
SUCRE,atencion odontologica,consulta repetida,2016-01-01,249,241,379,437,237,417,614,807,77,30,0,31,0,66,1556,2029,3585
TACACOMA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
TACOPAYA,atencion odontologica,consulta repetida,2016-01-01,2,0,0,1,0,7,7,12,4,5,0,5,0,3,13,33,46
TAPACARI,atencion odontologica,consulta repetida,2016-01-01,0,2,2,0,0,1,0,2,0,1,0,1,0,0,2,7,9
TARABUCO,atencion odontologica,consulta repetida,2016-01-01,0,0,2,0,0,7,0,8,6,4,0,1,0,3,8,23,31
TARATA,atencion odontologica,consulta repetida,2016-01-01,0,3,0,5,1,3,1,8,5,3,0,0,0,0,7,22,29
