,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES,TOTALES,TOTALES
CARMEN RIVERO TORREZ,atencion odontologica,medidas preventivas,2016-01-01,24,43,0,0,0,0,2,3,0,0,0,0,0,0,26,46,72
CATACORA,atencion odontologica,medidas preventivas,2016-01-01,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,7,7
CHALLAPATA,atencion odontologica,medidas preventivas,2016-01-01,110,96,66,101,5,12,14,38,12,9,0,0,0,0,207,256,463
CHAQUI,atencion odontologica,medidas preventivas,2016-01-01,6,1,1,0,0,0,1,3,0,0,0,0,0,0,8,4,12
CHARAGUA,atencion odontologica,medidas preventivas,2016-01-01,33,35,12,5,0,3,0,2,0,0,0,0,0,0,45,45,90
CHARAÑA,atencion odontologica,medidas preventivas,2016-01-01,12,5,0,2,0,0,0,3,0,0,0,0,0,0,12,10,22
CHAYANTA,atencion odontologica,medidas preventivas,2016-01-01,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,4,4
CHIMORE,atencion odontologica,medidas preventivas,2016-01-01,15,31,7,20,0,2,0,1,0,1,0,0,0,0,22,55,77
CHOQUE COTA,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHUA COCANI,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,medidas preventivas,2016-01-01,7,13,5,8,1,1,1,0,0,0,0,0,0,0,14,22,36
CHUMA,atencion odontologica,medidas preventivas,2016-01-01,19,30,5,4,1,5,5,19,4,6,0,0,0,0,34,64,98
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CKOCHAS,atencion odontologica,medidas preventivas,2016-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CLIZA,atencion odontologica,medidas preventivas,2016-01-01,47,46,32,23,0,3,0,25,4,2,0,0,0,0,83,99,182
COBIJA,atencion odontologica,medidas preventivas,2016-01-01,109,93,16,16,10,13,21,31,0,1,0,0,0,0,156,154,310
COCAPATA,atencion odontologica,medidas preventivas,2016-01-01,29,62,0,0,0,6,0,10,2,4,0,0,0,0,31,82,113
COCHABAMBA,atencion odontologica,medidas preventivas,2016-01-01,1434,1377,2234,2511,750,1250,1248,2645,484,374,0,0,0,0,6150,8157,14307
COIPASA,atencion odontologica,medidas preventivas,2016-01-01,0,2,4,1,0,1,2,9,1,1,0,0,0,0,7,14,21
COLCAPIRHUA,atencion odontologica,medidas preventivas,2016-01-01,53,83,2,19,1,3,2,16,6,4,0,0,0,0,64,125,189
"COLCHA ""K""",atencion odontologica,medidas preventivas,2016-01-01,16,15,6,2,1,1,0,9,2,2,0,0,0,0,25,29,54
COLLANA,atencion odontologica,medidas preventivas,2016-01-01,9,15,0,1,0,0,0,1,0,0,0,0,0,0,9,17,26
COLOMI,atencion odontologica,medidas preventivas,2016-01-01,28,23,0,0,0,3,0,5,1,3,0,0,0,0,29,34,63
COLPA BELGICA,atencion odontologica,medidas preventivas,2016-01-01,67,83,109,82,0,0,0,0,0,0,0,0,0,0,176,165,341
COLQUECHACA,atencion odontologica,medidas preventivas,2016-01-01,35,27,4,14,3,0,0,10,5,3,0,0,0,0,47,54,101
COLQUENCHA,atencion odontologica,medidas preventivas,2016-01-01,2,4,1,0,1,1,0,1,0,0,0,0,0,0,4,6,10
COLQUIRI,atencion odontologica,medidas preventivas,2016-01-01,87,70,33,33,3,17,11,43,3,3,0,0,0,0,137,166,303
COMANCHE,atencion odontologica,medidas preventivas,2016-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
COMARAPA,atencion odontologica,medidas preventivas,2016-01-01,21,26,1,2,2,7,2,13,6,1,0,0,0,0,32,49,81
COMBAYA,atencion odontologica,medidas preventivas,2016-01-01,5,3,1,1,0,2,0,0,3,3,0,0,0,0,9,9,18
CONCEPCION,atencion odontologica,medidas preventivas,2016-01-01,8,8,0,1,0,0,0,0,0,0,0,0,0,0,8,9,17
COPACABANA,atencion odontologica,medidas preventivas,2016-01-01,23,5,0,0,0,0,0,3,0,0,0,0,0,0,23,8,31
CORIPATA,atencion odontologica,medidas preventivas,2016-01-01,8,18,2,5,0,0,1,2,0,0,0,0,0,0,11,25,36
CORO CORO,atencion odontologica,medidas preventivas,2016-01-01,1,6,0,0,0,0,0,2,0,0,0,0,0,0,1,8,9
COROICO,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,1,3,0,1,2,0,0,0,0,0,0,4,3,7
CORQUE,atencion odontologica,medidas preventivas,2016-01-01,6,10,0,0,0,0,0,1,0,0,0,0,0,0,6,11,17
COTAGAITA,atencion odontologica,medidas preventivas,2016-01-01,47,47,31,21,1,7,17,27,1,0,0,0,0,0,97,102,199
COTOCA,atencion odontologica,medidas preventivas,2016-01-01,133,35,0,0,0,0,0,0,0,0,0,0,0,0,133,35,168
CUATRO CAÑADAS,atencion odontologica,medidas preventivas,2016-01-01,139,149,6,10,2,3,4,20,2,3,0,0,0,0,153,185,338
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,medidas preventivas,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUEVO,atencion odontologica,medidas preventivas,2016-01-01,1,1,0,1,0,1,1,3,0,0,0,0,0,0,2,6,8
CULPINA,atencion odontologica,medidas preventivas,2016-01-01,34,29,0,0,0,1,0,0,0,0,0,0,0,0,34,30,64
CURAHUARA DE CARANGAS,atencion odontologica,medidas preventivas,2016-01-01,9,6,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
CURVA,atencion odontologica,medidas preventivas,2016-01-01,15,30,0,1,0,0,0,4,0,0,0,0,0,0,15,35,50
DESAGUADERO,atencion odontologica,medidas preventivas,2016-01-01,4,1,0,0,0,1,0,0,0,0,0,0,0,0,4,2,6
EL ALTO,atencion odontologica,medidas preventivas,2016-01-01,593,650,1234,1453,420,691,265,566,58,41,0,0,0,0,2570,3401,5971
EL CHORO,atencion odontologica,medidas preventivas,2016-01-01,53,36,12,0,0,3,0,8,4,3,0,0,0,0,69,50,119
EL PUENTE(STC),atencion odontologica,medidas preventivas,2016-01-01,15,15,0,0,0,0,0,2,0,0,0,0,0,0,15,17,32
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2016-01-01,8,15,7,20,6,12,0,1,1,0,0,0,0,0,22,48,70
EL TORNO,atencion odontologica,medidas preventivas,2016-01-01,198,193,77,92,18,59,30,109,1,11,0,0,0,0,324,464,788
EL VILLAR,atencion odontologica,medidas preventivas,2016-01-01,0,0,7,2,0,0,0,0,0,0,0,0,0,0,7,2,9
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2016-01-01,25,31,28,28,3,14,9,23,2,0,0,0,0,0,67,96,163
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2016-01-01,13,43,0,3,0,1,0,2,0,0,0,0,0,0,13,49,62
ESCOMA,atencion odontologica,medidas preventivas,2016-01-01,4,6,10,0,0,0,0,2,0,1,0,0,0,0,14,9,23
EUCALIPTUS,atencion odontologica,medidas preventivas,2016-01-01,2,0,2,0,1,0,0,1,0,0,0,0,0,0,5,1,6
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2016-01-01,6,7,0,4,2,3,3,2,0,0,0,0,0,0,11,16,27
FILADELFIA,atencion odontologica,medidas preventivas,2016-01-01,3,13,1,2,1,2,1,2,0,0,0,0,0,0,6,19,25
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2016-01-01,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,6,6
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2016-01-01,19,28,3,7,0,2,2,5,2,2,0,0,0,0,26,44,70
GUANAY,atencion odontologica,medidas preventivas,2016-01-01,11,13,2,1,0,0,0,1,0,0,0,0,0,0,13,15,28
GUAQUI,atencion odontologica,medidas preventivas,2016-01-01,16,24,0,2,0,6,2,14,8,5,0,0,0,0,26,51,77
GUAYARAMERIN,atencion odontologica,medidas preventivas,2016-01-01,12,19,10,12,4,17,0,25,0,0,0,0,0,0,26,73,99
GUTIERREZ,atencion odontologica,medidas preventivas,2016-01-01,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
HUACARETA,atencion odontologica,medidas preventivas,2016-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2016-01-01,21,20,1,0,0,2,1,3,0,0,0,0,0,0,23,25,48
HUACHACALLA,atencion odontologica,medidas preventivas,2016-01-01,1,0,8,2,0,1,3,2,3,0,0,0,0,0,15,5,20
HUANUNI,atencion odontologica,medidas preventivas,2016-01-01,47,30,86,110,53,75,69,58,8,7,0,0,0,0,263,280,543
HUARINA,atencion odontologica,medidas preventivas,2016-01-01,8,14,2,0,0,0,0,1,0,1,0,0,0,0,10,16,26
HUATAJATA,atencion odontologica,medidas preventivas,2016-01-01,18,10,7,0,0,0,0,7,20,4,0,0,0,0,45,21,66
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2016-01-01,2,0,4,18,0,0,0,1,0,0,0,0,0,0,6,19,25
HUMANATA,atencion odontologica,medidas preventivas,2016-01-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ICHOCA,atencion odontologica,medidas preventivas,2016-01-01,14,14,0,0,0,0,0,5,0,0,0,0,0,0,14,19,33
ICLA,atencion odontologica,medidas preventivas,2016-01-01,106,97,5,14,0,3,0,2,0,0,0,0,0,0,111,116,227
INCAHUASI,atencion odontologica,medidas preventivas,2016-01-01,3,8,4,0,0,1,0,6,0,0,0,0,0,0,7,15,22
INGAVI (HUMAITA),atencion odontologica,medidas preventivas,2016-01-01,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4,4
INQUISIVI,atencion odontologica,medidas preventivas,2016-01-01,6,2,2,0,0,0,0,0,0,0,0,0,0,0,8,2,10
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2016-01-01,81,74,7,1,2,3,0,3,3,3,0,0,0,0,93,84,177
IXIAMAS,atencion odontologica,medidas preventivas,2016-01-01,6,7,6,1,1,1,0,2,0,0,0,0,0,0,13,11,24
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2016-01-01,7,11,0,1,0,0,0,0,0,0,0,0,0,0,7,12,19
LA ASUNTA,atencion odontologica,medidas preventivas,2016-01-01,29,18,1,3,0,0,1,4,0,0,0,0,0,0,31,25,56
LA GUARDIA,atencion odontologica,medidas preventivas,2016-01-01,174,111,3,8,3,6,1,18,10,7,0,0,0,0,191,150,341
LA PAZ,atencion odontologica,medidas preventivas,2016-01-01,955,953,841,1213,326,342,381,676,216,169,0,0,0,0,2719,3353,6072
LAGUNILLAS,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,30
LAJA,atencion odontologica,medidas preventivas,2016-01-01,6,12,0,0,0,1,0,2,0,0,0,0,0,0,6,15,21
LAS CARRERAS,atencion odontologica,medidas preventivas,2016-01-01,1,1,1,0,0,1,0,5,0,0,0,0,0,0,2,7,9
LLALLAGUA,atencion odontologica,medidas preventivas,2016-01-01,75,67,30,41,15,25,23,47,5,3,0,0,0,0,148,183,331
LURIBAY,atencion odontologica,medidas preventivas,2016-01-01,12,7,0,0,0,0,1,3,1,0,0,0,0,0,14,10,24
MACHACAMARCA,atencion odontologica,medidas preventivas,2016-01-01,9,16,87,8,11,3,5,7,2,6,0,0,0,0,114,40,154
MACHARETI,atencion odontologica,medidas preventivas,2016-01-01,3,7,0,0,0,0,0,5,0,2,0,0,0,0,3,14,17
MAGDALENA,atencion odontologica,medidas preventivas,2016-01-01,2,3,7,5,3,2,12,9,0,0,0,0,0,0,24,19,43
MAIRANA,atencion odontologica,medidas preventivas,2016-01-01,30,37,31,40,2,6,1,11,0,0,0,0,0,0,64,94,158
MALLA,atencion odontologica,medidas preventivas,2016-01-01,3,2,0,0,0,0,0,0,1,0,0,0,0,0,4,2,6
MAPIRI,atencion odontologica,medidas preventivas,2016-01-01,6,3,2,0,0,0,0,1,0,0,0,0,0,0,8,4,12
MECAPACA,atencion odontologica,medidas preventivas,2016-01-01,14,21,3,8,0,2,0,12,4,1,0,0,0,0,21,44,65
MINEROS,atencion odontologica,medidas preventivas,2016-01-01,0,1,0,0,0,23,0,35,3,2,0,0,0,0,3,61,64
MIZQUE,atencion odontologica,medidas preventivas,2016-01-01,19,9,3,4,0,0,0,0,3,2,0,0,0,0,25,15,40
MOCOMOCO,atencion odontologica,medidas preventivas,2016-01-01,9,8,1,0,0,0,0,1,0,0,0,0,0,0,10,9,19
MOJOCOYA,atencion odontologica,medidas preventivas,2016-01-01,28,28,0,0,0,3,0,0,1,1,0,0,0,0,29,32,61
MONTEAGUDO,atencion odontologica,medidas preventivas,2016-01-01,64,70,5,9,3,5,4,12,0,1,0,0,0,0,76,97,173
MONTERO,atencion odontologica,medidas preventivas,2016-01-01,79,86,58,121,26,15,17,55,7,15,0,0,0,0,187,292,479
MORO MORO,atencion odontologica,medidas preventivas,2016-01-01,22,17,0,0,0,0,0,0,0,0,0,0,0,0,22,17,39
MOROCHATA,atencion odontologica,medidas preventivas,2016-01-01,43,52,1,0,0,13,0,7,10,8,0,0,0,0,54,80,134
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,medidas preventivas,2016-01-01,3,2,0,1,0,0,0,1,0,1,0,0,0,0,3,5,8
OCURI,atencion odontologica,medidas preventivas,2016-01-01,8,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,10
OKINAWA,atencion odontologica,medidas preventivas,2016-01-01,4,2,0,1,0,1,0,1,0,0,0,0,0,0,4,5,9
ORURO,atencion odontologica,medidas preventivas,2016-01-01,280,347,420,435,172,360,308,409,83,69,0,0,0,0,1263,1620,2883
PADCAYA,atencion odontologica,medidas preventivas,2016-01-01,4,8,5,2,4,2,1,5,0,0,0,0,0,0,14,17,31
PADILLA,atencion odontologica,medidas preventivas,2016-01-01,17,17,8,10,2,0,0,0,0,0,0,0,0,0,27,27,54
PAILON,atencion odontologica,medidas preventivas,2016-01-01,8,8,0,0,0,0,0,3,0,0,0,0,0,0,8,11,19
PALCA,atencion odontologica,medidas preventivas,2016-01-01,37,36,2,2,0,3,0,14,0,0,0,0,0,0,39,55,94
PALOS BLANCOS,atencion odontologica,medidas preventivas,2016-01-01,23,15,20,11,6,11,12,28,7,8,0,0,0,0,68,73,141
PAMPA AULLAGAS,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,6,6
PAMPA GRANDE,atencion odontologica,medidas preventivas,2016-01-01,9,12,0,0,0,2,0,1,0,0,0,0,0,0,9,15,24
PAPEL PAMPA,atencion odontologica,medidas preventivas,2016-01-01,7,2,0,1,0,2,0,3,2,0,0,0,0,0,9,8,17
PASORAPA,atencion odontologica,medidas preventivas,2016-01-01,0,3,4,0,4,2,6,16,4,8,0,0,0,0,18,29,47
PAZÑA,atencion odontologica,medidas preventivas,2016-01-01,1,6,5,4,1,7,0,5,3,4,0,0,0,0,10,26,36
PELECHUCO,atencion odontologica,medidas preventivas,2016-01-01,8,3,0,0,0,0,0,0,1,2,0,0,0,0,9,5,14
POCOATA,atencion odontologica,medidas preventivas,2016-01-01,30,27,2,0,0,0,0,2,0,0,0,0,0,0,32,29,61
POCONA,atencion odontologica,medidas preventivas,2016-01-01,8,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10
POJO (CBBA),atencion odontologica,medidas preventivas,2016-01-01,8,7,0,2,0,1,0,4,0,0,0,0,0,0,8,14,22
POOPO,atencion odontologica,medidas preventivas,2016-01-01,11,10,54,42,10,28,4,5,4,5,0,0,0,0,83,90,173
PORCO,atencion odontologica,medidas preventivas,2016-01-01,9,9,5,4,1,1,1,10,0,0,0,0,0,0,16,24,40
POROMA,atencion odontologica,medidas preventivas,2016-01-01,18,22,2,0,1,0,0,2,0,0,0,0,0,0,21,24,45
PORONGO,atencion odontologica,medidas preventivas,2016-01-01,8,6,0,0,0,1,0,2,3,1,0,0,0,0,11,10,21
PORTACHUELO,atencion odontologica,medidas preventivas,2016-01-01,1,1,3,3,0,0,3,7,0,0,0,0,0,0,7,11,18
PORVENIR,atencion odontologica,medidas preventivas,2016-01-01,3,4,0,6,0,1,0,0,0,0,0,0,0,0,3,11,14
POSTRER VALLE,atencion odontologica,medidas preventivas,2016-01-01,20,5,0,0,0,0,0,1,0,0,0,0,0,0,20,6,26
POTOSI,atencion odontologica,medidas preventivas,2016-01-01,150,169,38,61,22,32,44,58,8,7,0,0,0,0,262,327,589
PRESTO,atencion odontologica,medidas preventivas,2016-01-01,50,53,2,4,0,0,0,7,0,0,0,0,0,0,52,64,116
PUCARA,atencion odontologica,medidas preventivas,2016-01-01,21,4,0,0,0,0,0,0,0,0,0,0,0,0,21,4,25
PUCARANI,atencion odontologica,medidas preventivas,2016-01-01,11,8,0,6,0,3,2,16,6,4,0,0,0,0,19,37,56
PUERTO ACOSTA,atencion odontologica,medidas preventivas,2016-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO CARABUCO,atencion odontologica,medidas preventivas,2016-01-01,0,1,1,1,3,0,8,4,0,0,0,0,0,0,12,6,18
PUERTO GONZALO MORENO,atencion odontologica,medidas preventivas,2016-01-01,10,11,13,29,3,6,0,4,0,0,0,0,0,0,26,50,76
PUERTO QUIJARRO,atencion odontologica,medidas preventivas,2016-01-01,66,48,0,0,0,0,0,0,0,0,0,0,0,0,66,48,114
PUERTO RICO,atencion odontologica,medidas preventivas,2016-01-01,7,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
PUERTO VILLARROEL,atencion odontologica,medidas preventivas,2016-01-01,61,73,5,6,1,13,2,10,1,1,0,0,0,0,70,103,173
PUNA,atencion odontologica,medidas preventivas,2016-01-01,3,3,0,0,0,1,0,2,1,0,0,0,0,0,4,6,10
PUNATA,atencion odontologica,medidas preventivas,2016-01-01,23,18,8,7,0,22,4,17,1,6,0,0,0,0,36,70,106
QUIABAYA,atencion odontologica,medidas preventivas,2016-01-01,19,15,0,0,0,0,0,0,0,0,0,0,0,0,19,15,34
QUILLACOLLO,atencion odontologica,medidas preventivas,2016-01-01,423,426,412,423,210,383,277,605,46,57,0,0,0,0,1368,1894,3262
QUIME,atencion odontologica,medidas preventivas,2016-01-01,37,65,29,63,18,41,21,22,0,2,0,0,0,0,105,193,298
RAVELO,atencion odontologica,medidas preventivas,2016-01-01,7,6,0,1,0,0,0,0,0,0,0,0,0,0,7,7,14
REYES,atencion odontologica,medidas preventivas,2016-01-01,0,1,3,0,0,0,0,3,0,0,0,0,0,0,3,4,7
RIBERALTA,atencion odontologica,medidas preventivas,2016-01-01,122,126,41,31,29,34,47,79,23,13,0,0,0,0,262,283,545
RURRENABAQUE,atencion odontologica,medidas preventivas,2016-01-01,12,14,10,10,8,10,4,6,3,3,0,0,0,0,37,43,80
SABAYA,atencion odontologica,medidas preventivas,2016-01-01,3,6,2,5,1,3,0,2,1,1,0,0,0,0,7,17,24
SACABA,atencion odontologica,medidas preventivas,2016-01-01,141,160,144,196,86,117,75,258,60,52,0,0,0,0,506,783,1289
SACABAMBA,atencion odontologica,medidas preventivas,2016-01-01,2,3,0,0,0,1,0,2,1,3,0,0,0,0,3,9,12
SACACA,atencion odontologica,medidas preventivas,2016-01-01,9,11,3,0,0,6,0,14,0,1,0,0,0,0,12,32,44
SALINAS DE GARCI MENDOZA,atencion odontologica,medidas preventivas,2016-01-01,43,30,3,3,0,1,1,6,6,8,0,0,0,0,53,48,101
