,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES,TOTALES,TOTALES
CATACORA,atencion odontologica,restauraciones,2016-01-01,0,6,2,4,0,4,0,5,0,0,0,0,0,0,2,19,21
CHALLAPATA,atencion odontologica,restauraciones,2016-01-01,89,116,76,139,9,51,27,142,7,34,0,0,0,0,208,482,690
CHAQUI,atencion odontologica,restauraciones,2016-01-01,14,5,6,3,1,4,6,18,5,1,0,0,0,0,32,31,63
CHARAGUA,atencion odontologica,restauraciones,2016-01-01,11,4,7,3,2,13,2,17,2,0,0,0,0,0,24,37,61
CHARAÑA,atencion odontologica,restauraciones,2016-01-01,1,0,0,1,0,0,0,6,0,0,0,0,0,0,1,7,8
CHAYANTA,atencion odontologica,restauraciones,2016-01-01,8,16,6,4,0,6,5,27,0,3,0,0,0,0,19,56,75
CHIMORE,atencion odontologica,restauraciones,2016-01-01,24,48,23,47,18,29,10,79,2,1,0,0,0,0,77,204,281
CHIPAYA,atencion odontologica,restauraciones,2016-01-01,0,0,2,1,0,0,2,2,4,0,0,0,0,0,8,3,11
CHOQUE COTA,atencion odontologica,restauraciones,2016-01-01,0,3,0,0,0,1,1,1,0,0,0,0,0,0,1,5,6
CHUA COCANI,atencion odontologica,restauraciones,2016-01-01,1,0,4,1,0,4,4,0,0,2,0,0,0,0,9,7,16
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2016-01-01,14,14,3,6,2,32,2,50,1,1,0,0,0,0,22,103,125
CHUMA,atencion odontologica,restauraciones,2016-01-01,16,21,9,21,8,21,45,73,10,2,0,0,0,0,88,138,226
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2016-01-01,2,6,1,1,3,8,1,10,1,0,0,0,0,0,8,25,33
CKOCHAS,atencion odontologica,restauraciones,2016-01-01,6,3,2,0,0,4,5,13,1,0,0,0,0,0,14,20,34
CLIZA,atencion odontologica,restauraciones,2016-01-01,52,32,35,56,2,18,4,51,21,22,0,0,0,0,114,179,293
COBIJA,atencion odontologica,restauraciones,2016-01-01,30,29,42,55,43,83,47,93,1,0,0,0,0,0,163,260,423
COCAPATA,atencion odontologica,restauraciones,2016-01-01,15,35,0,0,0,23,0,12,0,5,0,0,0,0,15,75,90
COCHABAMBA,atencion odontologica,restauraciones,2016-01-01,1120,884,1356,1629,612,1184,913,2486,345,290,0,0,0,0,4346,6473,10819
COIPASA,atencion odontologica,restauraciones,2016-01-01,0,3,11,8,3,7,0,4,0,0,0,0,0,0,14,22,36
COLCAPIRHUA,atencion odontologica,restauraciones,2016-01-01,115,133,6,1,0,18,5,90,11,1,0,0,0,0,137,243,380
"COLCHA ""K""",atencion odontologica,restauraciones,2016-01-01,27,15,1,0,0,2,6,16,10,12,0,0,0,0,44,45,89
COLLANA,atencion odontologica,restauraciones,2016-01-01,0,0,1,1,3,1,1,2,0,2,0,0,0,0,5,6,11
COLOMI,atencion odontologica,restauraciones,2016-01-01,17,13,0,0,0,5,0,9,2,2,0,0,0,0,19,29,48
COLPA BELGICA,atencion odontologica,restauraciones,2016-01-01,26,28,0,0,0,0,0,0,0,0,0,0,0,0,26,28,54
COLQUECHACA,atencion odontologica,restauraciones,2016-01-01,21,21,22,31,9,23,22,46,2,3,0,0,0,0,76,124,200
COLQUENCHA,atencion odontologica,restauraciones,2016-01-01,2,6,3,14,3,9,7,15,0,0,0,0,0,0,15,44,59
COLQUIRI,atencion odontologica,restauraciones,2016-01-01,18,26,5,27,2,19,11,55,12,4,0,0,0,0,48,131,179
COMANCHE,atencion odontologica,restauraciones,2016-01-01,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,4,5
COMARAPA,atencion odontologica,restauraciones,2016-01-01,17,35,8,13,2,20,25,64,8,6,0,0,0,0,60,138,198
COMBAYA,atencion odontologica,restauraciones,2016-01-01,3,1,1,1,0,8,0,1,4,3,0,0,0,0,8,14,22
CONCEPCION,atencion odontologica,restauraciones,2016-01-01,9,8,22,9,6,7,21,26,0,0,0,0,0,0,58,50,108
COPACABANA,atencion odontologica,restauraciones,2016-01-01,15,14,5,5,2,4,0,13,1,1,0,0,0,0,23,37,60
CORIPATA,atencion odontologica,restauraciones,2016-01-01,11,12,2,12,6,3,5,18,0,0,0,0,0,0,24,45,69
CORO CORO,atencion odontologica,restauraciones,2016-01-01,0,6,1,1,3,2,0,3,1,0,0,0,0,0,5,12,17
COROICO,atencion odontologica,restauraciones,2016-01-01,19,23,20,21,37,14,36,27,5,6,0,0,0,0,117,91,208
CORQUE,atencion odontologica,restauraciones,2016-01-01,5,15,1,0,0,5,1,15,6,9,0,0,0,0,13,44,57
COTAGAITA,atencion odontologica,restauraciones,2016-01-01,35,20,57,63,21,43,76,126,7,8,0,0,0,0,196,260,456
COTOCA,atencion odontologica,restauraciones,2016-01-01,42,35,1,1,0,0,0,49,8,5,0,0,0,0,51,90,141
CUATRO CAÑADAS,atencion odontologica,restauraciones,2016-01-01,44,64,15,22,4,14,12,96,6,1,0,0,0,0,81,197,278
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2016-01-01,9,0,0,0,0,8,0,2,0,0,0,0,0,0,9,10,19
CUEVO,atencion odontologica,restauraciones,2016-01-01,1,0,5,11,7,7,3,15,1,0,0,0,0,0,17,33,50
CULPINA,atencion odontologica,restauraciones,2016-01-01,18,14,1,3,1,3,4,35,1,5,0,0,0,0,25,60,85
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2016-01-01,9,9,0,0,0,2,0,12,2,0,0,0,0,0,11,23,34
CURVA,atencion odontologica,restauraciones,2016-01-01,0,3,1,0,0,0,3,0,0,0,0,0,0,0,4,3,7
DESAGUADERO,atencion odontologica,restauraciones,2016-01-01,3,1,0,1,1,0,0,0,0,0,0,0,0,0,4,2,6
EL ALTO,atencion odontologica,restauraciones,2016-01-01,1070,1363,1858,4086,716,1491,525,1226,99,81,0,0,0,0,4268,8247,12515
EL CHORO,atencion odontologica,restauraciones,2016-01-01,13,25,7,2,0,5,1,2,3,5,0,0,0,0,24,39,63
EL PUENTE(STC),atencion odontologica,restauraciones,2016-01-01,8,9,0,1,2,3,3,17,2,0,0,0,0,0,15,30,45
EL PUENTE(TJA),atencion odontologica,restauraciones,2016-01-01,8,10,14,17,4,37,10,59,0,0,0,0,0,0,36,123,159
EL TORNO,atencion odontologica,restauraciones,2016-01-01,70,78,22,30,29,39,23,121,17,11,0,0,0,0,161,279,440
EL VILLAR,atencion odontologica,restauraciones,2016-01-01,2,4,14,6,0,25,6,19,0,0,0,0,0,0,22,54,76
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2016-01-01,2,1,22,52,7,76,28,112,0,0,0,0,0,0,59,241,300
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2016-01-01,47,61,1,2,1,13,2,45,1,1,0,0,0,0,52,122,174
ESCOMA,atencion odontologica,restauraciones,2016-01-01,8,4,4,0,0,1,5,13,6,3,0,0,0,0,23,21,44
EUCALIPTUS,atencion odontologica,restauraciones,2016-01-01,9,7,6,10,19,5,7,37,2,1,0,0,0,0,43,60,103
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2016-01-01,11,24,13,7,13,19,25,34,11,4,0,0,0,0,73,88,161
FILADELFIA,atencion odontologica,restauraciones,2016-01-01,5,5,3,5,1,10,3,6,0,0,0,0,0,0,12,26,38
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2016-01-01,2,2,1,1,0,0,2,3,0,0,0,0,0,0,5,6,11
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2016-01-01,0,0,1,1,0,0,16,14,5,10,0,0,0,0,22,25,47
GUANAY,atencion odontologica,restauraciones,2016-01-01,3,2,4,3,7,2,6,6,1,2,0,0,0,0,21,15,36
GUAQUI,atencion odontologica,restauraciones,2016-01-01,5,8,2,5,11,7,5,21,1,2,0,0,0,0,24,43,67
GUAYARAMERIN,atencion odontologica,restauraciones,2016-01-01,41,39,60,74,81,191,222,390,28,80,0,0,0,0,432,774,1206
GUTIERREZ,atencion odontologica,restauraciones,2016-01-01,2,0,0,0,4,0,2,11,10,0,0,0,0,0,18,11,29
HUACARETA,atencion odontologica,restauraciones,2016-01-01,3,5,0,0,1,0,0,1,0,0,0,0,0,0,4,6,10
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2016-01-01,4,2,4,2,4,5,2,7,0,0,0,0,0,0,14,16,30
HUACHACALLA,atencion odontologica,restauraciones,2016-01-01,2,2,8,1,0,7,15,14,4,1,0,0,0,0,29,25,54
HUANUNI,atencion odontologica,restauraciones,2016-01-01,44,72,65,137,99,153,134,115,15,7,0,0,0,0,357,484,841
HUARACAJE,atencion odontologica,restauraciones,2016-01-01,2,2,0,0,0,0,1,4,2,0,0,0,0,0,5,6,11
HUARINA,atencion odontologica,restauraciones,2016-01-01,2,4,3,0,0,3,1,9,0,0,0,0,0,0,6,16,22
HUATAJATA,atencion odontologica,restauraciones,2016-01-01,1,3,2,0,2,4,4,5,5,0,0,0,0,0,14,12,26
HUAYLLAMARCA,atencion odontologica,restauraciones,2016-01-01,0,2,13,18,3,2,6,8,6,0,0,0,0,0,28,30,58
HUMANATA,atencion odontologica,restauraciones,2016-01-01,3,2,0,0,0,0,0,0,6,5,0,0,0,0,9,7,16
ICHOCA,atencion odontologica,restauraciones,2016-01-01,1,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1,4
ICLA,atencion odontologica,restauraciones,2016-01-01,8,16,2,17,4,8,8,31,0,0,0,0,0,0,22,72,94
INCAHUASI,atencion odontologica,restauraciones,2016-01-01,1,1,2,8,0,10,10,14,0,0,0,0,0,0,13,33,46
INQUISIVI,atencion odontologica,restauraciones,2016-01-01,0,0,1,0,0,2,1,5,0,0,0,0,0,0,2,7,9
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2016-01-01,55,40,3,4,0,15,10,19,5,0,0,0,0,0,73,78,151
IXIAMAS,atencion odontologica,restauraciones,2016-01-01,7,8,11,21,6,20,13,15,0,0,0,0,0,0,37,64,101
JESUS DE MACHACA,atencion odontologica,restauraciones,2016-01-01,2,7,3,1,0,2,2,4,2,1,0,0,0,0,9,15,24
LA ASUNTA,atencion odontologica,restauraciones,2016-01-01,25,15,17,28,13,15,11,52,0,2,0,0,0,0,66,112,178
LA GUARDIA,atencion odontologica,restauraciones,2016-01-01,56,78,2,10,3,40,7,47,19,4,0,0,0,0,87,179,266
LA PAZ,atencion odontologica,restauraciones,2016-01-01,1489,1417,1327,1489,672,911,1122,2273,283,316,0,0,0,0,4893,6406,11299
LAGUNILLAS,atencion odontologica,restauraciones,2016-01-01,0,0,1,1,0,12,1,8,0,0,0,0,0,0,2,21,23
LAJA,atencion odontologica,restauraciones,2016-01-01,4,3,0,4,2,2,2,10,0,2,0,0,0,0,8,21,29
LAS CARRERAS,atencion odontologica,restauraciones,2016-01-01,0,1,0,1,1,2,1,6,0,0,0,0,0,0,2,10,12
LICOMA PAMPA,atencion odontologica,restauraciones,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LLALLAGUA,atencion odontologica,restauraciones,2016-01-01,80,82,13,36,8,23,22,99,6,3,0,0,0,0,129,243,372
LURIBAY,atencion odontologica,restauraciones,2016-01-01,3,10,0,5,1,10,4,9,2,2,0,0,0,0,10,36,46
MACHACAMARCA,atencion odontologica,restauraciones,2016-01-01,12,7,38,5,7,9,11,48,15,14,0,0,0,0,83,83,166
MACHARETI,atencion odontologica,restauraciones,2016-01-01,13,3,1,1,0,3,0,5,0,0,0,0,0,0,14,12,26
MAGDALENA,atencion odontologica,restauraciones,2016-01-01,10,5,8,14,24,15,26,31,0,0,0,0,0,0,68,65,133
MAIRANA,atencion odontologica,restauraciones,2016-01-01,12,15,6,21,0,3,4,30,2,5,0,0,0,0,24,74,98
MALLA,atencion odontologica,restauraciones,2016-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
MAPIRI,atencion odontologica,restauraciones,2016-01-01,5,3,1,1,2,10,2,9,0,7,0,0,0,0,10,30,40
MECAPACA,atencion odontologica,restauraciones,2016-01-01,25,31,5,15,1,6,5,17,0,0,0,0,0,0,36,69,105
MINEROS,atencion odontologica,restauraciones,2016-01-01,10,5,1,0,3,6,3,27,0,0,0,0,0,0,17,38,55
MIZQUE,atencion odontologica,restauraciones,2016-01-01,50,37,9,20,0,6,2,12,3,1,0,0,0,0,64,76,140
MOCOMOCO,atencion odontologica,restauraciones,2016-01-01,1,5,4,3,6,4,6,10,2,0,0,0,0,0,19,22,41
MOJOCOYA,atencion odontologica,restauraciones,2016-01-01,2,8,5,0,5,7,12,22,0,0,0,0,0,0,24,37,61
MONTEAGUDO,atencion odontologica,restauraciones,2016-01-01,68,73,17,32,50,47,42,144,5,0,0,0,0,0,182,296,478
MONTERO,atencion odontologica,restauraciones,2016-01-01,34,60,73,131,45,116,39,209,22,28,0,0,0,0,213,544,757
MOROCHATA,atencion odontologica,restauraciones,2016-01-01,12,19,0,4,1,14,1,22,8,5,0,0,0,0,22,64,86
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,restauraciones,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OCURI,atencion odontologica,restauraciones,2016-01-01,2,0,0,0,0,3,0,10,0,3,0,0,0,0,2,16,18
OKINAWA,atencion odontologica,restauraciones,2016-01-01,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,3,4
ORURO,atencion odontologica,restauraciones,2016-01-01,638,665,559,535,292,536,709,1070,180,94,0,0,0,0,2378,2900,5278
PADCAYA,atencion odontologica,restauraciones,2016-01-01,6,1,20,23,28,29,7,45,7,0,0,0,0,0,68,98,166
PADILLA,atencion odontologica,restauraciones,2016-01-01,20,30,34,27,26,11,33,67,0,3,0,0,0,0,113,138,251
PAILON,atencion odontologica,restauraciones,2016-01-01,27,24,3,3,3,6,5,51,0,0,0,0,0,0,38,84,122
PALCA,atencion odontologica,restauraciones,2016-01-01,14,7,15,1,1,7,3,16,2,1,0,0,0,0,35,32,67
PALOS BLANCOS,atencion odontologica,restauraciones,2016-01-01,25,17,21,9,9,24,15,46,4,8,0,0,0,0,74,104,178
PAMPA AULLAGAS,atencion odontologica,restauraciones,2016-01-01,7,5,0,1,2,15,4,16,0,2,0,0,0,0,13,39,52
PAMPA GRANDE,atencion odontologica,restauraciones,2016-01-01,4,4,0,0,0,0,0,1,0,0,0,0,0,0,4,5,9
PAPEL PAMPA,atencion odontologica,restauraciones,2016-01-01,3,1,1,6,3,3,2,7,2,1,0,0,0,0,11,18,29
PASORAPA,atencion odontologica,restauraciones,2016-01-01,0,5,0,0,9,2,3,10,1,7,0,0,0,0,13,24,37
PAZÑA,atencion odontologica,restauraciones,2016-01-01,3,10,35,13,0,40,3,69,4,16,0,0,0,0,45,148,193
PELECHUCO,atencion odontologica,restauraciones,2016-01-01,7,2,0,0,0,0,2,2,0,2,0,0,0,0,9,6,15
POCOATA,atencion odontologica,restauraciones,2016-01-01,19,6,4,5,1,3,2,9,0,2,0,0,0,0,26,25,51
POCONA,atencion odontologica,restauraciones,2016-01-01,21,12,4,3,0,0,0,2,0,0,0,0,0,0,25,17,42
POJO (CBBA),atencion odontologica,restauraciones,2016-01-01,11,1,11,11,2,12,13,55,0,5,0,0,0,0,37,84,121
POOPO,atencion odontologica,restauraciones,2016-01-01,12,23,22,34,17,33,15,14,5,8,0,0,0,0,71,112,183
PORCO,atencion odontologica,restauraciones,2016-01-01,5,5,1,1,0,0,0,2,0,0,0,0,0,0,6,8,14
POROMA,atencion odontologica,restauraciones,2016-01-01,3,1,2,10,1,14,7,37,3,2,0,0,0,0,16,64,80
PORTACHUELO,atencion odontologica,restauraciones,2016-01-01,5,3,4,13,4,7,3,10,1,0,0,0,0,0,17,33,50
PORVENIR,atencion odontologica,restauraciones,2016-01-01,7,12,7,10,34,8,9,40,0,0,0,0,0,0,57,70,127
POSTRER VALLE,atencion odontologica,restauraciones,2016-01-01,19,4,0,2,0,3,1,10,1,3,0,0,0,0,21,22,43
POTOSI,atencion odontologica,restauraciones,2016-01-01,209,203,185,292,137,167,250,598,15,11,0,0,0,0,796,1271,2067
PRESTO,atencion odontologica,restauraciones,2016-01-01,1,4,2,6,1,6,7,30,0,0,0,0,0,0,11,46,57
PUCARA,atencion odontologica,restauraciones,2016-01-01,4,5,3,0,5,0,1,4,0,1,0,0,0,0,13,10,23
PUCARANI,atencion odontologica,restauraciones,2016-01-01,31,32,18,25,16,22,24,71,6,3,0,0,0,0,95,153,248
PUERTO ACOSTA,atencion odontologica,restauraciones,2016-01-01,2,2,4,4,1,7,7,10,2,7,0,0,0,0,16,30,46
PUERTO CARABUCO,atencion odontologica,restauraciones,2016-01-01,15,30,10,11,3,22,11,21,0,1,0,0,0,0,39,85,124
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2016-01-01,13,9,3,4,4,6,8,5,0,0,0,0,0,0,28,24,52
PUERTO QUIJARRO,atencion odontologica,restauraciones,2016-01-01,10,0,0,0,0,8,9,25,0,0,0,0,0,0,19,33,52
PUERTO RICO,atencion odontologica,restauraciones,2016-01-01,6,0,1,1,3,5,3,6,0,0,0,0,0,0,13,12,25
PUERTO VILLARROEL,atencion odontologica,restauraciones,2016-01-01,53,52,39,13,21,74,12,138,0,2,0,0,0,0,125,279,404
PUNA,atencion odontologica,restauraciones,2016-01-01,7,16,0,0,1,8,9,30,15,6,0,0,0,0,32,60,92
PUNATA,atencion odontologica,restauraciones,2016-01-01,10,17,4,17,0,14,0,24,0,2,0,0,0,0,14,74,88
QUIABAYA,atencion odontologica,restauraciones,2016-01-01,9,0,2,0,0,5,2,6,0,0,0,0,0,0,13,11,24
QUILLACOLLO,atencion odontologica,restauraciones,2016-01-01,360,308,289,293,133,309,316,703,113,88,0,0,0,0,1211,1701,2912
QUIME,atencion odontologica,restauraciones,2016-01-01,56,104,36,69,42,37,111,54,12,11,0,0,0,0,257,275,532
QUIRUSILLAS,atencion odontologica,restauraciones,2016-01-01,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,4
RAVELO,atencion odontologica,restauraciones,2016-01-01,12,10,0,1,0,6,29,6,0,1,0,0,0,0,41,24,65
REYES,atencion odontologica,restauraciones,2016-01-01,1,0,0,0,0,5,5,5,0,0,0,0,0,0,6,10,16
RIBERALTA,atencion odontologica,restauraciones,2016-01-01,6,18,8,28,13,27,14,53,12,0,0,0,0,0,53,126,179
ROBORE,atencion odontologica,restauraciones,2016-01-01,2,1,0,2,0,3,0,10,0,0,0,0,0,0,2,16,18
RURRENABAQUE,atencion odontologica,restauraciones,2016-01-01,15,13,26,27,37,42,33,74,4,4,0,0,0,0,115,160,275
SABAYA,atencion odontologica,restauraciones,2016-01-01,6,4,14,12,2,9,10,42,16,7,0,0,0,0,48,74,122
SACABA,atencion odontologica,restauraciones,2016-01-01,225,259,112,119,80,97,55,314,55,33,0,0,0,0,527,822,1349
SACABAMBA,atencion odontologica,restauraciones,2016-01-01,0,3,2,1,0,7,2,7,0,1,0,0,0,0,4,19,23
SACACA,atencion odontologica,restauraciones,2016-01-01,10,11,1,3,0,3,3,20,1,1,0,0,0,0,15,38,53
SAIPINA,atencion odontologica,restauraciones,2016-01-01,5,4,3,3,2,5,3,14,3,0,0,0,0,0,16,26,42
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2016-01-01,14,18,20,13,3,29,14,28,14,7,0,0,0,0,65,95,160
SAMAIPATA,atencion odontologica,restauraciones,2016-01-01,13,15,10,6,0,9,8,10,4,1,0,0,0,0,35,41,76
SAN AGUSTIN,atencion odontologica,restauraciones,2016-01-01,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,4,5
SAN ANDRES,atencion odontologica,restauraciones,2016-01-01,1,0,0,5,1,6,3,12,2,0,0,0,0,0,7,23,30
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2016-01-01,0,0,1,0,0,0,10,15,14,8,0,0,0,0,25,23,48
