,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES,TOTALES,TOTALES
SANTA ROSA DEL SARA,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA TUNARI,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,1,0,4,1,9,6,1,24,3,1,0,0,0,0,18,32,50
BERMEJO,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,1,0,5,5,6,5,39,33,11,11,0,0,0,0,62,54,116
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,0,2,3,0,0,0,1,2,0,0,0,0,0,0,4,4,8
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,2,6,7,6,0,1,30,29,2,1,0,0,0,0,41,43,84
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,0,0,2,4,0,1,10,10,7,1,0,0,0,0,19,16,35
SAN IGNACIO,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,1,0,4,0,2,0,9,8,1,4,0,0,0,0,17,12,29
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UYUNI,atencion odontologica,trat. de fracturas dentoalveolares,2016-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARAPARI,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,4,5
COTOCA,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,0,0,0,1,1,10,8,0,2,0,0,0,0,11,11,22
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,2,9,7,8,4,1,26,32,12,3,0,0,0,0,51,53,104
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,3,0,1,4,0,0,8,16,6,1,0,0,0,0,18,21,39
PAILON,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN IGNACIO,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,0,0,0,0,0,10,14,2,1,0,0,0,0,12,15,27
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
YOTALA,atencion odontologica,trat. de fracturas dentoalveolares,2016-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
APOLO,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CARIPUYO,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,0,0,0,1,0,1,1,1,2,1,0,0,0,0,3,4,7
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,3,0,1,0,0,0,0,3,0,0,0,0,0,0,4,3,7
COTOCA,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,0,0,0,1,0,1,0,10,0,0,0,0,0,0,0,12,12
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,1,2,4,5,1,3,11,15,2,3,0,0,0,0,19,28,47
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,0,0,0,0,0,0,14,6,7,0,0,0,0,0,21,6,27
SAN IGNACIO,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,7,3,2,0,2,0,14,17,3,0,0,0,0,0,28,20,48
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4
VILLA TUNARI,atencion odontologica,trat. de fracturas dentoalveolares,2016-07-01,3,5,5,4,12,7,20,25,10,8,0,0,0,0,50,49,99
ARAMPAMPA,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,4,0,0,0,0,0,4,1,0,0,0,0,0,0,8,1,9
COROICO,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,6,6,10,1,1,15,22,5,1,0,0,0,0,27,40,67
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,2,0,4,4,0,1,9,17,5,0,0,0,0,0,20,22,42
PUERTO CARABUCO,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SACABA,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANDRES,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,0,1,0,0,0,11,21,1,5,0,0,0,0,13,26,39
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,2,0,0,1,4,3,6,3,7,2,0,0,0,0,19,9,28
TINGUIPAYA,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,0,0,0,0,1,2,4,1,3,0,0,0,0,3,8,11
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VILLA TUNARI,atencion odontologica,trat. de fracturas dentoalveolares,2016-08-01,0,0,7,9,3,12,8,33,3,0,0,0,0,0,21,54,75
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,2,0,1,0,0,0,0,2,0,0,0,0,0,0,3,2,5
COROICO,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
FILADELFIA,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,4,2,2,11,0,2,22,26,2,1,0,0,0,0,30,42,72
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,0,0,0,2,0,0,3,16,5,7,0,0,0,0,8,25,33
SAN BORJA,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,0,2,4,3,0,0,15,21,0,0,0,0,0,0,19,26,45
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,10,1,0,4,0,8,0,6,0,0,0,0,0,0,10,19,29
ZUDAÑEZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-09-01,0,0,0,0,0,0,0,0,9,8,0,0,0,0,9,8,17
ASCENCION DE GUARAYOS,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,0,0,0,0,0,0,20,24,0,0,0,0,0,0,20,24,44
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,2,0,0,1,0,0,0,1,1,0,0,0,0,0,3,2,5
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,5
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,2,4,18,7,1,0,19,19,3,7,0,0,0,0,43,37,80
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,0,0,0,1,0,0,0,3,3,0,0,0,0,0,3,4,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,0,3,1,9,4,1,18,20,6,4,0,0,0,0,29,37,66
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2016-10-01,0,0,2,2,0,0,1,1,0,2,0,0,0,0,3,5,8
ATOCHA,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CHAYANTA,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,0,1,0,1,2,1,5,0,0,0,0,0,0,3,7,10
CHIMORE,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,1,1,0,0,0,3,11,0,0,0,0,0,0,4,12,16
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,9,8,12,6,1,1,17,30,7,3,0,0,0,0,46,48,94
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,6,1,3,0,0,6,18,10,0,0,0,0,0,17,27,44
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,4,1,3,4,6,3,42,44,17,17,0,0,0,0,72,69,141
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,0,0,0,0,0,9,6,3,2,0,0,0,0,12,8,20
UYUNI,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,0,0,0,0,0,1,5,6,19,0,0,0,0,7,24,31
YAPACANI,atencion odontologica,trat. de fracturas dentoalveolares,2016-11-01,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,4,5
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2016-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHIMORE,atencion odontologica,trat. de fracturas dentoalveolares,2016-12-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-12-01,2,0,6,0,1,0,1,4,0,0,0,0,0,0,10,4,14
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-12-01,4,7,9,4,0,1,24,37,7,3,0,0,0,0,44,52,96
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-12-01,1,0,1,1,1,0,11,14,6,3,0,0,0,0,20,18,38
