,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES,TOTALES,TOTALES
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,3,8,0,7,0,5,0,0,0,0,0,0,3,20,23
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,2,8,5,12,0,4,16,10,10,0,0,0,0,34,33,67
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
MOROCHATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,4,0,2,0,1,0,1,0,0,0,0,0,8,8
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,3,5
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,3,4
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,1,1,1,0,1,1,1,0,0,0,0,0,0,2,4,6
SAN LORENZO(TJA),atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LUCAS,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,1,3,4,0,2,3,9,1,1,0,0,0,0,7,17,24
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,1,1,0,1,2,1,3,3,0,0,0,0,0,6,6,12
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,2,0,0,1,1,2,6,8,10,4,0,0,0,0,19,15,34
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,4,8,0,0,0,3,1,0,0,0,0,0,5,11,16
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,1,3,5,1,1,10,9,0,2,0,0,0,0,14,18,32
TIQUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,1,0,5,3,0,0,1,1,2,0,0,0,0,0,9,4,13
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,1,9,7,11,0,3,1,5,4,5,0,0,0,0,13,33,46
UMALA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,1,2,1,0,1,5,1,0,0,0,0,0,0,7,4,11
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,3,0,0,0,3,1,0,0,0,0,0,1,6,7
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,2,1,11,10,0,4,1,10,22,7,0,0,0,0,36,32,68
YOCALLA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,2,5
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,3,1,2,2,5,6,1,2,0,0,0,0,11,11,22
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,2,3,1,1,9,8,7,0,2,0,0,0,0,12,21,33
CAPINOTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,8,1,2,1,4,6,0,0,0,0,0,0,14,8,22
CARIPUYO,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,14,2,2,4,1,3,3,4,0,0,0,0,20,13,33
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,2,3,9,19,1,3,6,17,5,0,0,0,0,0,23,42,65
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,1,3,2,4,12,16,14,0,3,0,0,0,0,23,32,55
CHAYANTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHIMORE,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,1,0,0,0,1,1,2,0,0,0,0,0,4,1,5
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,3,1,0,0,2,1,0,2,0,0,0,0,5,4,9
CORIPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,5,2,1,1,0,1,0,8,2,2,0,0,0,0,8,14,22
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,2,3,35,41,19,13,17,27,5,14,0,0,0,0,78,98,176
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,6,4,1,1,0,4,0,0,0,0,0,0,7,9,16
GUTIERREZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,1,0,0,0,2,4,8,13,0,1,0,0,0,0,11,18,29
MONTEAGUDO,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,5,2,5,0,2,1,16,2,2,0,0,0,0,5,30,35
MOROCHATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POCONA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,1,0,7,18,34,36,174,215,13,11,0,0,0,0,229,280,509
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,3
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,1,1,0,1,3,0,0,0,0,0,0,2,4,6
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,3,0,7,8,5,9,8,13,4,2,0,0,0,0,27,32,59
SACACA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,2,0,0,8,2,1,0,0,0,0,4,9,13
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,3,0,1,2,0,2,3,0,0,0,0,0,7,4,11
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,3,3,2,1,1,3,1,3,0,0,0,0,7,10,17
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,1,3,0,1,0,1,1,11,11,7,0,0,0,0,13,23,36
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,2,1,1,3,0,0,0,2,0,2,0,0,0,0,3,8,11
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,6,3,0,2,2,3,0,0,0,0,0,0,8,8,16
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,2,1,0,0,19,0,0,0,0,0,0,1,21,22
TARVITA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,1,0,2,8,5,1,4,0,0,0,0,9,12,21
TEOPONTE,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,8,8
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,1,0,0,0,0,2,6,11,0,0,0,0,0,0,7,13,20
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,0,1,0,0,2,1,0,1,0,0,0,0,2,3,5
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2016-03-01,0,0,2,0,1,2,6,4,3,2,0,0,0,0,12,8,20
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,1,0,0,1,0,3,1,0,0,0,0,0,0,0,2,4,6
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,1,0,0,1,0,1,0,3,0,1,0,0,0,0,1,6,7
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,1,1,3,2,2,1,0,0,0,0,0,0,6,4,10
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,7,6,12,18,0,0,3,21,2,7,0,0,0,0,24,52,76
CHAQUI,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CLIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,6,1,1,1,3,0,0,0,0,0,0,2,10,12
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
COMARAPA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,6,5,1,3,0,5,0,0,1,0,0,0,0,0,8,13,21
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,9,4,10,4,7,0,1,0,0,0,0,0,0,0,27,8,35
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,1,0,3,5,2,20,7,0,0,0,0,0,13,25,38
FERNANDEZ ALONSO,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,2,3,6,13,23,31,4,3,0,0,0,0,35,50,85
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PATACAMAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,1,7,2,3,0,1,0,3,0,0,0,0,0,0,3,14,17
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,1,0,1,0,0,1,1,5,0,0,0,0,0,0,3,6,9
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
QUIME,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,22,13,9,3,22,33,5,4,0,0,0,0,58,53,111
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,15
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,3,4
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,2,2,1,1,0,0,1,1,0,0,0,0,0,0,4,4,8
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,5,0,0,5,1,32,3,3,0,0,0,0,9,40,49
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,8,4,128,1,5,3,12,31,28,9,0,0,0,0,181,48,229
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,5,3,7,5,3,10,0,1,0,0,0,0,15,19,34
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,1,0,2,0,0,2,5,7,1,0,0,0,0,0,9,9,18
TEOPONTE,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,1,0,0,0,0,1,0,3,2,2,0,0,0,0,3,6,9
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,1,0,0,26,0,0,0,0,0,26,1,27
VILLA RIVERO,atencion odontologica,cirugia bucomaxilofacial menor,2016-04-01,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,4,2,0,0,2,3,0,0,0,0,0,0,6,5,11
BELEN DE URMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,3,0,2,2,0,0,0,0,0,2,5,7
CARIPUYO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,13,9,1,0,2,4,5,0,0,0,0,0,21,13,34
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,3,2,4,6,1,2,4,14,2,5,0,0,0,0,14,29,43
CHAQUI,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,1,1,1,0,3,0,0,0,0,1,5,6
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,2,4,0,4,0,0,0,0,2,8,10
COCAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,4,10,0,0,0,0,0,0,4,10,14
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,5,2,1,1,0,1,0,11,1,2,0,0,0,0,7,17,24
CUEVO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,9,7,12,15,0,2,0,3,0,0,0,0,0,0,21,27,48
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
GUANAY,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,7,7,1,0,4,1,7,5,1,4,0,0,0,0,20,17,37
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,1,1,3,3,1,0,2,2,0,0,0,0,0,0,7,6,13
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,1,0,2,11,23,21,18,21,0,0,0,0,0,0,44,53,97
LLALLAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,1,1,11,18,3,4,10,21,5,3,0,0,0,0,30,47,77
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,3,5
PADCAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
POCONA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POROMA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,2,0,0,5,3,0,0,0,0,0,0,5,5,10
PORONGO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,6,3,1,0,0,0,0,0,7,3,10
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,5,7,3,0,0,0,0,7,0,0,0,0,0,0,8,14,22
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,3,4
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,2,0,0,1,0,4,0,0,0,0,0,0,2,5,7
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,1,3,6,0,0,0,0,3,7,10
SAN MATIAS,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,2,6,9,11,31,60,133,24,50,0,0,0,0,101,225,326
SANTA ROSA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,1,2,0,2,0,3,0,0,0,0,0,0,1,7,8
SANTIAGO DE CALLAPA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,1,1,0,1,0,1,0,8,4,0,0,0,0,11,5,16
