municipality,group,variable,month,Exodoncias,TOTAL
COLQUIRI,atenciones odontologicas,exodoncias,2009-01-01,45,45
COMANCHE,atenciones odontologicas,exodoncias,2009-01-01,17,17
COMARAPA,atenciones odontologicas,exodoncias,2009-01-01,74,74
COMBAYA,atenciones odontologicas,exodoncias,2009-01-01,23,23
CONCEPCION,atenciones odontologicas,exodoncias,2009-01-01,27,27
COPACABANA,atenciones odontologicas,exodoncias,2009-01-01,47,47
CORIPATA,atenciones odontologicas,exodoncias,2009-01-01,94,94
CORO CORO,atenciones odontologicas,exodoncias,2009-01-01,25,25
COROICO,atenciones odontologicas,exodoncias,2009-01-01,119,119
COTAGAITA,atenciones odontologicas,exodoncias,2009-01-01,92,92
COTOCA,atenciones odontologicas,exodoncias,2009-01-01,46,46
CUATRO CAÑADAS,atenciones odontologicas,exodoncias,2009-01-01,31,31
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,exodoncias,2009-01-01,3,3
CUEVO,atenciones odontologicas,exodoncias,2009-01-01,16,16
CULPINA,atenciones odontologicas,exodoncias,2009-01-01,36,36
CURAHUARA DE CARANGAS,atenciones odontologicas,exodoncias,2009-01-01,31,31
CURVA,atenciones odontologicas,exodoncias,2009-01-01,10,10
DESAGUADERO,atenciones odontologicas,exodoncias,2009-01-01,92,92
EL ALTO,atenciones odontologicas,exodoncias,2009-01-01,3922,3922
EL PUENTE(STC),atenciones odontologicas,exodoncias,2009-01-01,55,55
EL PUENTE(TJA),atenciones odontologicas,exodoncias,2009-01-01,170,170
EL TORNO,atenciones odontologicas,exodoncias,2009-01-01,75,75
EL VILLAR,atenciones odontologicas,exodoncias,2009-01-01,13,13
ENTRE RIOS,atenciones odontologicas,exodoncias,2009-01-01,236,236
ENTRE RIOS,atenciones odontologicas,exodoncias,2009-01-01,43,43
EUCALIPTUS,atenciones odontologicas,exodoncias,2009-01-01,23,23
FERNANDEZ ALONSO,atenciones odontologicas,exodoncias,2009-01-01,37,37
FILADELFIA,atenciones odontologicas,exodoncias,2009-01-01,40,40
GENERAL SAAVEDRA,atenciones odontologicas,exodoncias,2009-01-01,58,58
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,exodoncias,2009-01-01,20,20
GUANAY,atenciones odontologicas,exodoncias,2009-01-01,42,42
GUAQUI,atenciones odontologicas,exodoncias,2009-01-01,87,87
GUAYARAMERIN,atenciones odontologicas,exodoncias,2009-01-01,210,210
GUTIERREZ,atenciones odontologicas,exodoncias,2009-01-01,125,125
HUACARETA,atenciones odontologicas,exodoncias,2009-01-01,28,28
HUACHACALLA,atenciones odontologicas,exodoncias,2009-01-01,13,13
HUANUNI,atenciones odontologicas,exodoncias,2009-01-01,95,95
HUARACAJE,atenciones odontologicas,exodoncias,2009-01-01,15,15
HUAYLLAMARCA,atenciones odontologicas,exodoncias,2009-01-01,12,12
ICLA,atenciones odontologicas,exodoncias,2009-01-01,36,36
INCAHUASI,atenciones odontologicas,exodoncias,2009-01-01,45,45
INQUISIVI,atenciones odontologicas,exodoncias,2009-01-01,41,41
IRUPANA (VILLA DE LANZA),atenciones odontologicas,exodoncias,2009-01-01,62,62
IXIAMAS,atenciones odontologicas,exodoncias,2009-01-01,89,89
JESUS DE MACHACA,atenciones odontologicas,exodoncias,2009-01-01,11,11
LA ASUNTA,atenciones odontologicas,exodoncias,2009-01-01,79,79
LA GUARDIA,atenciones odontologicas,exodoncias,2009-01-01,142,142
LA PAZ,atenciones odontologicas,exodoncias,2009-01-01,3031,3031
LAGUNILLAS,atenciones odontologicas,exodoncias,2009-01-01,23,23
LAJA,atenciones odontologicas,exodoncias,2009-01-01,125,125
LAS CARRERAS,atenciones odontologicas,exodoncias,2009-01-01,3,3
LICOMA PAMPA,atenciones odontologicas,exodoncias,2009-01-01,34,34
LLALLAGUA,atenciones odontologicas,exodoncias,2009-01-01,105,105
LLICA,atenciones odontologicas,exodoncias,2009-01-01,28,28
LURIBAY,atenciones odontologicas,exodoncias,2009-01-01,23,23
MACHACAMARCA,atenciones odontologicas,exodoncias,2009-01-01,48,48
MACHARETI,atenciones odontologicas,exodoncias,2009-01-01,23,23
MAGDALENA,atenciones odontologicas,exodoncias,2009-01-01,66,66
MAIRANA,atenciones odontologicas,exodoncias,2009-01-01,22,22
MAPIRI,atenciones odontologicas,exodoncias,2009-01-01,21,21
MECAPACA,atenciones odontologicas,exodoncias,2009-01-01,40,40
MINEROS,atenciones odontologicas,exodoncias,2009-01-01,45,45
MIZQUE,atenciones odontologicas,exodoncias,2009-01-01,28,28
MOCOMOCO,atenciones odontologicas,exodoncias,2009-01-01,57,57
MOJOCOYA,atenciones odontologicas,exodoncias,2009-01-01,37,37
MONTEAGUDO,atenciones odontologicas,exodoncias,2009-01-01,73,73
MONTERO,atenciones odontologicas,exodoncias,2009-01-01,123,123
MORO MORO,atenciones odontologicas,exodoncias,2009-01-01,12,12
MOROCHATA,atenciones odontologicas,exodoncias,2009-01-01,48,48
OCURI,atenciones odontologicas,exodoncias,2009-01-01,55,55
OKINAWA,atenciones odontologicas,exodoncias,2009-01-01,16,16
ORURO,atenciones odontologicas,exodoncias,2009-01-01,1383,1383
PADCAYA,atenciones odontologicas,exodoncias,2009-01-01,116,116
PADILLA,atenciones odontologicas,exodoncias,2009-01-01,29,29
PAILON,atenciones odontologicas,exodoncias,2009-01-01,80,80
PALCA,atenciones odontologicas,exodoncias,2009-01-01,18,18
PALOS BLANCOS,atenciones odontologicas,exodoncias,2009-01-01,75,75
PAMPA AULLAGAS,atenciones odontologicas,exodoncias,2009-01-01,18,18
PAMPA GRANDE,atenciones odontologicas,exodoncias,2009-01-01,10,10
PASORAPA,atenciones odontologicas,exodoncias,2009-01-01,48,48
PAZÑA,atenciones odontologicas,exodoncias,2009-01-01,32,32
PELECHUCO,atenciones odontologicas,exodoncias,2009-01-01,32,32
POCOATA,atenciones odontologicas,exodoncias,2009-01-01,57,57
POCONA,atenciones odontologicas,exodoncias,2009-01-01,26,26
POJO (CBBA),atenciones odontologicas,exodoncias,2009-01-01,29,29
POOPO,atenciones odontologicas,exodoncias,2009-01-01,15,15
PORCO,atenciones odontologicas,exodoncias,2009-01-01,27,27
POROMA,atenciones odontologicas,exodoncias,2009-01-01,23,23
PORONGO,atenciones odontologicas,exodoncias,2009-01-01,62,62
PORTACHUELO,atenciones odontologicas,exodoncias,2009-01-01,69,69
PORVENIR,atenciones odontologicas,exodoncias,2009-01-01,30,30
POSTRER VALLE,atenciones odontologicas,exodoncias,2009-01-01,21,21
POTOSI,atenciones odontologicas,exodoncias,2009-01-01,731,731
PRESTO,atenciones odontologicas,exodoncias,2009-01-01,15,15
PUCARA,atenciones odontologicas,exodoncias,2009-01-01,4,4
PUCARANI,atenciones odontologicas,exodoncias,2009-01-01,57,57
PUERTO ACOSTA,atenciones odontologicas,exodoncias,2009-01-01,169,169
PUERTO CARABUCO,atenciones odontologicas,exodoncias,2009-01-01,76,76
PUERTO GONZALO MORENO,atenciones odontologicas,exodoncias,2009-01-01,6,6
PUERTO PEREZ,atenciones odontologicas,exodoncias,2009-01-01,3,3
PUERTO QUIJARRO,atenciones odontologicas,exodoncias,2009-01-01,18,18
PUERTO RICO,atenciones odontologicas,exodoncias,2009-01-01,36,36
PUERTO SUAREZ,atenciones odontologicas,exodoncias,2009-01-01,61,61
PUERTO VILLARROEL,atenciones odontologicas,exodoncias,2009-01-01,46,46
PUNA,atenciones odontologicas,exodoncias,2009-01-01,77,77
PUNATA,atenciones odontologicas,exodoncias,2009-01-01,155,155
QUILLACOLLO,atenciones odontologicas,exodoncias,2009-01-01,240,240
QUIME,atenciones odontologicas,exodoncias,2009-01-01,98,98
QUIRUSILLAS,atenciones odontologicas,exodoncias,2009-01-01,5,5
REYES,atenciones odontologicas,exodoncias,2009-01-01,81,81
RIBERALTA,atenciones odontologicas,exodoncias,2009-01-01,292,292
ROBORE,atenciones odontologicas,exodoncias,2009-01-01,33,33
RURRENABAQUE,atenciones odontologicas,exodoncias,2009-01-01,85,85
SABAYA,atenciones odontologicas,exodoncias,2009-01-01,5,5
SACABA,atenciones odontologicas,exodoncias,2009-01-01,225,225
SACABAMBA,atenciones odontologicas,exodoncias,2009-01-01,7,7
SACACA,atenciones odontologicas,exodoncias,2009-01-01,35,35
SAIPINA,atenciones odontologicas,exodoncias,2009-01-01,25,25
SALINAS DE GARCI MENDOZA,atenciones odontologicas,exodoncias,2009-01-01,25,25
SAMAIPATA,atenciones odontologicas,exodoncias,2009-01-01,73,73
SAN AGUSTIN,atenciones odontologicas,exodoncias,2009-01-01,10,10
SAN ANDRES,atenciones odontologicas,exodoncias,2009-01-01,17,17
SAN ANDRES DE MACHACA,atenciones odontologicas,exodoncias,2009-01-01,18,18
SAN ANTONIO DE LOMERIO,atenciones odontologicas,exodoncias,2009-01-01,34,34
SAN BENITO,atenciones odontologicas,exodoncias,2009-01-01,56,56
SAN BORJA,atenciones odontologicas,exodoncias,2009-01-01,415,415
SAN BUENA VENTURA,atenciones odontologicas,exodoncias,2009-01-01,43,43
SAN CARLOS,atenciones odontologicas,exodoncias,2009-01-01,26,26
SAN IGNACIO,atenciones odontologicas,exodoncias,2009-01-01,231,231
SAN IGNACIO DE VELASCO,atenciones odontologicas,exodoncias,2009-01-01,183,183
SAN JAVIER(BNI),atenciones odontologicas,exodoncias,2009-01-01,25,25
SAN JAVIER(STC),atenciones odontologicas,exodoncias,2009-01-01,16,16
SAN JOAQUIN,atenciones odontologicas,exodoncias,2009-01-01,8,8
SAN JOSE DE CHIQUITOS,atenciones odontologicas,exodoncias,2009-01-01,73,73
SAN JUAN DE YAPACANI,atenciones odontologicas,exodoncias,2009-01-01,18,18
SAN JULIAN,atenciones odontologicas,exodoncias,2009-01-01,36,36
SAN LORENZO(PND),atenciones odontologicas,exodoncias,2009-01-01,13,13
SAN LORENZO(TJA),atenciones odontologicas,exodoncias,2009-01-01,125,125
SAN LUCAS,atenciones odontologicas,exodoncias,2009-01-01,63,63
SAN MATIAS,atenciones odontologicas,exodoncias,2009-01-01,74,74
SAN MIGUEL DE VELASCO,atenciones odontologicas,exodoncias,2009-01-01,62,62
SAN PEDRO,atenciones odontologicas,exodoncias,2009-01-01,34,34
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,exodoncias,2009-01-01,98,98
SAN PEDRO DE CURAHUARA,atenciones odontologicas,exodoncias,2009-01-01,8,8
SAN PEDRO DE TIQUINA,atenciones odontologicas,exodoncias,2009-01-01,34,34
SAN RAFAEL,atenciones odontologicas,exodoncias,2009-01-01,41,41
SAN RAMON,atenciones odontologicas,exodoncias,2009-01-01,38,38
SAN RAMON,atenciones odontologicas,exodoncias,2009-01-01,8,8
SANTA ANA,atenciones odontologicas,exodoncias,2009-01-01,124,124
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,exodoncias,2009-01-01,2245,2245
SANTA ROSA,atenciones odontologicas,exodoncias,2009-01-01,166,166
SANTA ROSA DEL SARA,atenciones odontologicas,exodoncias,2009-01-01,80,80
SANTIAGO DE HUARI,atenciones odontologicas,exodoncias,2009-01-01,39,39
SANTIAGO DE MACHACA,atenciones odontologicas,exodoncias,2009-01-01,24,24
SANTIVAÑES,atenciones odontologicas,exodoncias,2009-01-01,32,32
SANTUARIO DE QUILLACAS,atenciones odontologicas,exodoncias,2009-01-01,7,7
SAPAHAQUI,atenciones odontologicas,exodoncias,2009-01-01,21,21
SENA,atenciones odontologicas,exodoncias,2009-01-01,37,37
SICA SICA (VILLA AROMA),atenciones odontologicas,exodoncias,2009-01-01,53,53
SICAYA,atenciones odontologicas,exodoncias,2009-01-01,12,12
SIPE SIPE,atenciones odontologicas,exodoncias,2009-01-01,124,124
SOPACHUY,atenciones odontologicas,exodoncias,2009-01-01,49,49
SORACACHI,atenciones odontologicas,exodoncias,2009-01-01,7,7
SORATA,atenciones odontologicas,exodoncias,2009-01-01,120,120
SUCRE,atenciones odontologicas,exodoncias,2009-01-01,870,870
TACACOMA,atenciones odontologicas,exodoncias,2009-01-01,104,104
TAHUA,atenciones odontologicas,exodoncias,2009-01-01,12,12
TAPACARI,atenciones odontologicas,exodoncias,2009-01-01,61,61
TARABUCO,atenciones odontologicas,exodoncias,2009-01-01,45,45
TARACO,atenciones odontologicas,exodoncias,2009-01-01,34,34
TARATA,atenciones odontologicas,exodoncias,2009-01-01,18,18
TARIJA,atenciones odontologicas,exodoncias,2009-01-01,961,961
TARVITA,atenciones odontologicas,exodoncias,2009-01-01,55,55
TEOPONTE,atenciones odontologicas,exodoncias,2009-01-01,21,21
TIAWANACU,atenciones odontologicas,exodoncias,2009-01-01,90,90
TINGUIPAYA,atenciones odontologicas,exodoncias,2009-01-01,9,9
TIQUIPAYA,atenciones odontologicas,exodoncias,2009-01-01,113,113
TIRAQUE (CBBA),atenciones odontologicas,exodoncias,2009-01-01,99,99
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,exodoncias,2009-01-01,15,15
TOCO,atenciones odontologicas,exodoncias,2009-01-01,25,25
TOLATA,atenciones odontologicas,exodoncias,2009-01-01,19,19
TOLEDO,atenciones odontologicas,exodoncias,2009-01-01,35,35
TOMAVE,atenciones odontologicas,exodoncias,2009-01-01,20,20
TOMINA,atenciones odontologicas,exodoncias,2009-01-01,46,46
TORO TORO,atenciones odontologicas,exodoncias,2009-01-01,21,21
TOTORA(CBBA),atenciones odontologicas,exodoncias,2009-01-01,66,66
TOTORA(ORR),atenciones odontologicas,exodoncias,2009-01-01,3,3
TRIGAL,atenciones odontologicas,exodoncias,2009-01-01,22,22
TRINIDAD,atenciones odontologicas,exodoncias,2009-01-01,609,609
TUPIZA,atenciones odontologicas,exodoncias,2009-01-01,86,86
TURCO,atenciones odontologicas,exodoncias,2009-01-01,12,12
UMALA,atenciones odontologicas,exodoncias,2009-01-01,26,26
UNCIA,atenciones odontologicas,exodoncias,2009-01-01,96,96
URIONDO (A. CONCEPCION),atenciones odontologicas,exodoncias,2009-01-01,163,163
URUBICHA,atenciones odontologicas,exodoncias,2009-01-01,24,24
UYUNI,atenciones odontologicas,exodoncias,2009-01-01,153,153
VACAS,atenciones odontologicas,exodoncias,2009-01-01,26,26
VALLEGRANDE,atenciones odontologicas,exodoncias,2009-01-01,95,95
VIACHA,atenciones odontologicas,exodoncias,2009-01-01,155,155
VILA VILA,atenciones odontologicas,exodoncias,2009-01-01,3,3
VILLA MONTES,atenciones odontologicas,exodoncias,2009-01-01,251,251
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,exodoncias,2009-01-01,54,54
VILLA RIVERO,atenciones odontologicas,exodoncias,2009-01-01,23,23
VILLA SERRANO,atenciones odontologicas,exodoncias,2009-01-01,45,45
VILLA TUNARI,atenciones odontologicas,exodoncias,2009-01-01,194,194
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,exodoncias,2009-01-01,66,66
VILLAZON,atenciones odontologicas,exodoncias,2009-01-01,159,159
VINTO,atenciones odontologicas,exodoncias,2009-01-01,26,26
VITICHI,atenciones odontologicas,exodoncias,2009-01-01,1,1
WALDO BALLIVIAN,atenciones odontologicas,exodoncias,2009-01-01,15,15
WARNES,atenciones odontologicas,exodoncias,2009-01-01,110,110
YACO,atenciones odontologicas,exodoncias,2009-01-01,18,18
YACUIBA,atenciones odontologicas,exodoncias,2009-01-01,332,332
YAMPARAEZ,atenciones odontologicas,exodoncias,2009-01-01,27,27
YANACACHI,atenciones odontologicas,exodoncias,2009-01-01,29,29
YAPACANI,atenciones odontologicas,exodoncias,2009-01-01,66,66
YOCALLA,atenciones odontologicas,exodoncias,2009-01-01,3,3
YOTALA,atenciones odontologicas,exodoncias,2009-01-01,37,37
YUNCHARA,atenciones odontologicas,exodoncias,2009-01-01,53,53
ZUDAÑEZ,atenciones odontologicas,exodoncias,2009-01-01,37,37
ACHACACHI,atenciones odontologicas,exodoncias,2009-02-01,187,187
ACHOCALLA,atenciones odontologicas,exodoncias,2009-02-01,57,57
AIQUILE,atenciones odontologicas,exodoncias,2009-02-01,20,20
ALALAY,atenciones odontologicas,exodoncias,2009-02-01,1,1
ALCALA,atenciones odontologicas,exodoncias,2009-02-01,21,21
ANCORAIMES,atenciones odontologicas,exodoncias,2009-02-01,54,54
ANDAMARCA,atenciones odontologicas,exodoncias,2009-02-01,21,21
ANTEQUERA,atenciones odontologicas,exodoncias,2009-02-01,15,15
ANZALDO,atenciones odontologicas,exodoncias,2009-02-01,10,10
APOLO,atenciones odontologicas,exodoncias,2009-02-01,58,58
ARAMPAMPA,atenciones odontologicas,exodoncias,2009-02-01,3,3
ARANI,atenciones odontologicas,exodoncias,2009-02-01,56,56
ARBIETO,atenciones odontologicas,exodoncias,2009-02-01,6,6
ARQUE,atenciones odontologicas,exodoncias,2009-02-01,22,22
ASCENCION DE GUARAYOS,atenciones odontologicas,exodoncias,2009-02-01,50,50
AUCAPATA,atenciones odontologicas,exodoncias,2009-02-01,14,14
AYATA,atenciones odontologicas,exodoncias,2009-02-01,66,66
AYO AYO,atenciones odontologicas,exodoncias,2009-02-01,52,52
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,exodoncias,2009-02-01,105,105
AZURDUY,atenciones odontologicas,exodoncias,2009-02-01,23,23
BATALLAS,atenciones odontologicas,exodoncias,2009-02-01,73,73
BAURES,atenciones odontologicas,exodoncias,2009-02-01,73,73
BELEN DE URMIRI,atenciones odontologicas,exodoncias,2009-02-01,24,24
BERMEJO,atenciones odontologicas,exodoncias,2009-02-01,196,196
BETANZOS,atenciones odontologicas,exodoncias,2009-02-01,85,85
BOLIVAR,atenciones odontologicas,exodoncias,2009-02-01,22,22
BOLPEBRA,atenciones odontologicas,exodoncias,2009-02-01,29,29
BOYUIBE,atenciones odontologicas,exodoncias,2009-02-01,13,13
BUENA VISTA,atenciones odontologicas,exodoncias,2009-02-01,4,4
CABEZAS,atenciones odontologicas,exodoncias,2009-02-01,51,51
CAIROMA,atenciones odontologicas,exodoncias,2009-02-01,96,96
"CAIZA ""D""",atenciones odontologicas,exodoncias,2009-02-01,15,15
CAJUATA,atenciones odontologicas,exodoncias,2009-02-01,6,6
CALACOTO,atenciones odontologicas,exodoncias,2009-02-01,18,18
CALAMARCA,atenciones odontologicas,exodoncias,2009-02-01,53,53
CAMARGO,atenciones odontologicas,exodoncias,2009-02-01,69,69
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,exodoncias,2009-02-01,12,12
CAMIRI,atenciones odontologicas,exodoncias,2009-02-01,161,161
CAPINOTA,atenciones odontologicas,exodoncias,2009-02-01,31,31
CAQUIAVIRI,atenciones odontologicas,exodoncias,2009-02-01,34,34
CARACOLLO,atenciones odontologicas,exodoncias,2009-02-01,56,56
CARANAVI,atenciones odontologicas,exodoncias,2009-02-01,152,152
CARAPARI,atenciones odontologicas,exodoncias,2009-02-01,108,108
CARIPUYO,atenciones odontologicas,exodoncias,2009-02-01,5,5
CARMEN RIVERO TORREZ,atenciones odontologicas,exodoncias,2009-02-01,13,13
CATACORA,atenciones odontologicas,exodoncias,2009-02-01,64,64
CHALLAPATA,atenciones odontologicas,exodoncias,2009-02-01,112,112
CHAQUI,atenciones odontologicas,exodoncias,2009-02-01,15,15
CHARAGUA,atenciones odontologicas,exodoncias,2009-02-01,146,146
CHARAÑA,atenciones odontologicas,exodoncias,2009-02-01,78,78
CHAYANTA,atenciones odontologicas,exodoncias,2009-02-01,47,47
CHIMORE,atenciones odontologicas,exodoncias,2009-02-01,19,19
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,exodoncias,2009-02-01,61,61
CHUMA,atenciones odontologicas,exodoncias,2009-02-01,76,76
CLIZA,atenciones odontologicas,exodoncias,2009-02-01,27,27
COBIJA,atenciones odontologicas,exodoncias,2009-02-01,98,98
COCHABAMBA,atenciones odontologicas,exodoncias,2009-02-01,1065,1065
COLCAPIRHUA,atenciones odontologicas,exodoncias,2009-02-01,66,66
"COLCHA ""K""",atenciones odontologicas,exodoncias,2009-02-01,12,12
COLLANA,atenciones odontologicas,exodoncias,2009-02-01,19,19
COLOMI,atenciones odontologicas,exodoncias,2009-02-01,40,40
COLPA BELGICA,atenciones odontologicas,exodoncias,2009-02-01,28,28
COLQUECHACA,atenciones odontologicas,exodoncias,2009-02-01,29,29
COLQUENCHA,atenciones odontologicas,exodoncias,2009-02-01,48,48
COLQUIRI,atenciones odontologicas,exodoncias,2009-02-01,43,43
COMANCHE,atenciones odontologicas,exodoncias,2009-02-01,22,22
COMARAPA,atenciones odontologicas,exodoncias,2009-02-01,58,58
COMBAYA,atenciones odontologicas,exodoncias,2009-02-01,17,17
CONCEPCION,atenciones odontologicas,exodoncias,2009-02-01,22,22
COPACABANA,atenciones odontologicas,exodoncias,2009-02-01,59,59
CORIPATA,atenciones odontologicas,exodoncias,2009-02-01,75,75
CORO CORO,atenciones odontologicas,exodoncias,2009-02-01,12,12
COROICO,atenciones odontologicas,exodoncias,2009-02-01,93,93
CORQUE,atenciones odontologicas,exodoncias,2009-02-01,1,1
COTAGAITA,atenciones odontologicas,exodoncias,2009-02-01,100,100
COTOCA,atenciones odontologicas,exodoncias,2009-02-01,29,29
CUATRO CAÑADAS,atenciones odontologicas,exodoncias,2009-02-01,29,29
CUEVO,atenciones odontologicas,exodoncias,2009-02-01,14,14
CULPINA,atenciones odontologicas,exodoncias,2009-02-01,27,27
CURAHUARA DE CARANGAS,atenciones odontologicas,exodoncias,2009-02-01,49,49
CURVA,atenciones odontologicas,exodoncias,2009-02-01,7,7
DESAGUADERO,atenciones odontologicas,exodoncias,2009-02-01,86,86
EL ALTO,atenciones odontologicas,exodoncias,2009-02-01,2911,2911
EL PUENTE(STC),atenciones odontologicas,exodoncias,2009-02-01,51,51
EL PUENTE(TJA),atenciones odontologicas,exodoncias,2009-02-01,140,140
EL TORNO,atenciones odontologicas,exodoncias,2009-02-01,37,37
ENTRE RIOS,atenciones odontologicas,exodoncias,2009-02-01,124,124
ENTRE RIOS,atenciones odontologicas,exodoncias,2009-02-01,27,27
EUCALIPTUS,atenciones odontologicas,exodoncias,2009-02-01,27,27
EXALTACION,atenciones odontologicas,exodoncias,2009-02-01,35,35
FERNANDEZ ALONSO,atenciones odontologicas,exodoncias,2009-02-01,25,25
FILADELFIA,atenciones odontologicas,exodoncias,2009-02-01,25,25
GENERAL SAAVEDRA,atenciones odontologicas,exodoncias,2009-02-01,36,36
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,exodoncias,2009-02-01,34,34
GUANAY,atenciones odontologicas,exodoncias,2009-02-01,33,33
GUAQUI,atenciones odontologicas,exodoncias,2009-02-01,54,54
GUAYARAMERIN,atenciones odontologicas,exodoncias,2009-02-01,195,195
GUTIERREZ,atenciones odontologicas,exodoncias,2009-02-01,96,96
HUACARETA,atenciones odontologicas,exodoncias,2009-02-01,29,29
HUACHACALLA,atenciones odontologicas,exodoncias,2009-02-01,25,25
HUANUNI,atenciones odontologicas,exodoncias,2009-02-01,119,119
HUARACAJE,atenciones odontologicas,exodoncias,2009-02-01,49,49
HUAYLLAMARCA,atenciones odontologicas,exodoncias,2009-02-01,13,13
ICLA,atenciones odontologicas,exodoncias,2009-02-01,31,31
INCAHUASI,atenciones odontologicas,exodoncias,2009-02-01,45,45
INQUISIVI,atenciones odontologicas,exodoncias,2009-02-01,42,42
IRUPANA (VILLA DE LANZA),atenciones odontologicas,exodoncias,2009-02-01,38,38
