municipality,group,variable,month,Acciones preventivas,TOTAL
MACHACAMARCA,atenciones odontologicas,acciones preventivas,2009-01-01,58,58
MACHARETI,atenciones odontologicas,acciones preventivas,2009-01-01,44,44
MAGDALENA,atenciones odontologicas,acciones preventivas,2009-01-01,18,18
MAIRANA,atenciones odontologicas,acciones preventivas,2009-01-01,38,38
MAPIRI,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
MECAPACA,atenciones odontologicas,acciones preventivas,2009-01-01,9,9
MINEROS,atenciones odontologicas,acciones preventivas,2009-01-01,29,29
MIZQUE,atenciones odontologicas,acciones preventivas,2009-01-01,50,50
MOCOMOCO,atenciones odontologicas,acciones preventivas,2009-01-01,10,10
MOJOCOYA,atenciones odontologicas,acciones preventivas,2009-01-01,20,20
MONTEAGUDO,atenciones odontologicas,acciones preventivas,2009-01-01,321,321
MONTERO,atenciones odontologicas,acciones preventivas,2009-01-01,302,302
MORO MORO,atenciones odontologicas,acciones preventivas,2009-01-01,14,14
MOROCHATA,atenciones odontologicas,acciones preventivas,2009-01-01,68,68
OCURI,atenciones odontologicas,acciones preventivas,2009-01-01,12,12
OKINAWA,atenciones odontologicas,acciones preventivas,2009-01-01,6,6
ORURO,atenciones odontologicas,acciones preventivas,2009-01-01,2614,2614
PADCAYA,atenciones odontologicas,acciones preventivas,2009-01-01,486,486
PADILLA,atenciones odontologicas,acciones preventivas,2009-01-01,1,1
PAILON,atenciones odontologicas,acciones preventivas,2009-01-01,122,122
PALCA,atenciones odontologicas,acciones preventivas,2009-01-01,31,31
PALOS BLANCOS,atenciones odontologicas,acciones preventivas,2009-01-01,30,30
PAMPA AULLAGAS,atenciones odontologicas,acciones preventivas,2009-01-01,19,19
PAMPA GRANDE,atenciones odontologicas,acciones preventivas,2009-01-01,42,42
PASORAPA,atenciones odontologicas,acciones preventivas,2009-01-01,36,36
PATACAMAYA,atenciones odontologicas,acciones preventivas,2009-01-01,33,33
PAZÑA,atenciones odontologicas,acciones preventivas,2009-01-01,28,28
PELECHUCO,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
POCOATA,atenciones odontologicas,acciones preventivas,2009-01-01,143,143
POCONA,atenciones odontologicas,acciones preventivas,2009-01-01,25,25
POJO (CBBA),atenciones odontologicas,acciones preventivas,2009-01-01,78,78
POOPO,atenciones odontologicas,acciones preventivas,2009-01-01,11,11
PORCO,atenciones odontologicas,acciones preventivas,2009-01-01,22,22
POROMA,atenciones odontologicas,acciones preventivas,2009-01-01,32,32
PORONGO,atenciones odontologicas,acciones preventivas,2009-01-01,179,179
PORTACHUELO,atenciones odontologicas,acciones preventivas,2009-01-01,15,15
PORVENIR,atenciones odontologicas,acciones preventivas,2009-01-01,66,66
POTOSI,atenciones odontologicas,acciones preventivas,2009-01-01,474,474
PRESTO,atenciones odontologicas,acciones preventivas,2009-01-01,51,51
PUCARA,atenciones odontologicas,acciones preventivas,2009-01-01,6,6
PUCARANI,atenciones odontologicas,acciones preventivas,2009-01-01,35,35
PUERTO ACOSTA,atenciones odontologicas,acciones preventivas,2009-01-01,12,12
PUERTO CARABUCO,atenciones odontologicas,acciones preventivas,2009-01-01,7,7
PUERTO GONZALO MORENO,atenciones odontologicas,acciones preventivas,2009-01-01,107,107
PUERTO RICO,atenciones odontologicas,acciones preventivas,2009-01-01,3,3
PUERTO SUAREZ,atenciones odontologicas,acciones preventivas,2009-01-01,32,32
PUERTO VILLARROEL,atenciones odontologicas,acciones preventivas,2009-01-01,58,58
PUNA,atenciones odontologicas,acciones preventivas,2009-01-01,76,76
PUNATA,atenciones odontologicas,acciones preventivas,2009-01-01,428,428
QUILLACOLLO,atenciones odontologicas,acciones preventivas,2009-01-01,1214,1214
QUIME,atenciones odontologicas,acciones preventivas,2009-01-01,249,249
QUIRUSILLAS,atenciones odontologicas,acciones preventivas,2009-01-01,18,18
REYES,atenciones odontologicas,acciones preventivas,2009-01-01,90,90
RIBERALTA,atenciones odontologicas,acciones preventivas,2009-01-01,113,113
ROBORE,atenciones odontologicas,acciones preventivas,2009-01-01,17,17
RURRENABAQUE,atenciones odontologicas,acciones preventivas,2009-01-01,178,178
SABAYA,atenciones odontologicas,acciones preventivas,2009-01-01,9,9
SACABA,atenciones odontologicas,acciones preventivas,2009-01-01,627,627
SACABAMBA,atenciones odontologicas,acciones preventivas,2009-01-01,8,8
SACACA,atenciones odontologicas,acciones preventivas,2009-01-01,4,4
SAIPINA,atenciones odontologicas,acciones preventivas,2009-01-01,3,3
SALINAS DE GARCI MENDOZA,atenciones odontologicas,acciones preventivas,2009-01-01,22,22
SAMAIPATA,atenciones odontologicas,acciones preventivas,2009-01-01,38,38
SAN ANDRES,atenciones odontologicas,acciones preventivas,2009-01-01,3,3
SAN ANDRES DE MACHACA,atenciones odontologicas,acciones preventivas,2009-01-01,6,6
SAN BENITO,atenciones odontologicas,acciones preventivas,2009-01-01,11,11
SAN BORJA,atenciones odontologicas,acciones preventivas,2009-01-01,37,37
SAN BUENA VENTURA,atenciones odontologicas,acciones preventivas,2009-01-01,17,17
SAN CARLOS,atenciones odontologicas,acciones preventivas,2009-01-01,51,51
SAN IGNACIO,atenciones odontologicas,acciones preventivas,2009-01-01,211,211
SAN IGNACIO DE VELASCO,atenciones odontologicas,acciones preventivas,2009-01-01,235,235
SAN JAVIER(STC),atenciones odontologicas,acciones preventivas,2009-01-01,3,3
SAN JUAN DE YAPACANI,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
SAN LORENZO(PND),atenciones odontologicas,acciones preventivas,2009-01-01,30,30
SAN LORENZO(TJA),atenciones odontologicas,acciones preventivas,2009-01-01,80,80
SAN LUCAS,atenciones odontologicas,acciones preventivas,2009-01-01,69,69
SAN MATIAS,atenciones odontologicas,acciones preventivas,2009-01-01,82,82
SAN MIGUEL DE VELASCO,atenciones odontologicas,acciones preventivas,2009-01-01,103,103
SAN PEDRO,atenciones odontologicas,acciones preventivas,2009-01-01,11,11
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,acciones preventivas,2009-01-01,68,68
SAN PEDRO DE CURAHUARA,atenciones odontologicas,acciones preventivas,2009-01-01,35,35
SAN PEDRO DE TIQUINA,atenciones odontologicas,acciones preventivas,2009-01-01,4,4
SAN RAFAEL,atenciones odontologicas,acciones preventivas,2009-01-01,76,76
SAN RAMON,atenciones odontologicas,acciones preventivas,2009-01-01,15,15
SAN RAMON,atenciones odontologicas,acciones preventivas,2009-01-01,65,65
SANTA ANA,atenciones odontologicas,acciones preventivas,2009-01-01,130,130
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,acciones preventivas,2009-01-01,5744,5744
SANTA ROSA,atenciones odontologicas,acciones preventivas,2009-01-01,160,160
SANTA ROSA DEL SARA,atenciones odontologicas,acciones preventivas,2009-01-01,11,11
SANTIAGO DE HUARI,atenciones odontologicas,acciones preventivas,2009-01-01,114,114
SANTIAGO DE MACHACA,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
SANTIVAÑES,atenciones odontologicas,acciones preventivas,2009-01-01,111,111
SANTUARIO DE QUILLACAS,atenciones odontologicas,acciones preventivas,2009-01-01,21,21
SAPAHAQUI,atenciones odontologicas,acciones preventivas,2009-01-01,19,19
SENA,atenciones odontologicas,acciones preventivas,2009-01-01,36,36
SICA SICA (VILLA AROMA),atenciones odontologicas,acciones preventivas,2009-01-01,119,119
SICAYA,atenciones odontologicas,acciones preventivas,2009-01-01,1,1
SIPE SIPE,atenciones odontologicas,acciones preventivas,2009-01-01,93,93
SOPACHUY,atenciones odontologicas,acciones preventivas,2009-01-01,118,118
SORACACHI,atenciones odontologicas,acciones preventivas,2009-01-01,10,10
SORATA,atenciones odontologicas,acciones preventivas,2009-01-01,155,155
SUCRE,atenciones odontologicas,acciones preventivas,2009-01-01,1230,1230
TACACOMA,atenciones odontologicas,acciones preventivas,2009-01-01,17,17
TAHUA,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
TAPACARI,atenciones odontologicas,acciones preventivas,2009-01-01,79,79
TARABUCO,atenciones odontologicas,acciones preventivas,2009-01-01,507,507
TARACO,atenciones odontologicas,acciones preventivas,2009-01-01,6,6
TARATA,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
TARIJA,atenciones odontologicas,acciones preventivas,2009-01-01,618,618
TARVITA,atenciones odontologicas,acciones preventivas,2009-01-01,108,108
TEOPONTE,atenciones odontologicas,acciones preventivas,2009-01-01,8,8
TIQUIPAYA,atenciones odontologicas,acciones preventivas,2009-01-01,368,368
TIRAQUE (CBBA),atenciones odontologicas,acciones preventivas,2009-01-01,159,159
TOCO,atenciones odontologicas,acciones preventivas,2009-01-01,48,48
TOLATA,atenciones odontologicas,acciones preventivas,2009-01-01,85,85
TOLEDO,atenciones odontologicas,acciones preventivas,2009-01-01,9,9
TOMAVE,atenciones odontologicas,acciones preventivas,2009-01-01,39,39
TOMINA,atenciones odontologicas,acciones preventivas,2009-01-01,26,26
TORO TORO,atenciones odontologicas,acciones preventivas,2009-01-01,49,49
TOTORA(CBBA),atenciones odontologicas,acciones preventivas,2009-01-01,211,211
TOTORA(ORR),atenciones odontologicas,acciones preventivas,2009-01-01,2,2
TRIGAL,atenciones odontologicas,acciones preventivas,2009-01-01,10,10
TRINIDAD,atenciones odontologicas,acciones preventivas,2009-01-01,559,559
TUPIZA,atenciones odontologicas,acciones preventivas,2009-01-01,61,61
TURCO,atenciones odontologicas,acciones preventivas,2009-01-01,4,4
UMALA,atenciones odontologicas,acciones preventivas,2009-01-01,78,78
UNCIA,atenciones odontologicas,acciones preventivas,2009-01-01,143,143
URIONDO (A. CONCEPCION),atenciones odontologicas,acciones preventivas,2009-01-01,188,188
URUBICHA,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
UYUNI,atenciones odontologicas,acciones preventivas,2009-01-01,24,24
VACAS,atenciones odontologicas,acciones preventivas,2009-01-01,130,130
VALLEGRANDE,atenciones odontologicas,acciones preventivas,2009-01-01,640,640
VIACHA,atenciones odontologicas,acciones preventivas,2009-01-01,501,501
VILLA MONTES,atenciones odontologicas,acciones preventivas,2009-01-01,17,17
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,acciones preventivas,2009-01-01,1,1
VILLA RIVERO,atenciones odontologicas,acciones preventivas,2009-01-01,62,62
VILLA SERRANO,atenciones odontologicas,acciones preventivas,2009-01-01,171,171
VILLA TUNARI,atenciones odontologicas,acciones preventivas,2009-01-01,133,133
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,acciones preventivas,2009-01-01,132,132
VILLAZON,atenciones odontologicas,acciones preventivas,2009-01-01,341,341
VINTO,atenciones odontologicas,acciones preventivas,2009-01-01,13,13
VITICHI,atenciones odontologicas,acciones preventivas,2009-01-01,1,1
WARNES,atenciones odontologicas,acciones preventivas,2009-01-01,167,167
YACUIBA,atenciones odontologicas,acciones preventivas,2009-01-01,460,460
YAMPARAEZ,atenciones odontologicas,acciones preventivas,2009-01-01,135,135
YANACACHI,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
YAPACANI,atenciones odontologicas,acciones preventivas,2009-01-01,22,22
YOCALLA,atenciones odontologicas,acciones preventivas,2009-01-01,60,60
YOTALA,atenciones odontologicas,acciones preventivas,2009-01-01,146,146
YUNCHARA,atenciones odontologicas,acciones preventivas,2009-01-01,24,24
ZUDAÑEZ,atenciones odontologicas,acciones preventivas,2009-01-01,236,236
ACHACACHI,atenciones odontologicas,acciones preventivas,2009-02-01,482,482
ACHOCALLA,atenciones odontologicas,acciones preventivas,2009-02-01,24,24
AIQUILE,atenciones odontologicas,acciones preventivas,2009-02-01,17,17
ALCALA,atenciones odontologicas,acciones preventivas,2009-02-01,394,394
ANCORAIMES,atenciones odontologicas,acciones preventivas,2009-02-01,62,62
ANDAMARCA,atenciones odontologicas,acciones preventivas,2009-02-01,31,31
ANTEQUERA,atenciones odontologicas,acciones preventivas,2009-02-01,6,6
ANZALDO,atenciones odontologicas,acciones preventivas,2009-02-01,599,599
APOLO,atenciones odontologicas,acciones preventivas,2009-02-01,33,33
ARAMPAMPA,atenciones odontologicas,acciones preventivas,2009-02-01,9,9
ARANI,atenciones odontologicas,acciones preventivas,2009-02-01,881,881
ARBIETO,atenciones odontologicas,acciones preventivas,2009-02-01,410,410
ARQUE,atenciones odontologicas,acciones preventivas,2009-02-01,47,47
ASCENCION DE GUARAYOS,atenciones odontologicas,acciones preventivas,2009-02-01,40,40
AYATA,atenciones odontologicas,acciones preventivas,2009-02-01,34,34
AYO AYO,atenciones odontologicas,acciones preventivas,2009-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,acciones preventivas,2009-02-01,184,184
AZURDUY,atenciones odontologicas,acciones preventivas,2009-02-01,8,8
BATALLAS,atenciones odontologicas,acciones preventivas,2009-02-01,6,6
BELEN DE URMIRI,atenciones odontologicas,acciones preventivas,2009-02-01,8,8
BERMEJO,atenciones odontologicas,acciones preventivas,2009-02-01,85,85
BETANZOS,atenciones odontologicas,acciones preventivas,2009-02-01,80,80
BOLIVAR,atenciones odontologicas,acciones preventivas,2009-02-01,7,7
BOLPEBRA,atenciones odontologicas,acciones preventivas,2009-02-01,35,35
BOYUIBE,atenciones odontologicas,acciones preventivas,2009-02-01,17,17
BUENA VISTA,atenciones odontologicas,acciones preventivas,2009-02-01,4,4
CABEZAS,atenciones odontologicas,acciones preventivas,2009-02-01,1452,1452
CAIROMA,atenciones odontologicas,acciones preventivas,2009-02-01,89,89
"CAIZA ""D""",atenciones odontologicas,acciones preventivas,2009-02-01,16,16
CAJUATA,atenciones odontologicas,acciones preventivas,2009-02-01,4,4
CALACOTO,atenciones odontologicas,acciones preventivas,2009-02-01,16,16
CALAMARCA,atenciones odontologicas,acciones preventivas,2009-02-01,21,21
CAMARGO,atenciones odontologicas,acciones preventivas,2009-02-01,273,273
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,acciones preventivas,2009-02-01,14,14
CAMIRI,atenciones odontologicas,acciones preventivas,2009-02-01,1336,1336
CAPINOTA,atenciones odontologicas,acciones preventivas,2009-02-01,450,450
CAQUIAVIRI,atenciones odontologicas,acciones preventivas,2009-02-01,29,29
CARACOLLO,atenciones odontologicas,acciones preventivas,2009-02-01,28,28
CARANAVI,atenciones odontologicas,acciones preventivas,2009-02-01,209,209
CARAPARI,atenciones odontologicas,acciones preventivas,2009-02-01,167,167
CARIPUYO,atenciones odontologicas,acciones preventivas,2009-02-01,88,88
CARMEN RIVERO TORREZ,atenciones odontologicas,acciones preventivas,2009-02-01,896,896
CATACORA,atenciones odontologicas,acciones preventivas,2009-02-01,8,8
CHALLAPATA,atenciones odontologicas,acciones preventivas,2009-02-01,155,155
CHAQUI,atenciones odontologicas,acciones preventivas,2009-02-01,2,2
CHARAGUA,atenciones odontologicas,acciones preventivas,2009-02-01,61,61
CHARAÑA,atenciones odontologicas,acciones preventivas,2009-02-01,23,23
CHAYANTA,atenciones odontologicas,acciones preventivas,2009-02-01,38,38
CHIMORE,atenciones odontologicas,acciones preventivas,2009-02-01,88,88
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,acciones preventivas,2009-02-01,250,250
CHUMA,atenciones odontologicas,acciones preventivas,2009-02-01,27,27
CLIZA,atenciones odontologicas,acciones preventivas,2009-02-01,2932,2932
COBIJA,atenciones odontologicas,acciones preventivas,2009-02-01,489,489
COCHABAMBA,atenciones odontologicas,acciones preventivas,2009-02-01,9171,9171
COLCAPIRHUA,atenciones odontologicas,acciones preventivas,2009-02-01,172,172
"COLCHA ""K""",atenciones odontologicas,acciones preventivas,2009-02-01,7,7
COLLANA,atenciones odontologicas,acciones preventivas,2009-02-01,1,1
COLOMI,atenciones odontologicas,acciones preventivas,2009-02-01,77,77
COLPA BELGICA,atenciones odontologicas,acciones preventivas,2009-02-01,170,170
COLQUECHACA,atenciones odontologicas,acciones preventivas,2009-02-01,68,68
COLQUIRI,atenciones odontologicas,acciones preventivas,2009-02-01,16,16
COMANCHE,atenciones odontologicas,acciones preventivas,2009-02-01,4,4
COMBAYA,atenciones odontologicas,acciones preventivas,2009-02-01,27,27
CONCEPCION,atenciones odontologicas,acciones preventivas,2009-02-01,1,1
COPACABANA,atenciones odontologicas,acciones preventivas,2009-02-01,37,37
CORIPATA,atenciones odontologicas,acciones preventivas,2009-02-01,54,54
COROICO,atenciones odontologicas,acciones preventivas,2009-02-01,76,76
CORQUE,atenciones odontologicas,acciones preventivas,2009-02-01,14,14
COTAGAITA,atenciones odontologicas,acciones preventivas,2009-02-01,93,93
COTOCA,atenciones odontologicas,acciones preventivas,2009-02-01,21,21
CUATRO CAÑADAS,atenciones odontologicas,acciones preventivas,2009-02-01,197,197
CUEVO,atenciones odontologicas,acciones preventivas,2009-02-01,6,6
CULPINA,atenciones odontologicas,acciones preventivas,2009-02-01,7,7
CURAHUARA DE CARANGAS,atenciones odontologicas,acciones preventivas,2009-02-01,6,6
CURVA,atenciones odontologicas,acciones preventivas,2009-02-01,87,87
EL ALTO,atenciones odontologicas,acciones preventivas,2009-02-01,2094,2094
EL PUENTE(STC),atenciones odontologicas,acciones preventivas,2009-02-01,35,35
EL PUENTE(TJA),atenciones odontologicas,acciones preventivas,2009-02-01,189,189
EL TORNO,atenciones odontologicas,acciones preventivas,2009-02-01,62,62
ENTRE RIOS,atenciones odontologicas,acciones preventivas,2009-02-01,98,98
ENTRE RIOS,atenciones odontologicas,acciones preventivas,2009-02-01,61,61
EUCALIPTUS,atenciones odontologicas,acciones preventivas,2009-02-01,2,2
EXALTACION,atenciones odontologicas,acciones preventivas,2009-02-01,22,22
FERNANDEZ ALONSO,atenciones odontologicas,acciones preventivas,2009-02-01,20,20
FILADELFIA,atenciones odontologicas,acciones preventivas,2009-02-01,26,26
GENERAL SAAVEDRA,atenciones odontologicas,acciones preventivas,2009-02-01,745,745
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,acciones preventivas,2009-02-01,21,21
GUANAY,atenciones odontologicas,acciones preventivas,2009-02-01,250,250
GUAQUI,atenciones odontologicas,acciones preventivas,2009-02-01,10,10
GUAYARAMERIN,atenciones odontologicas,acciones preventivas,2009-02-01,124,124
GUTIERREZ,atenciones odontologicas,acciones preventivas,2009-02-01,155,155
HUACARETA,atenciones odontologicas,acciones preventivas,2009-02-01,19,19
HUACHACALLA,atenciones odontologicas,acciones preventivas,2009-02-01,1,1
HUANUNI,atenciones odontologicas,acciones preventivas,2009-02-01,50,50
HUARACAJE,atenciones odontologicas,acciones preventivas,2009-02-01,160,160
HUAYLLAMARCA,atenciones odontologicas,acciones preventivas,2009-02-01,3,3
ICLA,atenciones odontologicas,acciones preventivas,2009-02-01,496,496
INCAHUASI,atenciones odontologicas,acciones preventivas,2009-02-01,115,115
INQUISIVI,atenciones odontologicas,acciones preventivas,2009-02-01,5,5
IRUPANA (VILLA DE LANZA),atenciones odontologicas,acciones preventivas,2009-02-01,271,271
IXIAMAS,atenciones odontologicas,acciones preventivas,2009-02-01,22,22
JESUS DE MACHACA,atenciones odontologicas,acciones preventivas,2009-02-01,41,41
LA ASUNTA,atenciones odontologicas,acciones preventivas,2009-02-01,4,4
LA GUARDIA,atenciones odontologicas,acciones preventivas,2009-02-01,140,140
LA PAZ,atenciones odontologicas,acciones preventivas,2009-02-01,4080,4080
LAGUNILLAS,atenciones odontologicas,acciones preventivas,2009-02-01,254,254
LAJA,atenciones odontologicas,acciones preventivas,2009-02-01,26,26
LAS CARRERAS,atenciones odontologicas,acciones preventivas,2009-02-01,2,2
LICOMA PAMPA,atenciones odontologicas,acciones preventivas,2009-02-01,147,147
LLALLAGUA,atenciones odontologicas,acciones preventivas,2009-02-01,611,611
LLICA,atenciones odontologicas,acciones preventivas,2009-02-01,1,1
LURIBAY,atenciones odontologicas,acciones preventivas,2009-02-01,23,23
MACHACAMARCA,atenciones odontologicas,acciones preventivas,2009-02-01,36,36
MACHARETI,atenciones odontologicas,acciones preventivas,2009-02-01,26,26
