municipality,group,variable,month,Actividades Odontológicas en la Comunidad,TOTAL
CHARAGUA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,19,19
CHAYANTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
CHUMA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,15,15
CLIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
COBIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
COCHABAMBA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,484,484
COLCAPIRHUA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,150,150
COLOMI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,11,11
COLQUENCHA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
COMARAPA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
COPACABANA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
CORIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,7,7
COTAGAITA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
CUATRO CAÑADAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,35,35
CUEVO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,6,6
CULPINA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
EL ALTO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,570,570
EL PUENTE(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,14,14
EL VILLAR,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,14,14
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
FILADELFIA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
GUAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
GUAYARAMERIN,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
GUTIERREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,203,203
HUACARETA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
HUAYLLAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
ICLA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,9,9
INCAHUASI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
IRUPANA (VILLA DE LANZA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,84,84
LA ASUNTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
LA GUARDIA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
LA PAZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,150,150
LAGUNILLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,6,6
LAJA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
LAS CARRERAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
LURIBAY,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
MACHARETI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
MECAPACA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,14,14
MINEROS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,65,65
MIZQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
MOCOMOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
MOJOCOYA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
MONTEAGUDO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
MONTERO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
MORO MORO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
MOROCHATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,9,9
OCURI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
ORURO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,206,206
PADCAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,6,6
PADILLA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,7,7
PAILON,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
PALCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,14,14
PAMPA AULLAGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
PAMPA GRANDE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
PASORAPA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
PATACAMAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
PAZÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
PELECHUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
POCOATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,7,7
POCONA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
POJO (CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
PORCO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
POROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
PORONGO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
PORVENIR,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
POSTRER VALLE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
POTOSI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
PRESTO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
PUCARA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
PUCARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
PUERTO GONZALO MORENO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
PUERTO QUIJARRO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,47,47
PUERTO VILLARROEL,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
PUNA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
PUNATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,7,7
QUILLACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
QUIME,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,20,20
QUIRUSILLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
RIBERALTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,6,6
RURRENABAQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
SACABA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,17,17
SACACA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
SALINAS DE GARCI MENDOZA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,13,13
SAN BORJA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
SAN CARLOS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
SAN LORENZO(PND),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
SAN LORENZO(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
SAN LUCAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,13,13
SAN MATIAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
SAN MIGUEL DE VELASCO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
SAN PEDRO DE CURAHUARA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
SAN PEDRO DE TIQUINA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,17,17
SAN RAFAEL,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
SAN RAMON,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,12,12
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,152,152
SANTA ROSA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,10,10
SANTA ROSA DEL SARA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
SANTIAGO DE HUARI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,15,15
SANTIAGO DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
SANTIVAÑES,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,6,6
SANTUARIO DE QUILLACAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
SAPAHAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
SENA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
SICA SICA (VILLA AROMA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
SIPE SIPE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
SOPACHUY,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,97,97
SORATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,6,6
SUCRE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,59,59
TACACOMA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
TAPACARI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,12,12
TARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,11,11
TARACO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
TARIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,10,10
TARVITA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,13,13
TEOPONTE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
TIQUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
TIRAQUE (CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,53,53
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
TOLATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
TOMAVE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
TOMINA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
TORO TORO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
TOTORA(CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
TRIGAL,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
TRINIDAD,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,98,98
UMALA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
UNCIA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,13,13
URIONDO (A. CONCEPCION),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,32,32
VIACHA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
VILLA RIVERO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
VILLA SERRANO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,268,268
VILLA TUNARI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
WARNES,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
YACO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
YACUIBA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
YAMPARAEZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,227,227
YANACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
YAPACANI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,262,262
YUNCHARA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,7,7
ZUDAÑEZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,9,9
ACHACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,19,19
ACHOCALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,13,13
AIQUILE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
ALALAY,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
ALCALA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,16,16
ANCORAIMES,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
ANDAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,10,10
ANTEQUERA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,129,129
ANZALDO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
APOLO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
ARAMPAMPA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
ARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,803,803
ARBIETO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,541,541
AUCAPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
AYATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
AYO AYO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,10,10
BATALLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,14,14
BELEN DE URMIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
BERMEJO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,3,3
BETANZOS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,39,39
BOLIVAR,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
BOLPEBRA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
CABEZAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,77,77
CAIROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
"CAIZA ""D""",atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
CALAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,7,7
CAMARGO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,3,3
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
CAMIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,37,37
CAPINOTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,11,11
CAQUIAVIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,7,7
CARACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
CARANAVI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,17,17
CARAPARI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,16,16
CARIPUYO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
CARMEN RIVERO TORREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
CHALLAPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,17,17
CHARAGUA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,16,16
CHARAÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,5,5
CHAYANTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,6,6
CHIMORE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,6,6
CHUMA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,15,15
COBIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,3,3
COCHABAMBA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,713,713
COLCAPIRHUA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,157,157
COLOMI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,9,9
COLPA BELGICA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,88,88
COLQUECHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
COLQUIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
COMBAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,15,15
COPACABANA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,5,5
CORIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,16,16
COTAGAITA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
COTOCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
CUATRO CAÑADAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,39,39
CUEVO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
EL ALTO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,721,721
EL PUENTE(STC),atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
EL PUENTE(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,16,16
EL TORNO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,3,3
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,14,14
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,14,14
FERNANDEZ ALONSO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
FILADELFIA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
GENERAL SAAVEDRA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,579,579
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
GUANAY,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,6,6
GUAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
GUAYARAMERIN,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
GUTIERREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,176,176
HUACARETA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
HUARACAJE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
HUAYLLAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,6,6
ICLA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,6,6
INCAHUASI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,5,5
IRUPANA (VILLA DE LANZA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,3,3
JESUS DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,7,7
LA ASUNTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
LA GUARDIA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,9,9
LA PAZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,334,334
LAGUNILLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,3,3
LAJA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,8,8
LAS CARRERAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
LLALLAGUA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
LURIBAY,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,8,8
MACHARETI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
MECAPACA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,25,25
MINEROS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,68,68
MIZQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
MOJOCOYA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
MONTEAGUDO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
MONTERO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
MORO MORO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,8,8
MOROCHATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,12,12
ORURO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,117,117
PADCAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,5,5
PADILLA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,6,6
PAILON,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
PALCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,17,17
PAMPA AULLAGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
PAMPA GRANDE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,4,4
PAPEL PAMPA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,39,39
PASORAPA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
PATACAMAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
PAZÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,6,6
PELECHUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
POCOATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
POCONA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
POJO (CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,7,7
PORCO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
POROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,5,5
PORONGO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
PORVENIR,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,13,13
POSTRER VALLE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
POTOSI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,8,8
PRESTO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
PUCARA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
PUCARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,13,13
PUERTO ACOSTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,56,56
PUERTO CARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,8,8
PUERTO PEREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
PUERTO QUIJARRO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,3,3
PUERTO SUAREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,13,13
PUERTO VILLARROEL,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,5,5
PUNA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,8,8
PUNATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,11,11
QUILLACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,10,10
QUIME,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,20,20
SACABA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,78,78
SACACA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
SAIPINA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,1,1
SALINAS DE GARCI MENDOZA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,14,14
SAN ANDRES DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,10,10
SAN ANTONIO DE LOMERIO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,2,2
SAN BENITO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-02-01,308,308
