municipality,group,variable,month,Periodoncias,TOTAL
MAPIRI,atenciones odontologicas,periodoncias,2009-01-01,2,2
MECAPACA,atenciones odontologicas,periodoncias,2009-01-01,3,3
MINEROS,atenciones odontologicas,periodoncias,2009-01-01,9,9
MIZQUE,atenciones odontologicas,periodoncias,2009-01-01,35,35
MOJOCOYA,atenciones odontologicas,periodoncias,2009-01-01,2,2
MONTEAGUDO,atenciones odontologicas,periodoncias,2009-01-01,10,10
MONTERO,atenciones odontologicas,periodoncias,2009-01-01,53,53
MOROCHATA,atenciones odontologicas,periodoncias,2009-01-01,3,3
OKINAWA,atenciones odontologicas,periodoncias,2009-01-01,6,6
ORURO,atenciones odontologicas,periodoncias,2009-01-01,169,169
PADCAYA,atenciones odontologicas,periodoncias,2009-01-01,9,9
PADILLA,atenciones odontologicas,periodoncias,2009-01-01,4,4
PAILON,atenciones odontologicas,periodoncias,2009-01-01,9,9
PALCA,atenciones odontologicas,periodoncias,2009-01-01,5,5
PAMPA AULLAGAS,atenciones odontologicas,periodoncias,2009-01-01,2,2
PAMPA GRANDE,atenciones odontologicas,periodoncias,2009-01-01,4,4
PAZÑA,atenciones odontologicas,periodoncias,2009-01-01,3,3
POCONA,atenciones odontologicas,periodoncias,2009-01-01,4,4
POJO (CBBA),atenciones odontologicas,periodoncias,2009-01-01,3,3
POOPO,atenciones odontologicas,periodoncias,2009-01-01,5,5
PORCO,atenciones odontologicas,periodoncias,2009-01-01,1,1
PORTACHUELO,atenciones odontologicas,periodoncias,2009-01-01,8,8
PORVENIR,atenciones odontologicas,periodoncias,2009-01-01,5,5
POSTRER VALLE,atenciones odontologicas,periodoncias,2009-01-01,1,1
POTOSI,atenciones odontologicas,periodoncias,2009-01-01,88,88
PUCARANI,atenciones odontologicas,periodoncias,2009-01-01,2,2
PUERTO ACOSTA,atenciones odontologicas,periodoncias,2009-01-01,1,1
PUERTO CARABUCO,atenciones odontologicas,periodoncias,2009-01-01,1,1
PUERTO PEREZ,atenciones odontologicas,periodoncias,2009-01-01,1,1
PUERTO RICO,atenciones odontologicas,periodoncias,2009-01-01,5,5
PUERTO SUAREZ,atenciones odontologicas,periodoncias,2009-01-01,2,2
PUERTO VILLARROEL,atenciones odontologicas,periodoncias,2009-01-01,19,19
PUNA,atenciones odontologicas,periodoncias,2009-01-01,3,3
PUNATA,atenciones odontologicas,periodoncias,2009-01-01,206,206
QUILLACOLLO,atenciones odontologicas,periodoncias,2009-01-01,85,85
QUIME,atenciones odontologicas,periodoncias,2009-01-01,3,3
REYES,atenciones odontologicas,periodoncias,2009-01-01,9,9
RIBERALTA,atenciones odontologicas,periodoncias,2009-01-01,45,45
ROBORE,atenciones odontologicas,periodoncias,2009-01-01,13,13
RURRENABAQUE,atenciones odontologicas,periodoncias,2009-01-01,87,87
SABAYA,atenciones odontologicas,periodoncias,2009-01-01,1,1
SACABA,atenciones odontologicas,periodoncias,2009-01-01,71,71
SACABAMBA,atenciones odontologicas,periodoncias,2009-01-01,9,9
SAIPINA,atenciones odontologicas,periodoncias,2009-01-01,7,7
SALINAS DE GARCI MENDOZA,atenciones odontologicas,periodoncias,2009-01-01,3,3
SAN ANTONIO DE LOMERIO,atenciones odontologicas,periodoncias,2009-01-01,2,2
SAN BENITO,atenciones odontologicas,periodoncias,2009-01-01,10,10
SAN BORJA,atenciones odontologicas,periodoncias,2009-01-01,30,30
SAN BUENA VENTURA,atenciones odontologicas,periodoncias,2009-01-01,3,3
SAN CARLOS,atenciones odontologicas,periodoncias,2009-01-01,10,10
SAN IGNACIO,atenciones odontologicas,periodoncias,2009-01-01,10,10
SAN JAVIER(STC),atenciones odontologicas,periodoncias,2009-01-01,1,1
SAN JOAQUIN,atenciones odontologicas,periodoncias,2009-01-01,1,1
SAN JOSE DE CHIQUITOS,atenciones odontologicas,periodoncias,2009-01-01,2,2
SAN JUAN DE YAPACANI,atenciones odontologicas,periodoncias,2009-01-01,1,1
SAN LORENZO(PND),atenciones odontologicas,periodoncias,2009-01-01,1,1
SAN LORENZO(TJA),atenciones odontologicas,periodoncias,2009-01-01,33,33
SAN LUCAS,atenciones odontologicas,periodoncias,2009-01-01,6,6
SAN MATIAS,atenciones odontologicas,periodoncias,2009-01-01,6,6
SAN MIGUEL DE VELASCO,atenciones odontologicas,periodoncias,2009-01-01,16,16
SAN PEDRO,atenciones odontologicas,periodoncias,2009-01-01,1,1
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,periodoncias,2009-01-01,2,2
SAN RAFAEL,atenciones odontologicas,periodoncias,2009-01-01,76,76
SAN RAMON,atenciones odontologicas,periodoncias,2009-01-01,4,4
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,periodoncias,2009-01-01,1809,1809
SANTA ROSA,atenciones odontologicas,periodoncias,2009-01-01,5,5
SANTA ROSA DEL SARA,atenciones odontologicas,periodoncias,2009-01-01,19,19
SANTIVAÑES,atenciones odontologicas,periodoncias,2009-01-01,3,3
SANTUARIO DE QUILLACAS,atenciones odontologicas,periodoncias,2009-01-01,2,2
SAPAHAQUI,atenciones odontologicas,periodoncias,2009-01-01,2,2
SENA,atenciones odontologicas,periodoncias,2009-01-01,5,5
SICA SICA (VILLA AROMA),atenciones odontologicas,periodoncias,2009-01-01,14,14
SICAYA,atenciones odontologicas,periodoncias,2009-01-01,1,1
SIPE SIPE,atenciones odontologicas,periodoncias,2009-01-01,23,23
SORACACHI,atenciones odontologicas,periodoncias,2009-01-01,2,2
SORATA,atenciones odontologicas,periodoncias,2009-01-01,70,70
SUCRE,atenciones odontologicas,periodoncias,2009-01-01,294,294
TAHUA,atenciones odontologicas,periodoncias,2009-01-01,5,5
TARABUCO,atenciones odontologicas,periodoncias,2009-01-01,3,3
TARATA,atenciones odontologicas,periodoncias,2009-01-01,1,1
TARIJA,atenciones odontologicas,periodoncias,2009-01-01,325,325
TARVITA,atenciones odontologicas,periodoncias,2009-01-01,17,17
TEOPONTE,atenciones odontologicas,periodoncias,2009-01-01,1,1
TIQUIPAYA,atenciones odontologicas,periodoncias,2009-01-01,210,210
TIRAQUE (CBBA),atenciones odontologicas,periodoncias,2009-01-01,66,66
TOCO,atenciones odontologicas,periodoncias,2009-01-01,24,24
TOLATA,atenciones odontologicas,periodoncias,2009-01-01,18,18
TOLEDO,atenciones odontologicas,periodoncias,2009-01-01,6,6
TOMINA,atenciones odontologicas,periodoncias,2009-01-01,20,20
TORO TORO,atenciones odontologicas,periodoncias,2009-01-01,1,1
TOTORA(CBBA),atenciones odontologicas,periodoncias,2009-01-01,6,6
TRIGAL,atenciones odontologicas,periodoncias,2009-01-01,10,10
TRINIDAD,atenciones odontologicas,periodoncias,2009-01-01,68,68
TUPIZA,atenciones odontologicas,periodoncias,2009-01-01,6,6
TURCO,atenciones odontologicas,periodoncias,2009-01-01,2,2
UNCIA,atenciones odontologicas,periodoncias,2009-01-01,5,5
URIONDO (A. CONCEPCION),atenciones odontologicas,periodoncias,2009-01-01,9,9
UYUNI,atenciones odontologicas,periodoncias,2009-01-01,11,11
VACAS,atenciones odontologicas,periodoncias,2009-01-01,12,12
VALLEGRANDE,atenciones odontologicas,periodoncias,2009-01-01,10,10
VIACHA,atenciones odontologicas,periodoncias,2009-01-01,28,28
VILLA MONTES,atenciones odontologicas,periodoncias,2009-01-01,43,43
VILLA RIVERO,atenciones odontologicas,periodoncias,2009-01-01,10,10
VILLA TUNARI,atenciones odontologicas,periodoncias,2009-01-01,120,120
VILLAZON,atenciones odontologicas,periodoncias,2009-01-01,21,21
WARNES,atenciones odontologicas,periodoncias,2009-01-01,40,40
YACO,atenciones odontologicas,periodoncias,2009-01-01,1,1
YACUIBA,atenciones odontologicas,periodoncias,2009-01-01,196,196
YAPACANI,atenciones odontologicas,periodoncias,2009-01-01,3,3
YOTALA,atenciones odontologicas,periodoncias,2009-01-01,2,2
YUNCHARA,atenciones odontologicas,periodoncias,2009-01-01,3,3
ACHACACHI,atenciones odontologicas,periodoncias,2009-02-01,1,1
AIQUILE,atenciones odontologicas,periodoncias,2009-02-01,15,15
ALCALA,atenciones odontologicas,periodoncias,2009-02-01,63,63
ANCORAIMES,atenciones odontologicas,periodoncias,2009-02-01,6,6
ANZALDO,atenciones odontologicas,periodoncias,2009-02-01,14,14
ARAMPAMPA,atenciones odontologicas,periodoncias,2009-02-01,2,2
ARANI,atenciones odontologicas,periodoncias,2009-02-01,54,54
ARBIETO,atenciones odontologicas,periodoncias,2009-02-01,37,37
ASCENCION DE GUARAYOS,atenciones odontologicas,periodoncias,2009-02-01,10,10
AUCAPATA,atenciones odontologicas,periodoncias,2009-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,periodoncias,2009-02-01,4,4
AZURDUY,atenciones odontologicas,periodoncias,2009-02-01,11,11
BATALLAS,atenciones odontologicas,periodoncias,2009-02-01,1,1
BAURES,atenciones odontologicas,periodoncias,2009-02-01,6,6
BERMEJO,atenciones odontologicas,periodoncias,2009-02-01,32,32
BETANZOS,atenciones odontologicas,periodoncias,2009-02-01,5,5
BOLIVAR,atenciones odontologicas,periodoncias,2009-02-01,1,1
BOYUIBE,atenciones odontologicas,periodoncias,2009-02-01,2,2
CABEZAS,atenciones odontologicas,periodoncias,2009-02-01,36,36
CAIROMA,atenciones odontologicas,periodoncias,2009-02-01,2,2
"CAIZA ""D""",atenciones odontologicas,periodoncias,2009-02-01,2,2
CALAMARCA,atenciones odontologicas,periodoncias,2009-02-01,3,3
CAMARGO,atenciones odontologicas,periodoncias,2009-02-01,5,5
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,periodoncias,2009-02-01,4,4
CAMIRI,atenciones odontologicas,periodoncias,2009-02-01,59,59
CAPINOTA,atenciones odontologicas,periodoncias,2009-02-01,16,16
CARACOLLO,atenciones odontologicas,periodoncias,2009-02-01,12,12
CARANAVI,atenciones odontologicas,periodoncias,2009-02-01,31,31
CARAPARI,atenciones odontologicas,periodoncias,2009-02-01,8,8
CARMEN RIVERO TORREZ,atenciones odontologicas,periodoncias,2009-02-01,18,18
CATACORA,atenciones odontologicas,periodoncias,2009-02-01,1,1
CHALLAPATA,atenciones odontologicas,periodoncias,2009-02-01,7,7
CHARAGUA,atenciones odontologicas,periodoncias,2009-02-01,5,5
CHARAÑA,atenciones odontologicas,periodoncias,2009-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,periodoncias,2009-02-01,2,2
CLIZA,atenciones odontologicas,periodoncias,2009-02-01,15,15
COBIJA,atenciones odontologicas,periodoncias,2009-02-01,27,27
COCHABAMBA,atenciones odontologicas,periodoncias,2009-02-01,1041,1041
COLCAPIRHUA,atenciones odontologicas,periodoncias,2009-02-01,105,105
COLOMI,atenciones odontologicas,periodoncias,2009-02-01,39,39
COLPA BELGICA,atenciones odontologicas,periodoncias,2009-02-01,18,18
COLQUIRI,atenciones odontologicas,periodoncias,2009-02-01,1,1
COMARAPA,atenciones odontologicas,periodoncias,2009-02-01,9,9
COROICO,atenciones odontologicas,periodoncias,2009-02-01,5,5
CORQUE,atenciones odontologicas,periodoncias,2009-02-01,1,1
COTAGAITA,atenciones odontologicas,periodoncias,2009-02-01,8,8
COTOCA,atenciones odontologicas,periodoncias,2009-02-01,10,10
CUATRO CAÑADAS,atenciones odontologicas,periodoncias,2009-02-01,8,8
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,periodoncias,2009-02-01,5,5
CULPINA,atenciones odontologicas,periodoncias,2009-02-01,3,3
EL ALTO,atenciones odontologicas,periodoncias,2009-02-01,265,265
EL TORNO,atenciones odontologicas,periodoncias,2009-02-01,13,13
ENTRE RIOS,atenciones odontologicas,periodoncias,2009-02-01,6,6
ENTRE RIOS,atenciones odontologicas,periodoncias,2009-02-01,15,15
FERNANDEZ ALONSO,atenciones odontologicas,periodoncias,2009-02-01,11,11
FILADELFIA,atenciones odontologicas,periodoncias,2009-02-01,2,2
GENERAL SAAVEDRA,atenciones odontologicas,periodoncias,2009-02-01,12,12
GUANAY,atenciones odontologicas,periodoncias,2009-02-01,3,3
GUAQUI,atenciones odontologicas,periodoncias,2009-02-01,2,2
GUAYARAMERIN,atenciones odontologicas,periodoncias,2009-02-01,10,10
GUTIERREZ,atenciones odontologicas,periodoncias,2009-02-01,12,12
HUACHACALLA,atenciones odontologicas,periodoncias,2009-02-01,1,1
HUANUNI,atenciones odontologicas,periodoncias,2009-02-01,8,8
HUARACAJE,atenciones odontologicas,periodoncias,2009-02-01,60,60
ICLA,atenciones odontologicas,periodoncias,2009-02-01,1,1
IRUPANA (VILLA DE LANZA),atenciones odontologicas,periodoncias,2009-02-01,5,5
JESUS DE MACHACA,atenciones odontologicas,periodoncias,2009-02-01,5,5
LA ASUNTA,atenciones odontologicas,periodoncias,2009-02-01,3,3
LA GUARDIA,atenciones odontologicas,periodoncias,2009-02-01,9,9
LA PAZ,atenciones odontologicas,periodoncias,2009-02-01,731,731
LAGUNILLAS,atenciones odontologicas,periodoncias,2009-02-01,6,6
LICOMA PAMPA,atenciones odontologicas,periodoncias,2009-02-01,5,5
LLALLAGUA,atenciones odontologicas,periodoncias,2009-02-01,27,27
MACHACAMARCA,atenciones odontologicas,periodoncias,2009-02-01,3,3
MACHARETI,atenciones odontologicas,periodoncias,2009-02-01,2,2
MAGDALENA,atenciones odontologicas,periodoncias,2009-02-01,2,2
MAIRANA,atenciones odontologicas,periodoncias,2009-02-01,11,11
MAPIRI,atenciones odontologicas,periodoncias,2009-02-01,2,2
MECAPACA,atenciones odontologicas,periodoncias,2009-02-01,3,3
MIZQUE,atenciones odontologicas,periodoncias,2009-02-01,37,37
MOJOCOYA,atenciones odontologicas,periodoncias,2009-02-01,3,3
MONTERO,atenciones odontologicas,periodoncias,2009-02-01,37,37
MOROCHATA,atenciones odontologicas,periodoncias,2009-02-01,3,3
OKINAWA,atenciones odontologicas,periodoncias,2009-02-01,6,6
ORURO,atenciones odontologicas,periodoncias,2009-02-01,106,106
PADCAYA,atenciones odontologicas,periodoncias,2009-02-01,7,7
PADILLA,atenciones odontologicas,periodoncias,2009-02-01,6,6
PALCA,atenciones odontologicas,periodoncias,2009-02-01,1,1
PAMPA AULLAGAS,atenciones odontologicas,periodoncias,2009-02-01,1,1
PAMPA GRANDE,atenciones odontologicas,periodoncias,2009-02-01,6,6
PASORAPA,atenciones odontologicas,periodoncias,2009-02-01,5,5
PAZÑA,atenciones odontologicas,periodoncias,2009-02-01,4,4
POCONA,atenciones odontologicas,periodoncias,2009-02-01,2,2
POJO (CBBA),atenciones odontologicas,periodoncias,2009-02-01,18,18
PORCO,atenciones odontologicas,periodoncias,2009-02-01,1,1
PORTACHUELO,atenciones odontologicas,periodoncias,2009-02-01,9,9
PORVENIR,atenciones odontologicas,periodoncias,2009-02-01,3,3
POTOSI,atenciones odontologicas,periodoncias,2009-02-01,66,66
PUCARA,atenciones odontologicas,periodoncias,2009-02-01,1,1
PUCARANI,atenciones odontologicas,periodoncias,2009-02-01,4,4
PUERTO CARABUCO,atenciones odontologicas,periodoncias,2009-02-01,1,1
PUERTO GONZALO MORENO,atenciones odontologicas,periodoncias,2009-02-01,2,2
PUERTO SUAREZ,atenciones odontologicas,periodoncias,2009-02-01,10,10
PUERTO VILLARROEL,atenciones odontologicas,periodoncias,2009-02-01,28,28
PUNA,atenciones odontologicas,periodoncias,2009-02-01,4,4
PUNATA,atenciones odontologicas,periodoncias,2009-02-01,1680,1680
QUILLACOLLO,atenciones odontologicas,periodoncias,2009-02-01,67,67
QUIME,atenciones odontologicas,periodoncias,2009-02-01,34,34
QUIRUSILLAS,atenciones odontologicas,periodoncias,2009-02-01,2,2
REYES,atenciones odontologicas,periodoncias,2009-02-01,9,9
RIBERALTA,atenciones odontologicas,periodoncias,2009-02-01,82,82
ROBORE,atenciones odontologicas,periodoncias,2009-02-01,8,8
RURRENABAQUE,atenciones odontologicas,periodoncias,2009-02-01,9,9
SACABA,atenciones odontologicas,periodoncias,2009-02-01,39,39
SACABAMBA,atenciones odontologicas,periodoncias,2009-02-01,3,3
SAIPINA,atenciones odontologicas,periodoncias,2009-02-01,5,5
SALINAS DE GARCI MENDOZA,atenciones odontologicas,periodoncias,2009-02-01,3,3
SAN ANDRES DE MACHACA,atenciones odontologicas,periodoncias,2009-02-01,3,3
SAN ANTONIO DE LOMERIO,atenciones odontologicas,periodoncias,2009-02-01,1,1
SAN BENITO,atenciones odontologicas,periodoncias,2009-02-01,11,11
SAN BORJA,atenciones odontologicas,periodoncias,2009-02-01,110,110
SAN BUENA VENTURA,atenciones odontologicas,periodoncias,2009-02-01,1,1
SAN CARLOS,atenciones odontologicas,periodoncias,2009-02-01,23,23
SAN IGNACIO,atenciones odontologicas,periodoncias,2009-02-01,7,7
SAN IGNACIO DE VELASCO,atenciones odontologicas,periodoncias,2009-02-01,2,2
SAN JAVIER(STC),atenciones odontologicas,periodoncias,2009-02-01,6,6
SAN JUAN DE YAPACANI,atenciones odontologicas,periodoncias,2009-02-01,7,7
SAN JULIAN,atenciones odontologicas,periodoncias,2009-02-01,5,5
SAN LORENZO(PND),atenciones odontologicas,periodoncias,2009-02-01,1,1
SAN LORENZO(TJA),atenciones odontologicas,periodoncias,2009-02-01,18,18
SAN LUCAS,atenciones odontologicas,periodoncias,2009-02-01,6,6
SAN MATIAS,atenciones odontologicas,periodoncias,2009-02-01,5,5
SAN MIGUEL DE VELASCO,atenciones odontologicas,periodoncias,2009-02-01,12,12
SAN RAFAEL,atenciones odontologicas,periodoncias,2009-02-01,53,53
SAN RAMON,atenciones odontologicas,periodoncias,2009-02-01,4,4
SANTA ANA,atenciones odontologicas,periodoncias,2009-02-01,146,146
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,periodoncias,2009-02-01,1874,1874
SANTA ROSA DEL SARA,atenciones odontologicas,periodoncias,2009-02-01,82,82
SANTIAGO DE HUARI,atenciones odontologicas,periodoncias,2009-02-01,2,2
SANTIVAÑES,atenciones odontologicas,periodoncias,2009-02-01,1,1
SANTUARIO DE QUILLACAS,atenciones odontologicas,periodoncias,2009-02-01,1,1
SENA,atenciones odontologicas,periodoncias,2009-02-01,5,5
SICA SICA (VILLA AROMA),atenciones odontologicas,periodoncias,2009-02-01,11,11
SICAYA,atenciones odontologicas,periodoncias,2009-02-01,1,1
SIPE SIPE,atenciones odontologicas,periodoncias,2009-02-01,272,272
SORATA,atenciones odontologicas,periodoncias,2009-02-01,42,42
SUCRE,atenciones odontologicas,periodoncias,2009-02-01,428,428
TACACOMA,atenciones odontologicas,periodoncias,2009-02-01,6,6
TACOPAYA,atenciones odontologicas,periodoncias,2009-02-01,22,22
TAHUA,atenciones odontologicas,periodoncias,2009-02-01,3,3
TARABUCO,atenciones odontologicas,periodoncias,2009-02-01,2,2
TARIJA,atenciones odontologicas,periodoncias,2009-02-01,291,291
TARVITA,atenciones odontologicas,periodoncias,2009-02-01,3,3
TIQUIPAYA,atenciones odontologicas,periodoncias,2009-02-01,171,171
TIRAQUE (CBBA),atenciones odontologicas,periodoncias,2009-02-01,173,173
TOCO,atenciones odontologicas,periodoncias,2009-02-01,23,23
TOLATA,atenciones odontologicas,periodoncias,2009-02-01,8,8
TOLEDO,atenciones odontologicas,periodoncias,2009-02-01,2,2
TOMINA,atenciones odontologicas,periodoncias,2009-02-01,26,26
TORO TORO,atenciones odontologicas,periodoncias,2009-02-01,3,3
TOTORA(CBBA),atenciones odontologicas,periodoncias,2009-02-01,25,25
TRIGAL,atenciones odontologicas,periodoncias,2009-02-01,2,2
TRINIDAD,atenciones odontologicas,periodoncias,2009-02-01,23,23
TUPIZA,atenciones odontologicas,periodoncias,2009-02-01,8,8
UNCIA,atenciones odontologicas,periodoncias,2009-02-01,10,10
URIONDO (A. CONCEPCION),atenciones odontologicas,periodoncias,2009-02-01,43,43
UYUNI,atenciones odontologicas,periodoncias,2009-02-01,5,5
VACAS,atenciones odontologicas,periodoncias,2009-02-01,9,9
VALLEGRANDE,atenciones odontologicas,periodoncias,2009-02-01,5,5
VIACHA,atenciones odontologicas,periodoncias,2009-02-01,9,9
VILLA MONTES,atenciones odontologicas,periodoncias,2009-02-01,23,23
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,periodoncias,2009-02-01,3,3
VILLA RIVERO,atenciones odontologicas,periodoncias,2009-02-01,9,9
VILLA TUNARI,atenciones odontologicas,periodoncias,2009-02-01,55,55
VILLAZON,atenciones odontologicas,periodoncias,2009-02-01,25,25
VINTO,atenciones odontologicas,periodoncias,2009-02-01,4,4
WALDO BALLIVIAN,atenciones odontologicas,periodoncias,2009-02-01,1,1
WARNES,atenciones odontologicas,periodoncias,2009-02-01,27,27
YACO,atenciones odontologicas,periodoncias,2009-02-01,1,1
YACUIBA,atenciones odontologicas,periodoncias,2009-02-01,90,90
YANACACHI,atenciones odontologicas,periodoncias,2009-02-01,1,1
YAPACANI,atenciones odontologicas,periodoncias,2009-02-01,6,6
YUNCHARA,atenciones odontologicas,periodoncias,2009-02-01,16,16
ACACIO,atenciones odontologicas,periodoncias,2009-03-01,6,6
ACHACACHI,atenciones odontologicas,periodoncias,2009-03-01,12,12
ACHOCALLA,atenciones odontologicas,periodoncias,2009-03-01,2,2
AIQUILE,atenciones odontologicas,periodoncias,2009-03-01,35,35
ALCALA,atenciones odontologicas,periodoncias,2009-03-01,72,72
ANCORAIMES,atenciones odontologicas,periodoncias,2009-03-01,8,8
ANDAMARCA,atenciones odontologicas,periodoncias,2009-03-01,4,4
ANZALDO,atenciones odontologicas,periodoncias,2009-03-01,26,26
ARAMPAMPA,atenciones odontologicas,periodoncias,2009-03-01,3,3
ARANI,atenciones odontologicas,periodoncias,2009-03-01,18,18
ARBIETO,atenciones odontologicas,periodoncias,2009-03-01,40,40
