municipality,group,variable,month,Primeras consultas,TOTAL
SAPAHAQUI,atenciones odontologicas,primeras consultas,2009-01-01,47,47
SENA,atenciones odontologicas,primeras consultas,2009-01-01,76,76
SICA SICA (VILLA AROMA),atenciones odontologicas,primeras consultas,2009-01-01,156,156
SICAYA,atenciones odontologicas,primeras consultas,2009-01-01,22,22
SIPE SIPE,atenciones odontologicas,primeras consultas,2009-01-01,219,219
SOPACHUY,atenciones odontologicas,primeras consultas,2009-01-01,224,224
SORACACHI,atenciones odontologicas,primeras consultas,2009-01-01,29,29
SORATA,atenciones odontologicas,primeras consultas,2009-01-01,285,285
SUCRE,atenciones odontologicas,primeras consultas,2009-01-01,2787,2787
TACACOMA,atenciones odontologicas,primeras consultas,2009-01-01,88,88
TAHUA,atenciones odontologicas,primeras consultas,2009-01-01,22,22
TAPACARI,atenciones odontologicas,primeras consultas,2009-01-01,99,99
TARABUCO,atenciones odontologicas,primeras consultas,2009-01-01,53,53
TARACO,atenciones odontologicas,primeras consultas,2009-01-01,63,63
TARATA,atenciones odontologicas,primeras consultas,2009-01-01,11,11
TARIJA,atenciones odontologicas,primeras consultas,2009-01-01,2353,2353
TARVITA,atenciones odontologicas,primeras consultas,2009-01-01,262,262
TEOPONTE,atenciones odontologicas,primeras consultas,2009-01-01,39,39
TIAWANACU,atenciones odontologicas,primeras consultas,2009-01-01,146,146
TINGUIPAYA,atenciones odontologicas,primeras consultas,2009-01-01,15,15
TIQUIPAYA,atenciones odontologicas,primeras consultas,2009-01-01,373,373
TIRAQUE (CBBA),atenciones odontologicas,primeras consultas,2009-01-01,77,77
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,primeras consultas,2009-01-01,15,15
TOCO,atenciones odontologicas,primeras consultas,2009-01-01,69,69
TOLATA,atenciones odontologicas,primeras consultas,2009-01-01,68,68
TOLEDO,atenciones odontologicas,primeras consultas,2009-01-01,128,128
TOMAVE,atenciones odontologicas,primeras consultas,2009-01-01,31,31
TOMINA,atenciones odontologicas,primeras consultas,2009-01-01,163,163
TORO TORO,atenciones odontologicas,primeras consultas,2009-01-01,119,119
TOTORA(CBBA),atenciones odontologicas,primeras consultas,2009-01-01,160,160
TOTORA(ORR),atenciones odontologicas,primeras consultas,2009-01-01,18,18
TRIGAL,atenciones odontologicas,primeras consultas,2009-01-01,69,69
TRINIDAD,atenciones odontologicas,primeras consultas,2009-01-01,1014,1014
TUPIZA,atenciones odontologicas,primeras consultas,2009-01-01,196,196
TURCO,atenciones odontologicas,primeras consultas,2009-01-01,56,56
UMALA,atenciones odontologicas,primeras consultas,2009-01-01,122,122
UNCIA,atenciones odontologicas,primeras consultas,2009-01-01,691,691
URIONDO (A. CONCEPCION),atenciones odontologicas,primeras consultas,2009-01-01,454,454
URUBICHA,atenciones odontologicas,primeras consultas,2009-01-01,48,48
UYUNI,atenciones odontologicas,primeras consultas,2009-01-01,263,263
VACAS,atenciones odontologicas,primeras consultas,2009-01-01,40,40
VALLEGRANDE,atenciones odontologicas,primeras consultas,2009-01-01,357,357
VIACHA,atenciones odontologicas,primeras consultas,2009-01-01,441,441
VILA VILA,atenciones odontologicas,primeras consultas,2009-01-01,9,9
VILLA MONTES,atenciones odontologicas,primeras consultas,2009-01-01,516,516
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,primeras consultas,2009-01-01,30,30
VILLA RIVERO,atenciones odontologicas,primeras consultas,2009-01-01,51,51
VILLA SERRANO,atenciones odontologicas,primeras consultas,2009-01-01,138,138
VILLA TUNARI,atenciones odontologicas,primeras consultas,2009-01-01,585,585
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,primeras consultas,2009-01-01,97,97
VILLAZON,atenciones odontologicas,primeras consultas,2009-01-01,419,419
VINTO,atenciones odontologicas,primeras consultas,2009-01-01,92,92
VITICHI,atenciones odontologicas,primeras consultas,2009-01-01,4,4
WALDO BALLIVIAN,atenciones odontologicas,primeras consultas,2009-01-01,18,18
WARNES,atenciones odontologicas,primeras consultas,2009-01-01,384,384
YACO,atenciones odontologicas,primeras consultas,2009-01-01,56,56
YACUIBA,atenciones odontologicas,primeras consultas,2009-01-01,864,864
YAMPARAEZ,atenciones odontologicas,primeras consultas,2009-01-01,106,106
YANACACHI,atenciones odontologicas,primeras consultas,2009-01-01,44,44
YAPACANI,atenciones odontologicas,primeras consultas,2009-01-01,71,71
YOCALLA,atenciones odontologicas,primeras consultas,2009-01-01,25,25
YOTALA,atenciones odontologicas,primeras consultas,2009-01-01,163,163
YUNCHARA,atenciones odontologicas,primeras consultas,2009-01-01,102,102
ZUDAÑEZ,atenciones odontologicas,primeras consultas,2009-01-01,114,114
ACHACACHI,atenciones odontologicas,primeras consultas,2009-02-01,871,871
ACHOCALLA,atenciones odontologicas,primeras consultas,2009-02-01,11,11
AIQUILE,atenciones odontologicas,primeras consultas,2009-02-01,54,54
ALALAY,atenciones odontologicas,primeras consultas,2009-02-01,10,10
ALCALA,atenciones odontologicas,primeras consultas,2009-02-01,78,78
ANCORAIMES,atenciones odontologicas,primeras consultas,2009-02-01,47,47
ANDAMARCA,atenciones odontologicas,primeras consultas,2009-02-01,56,56
ANTEQUERA,atenciones odontologicas,primeras consultas,2009-02-01,65,65
ANZALDO,atenciones odontologicas,primeras consultas,2009-02-01,167,167
APOLO,atenciones odontologicas,primeras consultas,2009-02-01,50,50
ARAMPAMPA,atenciones odontologicas,primeras consultas,2009-02-01,10,10
ARANI,atenciones odontologicas,primeras consultas,2009-02-01,1123,1123
ARBIETO,atenciones odontologicas,primeras consultas,2009-02-01,56,56
ARQUE,atenciones odontologicas,primeras consultas,2009-02-01,52,52
ASCENCION DE GUARAYOS,atenciones odontologicas,primeras consultas,2009-02-01,124,124
AYATA,atenciones odontologicas,primeras consultas,2009-02-01,95,95
AYO AYO,atenciones odontologicas,primeras consultas,2009-02-01,21,21
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,primeras consultas,2009-02-01,263,263
AZURDUY,atenciones odontologicas,primeras consultas,2009-02-01,93,93
BATALLAS,atenciones odontologicas,primeras consultas,2009-02-01,114,114
BAURES,atenciones odontologicas,primeras consultas,2009-02-01,30,30
BELEN DE URMIRI,atenciones odontologicas,primeras consultas,2009-02-01,32,32
BERMEJO,atenciones odontologicas,primeras consultas,2009-02-01,366,366
BETANZOS,atenciones odontologicas,primeras consultas,2009-02-01,71,71
BOLIVAR,atenciones odontologicas,primeras consultas,2009-02-01,11,11
BOLPEBRA,atenciones odontologicas,primeras consultas,2009-02-01,13,13
BOYUIBE,atenciones odontologicas,primeras consultas,2009-02-01,78,78
BUENA VISTA,atenciones odontologicas,primeras consultas,2009-02-01,43,43
CABEZAS,atenciones odontologicas,primeras consultas,2009-02-01,196,196
CAIROMA,atenciones odontologicas,primeras consultas,2009-02-01,227,227
"CAIZA ""D""",atenciones odontologicas,primeras consultas,2009-02-01,73,73
CAJUATA,atenciones odontologicas,primeras consultas,2009-02-01,18,18
CALACOTO,atenciones odontologicas,primeras consultas,2009-02-01,56,56
CALAMARCA,atenciones odontologicas,primeras consultas,2009-02-01,118,118
CAMARGO,atenciones odontologicas,primeras consultas,2009-02-01,216,216
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,primeras consultas,2009-02-01,33,33
CAMIRI,atenciones odontologicas,primeras consultas,2009-02-01,635,635
CAPINOTA,atenciones odontologicas,primeras consultas,2009-02-01,342,342
CAQUIAVIRI,atenciones odontologicas,primeras consultas,2009-02-01,92,92
CARACOLLO,atenciones odontologicas,primeras consultas,2009-02-01,87,87
CARANAVI,atenciones odontologicas,primeras consultas,2009-02-01,212,212
CARAPARI,atenciones odontologicas,primeras consultas,2009-02-01,333,333
CARIPUYO,atenciones odontologicas,primeras consultas,2009-02-01,19,19
CARMEN RIVERO TORREZ,atenciones odontologicas,primeras consultas,2009-02-01,20,20
CATACORA,atenciones odontologicas,primeras consultas,2009-02-01,15,15
CHALLAPATA,atenciones odontologicas,primeras consultas,2009-02-01,208,208
CHAQUI,atenciones odontologicas,primeras consultas,2009-02-01,20,20
CHARAGUA,atenciones odontologicas,primeras consultas,2009-02-01,207,207
CHARAÑA,atenciones odontologicas,primeras consultas,2009-02-01,88,88
CHAYANTA,atenciones odontologicas,primeras consultas,2009-02-01,123,123
CHIMORE,atenciones odontologicas,primeras consultas,2009-02-01,91,91
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,primeras consultas,2009-02-01,250,250
CHUMA,atenciones odontologicas,primeras consultas,2009-02-01,192,192
CLIZA,atenciones odontologicas,primeras consultas,2009-02-01,119,119
COBIJA,atenciones odontologicas,primeras consultas,2009-02-01,507,507
COCHABAMBA,atenciones odontologicas,primeras consultas,2009-02-01,4023,4023
COLCAPIRHUA,atenciones odontologicas,primeras consultas,2009-02-01,88,88
"COLCHA ""K""",atenciones odontologicas,primeras consultas,2009-02-01,24,24
COLLANA,atenciones odontologicas,primeras consultas,2009-02-01,43,43
COLOMI,atenciones odontologicas,primeras consultas,2009-02-01,154,154
COLPA BELGICA,atenciones odontologicas,primeras consultas,2009-02-01,164,164
COLQUECHACA,atenciones odontologicas,primeras consultas,2009-02-01,89,89
COLQUENCHA,atenciones odontologicas,primeras consultas,2009-02-01,79,79
COLQUIRI,atenciones odontologicas,primeras consultas,2009-02-01,10,10
COMANCHE,atenciones odontologicas,primeras consultas,2009-02-01,30,30
COMARAPA,atenciones odontologicas,primeras consultas,2009-02-01,119,119
COMBAYA,atenciones odontologicas,primeras consultas,2009-02-01,54,54
CONCEPCION,atenciones odontologicas,primeras consultas,2009-02-01,27,27
COPACABANA,atenciones odontologicas,primeras consultas,2009-02-01,100,100
CORIPATA,atenciones odontologicas,primeras consultas,2009-02-01,150,150
CORO CORO,atenciones odontologicas,primeras consultas,2009-02-01,28,28
COROICO,atenciones odontologicas,primeras consultas,2009-02-01,220,220
COTAGAITA,atenciones odontologicas,primeras consultas,2009-02-01,276,276
COTOCA,atenciones odontologicas,primeras consultas,2009-02-01,83,83
CUATRO CAÑADAS,atenciones odontologicas,primeras consultas,2009-02-01,202,202
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,primeras consultas,2009-02-01,5,5
CUEVO,atenciones odontologicas,primeras consultas,2009-02-01,60,60
CULPINA,atenciones odontologicas,primeras consultas,2009-02-01,59,59
CURAHUARA DE CARANGAS,atenciones odontologicas,primeras consultas,2009-02-01,19,19
CURVA,atenciones odontologicas,primeras consultas,2009-02-01,99,99
DESAGUADERO,atenciones odontologicas,primeras consultas,2009-02-01,1,1
EL ALTO,atenciones odontologicas,primeras consultas,2009-02-01,3954,3954
EL PUENTE(STC),atenciones odontologicas,primeras consultas,2009-02-01,53,53
EL PUENTE(TJA),atenciones odontologicas,primeras consultas,2009-02-01,222,222
EL TORNO,atenciones odontologicas,primeras consultas,2009-02-01,121,121
ENTRE RIOS,atenciones odontologicas,primeras consultas,2009-02-01,246,246
ENTRE RIOS,atenciones odontologicas,primeras consultas,2009-02-01,60,60
EUCALIPTUS,atenciones odontologicas,primeras consultas,2009-02-01,61,61
EXALTACION,atenciones odontologicas,primeras consultas,2009-02-01,5,5
FERNANDEZ ALONSO,atenciones odontologicas,primeras consultas,2009-02-01,79,79
FILADELFIA,atenciones odontologicas,primeras consultas,2009-02-01,54,54
GENERAL SAAVEDRA,atenciones odontologicas,primeras consultas,2009-02-01,812,812
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,primeras consultas,2009-02-01,56,56
GUANAY,atenciones odontologicas,primeras consultas,2009-02-01,103,103
GUAQUI,atenciones odontologicas,primeras consultas,2009-02-01,120,120
GUAYARAMERIN,atenciones odontologicas,primeras consultas,2009-02-01,391,391
GUTIERREZ,atenciones odontologicas,primeras consultas,2009-02-01,171,171
HUACHACALLA,atenciones odontologicas,primeras consultas,2009-02-01,47,47
