municipality,group,variable,month,Endodoncias,TOTAL
OCURI,atenciones odontologicas,endodoncias,2009-01-01,9,9
OKINAWA,atenciones odontologicas,endodoncias,2009-01-01,1,1
ORURO,atenciones odontologicas,endodoncias,2009-01-01,568,568
PADCAYA,atenciones odontologicas,endodoncias,2009-01-01,73,73
PADILLA,atenciones odontologicas,endodoncias,2009-01-01,2,2
PAILON,atenciones odontologicas,endodoncias,2009-01-01,2,2
PAMPA AULLAGAS,atenciones odontologicas,endodoncias,2009-01-01,4,4
PAMPA GRANDE,atenciones odontologicas,endodoncias,2009-01-01,6,6
PASORAPA,atenciones odontologicas,endodoncias,2009-01-01,28,28
POCOATA,atenciones odontologicas,endodoncias,2009-01-01,2,2
POCONA,atenciones odontologicas,endodoncias,2009-01-01,1,1
POJO (CBBA),atenciones odontologicas,endodoncias,2009-01-01,5,5
POOPO,atenciones odontologicas,endodoncias,2009-01-01,11,11
PORCO,atenciones odontologicas,endodoncias,2009-01-01,4,4
PORONGO,atenciones odontologicas,endodoncias,2009-01-01,1,1
PORTACHUELO,atenciones odontologicas,endodoncias,2009-01-01,8,8
PORVENIR,atenciones odontologicas,endodoncias,2009-01-01,2,2
POSTRER VALLE,atenciones odontologicas,endodoncias,2009-01-01,3,3
POTOSI,atenciones odontologicas,endodoncias,2009-01-01,283,283
PRESTO,atenciones odontologicas,endodoncias,2009-01-01,1,1
PUERTO ACOSTA,atenciones odontologicas,endodoncias,2009-01-01,28,28
PUERTO CARABUCO,atenciones odontologicas,endodoncias,2009-01-01,1,1
PUERTO GONZALO MORENO,atenciones odontologicas,endodoncias,2009-01-01,1,1
PUERTO QUIJARRO,atenciones odontologicas,endodoncias,2009-01-01,1,1
PUERTO RICO,atenciones odontologicas,endodoncias,2009-01-01,6,6
PUERTO SUAREZ,atenciones odontologicas,endodoncias,2009-01-01,4,4
PUERTO VILLARROEL,atenciones odontologicas,endodoncias,2009-01-01,48,48
PUNA,atenciones odontologicas,endodoncias,2009-01-01,8,8
PUNATA,atenciones odontologicas,endodoncias,2009-01-01,71,71
QUILLACOLLO,atenciones odontologicas,endodoncias,2009-01-01,207,207
QUIME,atenciones odontologicas,endodoncias,2009-01-01,32,32
QUIRUSILLAS,atenciones odontologicas,endodoncias,2009-01-01,12,12
REYES,atenciones odontologicas,endodoncias,2009-01-01,27,27
RIBERALTA,atenciones odontologicas,endodoncias,2009-01-01,17,17
ROBORE,atenciones odontologicas,endodoncias,2009-01-01,33,33
RURRENABAQUE,atenciones odontologicas,endodoncias,2009-01-01,8,8
SACABA,atenciones odontologicas,endodoncias,2009-01-01,106,106
SACABAMBA,atenciones odontologicas,endodoncias,2009-01-01,1,1
SAIPINA,atenciones odontologicas,endodoncias,2009-01-01,6,6
SALINAS DE GARCI MENDOZA,atenciones odontologicas,endodoncias,2009-01-01,7,7
SAMAIPATA,atenciones odontologicas,endodoncias,2009-01-01,8,8
SAN BENITO,atenciones odontologicas,endodoncias,2009-01-01,66,66
SAN BORJA,atenciones odontologicas,endodoncias,2009-01-01,22,22
SAN BUENA VENTURA,atenciones odontologicas,endodoncias,2009-01-01,24,24
SAN CARLOS,atenciones odontologicas,endodoncias,2009-01-01,13,13
SAN IGNACIO,atenciones odontologicas,endodoncias,2009-01-01,20,20
SAN IGNACIO DE VELASCO,atenciones odontologicas,endodoncias,2009-01-01,13,13
SAN JAVIER(STC),atenciones odontologicas,endodoncias,2009-01-01,2,2
SAN JUAN DE YAPACANI,atenciones odontologicas,endodoncias,2009-01-01,5,5
SAN JULIAN,atenciones odontologicas,endodoncias,2009-01-01,7,7
SAN LORENZO(TJA),atenciones odontologicas,endodoncias,2009-01-01,141,141
SAN LUCAS,atenciones odontologicas,endodoncias,2009-01-01,11,11
SAN MATIAS,atenciones odontologicas,endodoncias,2009-01-01,17,17
SAN MIGUEL DE VELASCO,atenciones odontologicas,endodoncias,2009-01-01,60,60
SAN PEDRO,atenciones odontologicas,endodoncias,2009-01-01,3,3
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,endodoncias,2009-01-01,3,3
SAN PEDRO DE TIQUINA,atenciones odontologicas,endodoncias,2009-01-01,3,3
SAN RAFAEL,atenciones odontologicas,endodoncias,2009-01-01,22,22
SAN RAMON,atenciones odontologicas,endodoncias,2009-01-01,19,19
SAN RAMON,atenciones odontologicas,endodoncias,2009-01-01,2,2
SANTA ANA,atenciones odontologicas,endodoncias,2009-01-01,13,13
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,endodoncias,2009-01-01,1780,1780
SANTA ROSA DEL SARA,atenciones odontologicas,endodoncias,2009-01-01,5,5
SANTIAGO DE HUARI,atenciones odontologicas,endodoncias,2009-01-01,14,14
SANTIVAÑES,atenciones odontologicas,endodoncias,2009-01-01,16,16
SANTUARIO DE QUILLACAS,atenciones odontologicas,endodoncias,2009-01-01,4,4
SAPAHAQUI,atenciones odontologicas,endodoncias,2009-01-01,5,5
SENA,atenciones odontologicas,endodoncias,2009-01-01,2,2
SICA SICA (VILLA AROMA),atenciones odontologicas,endodoncias,2009-01-01,24,24
SICAYA,atenciones odontologicas,endodoncias,2009-01-01,5,5
SIPE SIPE,atenciones odontologicas,endodoncias,2009-01-01,52,52
SOPACHUY,atenciones odontologicas,endodoncias,2009-01-01,7,7
SORATA,atenciones odontologicas,endodoncias,2009-01-01,5,5
SUCRE,atenciones odontologicas,endodoncias,2009-01-01,964,964
TACACOMA,atenciones odontologicas,endodoncias,2009-01-01,1,1
TAPACARI,atenciones odontologicas,endodoncias,2009-01-01,1,1
TARABUCO,atenciones odontologicas,endodoncias,2009-01-01,2,2
TARACO,atenciones odontologicas,endodoncias,2009-01-01,1,1
TARATA,atenciones odontologicas,endodoncias,2009-01-01,6,6
TARIJA,atenciones odontologicas,endodoncias,2009-01-01,1056,1056
TARVITA,atenciones odontologicas,endodoncias,2009-01-01,23,23
TEOPONTE,atenciones odontologicas,endodoncias,2009-01-01,1,1
TIAWANACU,atenciones odontologicas,endodoncias,2009-01-01,1,1
TINGUIPAYA,atenciones odontologicas,endodoncias,2009-01-01,1,1
TIQUIPAYA,atenciones odontologicas,endodoncias,2009-01-01,45,45
TIRAQUE (CBBA),atenciones odontologicas,endodoncias,2009-01-01,81,81
TOCO,atenciones odontologicas,endodoncias,2009-01-01,6,6
TOLATA,atenciones odontologicas,endodoncias,2009-01-01,39,39
TOLEDO,atenciones odontologicas,endodoncias,2009-01-01,4,4
TOMAVE,atenciones odontologicas,endodoncias,2009-01-01,1,1
TOMINA,atenciones odontologicas,endodoncias,2009-01-01,5,5
TORO TORO,atenciones odontologicas,endodoncias,2009-01-01,2,2
TOTORA(CBBA),atenciones odontologicas,endodoncias,2009-01-01,2,2
TRINIDAD,atenciones odontologicas,endodoncias,2009-01-01,46,46
TUPIZA,atenciones odontologicas,endodoncias,2009-01-01,26,26
TURCO,atenciones odontologicas,endodoncias,2009-01-01,5,5
UMALA,atenciones odontologicas,endodoncias,2009-01-01,1,1
UNCIA,atenciones odontologicas,endodoncias,2009-01-01,18,18
URIONDO (A. CONCEPCION),atenciones odontologicas,endodoncias,2009-01-01,54,54
URUBICHA,atenciones odontologicas,endodoncias,2009-01-01,7,7
UYUNI,atenciones odontologicas,endodoncias,2009-01-01,34,34
VACAS,atenciones odontologicas,endodoncias,2009-01-01,9,9
VALLEGRANDE,atenciones odontologicas,endodoncias,2009-01-01,113,113
VIACHA,atenciones odontologicas,endodoncias,2009-01-01,26,26
VILLA MONTES,atenciones odontologicas,endodoncias,2009-01-01,110,110
VILLA RIVERO,atenciones odontologicas,endodoncias,2009-01-01,2,2
VILLA SERRANO,atenciones odontologicas,endodoncias,2009-01-01,10,10
VILLA TUNARI,atenciones odontologicas,endodoncias,2009-01-01,108,108
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,endodoncias,2009-01-01,18,18
VILLAZON,atenciones odontologicas,endodoncias,2009-01-01,134,134
VINTO,atenciones odontologicas,endodoncias,2009-01-01,22,22
WALDO BALLIVIAN,atenciones odontologicas,endodoncias,2009-01-01,4,4
WARNES,atenciones odontologicas,endodoncias,2009-01-01,13,13
YACUIBA,atenciones odontologicas,endodoncias,2009-01-01,271,271
YAMPARAEZ,atenciones odontologicas,endodoncias,2009-01-01,10,10
YANACACHI,atenciones odontologicas,endodoncias,2009-01-01,3,3
YAPACANI,atenciones odontologicas,endodoncias,2009-01-01,2,2
YUNCHARA,atenciones odontologicas,endodoncias,2009-01-01,7,7
ACHACACHI,atenciones odontologicas,endodoncias,2009-02-01,13,13
ACHOCALLA,atenciones odontologicas,endodoncias,2009-02-01,11,11
AIQUILE,atenciones odontologicas,endodoncias,2009-02-01,19,19
ANDAMARCA,atenciones odontologicas,endodoncias,2009-02-01,3,3
ANTEQUERA,atenciones odontologicas,endodoncias,2009-02-01,11,11
ANZALDO,atenciones odontologicas,endodoncias,2009-02-01,12,12
ARAMPAMPA,atenciones odontologicas,endodoncias,2009-02-01,2,2
ARANI,atenciones odontologicas,endodoncias,2009-02-01,31,31
ARBIETO,atenciones odontologicas,endodoncias,2009-02-01,5,5
ARQUE,atenciones odontologicas,endodoncias,2009-02-01,2,2
ASCENCION DE GUARAYOS,atenciones odontologicas,endodoncias,2009-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,endodoncias,2009-02-01,27,27
AZURDUY,atenciones odontologicas,endodoncias,2009-02-01,7,7
BAURES,atenciones odontologicas,endodoncias,2009-02-01,10,10
BERMEJO,atenciones odontologicas,endodoncias,2009-02-01,85,85
BETANZOS,atenciones odontologicas,endodoncias,2009-02-01,28,28
BOLIVAR,atenciones odontologicas,endodoncias,2009-02-01,8,8
BOYUIBE,atenciones odontologicas,endodoncias,2009-02-01,5,5
BUENA VISTA,atenciones odontologicas,endodoncias,2009-02-01,3,3
CABEZAS,atenciones odontologicas,endodoncias,2009-02-01,3,3
CAIROMA,atenciones odontologicas,endodoncias,2009-02-01,5,5
CALAMARCA,atenciones odontologicas,endodoncias,2009-02-01,38,38
CAMARGO,atenciones odontologicas,endodoncias,2009-02-01,24,24
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,endodoncias,2009-02-01,6,6
CAMIRI,atenciones odontologicas,endodoncias,2009-02-01,90,90
CAPINOTA,atenciones odontologicas,endodoncias,2009-02-01,99,99
CARACOLLO,atenciones odontologicas,endodoncias,2009-02-01,9,9
CARANAVI,atenciones odontologicas,endodoncias,2009-02-01,6,6
CARAPARI,atenciones odontologicas,endodoncias,2009-02-01,48,48
CARIPUYO,atenciones odontologicas,endodoncias,2009-02-01,1,1
CARMEN RIVERO TORREZ,atenciones odontologicas,endodoncias,2009-02-01,2,2
CHALLAPATA,atenciones odontologicas,endodoncias,2009-02-01,14,14
CHARAGUA,atenciones odontologicas,endodoncias,2009-02-01,7,7
CHARAÑA,atenciones odontologicas,endodoncias,2009-02-01,4,4
CHAYANTA,atenciones odontologicas,endodoncias,2009-02-01,15,15
CHIMORE,atenciones odontologicas,endodoncias,2009-02-01,13,13
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,endodoncias,2009-02-01,17,17
CLIZA,atenciones odontologicas,endodoncias,2009-02-01,23,23
COBIJA,atenciones odontologicas,endodoncias,2009-02-01,42,42
COCHABAMBA,atenciones odontologicas,endodoncias,2009-02-01,1180,1180
COLCAPIRHUA,atenciones odontologicas,endodoncias,2009-02-01,78,78
COLOMI,atenciones odontologicas,endodoncias,2009-02-01,8,8
COLPA BELGICA,atenciones odontologicas,endodoncias,2009-02-01,1,1
COLQUECHACA,atenciones odontologicas,endodoncias,2009-02-01,14,14
COLQUENCHA,atenciones odontologicas,endodoncias,2009-02-01,5,5
COLQUIRI,atenciones odontologicas,endodoncias,2009-02-01,1,1
COMARAPA,atenciones odontologicas,endodoncias,2009-02-01,35,35
CONCEPCION,atenciones odontologicas,endodoncias,2009-02-01,2,2
COPACABANA,atenciones odontologicas,endodoncias,2009-02-01,1,1
COROICO,atenciones odontologicas,endodoncias,2009-02-01,44,44
COTAGAITA,atenciones odontologicas,endodoncias,2009-02-01,27,27
COTOCA,atenciones odontologicas,endodoncias,2009-02-01,5,5
CUATRO CAÑADAS,atenciones odontologicas,endodoncias,2009-02-01,4,4
CULPINA,atenciones odontologicas,endodoncias,2009-02-01,3,3
CURAHUARA DE CARANGAS,atenciones odontologicas,endodoncias,2009-02-01,4,4
EL ALTO,atenciones odontologicas,endodoncias,2009-02-01,864,864
EL PUENTE(STC),atenciones odontologicas,endodoncias,2009-02-01,10,10
EL PUENTE(TJA),atenciones odontologicas,endodoncias,2009-02-01,5,5
ENTRE RIOS,atenciones odontologicas,endodoncias,2009-02-01,34,34
ENTRE RIOS,atenciones odontologicas,endodoncias,2009-02-01,9,9
EUCALIPTUS,atenciones odontologicas,endodoncias,2009-02-01,10,10
FERNANDEZ ALONSO,atenciones odontologicas,endodoncias,2009-02-01,6,6
FILADELFIA,atenciones odontologicas,endodoncias,2009-02-01,1,1
GENERAL SAAVEDRA,atenciones odontologicas,endodoncias,2009-02-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,endodoncias,2009-02-01,8,8
GUANAY,atenciones odontologicas,endodoncias,2009-02-01,21,21
GUAYARAMERIN,atenciones odontologicas,endodoncias,2009-02-01,32,32
GUTIERREZ,atenciones odontologicas,endodoncias,2009-02-01,32,32
HUACARETA,atenciones odontologicas,endodoncias,2009-02-01,8,8
HUACHACALLA,atenciones odontologicas,endodoncias,2009-02-01,1,1
HUANUNI,atenciones odontologicas,endodoncias,2009-02-01,26,26
HUARACAJE,atenciones odontologicas,endodoncias,2009-02-01,10,10
HUAYLLAMARCA,atenciones odontologicas,endodoncias,2009-02-01,3,3
ICLA,atenciones odontologicas,endodoncias,2009-02-01,2,2
INCAHUASI,atenciones odontologicas,endodoncias,2009-02-01,4,4
INQUISIVI,atenciones odontologicas,endodoncias,2009-02-01,2,2
IRUPANA (VILLA DE LANZA),atenciones odontologicas,endodoncias,2009-02-01,8,8
LA ASUNTA,atenciones odontologicas,endodoncias,2009-02-01,3,3
LA GUARDIA,atenciones odontologicas,endodoncias,2009-02-01,18,18
LA PAZ,atenciones odontologicas,endodoncias,2009-02-01,1538,1538
LAGUNILLAS,atenciones odontologicas,endodoncias,2009-02-01,18,18
LICOMA PAMPA,atenciones odontologicas,endodoncias,2009-02-01,2,2
LLALLAGUA,atenciones odontologicas,endodoncias,2009-02-01,39,39
MACHACAMARCA,atenciones odontologicas,endodoncias,2009-02-01,10,10
MACHARETI,atenciones odontologicas,endodoncias,2009-02-01,4,4
MAGDALENA,atenciones odontologicas,endodoncias,2009-02-01,3,3
MAIRANA,atenciones odontologicas,endodoncias,2009-02-01,6,6
MAPIRI,atenciones odontologicas,endodoncias,2009-02-01,24,24
MECAPACA,atenciones odontologicas,endodoncias,2009-02-01,2,2
MINEROS,atenciones odontologicas,endodoncias,2009-02-01,2,2
MIZQUE,atenciones odontologicas,endodoncias,2009-02-01,17,17
MOCOMOCO,atenciones odontologicas,endodoncias,2009-02-01,1,1
MONTEAGUDO,atenciones odontologicas,endodoncias,2009-02-01,20,20
MONTERO,atenciones odontologicas,endodoncias,2009-02-01,51,51
MOROCHATA,atenciones odontologicas,endodoncias,2009-02-01,2,2
OCURI,atenciones odontologicas,endodoncias,2009-02-01,3,3
OKINAWA,atenciones odontologicas,endodoncias,2009-02-01,1,1
ORURO,atenciones odontologicas,endodoncias,2009-02-01,470,470
PADCAYA,atenciones odontologicas,endodoncias,2009-02-01,53,53
PADILLA,atenciones odontologicas,endodoncias,2009-02-01,4,4
PAILON,atenciones odontologicas,endodoncias,2009-02-01,3,3
PAMPA AULLAGAS,atenciones odontologicas,endodoncias,2009-02-01,2,2
PAMPA GRANDE,atenciones odontologicas,endodoncias,2009-02-01,11,11
PASORAPA,atenciones odontologicas,endodoncias,2009-02-01,21,21
PATACAMAYA,atenciones odontologicas,endodoncias,2009-02-01,15,15
PAZÑA,atenciones odontologicas,endodoncias,2009-02-01,3,3
POCOATA,atenciones odontologicas,endodoncias,2009-02-01,3,3
POCONA,atenciones odontologicas,endodoncias,2009-02-01,7,7
POJO (CBBA),atenciones odontologicas,endodoncias,2009-02-01,1,1
POOPO,atenciones odontologicas,endodoncias,2009-02-01,6,6
PORCO,atenciones odontologicas,endodoncias,2009-02-01,8,8
PORONGO,atenciones odontologicas,endodoncias,2009-02-01,1,1
PORTACHUELO,atenciones odontologicas,endodoncias,2009-02-01,3,3
PORVENIR,atenciones odontologicas,endodoncias,2009-02-01,3,3
POTOSI,atenciones odontologicas,endodoncias,2009-02-01,275,275
PUCARA,atenciones odontologicas,endodoncias,2009-02-01,1,1
PUERTO ACOSTA,atenciones odontologicas,endodoncias,2009-02-01,28,28
PUERTO CARABUCO,atenciones odontologicas,endodoncias,2009-02-01,10,10
PUERTO GONZALO MORENO,atenciones odontologicas,endodoncias,2009-02-01,9,9
PUERTO QUIJARRO,atenciones odontologicas,endodoncias,2009-02-01,1,1
PUERTO RICO,atenciones odontologicas,endodoncias,2009-02-01,6,6
PUERTO SUAREZ,atenciones odontologicas,endodoncias,2009-02-01,3,3
PUERTO VILLARROEL,atenciones odontologicas,endodoncias,2009-02-01,44,44
PUNA,atenciones odontologicas,endodoncias,2009-02-01,7,7
PUNATA,atenciones odontologicas,endodoncias,2009-02-01,46,46
QUILLACOLLO,atenciones odontologicas,endodoncias,2009-02-01,188,188
QUIME,atenciones odontologicas,endodoncias,2009-02-01,4,4
QUIRUSILLAS,atenciones odontologicas,endodoncias,2009-02-01,3,3
REYES,atenciones odontologicas,endodoncias,2009-02-01,31,31
RIBERALTA,atenciones odontologicas,endodoncias,2009-02-01,26,26
ROBORE,atenciones odontologicas,endodoncias,2009-02-01,11,11
RURRENABAQUE,atenciones odontologicas,endodoncias,2009-02-01,5,5
SACABA,atenciones odontologicas,endodoncias,2009-02-01,94,94
SAIPINA,atenciones odontologicas,endodoncias,2009-02-01,6,6
SALINAS DE GARCI MENDOZA,atenciones odontologicas,endodoncias,2009-02-01,9,9
SAMAIPATA,atenciones odontologicas,endodoncias,2009-02-01,7,7
SAN ANDRES DE MACHACA,atenciones odontologicas,endodoncias,2009-02-01,5,5
SAN BENITO,atenciones odontologicas,endodoncias,2009-02-01,19,19
SAN BORJA,atenciones odontologicas,endodoncias,2009-02-01,16,16
SAN BUENA VENTURA,atenciones odontologicas,endodoncias,2009-02-01,22,22
SAN CARLOS,atenciones odontologicas,endodoncias,2009-02-01,13,13
SAN IGNACIO,atenciones odontologicas,endodoncias,2009-02-01,23,23
SAN IGNACIO DE VELASCO,atenciones odontologicas,endodoncias,2009-02-01,13,13
SAN JUAN DE YAPACANI,atenciones odontologicas,endodoncias,2009-02-01,3,3
SAN JULIAN,atenciones odontologicas,endodoncias,2009-02-01,9,9
SAN LORENZO(TJA),atenciones odontologicas,endodoncias,2009-02-01,127,127
SAN LUCAS,atenciones odontologicas,endodoncias,2009-02-01,6,6
SAN MATIAS,atenciones odontologicas,endodoncias,2009-02-01,16,16
SAN MIGUEL DE VELASCO,atenciones odontologicas,endodoncias,2009-02-01,31,31
SAN PEDRO,atenciones odontologicas,endodoncias,2009-02-01,5,5
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,endodoncias,2009-02-01,1,1
SAN PEDRO DE CURAHUARA,atenciones odontologicas,endodoncias,2009-02-01,1,1
SAN RAFAEL,atenciones odontologicas,endodoncias,2009-02-01,8,8
SAN RAMON,atenciones odontologicas,endodoncias,2009-02-01,18,18
SAN RAMON,atenciones odontologicas,endodoncias,2009-02-01,2,2
SANTA ANA,atenciones odontologicas,endodoncias,2009-02-01,23,23
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,endodoncias,2009-02-01,1544,1544
SANTA ROSA DEL SARA,atenciones odontologicas,endodoncias,2009-02-01,14,14
SANTIAGO DE HUARI,atenciones odontologicas,endodoncias,2009-02-01,14,14
SANTIVAÑES,atenciones odontologicas,endodoncias,2009-02-01,32,32
SANTUARIO DE QUILLACAS,atenciones odontologicas,endodoncias,2009-02-01,4,4
SAPAHAQUI,atenciones odontologicas,endodoncias,2009-02-01,6,6
SENA,atenciones odontologicas,endodoncias,2009-02-01,2,2
SICA SICA (VILLA AROMA),atenciones odontologicas,endodoncias,2009-02-01,16,16
SICAYA,atenciones odontologicas,endodoncias,2009-02-01,1,1
SIPE SIPE,atenciones odontologicas,endodoncias,2009-02-01,53,53
SOPACHUY,atenciones odontologicas,endodoncias,2009-02-01,4,4
SORATA,atenciones odontologicas,endodoncias,2009-02-01,8,8
SUCRE,atenciones odontologicas,endodoncias,2009-02-01,676,676
TACACOMA,atenciones odontologicas,endodoncias,2009-02-01,20,20
TAPACARI,atenciones odontologicas,endodoncias,2009-02-01,1,1
TARABUCO,atenciones odontologicas,endodoncias,2009-02-01,2,2
TARATA,atenciones odontologicas,endodoncias,2009-02-01,7,7
