municipality,group,variable,month,l 3.13 Nº de actividades de educación en Salud Oral,TOTAL
CARACOLLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,12,12
CARANAVI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
CARAPARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
CARIPUYO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
CARMEN RIVERO TORREZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
CHALLAPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
CHARAGUA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
CHIMORE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
CHIPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,10,10
CHUMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
CKOCHAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
CLIZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
COBIJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
COCAPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,9,9
COCHABAMBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,107,107
COLCAPIRHUA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,54,54
"COLCHA ""K""",atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,9,9
COLLANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
COLOMI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
COLPA BELGICA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
COLQUECHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
COLQUIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
COMANCHE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
COMARAPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,49,49
CONCEPCION,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,20,20
COPACABANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,9,9
CORIPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
COROICO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
CORQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
COTAGAITA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,11,11
COTOCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,13,13
CUATRO CAÑADAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,20,20
CUEVO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
CURAHUARA DE CARANGAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
CURVA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
DESAGUADERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,18,18
EL ALTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,74,74
EL PUENTE(TJA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
EL TORNO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,18,18
EL VILLAR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
ENTRE RIOS TRJ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,26,26
ENTRE RIOS CBBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
EUCALIPTUS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,11,11
FILADELFIA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
GENERAL SAAVEDRA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
GUANAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
GUAQUI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,9,9
GUAYARAMERIN,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,19,19
GUTIERREZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
HUACAYA (VILLA DE HUACAYA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,10,10
HUANUNI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
HUAYLLAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
HUMANATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
ICLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
INCAHUASI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
INQUISIVI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
IRUPANA (VILLA DE LANZA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
IXIAMAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
JESUS DE MACHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
LA ASUNTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
LA GUARDIA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,504,504
LA PAZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,191,191
LAGUNILLAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
LAJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,10,10
LICOMA PAMPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,14,14
LURIBAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
MACHACAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
MACHARETI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
MAGDALENA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,9,9
MAIRANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
MALLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
MAPIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
MECAPACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,52,52
MINEROS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
MIZQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
MOCOMOCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
MOJOCOYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
MONTEAGUDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,37,37
MONTERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
MORO MORO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,103,103
MOROCHATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,21,21
OKINAWA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
ORURO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
PADCAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
PADILLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,24,24
PALCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,12,12
PALOS BLANCOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,41,41
PAMPA AULLAGAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
PAMPA GRANDE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,12,12
PAPEL PAMPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
PATACAMAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
PAZÑA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
PELECHUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
POCONA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,13,13
POJO (CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
POROMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
PORONGO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
PORTACHUELO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
PORVENIR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
POSTRER VALLE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
POTOSI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,121,121
PRESTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
PUCARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
PUCARANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
PUERTO ACOSTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
PUERTO CARABUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
PUERTO GONZALO MORENO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
PUERTO PEREZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
PUERTO QUIJARRO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
PUERTO RICO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
PUERTO VILLARROEL,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,30,30
PUNA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
PUNATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,184,184
QUIABAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
QUILLACOLLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,26,26
QUIME,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,11,11
RIBERALTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
ROBORE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,140,140
RURRENABAQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
SABAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
SACABA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,35,35
SACACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,25,25
SALINAS DE GARCI MENDOZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,19,19
SAN ANDRES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
SAN ANDRES DE MACHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
SAN BENITO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,82,82
SAN BORJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
SAN BUENA VENTURA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
SAN JAVIER(STC),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,80,80
SAN JOSE DE CHIQUITOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
SAN JUAN DE YAPACANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,25,25
SAN JULIAN,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
SAN LORENZO(PND),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
SAN LORENZO(TJA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
SAN LUCAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,47,47
SAN MIGUEL DE VELASCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
SAN PEDRO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
SAN PEDRO DE CURAHUARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,19,19
SAN PEDRO DE TIQUINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
SAN RAFAEL,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
SANTA ANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,23,23
SANTA CRUZ DE LA SIERRA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,744,744
SANTA ROSA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,19,19
SANTIAGO DE CALLAPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
SANTIAGO DE HUARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
SANTIAGO DE HUATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
SANTIVAÑES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
SANTUARIO DE QUILLACAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
SAPAHAQUI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
SICA SICA (VILLA AROMA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
SICAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
SIPE SIPE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
SOPACHUY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
SORACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
SORATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
SUCRE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,919,919
TACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,88,88
TACACOMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
TACOPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
TAHUA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
TAPACARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,24,24
TARABUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,22,22
TARACO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,13,13
TARATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
TARIJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,33,33
TARVITA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,17,17
TEOPONTE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
TIAWANACU,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
TINGUIPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
TIPUANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,18,18
TIQUIPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,108,108
TIRAQUE (CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,74,74
TOCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,11,11
TOLATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,11,11
TOLEDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
TOMAVE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,10,10
TOMINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,11,11
TORO TORO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,14,14
TOTORA(CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
TRIGAL,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,67,67
TRINIDAD,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,157,157
TUPIZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,36,36
TURCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
UMALA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
URIONDO (A. CONCEPCION),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,67,67
UYUNI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,33,33
VACAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
VALLEGRANDE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,491,491
VIACHA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,20,20
VILA VILA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
VILLA MONTES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
VILLA NUEVA (LOMA ALTA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
VILLA RIVERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
VILLA TUNARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,12,12
VINTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
VITICHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
WALDO BALLIVIAN,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
WARNES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,15,15
YACO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
YACUIBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,18,18
YAMPARAEZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
YAPACANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
YUNCHARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,19,19
ACHACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,37,37
ACHOCALLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,10,10
AIQUILE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,30,30
ALALAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,8,8
ALCALA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,13,13
ALTO BENI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,2,2
ANCORAIMES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,8,8
ANDAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,17,17
ANZALDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,3,3
APOLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,9,9
ARANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,5,5
ARBIETO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,16,16
ARQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,20,20
ASCENCION DE GUARAYOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,10,10
ATOCHA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,9,9
AUCAPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,6,6
AYATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-02-01,4,4
