municipality,group,variable,month,Partos atendidos por personal de salud,TOTAL
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
CHACARILLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,8,8
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,19,19
CHIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,24,24
CLIZA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
COCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,18,18
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
COLOMI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,27,27
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,23,23
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
COMBAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
COPACABANA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,7,7
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
COTAGAITA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,10,10
CUEVO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,7,7
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
CURVA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
DESAGUADERO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,9,9
EL CHORO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,7,7
EL TORNO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
ESMERALDA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
EXALTACION,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
FILADELFIA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
GUANAY,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
GUAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,9,9
HUACARETA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
HUACHACALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
HUARINA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
HUMANATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
ICLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
INCAHUASI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
LA ASUNTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,7,7
LA GUARDIA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,7,7
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
LAJA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,15,15
LICOMA PAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
LLICA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
LORETO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
LURIBAY,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
MACHACAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
MAGDALENA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
MALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
MINEROS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,20,20
MOCOMOCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
MOJINETE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
MOJOCOYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
MOROCHATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,8,8
OCURI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,10,10
OMEREQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
PADCAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
PADILLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
PAZÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
PELECHUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
POCOATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,28,28
POCONA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
POJO (CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
POOPO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
PORCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
POROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
POTOSI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,10,10
PUCARA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,24,24
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
PUERTO CARABUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
PUERTO GONZALO MORENO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
PUERTO RICO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
PUERTO SILES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
PUNA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
QUIABAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
QUIME,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
RAVELO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,8,8
REYES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
RIBERALTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
ROBORE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SABAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
SACABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
SAN AGUSTIN,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SAN ANDRES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAN BENITO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
SAN JAVIER(STC),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,32,32
SAN MATIAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
SAN PEDRO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,9,9
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SAN PEDRO(PND),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SANTA ANA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
SANTIAGO DE CALLAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SANTIAGO DE HUATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
SANTIAGO DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SENA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SHINAOTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
SICAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
SIPE SIPE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
SORACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,9,9
SORATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
SUCRE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,8,8
TACOBAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,8,8
TACOPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
TAPACARI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,25,25
TARABUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,14,14
TARACO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
TARATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
TARIJA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
TARVITA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
TEOPONTE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
TIAWANACU,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,19,19
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
TIRAQUE (CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
TOMAVE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,10,10
TOMINA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
TORO TORO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
TUPIZA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,7,7
TURCO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
UMALA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
UNCIA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
UYUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
VACAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
VIACHA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
VILA VILA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
VILLA CHARCAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,11,11
VILLA MONTES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
VILLA RIVERO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
VILLAZON,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
VITICHI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
WALDO BALLIVIAN,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,8,8
YACUIBA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
YAMPARAEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
YOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
YUNCHARA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,8,8
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,6,6
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,13,13
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,9,9
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,3,3
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,5,5
ALCALA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,4,4
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,6,6
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
ANTEQUERA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,10,10
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,5,5
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,7,7
ARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,14,14
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,3,3
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,10,10
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,11,11
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,6,6
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,3,3
BELLA FLOR,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
BERMEJO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,12,12
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,11,11
BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,8,8
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,3,3
CAJUATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,11,11
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,4,4
CAMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,5,5
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,5,5
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,7,7
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,16,16
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,11,11
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
CATACORA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
CHACARILLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,13,13
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,12,12
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,18,18
COCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,13,13
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,7,7
COLOMI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,15,15
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,6,6
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,17,17
COMARAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
COMBAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,2,2
COPACABANA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-02-01,6,6
