municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
POTOSI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,16,16
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,3,3
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,9,9
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,0,0
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-07-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,3,3
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,5,5
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
SAN JUAN DE YAPACANI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,2,2
SAN PEDRO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-08-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,1,1
CLIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,2,2
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-09-01,0,0
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,3,3
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,0,0
VACAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
WARNES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-10-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,3,3
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,2,2
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,2,2
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,2,2
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
HUARINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
MORO MORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
SAPAHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-11-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,2,2
BOLPEBRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,4,4
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,8,8
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-12-01,1,1
