,group,variable,month,TELEDISPOSITIVOS ESPIROMETRO < A 6 MESES,TELEDISPOSITIVOS ESPIROMETRO < A 6 MESES,TELEDISPOSITIVOS ESPIROMETRO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ESPIROMETRO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ESPIROMETRO 1 A 4 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 1 A 4 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 5 A 9 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 5 A 9 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 10 A 14 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 10 A 14 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 15 A 19 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 15 A 19 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 20 A 39 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 20 A 39 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 40 A 49 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 40 A 49 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 50 A 59 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 50 A 59 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 60 A MAS,TELEDISPOSITIVOS ESPIROMETRO 60 A MAS,TOTALES,TOTALES,TOTALES
SAN CARLOS,telesalud,teledispositivos espirometro,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
SAN LORENZO(PND),telesalud,teledispositivos espirometro,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2
VILLA MONTES,telesalud,teledispositivos espirometro,2024-06-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
MONTEAGUDO,telesalud,teledispositivos espirometro,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,3
VILLA MONTES,telesalud,teledispositivos espirometro,2024-07-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
GUAQUI,telesalud,teledispositivos espirometro,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN CARLOS,telesalud,teledispositivos espirometro,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
VILLA MONTES,telesalud,teledispositivos espirometro,2024-08-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
APOLO,telesalud,teledispositivos espirometro,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,4
ASCENCION DE GUARAYOS,telesalud,teledispositivos espirometro,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,5,5
CORQUE,telesalud,teledispositivos espirometro,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,2,4
EL PUENTE(STC),telesalud,teledispositivos espirometro,2024-09-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,4,2,6
HUACARETA,telesalud,teledispositivos espirometro,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,7
LLALLAGUA,telesalud,teledispositivos espirometro,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAMAIPATA,telesalud,teledispositivos espirometro,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,5
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos espirometro,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos espirometro,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
HUACARETA,telesalud,teledispositivos espirometro,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,7
HUATAJATA,telesalud,teledispositivos espirometro,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,2,2,7,9
POCOATA,telesalud,teledispositivos espirometro,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
SAN BUENA VENTURA,telesalud,teledispositivos espirometro,2024-10-01,0,0,0,0,0,0,0,0,0,0,1,1,14,13,0,1,0,1,3,0,18,16,34
VILLA MONTES,telesalud,teledispositivos espirometro,2024-10-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
VILLA SERRANO,telesalud,teledispositivos espirometro,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,4,7
COTOCA,telesalud,teledispositivos espirometro,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,8,0,4,0,3,0,38,38
HUACARETA,telesalud,teledispositivos espirometro,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
LLALLAGUA,telesalud,teledispositivos espirometro,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
OMEREQUE,telesalud,teledispositivos espirometro,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,3,4,5,9
SAN LORENZO(PND),telesalud,teledispositivos espirometro,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,1,4,4,8
CARANAVI,telesalud,teledispositivos espirometro,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,3
HUACARETA,telesalud,teledispositivos espirometro,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,7
VILLA MONTES,telesalud,teledispositivos espirometro,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
