,group,variable,month,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS < A 6 MESES,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS < A 6 MESES,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 60 A MAS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 60 A MAS,TOTALES,TOTALES,TOTALES
COLQUIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,3,4,1,0,0,4,27,31
COROICO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,2,1,0,0,0,1,2,1,0,1,3,1,23,2,3,3,4,8,17,18,54,72
CURAHUARA DE CARANGAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,2,0,0,3,1,9,5,14
EL TORNO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,1,2,1,0,1,2,1,2,3,15,1,9,8,14,14,19,30,63,93
ESCOMA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,7,0,17,0,6,1,2,2,0,4,32,36
GUANAY,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
HUANUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,2,0,0,1,2,0,0,0,0,0,3,6,10,2,4,2,11,15,12,26,44,70
ICHOCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,3,0,5,6,11
INQUISIVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,1,1,2,1,0,1,0,1,0,1,1,1,0,1,0,0,4,7,11
LA GUARDIA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,1,5,6
LA PAZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,1,4,0,0,0,1,4,2,2,3,3,1,0,1,0,1,3,2,6,8,19,23,42
MACHACAMARCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MAIRANA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MECAPACA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,0,1,0,8,2,13,15
MOJINETE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ORURO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,1,2,1,2,0,0,2,2,9,17,2,6,0,10,23,31,38,70,108
PORCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,3,5
POTOSI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,6,7,1,4,1,0,0,4,4,6,4,3,4,4,7,9,27,37,64
PUCARANI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,2,1,5,1,13,3,16
PUNATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,8,3,37,4,6,1,4,2,9,11,64,75
QUIME,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,2,4,2,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,11,15
RAVELO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,27
RIBERALTA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,4,2,3,3,1,8,11,19
SACABA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,1,0,3,0,0,0,1,0,0,3,2,4,2,6,2,3,8,6,8,5,27,27,54
SALINAS DE GARCI MENDOZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
SAN BORJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,2,2,0,0,2,1,0,1,0,0,0,0,1,3,2,1,1,3,4,1,12,12,24
SAN IGNACIO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,3,4,6,5,1,3,6,3,17,15,32
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,2,0,0,0,1,0,8,1,7,5,0,4,3,11,1,6,0,4,5,6,27,37,64
SUCRE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,1,0,0,0,0,1,0,1,2,4,15,6,29,4,4,1,2,0,6,17,59,76
TARIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,1,0,0,2,0,0,1,2,2,4,3,4,1,3,4,3,12,18,30
TARVITA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,10,0,25,1,2,0,1,3,0,5,38,43
TOMINA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,4
UYUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,4,5
VIACHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,2,0,0,16,5,6,0,6,10,10,17,38,55
VILLA SERRANO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,6,4,10
VILLA TUNARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,1,3,0,0,0,0,2,1,1,4,1,0,2,1,2,1,9,10,19
VILLAZON,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,1,1,6,10,1,1,0,1,0,5,2,11,2,4,2,5,2,4,16,42,58
VINTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,1,0,0,1,0,1,0,0,6,1,1,0,1,0,3,3,12,15
VITICHI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10
ZUDAÑEZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,6
AIQUILE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,1,0,2,2,7,9
ARAMPAMPA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,2,0,0,1,0,1,0,0,0,0,3,1,2,1,0,0,0,0,0,4,7,11
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,3
AYATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,5,5
AZURDUY,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,1,0,2,6,0,1,0,0,0,2,0,7,6,0,1,0,0,0,10,16,26
BERMEJO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,3
CAMIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,1,1,10,3,7,1,3,6,8,13,29,42
CHALLAPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,2,0,0,0,0,2,1,1,0,3,1,18,9,52,3,21,1,8,26,17,43,122,165
CHULUMANI (V. DE LA LIBERTAD),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,1,1,1,1,0,3,1,0,2,1,0,8,3,59,5,4,3,8,18,19,34,104,138
CLIZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,1,0,0,0,0,1,1,4,6,14,4,10,3,6,12,19,27,54,81
COBIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,7,2,3,2,15,9,24
COCHABAMBA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,2,0,0,0,0,2,0,5,0,2,7,3,2,2,8,0,8,6,27,20,47
COLQUIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,6,3,0,3,12,15
COROICO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,1,1,2,3,0,0,1,0,0,0,0,1,3,1,2,2,2,7,12,9,23,24,47
ESCOMA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,1,0,0,0,1,0,1,1,15,1,55,2,9,2,3,1,5,7,90,97
GUAYARAMERIN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,3,1,6,2,14,7,21
ICHOCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,2,0,0,4,7,5,12
INQUISIVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,1,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,5,5,10
LA GUARDIA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,3,1,2,5,4,6,14,20
LA PAZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,2,3,1,1,6,4,4,1,7,2,6,0,2,11,2,3,4,4,10,3,44,32,76
ORURO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,1,0,1,0,0,0,1,1,0,0,6,5,20,2,2,4,9,18,21,30,61,91
PADILLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,1,1,1,0,10,8,1,4,0,1,4,2,20,35,8,6,6,5,10,22,61,84,145
PATACAMAYA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,2,0,2,1,2,1,0,2,0,3,0,5,1,22,3,9,4,2,11,12,25,57,82
PORCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,5,5,10
PORONGO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,0,3,1,10,11
PORTACHUELO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,7,0,3,0,0,0,24,24
POTOSI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,3,12,1,1,4,2,2,3,2,27,0,10,14,20,15,26,41,101,142
PUNATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,1,0,0,0,0,1,3,5,5,64,13,25,15,11,23,16,60,122,182
QUIME,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,14,0,10,0,2,0,0,0,0,0,26,26
RAVELO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,7,1,3,1,2,2,4,3,15,2,4,0,1,1,1,10,37,47
RIBERALTA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,1,0,0,0,1,0,4,1,0,6,1,5,7,8,9,10,23,30,53
RURRENABAQUE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1,2,12,11,23
SACABA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,3,1,3,1,1,0,0,0,2,0,0,3,5,1,8,2,8,7,10,15,40,55
SAN BORJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,2,2,1,2,2,1,0,3,1,0,0,4,2,8,3,3,1,2,5,5,17,30,47
SAN IGNACIO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,1,6,3,5,4,20,24
SAN JULIAN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,2,1,6,2,10,2,2,7,10,13,30,43
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,2,1,1,0,1,0,3,2,3,1,1,0,2,1,1,5,2,4,2,3,18,17,35
SUCRE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,2,3,0,1,0,0,3,3,2,2,4,22,6,42,6,20,3,8,11,12,37,113,150
TARABUCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,13,1,10,0,2,1,2,5,4,7,31,38
TARIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,3,1,3,1,10,7,3,1,2,11,13,14,34,35,69
TARVITA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,1,4,14,1,23,0,0,2,0,0,0,7,38,45
TOMINA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,1,0,0,5,3,8
TURCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
UYUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,1,0,0,0,0,0,1,1,0,3,1,6,3,12,1,3,1,1,6,11,14,37,51
VIACHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,1,0,0,18,3,14,17,2,9,3,9,18,17,55,56,111
VILLA TUNARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,3,2,3,3,2,5,2,4,5,15,15,30
VITICHI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,11,5,15,6,21
WARNES,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
ZUDAÑEZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-02-01,4,3,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,5,15
ACHOCALLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,2,0,3,7,10
AIQUILE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,1,0,0,1,0,1,7,1,2,1,2,5,6,9,18,27
ARANI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,1,1,6,15,31,20,49,69
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,2,2,3,2,7,9,16
AYATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,4
AZURDUY,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,2,3,0,0,0,0,0,5,0,4,1,1,0,0,3,13,16
BERMEJO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,1,1,1,0,5,3,2,2,0,2,1,1,10,9,19
CAMARGO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,1,0,0,1,2,0,3,2,0,0,5,2,7,0,3,2,0,1,0,8,21,29
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,3,0,2,0,0,1,14,15
CARANAVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,2,0,2,0,4,1,2,0,3,2,1,5,4,50,2,10,3,5,12,22,35,95,130
CARAPARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,1,2,1,0,0,0,0,0,2,0,1,11,11,48,5,11,6,9,22,25,49,106,155
CLIZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,1,3,3,13,24,71,11,15,9,26,50,64,98,192,290
COBIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,4,2,1,7,1,20,9,29
COCHABAMBA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,2,2,2,3,1,2,6,3,4,11,2,4,1,1,11,16,29,42,71
COLQUIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,2,1,3,0,2,4,24,28
COROICO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,1,1,2,2,3,1,1,1,0,0,0,2,3,3,0,1,7,2,5,13,22,26,48
CUATRO CAÑADAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,3,0,1,2,1,3,15,18
EL ALTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,4,0,0,0,0,0,1,0,1,0,2,2,0,3,5,5,13,10,23
ESCOMA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,1,0,0,1,0,1,0,1,1,1,6,4,50,0,7,2,3,5,3,15,71,86
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,2,4,6
GUAYARAMERIN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,2,1,0,6,3,9
HUANUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,1,0,0,0,0,4,3,1,0,0,9,9,36,4,8,3,8,12,16,33,81,114
ICHOCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,1,1,0,0,0,0,2,0,4,0,0,0,0,4,0,5,7,12
LA GUARDIA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,1,5,4,5,28,33
LA PAZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,2,8,2,3,6,6,4,2,6,4,4,16,18,52,7,59,8,13,33,23,90,186,276
LLALLAGUA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,5,0,0,0,3,0,18,18
MAIRANA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
MECAPACA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,1,1,0,0,0,0,2,1,5,1,1,1,1,2,1,6,11,17
MIZQUE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,2,0,0,1,4,3,11,14
MOJINETE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,4
MONTEAGUDO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,1,5,7,3,0,0,0,6,5,16,2,7,2,3,6,6,23,46,69
ORURO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,1,0,0,3,2,2,2,1,2,1,4,7,20,2,7,6,10,20,29,42,77,119
