,group,variable,month,TELEDISPOSITIVOS ECOGRAFO < A 6 MESES,TELEDISPOSITIVOS ECOGRAFO < A 6 MESES,TELEDISPOSITIVOS ECOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ECOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ECOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ECOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ECOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ECOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ECOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ECOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ECOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ECOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ECOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ECOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ECOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ECOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ECOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ECOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ECOGRAFO 60 A MAS,TELEDISPOSITIVOS ECOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
LAGUNILLAS,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,3,4
MACHACAMARCA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3
PORCO,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,8
PUERTO ACOSTA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
PUERTO PEREZ,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,2,5,7
QUIME,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,4,16,0,0,0,2,0,1,4,24,28
SALINAS DE GARCI MENDOZA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,3
SANTIAGO DE MACHACA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TAHUA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TOLEDO,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,7,1,16,0,2,0,1,1,5,2,31,33
TURCO,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
UNCIA,telesalud,teledispositivos ecografo,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,7
VILA VILA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,4
ARQUE,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,3,1,6,2,2,0,0,0,1,3,13,16
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,3
CHACARILLA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CHIPAYA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1,0,1,7,8
CHOQUE COTA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,9,9
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,10,10
COLQUIRI,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,2,0,0,1,2,2,9,11
CURVA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,1,2,1,1,1,1,0,0,1,6,4,10
EL CHORO,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,4,4
EL VILLAR,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5
GUAQUI,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,1,6,7
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HUMANATA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
INQUISIVI,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,3
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,1,2,1,4,1,8,18,26
LA PAZ,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,4,0,9,7,16
MACHACAMARCA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORCO,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,0,0,0,0,10,7,17
PUERTO ACOSTA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
PUERTO CARABUCO,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PUERTO PEREZ,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,1,0,0,1,1,2,10,12
QUIME,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,25,4,13,3,6,0,2,0,0,7,46,53
SACABAMBA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,1,3
SAN BENITO,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,2,4,6
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,2,0,2,2,8,5,42,0,4,0,1,1,1,8,60,68
SANTUARIO DE QUILLACAS,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAPAHAQUI,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,4
TIAHUANACU,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,2,0,1,2,13,15
TURCO,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,5,5
VILA VILA,telesalud,teledispositivos ecografo,2024-02-01,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,1,0,1,1,1,1,12,13
ALCALA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
APOLO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,4,0,25,0,1,1,0,0,0,1,30,31
ARQUE,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,3,4
CABEZAS,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,3
CAIROMA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5
CHIPAYA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,7,15,0,2,1,4,2,4,10,26,36
CHOQUE COTA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,1,0,0,0,9,9
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,2,0,13,13
"COLCHA ""K""",telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CORO CORO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,2,1,2,7,9
CURVA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,4,3,7
EL CHORO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
EUREKA (SANTOS MERCADO),telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,21,0,6,0,7,1,1,0,0,0,35,1,36
GUAQUI,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,4,5
HUACARETA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,3,5
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,1,0,0,2,0,2,1,6,1,1,0,1,0,0,3,12,15
HUARINA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
LA ASUNTA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,3,0,1,4,7,6,5,33,9,192,3,14,7,12,20,9,55,270,325
LA PAZ,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,1,5,6
MACHACAMARCA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MOCOMOCO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
MOJOCOYA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,8,3,8,0,3,0,0,2,5,5,25,30
PORCO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,5,6
PRESTO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,4,6
PUERTO PEREZ,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,1,1,3,5,8
QUIME,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,23,6,18,11,9,8,5,0,0,25,55,80
SAN BENITO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,6,2,8
SAN LORENZO(PND),telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,2,2,0,8,8,16
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,4,5
SAN PEDRO DE QUEMES,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,1,0,0,0,1,7,7,46,1,6,0,2,2,0,12,61,73
SANTIAGO DE MACHACA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SAPAHAQUI,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,2,4,4,3,9,14,23
TAHUA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TIAHUANACU,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,4,0,4,8,12
TOCO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TODOS SANTOS,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
TOTORA(CBBA),telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TURCO,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILA VILA,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3
WARNES,telesalud,teledispositivos ecografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,2,7,19,1,3,3,9,8,18,19,52,71
ANZALDO,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,1,3,1,12,13
APOLO,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,2,0,0,0,0,3,8,11
ARAMPAMPA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,2,5
ARQUE,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,6,1,12,0,1,0,1,0,0,1,21,22
CAQUIAVIRI,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
CHIPAYA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,4
CHOQUE COTA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,2,2,4,6,10
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,14
CKOCHAS,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,4,4
COCHABAMBA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,4,12,7,46,72,63,88,151
COIPASA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
COLLANA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
CORO CORO,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CORQUE,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,3,11,1,2,0,1,0,0,1,0,0,0,0,0,0,0,5,14,19
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,2,0,0,1,0,2,4,0,0,0,1,3,4,6,11,17
CURVA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,4
EL CHORO,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUAQUI,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,3,4
GUTIERREZ,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,0,1,6,7
HUMANATA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,10,10
LORETO,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MACHACAMARCA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MACHARETI,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
PUERTO PEREZ,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,1,2,5,7
QUIME,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,23,6,18,11,9,8,5,0,0,25,55,80
RAVELO,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,3,4,2,7,3,11,0,15,1,9,1,11,10,57,67
SACABAMBA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
SAN BENITO,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,2,10,1,1,0,0,0,0,3,12,15
SAN JUAN DE YAPACANI,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,3
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,0,2,0,0,0,4,6,10
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,1,0,0,0,1,6,5,37,2,7,2,2,6,3,17,55,72
SANTIAGO DE MACHACA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SAPAHAQUI,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
TIAHUANACU,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,5,3,8
TOLATA,telesalud,teledispositivos ecografo,2024-04-01,8,2,0,0,0,0,0,0,0,0,0,1,0,7,0,2,0,0,0,0,8,12,20
TURCO,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,4,2,6
UNCIA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
VACAS,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,4
VILA VILA,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0,0,0,2,5,7
WARNES,telesalud,teledispositivos ecografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,18,19,1,12,5,9,12,15,36,56,92
ANZALDO,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,0,1,2,1,2,11,13
APOLO,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,1,0,16,16
ARQUE,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,5,2,18,1,5,1,0,0,0,5,28,33
CARIPUYO,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CHIMORE,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,1,0,3,0,2,0,19,0,9,0,5,0,1,0,40,40
CHIPAYA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,7,7
CHOQUE COTA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
CHUMA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,3,16,19
CKOCHAS,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,2,1,0,1,13,14
"COLCHA ""K""",telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COLOMI,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,3,4
CORO CORO,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,4
CRUZ DE MACHACAMARCA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
