,group,variable,month,NRO DE TELECONSULTAS S < A 6 MESES,NRO DE TELECONSULTAS S < A 6 MESES,NRO DE TELECONSULTAS S 6 MESES < 1 AÑO,NRO DE TELECONSULTAS S 6 MESES < 1 AÑO,NRO DE TELECONSULTAS S 1 A 4 AÑOS,NRO DE TELECONSULTAS S 1 A 4 AÑOS,NRO DE TELECONSULTAS S 5 A 9 AÑOS,NRO DE TELECONSULTAS S 5 A 9 AÑOS,NRO DE TELECONSULTAS S 10 A 14 AÑOS,NRO DE TELECONSULTAS S 10 A 14 AÑOS,NRO DE TELECONSULTAS S 15 A 19 AÑOS,NRO DE TELECONSULTAS S 15 A 19 AÑOS,NRO DE TELECONSULTAS S 20 A 39 AÑOS,NRO DE TELECONSULTAS S 20 A 39 AÑOS,NRO DE TELECONSULTAS S 40 A 49 AÑOS,NRO DE TELECONSULTAS S 40 A 49 AÑOS,NRO DE TELECONSULTAS S 50 A 59 AÑOS,NRO DE TELECONSULTAS S 50 A 59 AÑOS,NRO DE TELECONSULTAS S 60 A MAS,NRO DE TELECONSULTAS S 60 A MAS,TOTALES,TOTALES,TOTALES
ICLA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,15,0,15,0,30,5,35
INCAHUASI,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,26
LAGUNILLAS,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,3,4
LAS CARRERAS,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,0,25,0,25
MACHARETI,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MECAPACA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
OMEREQUE,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,6,3,1,6,9,15
PORCO,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
PORTACHUELO,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,4
PUNATA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,3,1,10,11
SACABAMBA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,7,2,9
SUCRE,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,9,15,5,8,0,4,0,3,14,30,44
TARIJA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4
TOCO,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
TOLATA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,4,2,0,4,4,14,12,0,3,4,4,4,27,28,55
VILA VILA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,12,4,12,4,16,4,16,56,12,24,4,28,16,53,88,173,261
VILLA SERRANO,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,0,0,0,0,24,16,40
YAMPARAEZ,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,3,5,1,11,4,15
YOTALA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,3,0,0,3,0,15,0,3,0,0,0,0,3,9,6,30,36
ZUDAÑEZ,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,2,0,5,7,12
ALALAY,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
ALCALA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,8,4,12
ANDAMARCA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,3,4
APOLO,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ARANI,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,5,0,1,0,4,0,2,3,0,0,0,0,0,1,12,4,16
AYATA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
AZURDUY,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas s,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6,1,7,4,11
BELLA FLOR,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CABEZAS,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,3
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,5,6,0,2,0,2,0,0,5,12,17
CARACOLLO,telesalud,nro de teleconsultas s,2024-02-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CHACARILLA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,4,1,5
CORIPATA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
CORQUE,telesalud,nro de teleconsultas s,2024-02-01,9,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,10,12,22
CUATRO CAÑADAS,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EXALTACION,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,3,0,6,1,7
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,2,6,8
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,8
ICLA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,34,0,34
INCAHUASI,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,18,25,43
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,4
LAGUNILLAS,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2
MACHACAMARCA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
MOROCHATA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,4,0,0,6,2,4,0,0,0,0,6,10,16
POOPO,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,5,6
PORCO,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
POROMA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,3
RAVELO,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,18,4,22
SACABAMBA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAMAIPATA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN BENITO,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,12,12,24
SAN PABLO DE LIPEZ,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SAN PEDRO DE QUEMES,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,5,3,8
SANTA ROSA DEL SARA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
SENA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,3,6,9
SORATA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SUCRE,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,12,12
TAHUA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TARIJA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,6,1,0,5,6,11
TOCO,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TOLATA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,4,0,15,4,4,0,0,0,0,4,23,27
TOTORA(CBBA),telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,3,0,2,0,2,0,0,1,2,2,0,0,0,0,0,0,9,3,12
VILA VILA,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,3,0,3,0,9,3,6,0,0,0,0,0,21,3,24
VILLA SERRANO,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,4,0,0,0,0,8,4,0,4,0,4,4,4,0,11,12,31,43
VITICHI,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,3,1,4
YAMPARAEZ,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
ZUDAÑEZ,telesalud,nro de teleconsultas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,1,2,0,5,8,13
ALALAY,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2
ALCALA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,8,4,12
ASCENCION DE GUARAYOS,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
AZURDUY,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,9,9
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,2,5,7
CABEZAS,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"CAIZA ""D""",telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,7,0,0,6,9,15
CHAQUI,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,5,15,20
"COLCHA ""K""",telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,2,3,5
COLQUIRI,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,4,4
ESCOMA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,3,3,6
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,4
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,0,3,0,0,0,12,6,18
ICLA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,26,0,26
INCAHUASI,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46,26,46,72
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,2,1,8,2,10
LA PAZ,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LAGUNILLAS,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,2,3,5
LAS CARRERAS,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,11,20,11,31
LORETO,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
MACHACAMARCA,telesalud,nro de teleconsultas s,2024-03-01,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,7,0,7
MACHARETI,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,11,8,17,14,31
MOJOCOYA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,5,5
MOROCHATA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,6,6,6,0,3,6,3,0,0,3,3,0,0,15,21,36
OMEREQUE,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,3,7,10
PAILON,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,2,4,2,1,1,1,6,4,2,2,13,12,25
POOPO,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,3,0,0,1,3,10,13
POROMA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
PUNATA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
RAVELO,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,7,7
SACABAMBA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,7,2,9
SAMAIPATA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,4
SAN ANTONIO DE LOMERIO,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN BENITO,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,7,14,7,0,0,0,0,0,0,14,14,28
SAN PEDRO DE QUEMES,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,0,0,0,8,5,13
SAN RAFAEL,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,1,1,0,2,0,3,0,4,0,12,0,2,1,4,0,6,2,34,36
TAHUA,telesalud,nro de teleconsultas s,2024-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
TARIJA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,0,10,2,12
TOCO,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,6,3,0,3,0,3,3,0,0,0,0,0,0,9,9,18
TOLATA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,0,15,2,5,0,0,0,1,2,23,25
TOTORA(CBBA),telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,2,0,0,2,4,0,4,4,10,0,0,12,2,0,0,18,22,40
TUPIZA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,2,3,5
VILA VILA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,5,4,0,3,9,4,10,14,4,3,0,2,0,6,28,36,64
WALDO BALLIVIAN,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
YOTALA,telesalud,nro de teleconsultas s,2024-03-01,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,4,8,12
ANCORAIMES,telesalud,nro de teleconsultas s,2024-04-01,6,0,0,6,0,13,0,21,0,6,0,0,0,0,0,0,0,0,0,0,6,46,52
ANDAMARCA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,6,2,0,0,0,0,0,1,0,5,0,0,1,1,1,1,8,10,18
APOLO,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0,1,1,0,2,9,5,14
BELEN DE URMIRI,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"CAIZA ""D""",telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,6,6
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,2,0,0,4,0,2,0,2,6,2,0,2,2,0,0,0,10,12,22
CHACARILLA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHAQUI,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,4,8,12
"COLCHA ""K""",telesalud,nro de teleconsultas s,2024-04-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3
COLLANA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COLQUECHACA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,5
COLQUIRI,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CORIPATA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3,2,5
CUATRO CAÑADAS,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
EL CHORO,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUANAY,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,2,1,3,0,0,2,0,2,0,3,0,2,0,10,5,15
HUACARETA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,2,4,4,8
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,9,9
HUMANATA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ICLA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,15,0,15,0,30,4,34
INCAHUASI,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,26,52,78
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,3,5
JESUS DE MACHACA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
LAS CARRERAS,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,15,6,18,24
LORETO,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,3,0,0,0,3,0,1,1,0,0,0,0,0,1,7,8
MACHACAMARCA,telesalud,nro de teleconsultas s,2024-04-01,1,0,0,0,1,5,0,0,3,0,0,2,0,0,0,0,3,1,0,1,8,9,17
MACHARETI,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,3,0,0,3,20,23
