,group,variable,month,TELEDISPOSITIVOS COLPOSCOPIO < A 6 MESES,TELEDISPOSITIVOS COLPOSCOPIO < A 6 MESES,TELEDISPOSITIVOS COLPOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS COLPOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS COLPOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 60 A MAS,TELEDISPOSITIVOS COLPOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
COTOCA,telesalud,teledispositivos colposcopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,3,3,6,9
CURAHUARA DE CARANGAS,telesalud,teledispositivos colposcopio,2024-04-01,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,1,0,2,3,5,7,12
MACHACAMARCA,telesalud,teledispositivos colposcopio,2024-04-01,0,0,1,0,2,5,0,0,1,0,0,0,1,0,0,1,0,1,1,0,6,7,13
MAIRANA,telesalud,teledispositivos colposcopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,5,0,0,0,32,32
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos colposcopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BETANZOS,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,6,6
CAMARGO,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,0,8,0,1,0,35,35
COMARAPA,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,4,0,0,0,25,25
LA GUARDIA,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,52,0,32,0,11,0,6,0,103,103
LAS CARRERAS,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,1,0,4,0,14,14
MOCOMOCO,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,3,0,4,0,1,0,20,20
ORURO,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,16,4,7,0,4,4,78,82
PUERTO RICO,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,9,0,3,0,0,0,24,24
PUERTO SUAREZ,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0,5,0,3,0,0,0,29,29
SAN JUAN DE YAPACANI,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,25,0,0,0,0,0,80,80
SAN LUCAS,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
TACACOMA,telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
URIONDO (A. CONCEPCION),telesalud,teledispositivos colposcopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,6,0,0,0,0,0,36,36
CABEZAS,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,2,2,0,0,0,0,0,1,0,38,0,15,0,8,0,1,2,65,67
CAMARGO,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,5,5
CARMEN RIVERO TORREZ,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,1,0,0,0,9,9
CKOCHAS,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
MACHACAMARCA,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,5,1,6
MOCOMOCO,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,5,0,3,0,17,17
ORURO,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,43,0,11,0,5,0,1,0,62,62
PUERTO SUAREZ,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,1,0,8,8
SAN CARLOS,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,1,0,0,0,12,12
VALLEGRANDE,telesalud,teledispositivos colposcopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CABEZAS,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,2,4
COMARAPA,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,6,0,0,0,28,28
MACHACAMARCA,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,5,1,7,3,10
MAIRANA,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,6,0,2,0,1,0,30,30
OKINAWA,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,12,0,3,0,6,0,47,47
PATACAMAYA,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,3,0,2,0,3,0,18,18
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,1,0,2,0,1,1,0,0,2,5,0,3,4,0,2,1,12,10,22
SAN CARLOS,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,6,0,7,0,2,0,23,23
SAN LUCAS,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,3
SAN PABLO DE LIPEZ,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,5,0,7,0,1,0,31,31
SOPACHUY,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
SUCRE,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,4
VILLA SERRANO,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,1,0,1,3,5,8
VILLAZON,telesalud,teledispositivos colposcopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,1,0,12,12
CKOCHAS,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
COMARAPA,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,0,5,0,0,0,33,33
COTOCA,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,13,0,4,0,2,0,49,49
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,4,1,10,11
MAIRANA,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,3,0,3,0,1,0,14,14
MOCOMOCO,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
ORURO,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,5,0,2,0,25,25
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,8,8
SAN LUCAS,telesalud,teledispositivos colposcopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ANCORAIMES,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
COLOMI,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,9,0,4,0,1,0,32,32
COTOCA,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,1,0,2,0,60,0,21,0,15,0,4,0,103,103
LA RIVERA,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
MACHACAMARCA,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,5
MAIRANA,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,34,0,22,0,12,0,2,0,71,71
MIZQUE,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MOCOMOCO,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,1,0,1,0,12,12
MONTEAGUDO,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,1,0,12,12
OMEREQUE,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ORURO,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
POTOSI,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SAN JOSE DE CHIQUITOS,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,13,13
TOLATA,telesalud,teledispositivos colposcopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
AYO AYO,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,11,11
CABEZAS,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,17,17
CAMIRI,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CARACOLLO,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,4
CHULUMANI (V. DE LA LIBERTAD),telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,24,0,7,0,5,0,63,63
COMARAPA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,4,0,42,0,14,0,4,0,0,0,64,64
COTOCA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,4,0,52,0,15,0,9,0,2,0,82,82
CURVA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,1,0,1,1,2,0,1,1,0,0,0,1,0,1,5,4,9
FERNANDEZ ALONSO,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,8,0,6,0,9,0,7,0,3,0,34,34
MAIRANA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,6,0,2,0,1,0,28,28
ORURO,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,3,0,10,10
PATACAMAYA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,1,0,11,11
POCOATA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,8,8
PUERTO SUAREZ,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,15,15
PUNA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,5,0,0,0,14,14
RAVELO,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,5,0,3,0,2,0,31,31
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,8,0,28,0,5,0,1,0,1,0,43,43
SANTIAGO DE HUARI,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,1,0,1,0,4,2,0,0,0,1,2,1,8,4,12
YOTALA,telesalud,teledispositivos colposcopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,2,1,3,2,9,11
CAMARGO,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,4,0,5,0,2,0,27,27
COMARAPA,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,8,0,2,0,2,0,24,24
FERNANDEZ ALONSO,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,8,0,6,0,9,0,7,0,3,0,34,34
HUATAJATA,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,1,6,5,0,1,0,2,2,0,0,0,2,2,10,11,21
INCAHUASI,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,3,0,3,0,0,0,16,16
MAIRANA,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,16,0,10,0,1,0,66,66
PAILON,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,5,0,2,0,0,0,20,20
PATACAMAYA,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,1,0,0,0,10,10
PORCO,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PORTACHUELO,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,3,1,0,3,7,10
PUNA,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,0,1,0,9,9
SAMAIPATA,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,13,0,8,0,2,0,63,63
SAN CARLOS,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
SAN JULIAN,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,4
SAN LUCAS,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,1,0,1,0,10,10
URUBICHA,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,13,0,0,0,0,0,40,40
VALLEGRANDE,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3
WARNES,telesalud,teledispositivos colposcopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,8,10,2,0,0,25,14,39
CAMARGO,telesalud,teledispositivos colposcopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
HUATAJATA,telesalud,teledispositivos colposcopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,4
JESUS DE MACHACA,telesalud,teledispositivos colposcopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,6,6
MACHACAMARCA,telesalud,teledispositivos colposcopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,4,6
MAIRANA,telesalud,teledispositivos colposcopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,1,0,10,10
PUNA,telesalud,teledispositivos colposcopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,4
