,group,variable,month,NRO DE TELEINTERCONSULTAS GENERADAS N < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS N < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS N 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS N 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS N 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 60 A MAS,NRO DE TELEINTERCONSULTAS GENERADAS N 60 A MAS,TOTALES,TOTALES,TOTALES
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,5,6
CAMIRI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CARACOLLO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,4
CARAPARI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,3,1,1,3,7,8,15
CARIPUYO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,3,1,1,4,0,0,1,1,0,0,5,6,11
CHACARILLA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,4,1,5
CHIMORE,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,1,0,1,0,0,7,1,0,0,0,0,0,3,7,10
CHIPAYA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,5,6
CHOQUE COTA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHUMA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,2,0,0,2,6,10,16
COLCAPIRHUA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,1,1,2,0,2,3,0,4,3,3,4,4,12,15,27
COLLANA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,1,2,1,5,6,11
COLPA BELGICA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,2,4,6
COLQUECHACA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,1,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,3,6,6,12
COLQUIRI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,3,3,1,0,0,3,25,28
CORIPATA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,7,2,10,4,14
CORO CORO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,2,0,2,2,7,9
CORQUE,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,2,2,1,3,7,10
COTOCA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,0,54,0,16,0,5,0,2,0,82,82
CUATRO CAÑADAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CURAHUARA DE CARANGAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,2,0,0,3,1,9,5,14
EL ALTO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,1,0,0,0,0,1,0,0,5,2,6,11,5,10,5,11,15,13,37,48,85
EL CHORO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,1,1,4,10,7,17,24
EL PUENTE(STC),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,8,8
EL PUENTE(TJA),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL VILLAR,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5
EXALTACION,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,2,1,0,0,1,2,7,9
FERNANDEZ ALONSO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,3,9,1,3,0,0,1,4,6,16,22
GAIOC JATUN AYLLU YURA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,10,10
GUANAY,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,2,0,0,3,0,8,0,0,0,0,3,0,5,11,16
GUAQUI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,3,5,5,10
GUAYARAMERIN,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,3,3,4,1,9,10,19
HUANUNI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUARINA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,2,1,0,0,0,0,1,0,1,4,0,0,0,1,3,4,7,10,17
ICHOCA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,3,0,5,6,11
ICLA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,10,1,16,0,5,0,0,0,0,1,31,32
INCAHUASI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,1,8,9
INQUISIVI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,1,1,2,1,0,1,0,1,0,1,1,1,0,1,0,0,4,7,11
IRUPANA (VILLA DE LANZA),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,1,7,8,15,9,24
LA GUARDIA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,4,2,8,10
LA PAZ,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LAGUNILLAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,1,2,1,0,1,6,6,12
LAS CARRERAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,1,9,7,12,19
MACHACAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,4
MACHARETI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,1,2,7,3,10
MAIRANA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,3,2,5
MECAPACA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,0,1,0,8,2,13,15
MOCOMOCO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,1,1,0,0,0,2,2,0,1,1,0,0,0,0,5,1,9,5,14
MOJINETE,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MOROCHATA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,2,4
NACEBE (SANTA ROSA DEL ABUNA),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
OMEREQUE,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,1,0,1,3,1,0,0,0,0,0,0,2,0,4,0,2,0,1,3,12,15
ORURO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,2,0,5,7,22,10,36,46
PAMPA AULLAGAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
PAPEL PAMPA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,2,1,2,4,7,11
PELECHUCO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,5,5
POCOATA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
POOPO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,5,2,9,11
PORCO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,3,5
POROMA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,0,3,8,11
POTOSI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUCARANI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,2,1,5,1,13,3,16
PUERTO ACOSTA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
PUERTO PEREZ,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,3,1,2,0,1,1,16,17
PUNA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,6,0,1,4,0,8,9,17
PUNATA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,2,3,5
QUIME,telesalud,nro de teleinterconsultas generadas n,2024-01-01,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,7,9
QUIRUSILLAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,4,6,5,11
RAVELO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,27
SACABA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,3
SACABAMBA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,4,4,8
SALINAS DE GARCI MENDOZA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
SAN AGUSTIN,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,2,1,1,4,8,6,14
SAN ANDRES,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,6
SAN ANTONIO DE LOMERIO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,3
SAN BORJA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,3,7,8,10,18
SAN IGNACIO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,2,1,2,4,2,10,10,20
SAN MIGUEL DE VELASCO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,2,3,2,10,12
SAN PABLO DE LIPEZ,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO DE QUEMES,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,3,3,6
SAN PEDRO DE TIQUINA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
SANTIAGO DE HUARI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,12,1,4,0,1,0,1,3,5,4,23,27
SANTIAGO DE MACHACA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,4
SANTUARIO DE QUILLACAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,4
SIPE SIPE,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,2,0,1,0,0,0,0,0,0,3,1,1,0,1,2,5,5,10,11,21
SOPACHUY,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3
TAHUA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,4,2,6
TARATA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,3,3,6
TARIJA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,1,1,4,7,11
TITO YUPANQUI (PARQUIPUJIO),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,5,4,8,12
TOCO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,2,4,0,5,3,11,8,19
TODOS SANTOS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
TOLATA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,5,1,0,6,6,17,23
TOMINA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
TRINIDAD,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,1,0,0,0,19,11,30
UNCIA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,7
URIONDO (A. CONCEPCION),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2,4,0,4,0,2,2,2,4,16,20
URUBICHA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,3,5,8
VILA VILA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,4
VILLA CHARCAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,3,2,7,9
VILLA MONTES,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,0,0,0,0,0,7,6,13
VILLA SERRANO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,4,0,0,0,0,4,2,0,0,0,0,1,1,0,0,0,0,1,0,0,7,6,13
VILLA TUNARI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,4,2,6
VILLAZON,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VINTO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,2,1,4,4,8
VITICHI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10
YAMPARAEZ,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,1,2,0,2,0,0,0,0,3,1,0,1,0,0,0,0,4,6,10
YOTALA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,1,0,1,1,2,1,31,32
ZUDAÑEZ,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,1,0,0,0,1,6,1,5,1,2,1,1,3,1,8,15,23
ACHOCALLA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,7,3,11,14
AIQUILE,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,5,0,4,3,10,6,16
ALCALA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,2,0,9,0,6,1,2,1,3,4,22,26
ANDAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,3,4,1,6,10,16
APOLO,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,4,1,18,0,4,0,1,0,1,1,29,30
ARAMPAMPA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,2,0,0,1,0,1,0,0,0,0,3,1,2,1,0,0,0,0,0,4,7,11
ARANI,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,2,1,3,4,9,8,17
ARQUE,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,1,0,1,0,0,0,0,0,0,6,0,2,0,0,2,0,0,2,4,10,14
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,1,5,6
ATOCHA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,3,1,0,1,2,2,0,0,1,0,0,2,1,3,0,0,0,9,7,16
AUCAPATA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,5,1,6
AYATA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,5,5
AZURDUY,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,1,0,0,3,5,8
BATALLAS,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,1,0,2,0,0,0,0,0,1,1,3,0,0,0,4,3,2,4,13,17
BAURES,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,0,1,0,2,2,8,10
BELEN DE ANDAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,2,0,0,0,0,0,1,0,0,6,0,1,0,4,0,0,0,1,3,12,15
BELLA FLOR,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,1,0,1,0,4,5,9
BERMEJO,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BOLPEBRA,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,1,0,1,1,0,0,0,3,4,2,0,2,0,0,6,8,14
BOYUIBE,telesalud,nro de teleinterconsultas generadas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,7,1,1,5,4,7,19,26
