,group,variable,month,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CLIZA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
COCHABAMBA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,3,0,6,10,5,12,3,9,20,16,37,47,84
COLCAPIRHUA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,1,2,1,8,9
COLLANA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,0,0,1,0,5,3,8
COROICO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,2,3,3,7,10
CORQUE,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,3
CURAHUARA DE CARANGAS,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2
EL CHORO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,2,3,5
EL PUENTE(STC),telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2,4
ESCOMA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
EXALTACION,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,2,5,4,9
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,2,0,0,0,0,3,6,9
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,10,10
GUANAY,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,1,0,1,2,0,4,0,1,0,0,0,0,2,7,9
GUAYARAMERIN,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,3,1,2,3,0,0,2,0,0,3,7,8,15
HUANUNI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,3,4,4,8
HUARINA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
ICHOCA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,1,1,2,0,6,4,10
INCAHUASI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,4
INQUISIVI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,3,5
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,3,1,7,8,15,11,26
LA GUARDIA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,2,3,5
LA PAZ,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,15,4,2,1,1,1,1,12,19,31
LAGUNILLAS,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
LAS CARRERAS,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,3,5,3,8
MACHACAMARCA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,3
MACHARETI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,3,3,8,11
MAIRANA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,13,1,3,3,4,1,3,7,23,30
MECAPACA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,2,4,6
MOCOMOCO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MOJINETE,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
OMEREQUE,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,3,3,6
PAPEL PAMPA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,1,0,0,0,7,0,7
PELECHUCO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,1,2,5,7
POOPO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,4
PORCO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
POTOSI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,0,9,10,19
PUCARANI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO ACOSTA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUNA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,4,5
QUIRUSILLAS,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,2,3,5,8
RAVELO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,2,4,6
SACABA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,1,4,0,2,2,6,9,15,5,23,8,14,15,31,40,95,135
SACABAMBA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,2,3,5
SAN AGUSTIN,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
SAN BORJA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,4,4,6,9,5,14,21,35
SAN IGNACIO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,4,1,5
SANTIAGO DE HUARI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SANTIAGO DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,1,1,0,0,10,3,13
TAHUA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
TARATA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,3,3,6
TARIJA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,2,0,3,1,8,3,11
TARVITA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,2,4,0,11,7,18
TOCO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,2,3,4,7,11
TOLATA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,1,0,1,2,4,3,2,4,1,3,0,0,4,4,13,16,29
URIONDO (A. CONCEPCION),telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,2,0,1,1,1,2,8,10
URUBICHA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,3,4,6,7,13
UYUNI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,4,5
VILLA CHARCAS,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,4,1,5
VILLA SERRANO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,2,4,6
VILLAZON,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,2,4
VINTO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,0,0,7,4,16,20
VITICHI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
YOTALA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,1,0,7,7
ZUDAÑEZ,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,5,0,0,10,5,0,0,3,6,0,16,13,29
AIQUILE,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,2,6,2,1,5,7,6,11,15,26,41
ALCALA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,2,4,6
ANDAMARCA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,4,5,9
APOLO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
ARQUE,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AYATA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
BAURES,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,3,3,6
BOYUIBE,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,3,3,4,6,10
CABEZAS,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,2,1,1,1,4,5,14,19
"CAIZA ""D""",telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,2,1,0,2,8,10
CAMIRI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,3,1,7,6,13
CARAPARI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,1,2,7,5,12,17
CARMEN RIVERO TORREZ,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHACARILLA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,3
CHALLAPATA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,3,6,3,9,10,19
CHIMORE,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,2,1,2,2,3,10,11,21
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
CLIZA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,1,9,10,1,7,1,3,8,13,20,34,54
COBIJA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,1,0,0,0,3,4,7
COCAPATA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,5,3,8,11
COCHABAMBA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,3,4,1,6,8,4,15,9,28,23,51
COLQUIRI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,4,4
CONCEPCION,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,1,0,1,0,2,3,3,0,0,0,4,0,11,3,14
CORIPATA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
COROICO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,1,3,4,7
CORQUE,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,7,8
COTOCA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,6,2,3,4,1,10,14,24
CUATRO CAÑADAS,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,1,0,0,1,1,0,3,4,22,1,2,5,2,3,5,14,36,50
CURVA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL PUENTE(STC),telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,3
EL PUENTE(TJA),telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,2,7,2,9
ESCOMA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1,4
EUREKA (SANTOS MERCADO),telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,1,1,1,3,1,6,5,4,5,5,6,4,6,23,25,48
EXALTACION,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,5,0,5
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,6,1,7
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,2,0,2,7,9
GUANAY,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,7,2,1,1,0,0,0,0,0,0,8,3,11
GUAYARAMERIN,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,2,1,4,0,2,2,5,3,1,3,7,4,21,13,34
ICHOCA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,0,3,4,7
INCAHUASI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,2,5
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,3
JESUS DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,3,2,5
LA GUARDIA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,2,5,7,8,12,20
LA PAZ,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,3
LAGUNILLAS,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LAS CARRERAS,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3
LORETO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
MACHARETI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,0,4,4,8
MAIRANA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,3,2,9,11
MINEROS,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,5,1,6
OCURI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,8
OMEREQUE,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
ORURO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,3,4,7,5,18,23
PADCAYA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,1,2,6,8
PADILLA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,1,0,1,0,1,1,0,10,1,4,8,2,4,15,16,32,48
PAILON,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,2,10,15,8,10,15,18,10,15,43,60,103
PAPEL PAMPA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,2,2,0,5,5,10
PATACAMAYA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,1,0,4,8,6,14,20
PELECHUCO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
POOPO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,5,6
POROMA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
PORONGO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,1,0,1,1,0,1,2,3,0,1,1,1,1,7,6,14,20
POTOSI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,20,5,5,10,11,5,6,20,43,63
PUERTO ACOSTA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO CARABUCO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUNA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,4,5
