,group,variable,month,NRO DE TELECONSULTAS N < A 6 MESES,NRO DE TELECONSULTAS N < A 6 MESES,NRO DE TELECONSULTAS N 6 MESES < 1 AÑO,NRO DE TELECONSULTAS N 6 MESES < 1 AÑO,NRO DE TELECONSULTAS N 1 A 4 AÑOS,NRO DE TELECONSULTAS N 1 A 4 AÑOS,NRO DE TELECONSULTAS N 5 A 9 AÑOS,NRO DE TELECONSULTAS N 5 A 9 AÑOS,NRO DE TELECONSULTAS N 10 A 14 AÑOS,NRO DE TELECONSULTAS N 10 A 14 AÑOS,NRO DE TELECONSULTAS N 15 A 19 AÑOS,NRO DE TELECONSULTAS N 15 A 19 AÑOS,NRO DE TELECONSULTAS N 20 A 39 AÑOS,NRO DE TELECONSULTAS N 20 A 39 AÑOS,NRO DE TELECONSULTAS N 40 A 49 AÑOS,NRO DE TELECONSULTAS N 40 A 49 AÑOS,NRO DE TELECONSULTAS N 50 A 59 AÑOS,NRO DE TELECONSULTAS N 50 A 59 AÑOS,NRO DE TELECONSULTAS N 60 A MAS,NRO DE TELECONSULTAS N 60 A MAS,TOTALES,TOTALES,TOTALES
CORQUE,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,3
CURAHUARA DE CARANGAS,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,2,0,1,3,2,7,9,16
EL CHORO,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
EXALTACION,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,1,1,0,1,0,0,1,1,3,1,0,0,4,2,3,6,12,18
GUAYARAMERIN,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,1,0,3,4,6,3,0,1,4,0,3,1,17,9,26
HUARINA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,3
ICHOCA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ICLA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,6,6
INQUISIVI,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,4,2,6
LA GUARDIA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,2,3,5
LA PAZ,telesalud,nro de teleconsultas n,2024-01-01,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,2,4,186,213,191,220,411
MACHACAMARCA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
MACHARETI,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MECAPACA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
MOROCHATA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
OMEREQUE,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,4,4,24,9,4,21,36,57
PAPEL PAMPA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,3
PELECHUCO,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POOPO,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,1,0,0,4,2,12,14
PORTACHUELO,telesalud,nro de teleconsultas n,2024-01-01,0,0,2,1,4,5,8,2,3,3,5,6,10,29,2,4,10,14,44,56,88,120,208
PUCARANI,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2
PUNATA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,3,3,6
SACABAMBA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,0,5
SAN ANTONIO DE LOMERIO,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,3,1,0,4,6,10
SANTIAGO DE HUARI,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,10,1,4,0,1,0,1,3,5,4,21,25
SUCRE,telesalud,nro de teleconsultas n,2024-01-01,0,1,0,0,1,0,0,0,0,0,0,0,10,16,2,2,0,3,0,1,13,23,36
TARIJA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
TITO YUPANQUI (PARQUIPUJIO),telesalud,nro de teleconsultas n,2024-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
TOCO,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,4,5,7,12
TOLATA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,1,0,1,0,1,0,2,1,5,3,0,1,1,1,1,6,12,18
VILA VILA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,3,1,3,1,4,1,4,14,3,6,1,7,4,12,22,42,64
VILLA CHARCAS,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YAMPARAEZ,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,3,1,0,4,4,8
YOTALA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,0,0,0,1,4,2,11,13
ZUDAÑEZ,telesalud,nro de teleconsultas n,2024-01-01,0,1,0,0,0,0,0,0,1,0,2,4,2,1,0,0,0,1,1,1,6,8,14
ALALAY,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,2,1,1,1,2,7,6,13
ALCALA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,3
APOLO,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
ARAMPAMPA,telesalud,nro de teleconsultas n,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARANI,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,3,0,1,0,2,0,1,3,0,0,0,0,0,2,7,5,12
AZURDUY,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas n,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,4,5
BOLPEBRA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,3,4
CABEZAS,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,1,2,2,4,7,11
"CAIZA ""D""",telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,1,0,0,2,6,8
CARACOLLO,telesalud,nro de teleconsultas n,2024-02-01,2,1,2,2,5,4,0,3,3,2,1,9,3,27,1,11,1,8,18,23,36,90,126
CHACARILLA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,2,5,3,8
CHIMORE,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,7,0,0,0,0,0,7,3,2,2,0,2,0,2,0,9,16,25
COLQUECHACA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLQUENCHA,telesalud,nro de teleconsultas n,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4
COLQUIRI,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
CORQUE,telesalud,nro de teleconsultas n,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,3,6
CUATRO CAÑADAS,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EUCALIPTUS,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
EXALTACION,telesalud,nro de teleconsultas n,2024-02-01,0,0,1,0,0,2,0,0,3,0,0,1,0,3,0,0,2,1,3,2,9,9,18
FERNANDEZ ALONSO,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,3,0,2,5,0,10,0,0,2,0,0,0,7,15,22
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,3,4
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,3
HUMANATA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,4
ICLA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,7,7
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,4
LA PAZ,telesalud,nro de teleconsultas n,2024-02-01,0,0,1,2,14,18,12,13,10,8,15,16,51,44,29,20,36,20,100,86,268,227,495
LAGUNILLAS,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,3
MACHACAMARCA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,1,0,1,0,4,6,10
MOROCHATA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,0,0,0,1,3,6,9
OCURI,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
OMEREQUE,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,3,1,1,0,0,2,7,9
PAILON,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0,9,0,9
PAMPA AULLAGAS,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PAPEL PAMPA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,4,4
POOPO,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1,8,0,2,0,0,1,5,2,17,19
POROMA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1,4
PUNATA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,2,3,4,8,12
RAVELO,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,6,2,8
SACABAMBA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SAMAIPATA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,1,3,1,5,2,14,16
SAN BENITO,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SAN PABLO DE LIPEZ,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE QUEMES,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3
SAN RAMON SCZ,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2
SANTA ROSA DEL SARA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,1,0,3,3,3,5,7,29,6,17,11,16,82,31,113,101,214
SANTIAGO DE HUARI,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,3,4,9,1,0,0,1,5,2,10,16,26
SANTUARIO DE QUILLACAS,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
SENA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,1,0,3,0,0,2,1,9,0,0,0,0,0,0,5,11,16
SUCRE,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,4,3,10,2,2,0,8,0,0,5,24,29
TAHUA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TARATA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,2,4
TARIJA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,4
TOCO,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,5,6,6,13,19
TOLATA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,1,5,6
TOTORA(CBBA),telesalud,nro de teleconsultas n,2024-02-01,0,1,0,0,2,1,6,2,10,2,2,3,5,11,3,1,1,0,0,1,29,22,51
VILA VILA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,0,0,7,1,8
VILLA SERRANO,telesalud,nro de teleconsultas n,2024-02-01,0,0,1,0,7,5,0,0,0,2,0,0,0,1,1,0,0,0,1,2,10,10,20
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,1,1,0,2,3,7,10
YAMPARAEZ,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
YOTALA,telesalud,nro de teleconsultas n,2024-02-01,0,0,0,0,0,0,0,0,5,40,0,30,15,25,0,0,0,0,10,0,30,95,125
ZUDAÑEZ,telesalud,nro de teleconsultas n,2024-02-01,0,1,0,0,0,0,0,0,0,1,2,4,2,1,0,0,0,0,1,1,5,8,13
AIQUILE,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,0,3,5,8
ALALAY,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALCALA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,3,5
ANDAMARCA,telesalud,nro de teleconsultas n,2024-03-01,0,0,12,4,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,12,15,27
ASCENCION DE GUARAYOS,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ATOCHA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AZURDUY,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,2,5,7
BETANZOS,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
CABEZAS,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3,4
"CAIZA ""D""",telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,3,0,0,3,5,8
CARIPUYO,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,4,3,7
CARMEN RIVERO TORREZ,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
CHIMORE,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,4,0,0,0,0,6,0,12,6,6,0,3,3,0,13,27,40
"COLCHA ""K""",telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,2,4
COLQUECHACA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,4,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,8,9
COLQUIRI,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
CORQUE,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,3,3,6
COTOCA,telesalud,nro de teleconsultas n,2024-03-01,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,3,3,6
CURAHUARA DE CARANGAS,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,1,6,0,0,0,1,0,3,0,3,0,0,1,0,1,3,3,16,19
CURVA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL CHORO,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
GUANAY,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
HUACARETA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,3,0,3,0,0,14,6,20
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,3,2,5
HUARINA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,4,6
ICLA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
INCAHUASI,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,3,5
LA PAZ,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,4,184,207,187,214,401
LAGUNILLAS,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2
LORETO,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
MACHACAMARCA,telesalud,nro de teleconsultas n,2024-03-01,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,2,5
MACHARETI,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,3,6,5,11
MAIRANA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
MECAPACA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,3,2,5
MOJOCOYA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,2,0,3,0,11,0,0,0,0,0,0,0,16,16
MOROCHATA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,2,2,2,1,0,2,1,0,0,1,1,0,0,6,6,12
NACEBE (SANTA ROSA DEL ABUNA),telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,5,3,8
OKINAWA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
OMEREQUE,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,4,0,2,0,0,0,13,13
PAILON,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,8,6,8,6,4,9,4,8,9,10,33,39,72
PAMPA AULLAGAS,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
POOPO,telesalud,nro de teleconsultas n,2024-03-01,0,0,1,0,0,2,0,0,0,1,0,1,1,2,0,0,0,0,0,1,2,7,9
