,group,variable,month,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
HUARINA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,8,8
INCAHUASI,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,3,3,6
INQUISIVI,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,3
LAS CARRERAS,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MACHACAMARCA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
MACHARETI,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,6,6
MECAPACA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,2,4
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
MOJINETE,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
OMEREQUE,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
PAMPA AULLAGAS,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
PELECHUCO,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
POOPO,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PUERTO PEREZ,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
PUNA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,4
SAN AGUSTIN,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2
SAN PEDRO DE TIQUINA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,0,2,5,7
SANTIAGO DE MACHACA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,3,2,5
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,2,4,5,9
VITICHI,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
APOLO,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,2,2,5,7
AYATA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2
CHACARILLA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHUMA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
COLLANA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COLQUIRI,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,3,4
CORIPATA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,3,2,5
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-02-01,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,4,4,7,11
EL VILLAR,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,3,4
ESCOMA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,3
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
GUAQUI,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMANATA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,4,4,8
INCAHUASI,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,3,5
LAS CARRERAS,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
MACHACAMARCA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,3,5
MACHARETI,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,3
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
OCURI,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
OMEREQUE,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PAILON,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,2,3,4,6,0,6,4,8,9,6,9,29,28,57
PAMPA AULLAGAS,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
POOPO,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO CARABUCO,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,3
PUERTO PEREZ,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,3
SAN AGUSTIN,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,2,0,4,4,8
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN BENITO,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,2,4,6
SAN PEDRO DE QUEMES,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,3,5
SAN RAMON SCZ,telesalud,teledispositivos otoscopio,2024-02-01,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,2,0,3,5,8
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,5,5,10
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,0,0,1,0,5,4,9
SANTIAGO DE MACHACA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,1,26,1,27
SAPAHAQUI,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
TARIJA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
TIAHUANACU,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
TOLATA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TOMINA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VILA VILA,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,2,1,5,4,10,14
WARNES,telesalud,teledispositivos otoscopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,13,0,13
APOLO,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,4,5
AYATA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,4,4
CAIROMA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,4,5
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
CARIPUYO,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,0,0,0,1,4,6,10
CHAQUI,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,3,4,3,7
CHUMA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,6,2,8
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,1,0,0,0,1,0,2,1,1,2,0,0,0,1,2,4,7,11
COLQUIRI,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,3,5
CORIPATA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CORO CORO,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,7,8
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,5,3,8
ESCOMA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,3
HUARINA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,4,4,8
HUMANATA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,4,4,8
INQUISIVI,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LAS CARRERAS,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,3
MACHACAMARCA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
MACHARETI,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MECAPACA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,5,4,9
MIZQUE,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,4
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MOJINETE,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
OKINAWA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,1,0,1,1,0,5,0,0,1,1,0,0,3,7,10
OMEREQUE,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAILON,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,1,1,1,1,2,0,0,4,8,0,1,2,8,6,5,4,6,18,32,50
PATACAMAYA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PUERTO ACOSTA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,4,3,7
PUNA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,2,4,6
SAN AGUSTIN,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,3,1,4
SAN BENITO,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,2,4,6
SAN BORJA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JUAN DE YAPACANI,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,6,5,4,1,1,4,3,8,2,1,0,3,8,6,24,28,52
SAN RAFAEL,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,6,6,12
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,2,5
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,5
SANTIAGO DE MACHACA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,3,4,7
SAPAHAQUI,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,3
SORATA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,1,1,0,2,6,8
TARIJA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,3
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1,1,3,4,7
TOLATA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
TOMINA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
WALDO BALLIVIAN,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2
WARNES,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,6,2,0,0,0,0,4,11,0,0,0,0,10,13,23
YOTALA,telesalud,teledispositivos otoscopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,6,3,1,5,8,13,20,33
ANDAMARCA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
APOLO,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
AYATA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
BELEN DE URMIRI,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3
CAQUIAVIRI,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CARIPUYO,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
CHACARILLA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHUMA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,3,21,34,13,8,0,0,0,0,0,0,0,0,2,0,37,45,82
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COIPASA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2
COLLANA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,2,4
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,6,7,7,14
CORIPATA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,2,5
CORO CORO,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,1,7,9,0,4,0,1,0,0,0,0,0,1,2,0,10,16,26
CURVA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL VILLAR,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ESCARA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
GUANAY,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUTIERREZ,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,2,0,0,2,1,4,7,11
HUARINA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,0,1,0,1,4,5,9
HUMANATA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,1,7,17,2,16,1,5,0,0,0,2,0,2,1,1,11,44,55
