,group,variable,month,NRO DE TELEINTERCONSULTAS GENERADAS S < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS S < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS S 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS S 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS S 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 60 A MAS,NRO DE TELEINTERCONSULTAS GENERADAS S 60 A MAS,TOTALES,TOTALES,TOTALES
CORO CORO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CORQUE,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
EL ALTO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,2,2,6,8
EL CHORO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUARINA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
INCAHUASI,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,3,5
LAGUNILLAS,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
LAS CARRERAS,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
MAIRANA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MOCOMOCO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,4
OMEREQUE,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,5
ORURO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,5,2,7,9
PAMPA AULLAGAS,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
POOPO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
PUERTO ACOSTA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUNATA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
QUIME,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4,6
SACABA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,3
SAN AGUSTIN,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN IGNACIO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,1,2,1,7,5,12
SAN PEDRO DE QUEMES,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTUARIO DE QUILLACAS,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
SIPE SIPE,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,4,6
TARIJA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2
TOCO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,4
TOLATA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,6,7
TOMINA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TRINIDAD,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
UNCIA,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,7
VILLA CHARCAS,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,4
VINTO,telesalud,nro de teleinterconsultas generadas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,1,4,3,7
ACHOCALLA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,4,5
AIQUILE,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
ANDAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,3,1,6,7
ARANI,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
ARQUE,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ATOCHA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AUCAPATA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AZURDUY,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
BAURES,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
BELLA FLOR,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BOLPEBRA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,3,1,4
BOYUIBE,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
CABEZAS,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,4
"CAIZA ""D""",telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,6,7
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
CAMIRI,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
CLIZA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COLLANA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLPA BELGICA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COLQUENCHA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CORIPATA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,3
CORQUE,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
CUATRO CAÑADAS,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CURVA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
EL ALTO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL CHORO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL PUENTE(STC),telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GENERAL SAAVEDRA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,6,0,2,0,0,0,27,27
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,15,15
ICLA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
INCAHUASI,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
IRUPANA (VILLA DE LANZA),telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
LA GUARDIA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
LA PAZ,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LAGUNILLAS,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LAS CARRERAS,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
MOCOMOCO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2
OMEREQUE,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ORURO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,11,14
PADCAYA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
PAMPA AULLAGAS,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3
POCOATA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
POOPO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,3,8,11
POTOSI,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PUERTO ACOSTA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PUERTO CARABUCO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QUIABAYA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
QUIME,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RAVELO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,5,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,10,10
SAN ANDRES,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN BENITO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
SAN BUENA VENTURA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
SAN LORENZO(PND),telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,5,2,7
SAN PABLO DE LIPEZ,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,3,4
SAN PEDRO DE QUEMES,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,3
SAN RAMON BENI,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,4
SAN RAMON SCZ,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,4,5
SAPAHAQUI,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SIPE SIPE,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARATA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TOCO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TOLATA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,5,6
VIACHA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,3
VILA VILA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
VILLA CHARCAS,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,4
VILLA SERRANO,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,1,7,5,0,0,0,2,0,0,0,2,0,1,3,2,3,3,13,16,29
VILLA TUNARI,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
WARNES,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,6,5,3,1,0,5,10,10,25,25,6,4,3,3,53,53,106
YOTALA,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,1,0,16,16
ZUDAÑEZ,telesalud,nro de teleinterconsultas generadas s,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,3
ACHOCALLA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,3,5
AIQUILE,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ALCALA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,9,9
ANDAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,3,3,6
ARANI,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,4,3,7,10
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,4,5
ATOCHA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,4
AZURDUY,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,1,0,0,1,6,7
BATALLAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
BELLA FLOR,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
BETANZOS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BOLPEBRA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BOYUIBE,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
CABEZAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,4,4
CAIROMA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,3
"CAIZA ""D""",telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARACOLLO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,2,3,0,0,6,7,1,6,0,5,2,7,12,20,1,6,5,5,7,24,36,83,119
CARANAVI,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COLCAPIRHUA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COLPA BELGICA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COLQUECHACA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COLQUIRI,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,3
CORIPATA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,3,5,8
CUATRO CAÑADAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CURAHUARA DE CARANGAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,1,0,7,0,0,0,0,0,2,0,3,0,1,0,0,0,1,0,15,15
CURVA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3
EL CHORO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,1,0,3,4,7
