,group,variable,month,TELEDISPOSITIVOS OFTALMOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OFTALMOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OFTALMOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OFTALMOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OFTALMOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 60 A MAS,TELEDISPOSITIVOS OFTALMOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
YOCALLA,telesalud,teledispositivos oftalmoscopio,2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0
ICLA,telesalud,teledispositivos oftalmoscopio,2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
INQUISIVI,telesalud,teledispositivos oftalmoscopio,2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,6.0,7.0
PORCO,telesalud,teledispositivos oftalmoscopio,2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,24.0,32.0
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos oftalmoscopio,2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,4.0,1.0,10.0,11.0
WARNES,telesalud,teledispositivos oftalmoscopio,2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0,1.0,4.0,2.0,0.0,3.0,9.0,12.0,21.0
PORCO,telesalud,teledispositivos oftalmoscopio,2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,6.0
PUERTO RICO,telesalud,teledispositivos oftalmoscopio,2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
PORCO,telesalud,teledispositivos oftalmoscopio,2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,6.0
UNCIA,telesalud,teledispositivos oftalmoscopio,2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0
