,group,variable,month,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES < A 6 MESES,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES < A 6 MESES,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 6 MESES < 1 AÑO,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 6 MESES < 1 AÑO,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 1 A 4 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 1 A 4 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 5 A 9 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 5 A 9 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 10 A 14 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 10 A 14 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 15 A 19 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 15 A 19 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 20 A 39 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 20 A 39 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 40 A 49 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 40 A 49 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 50 A 59 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 50 A 59 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 60 A MAS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 60 A MAS,TOTALES,TOTALES,TOTALES
CHIPAYA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,2,4
CHUMA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,2,0,0,2,6,10,16
COLCAPIRHUA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,1,1,1,2,0,2,5,0,5,3,5,5,7,13,24,37
CORIPATA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CORO CORO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,1,0,1,0,0,0,1,2,0,8,0,0,1,4,0,2,4,16,20
COTOCA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,3,2,1,6,9,15
CURVA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,3
EL CHORO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,2,4,6
EL PUENTE(TJA),telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL VILLAR,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5
ESCOMA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,2,0,0,0,0,3,6,9
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,2,0,20,20
GUANAY,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,1,0,1,2,0,4,0,1,0,0,0,0,2,7,9
HUANUNI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,3,4,4,8
ICHOCA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,2,9,0,0,3,3,5,0,11,12,23
INCAHUASI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,1,5,5,10
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,1,7,8,15,9,24
LA PAZ,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,3,1,2,4,1,18,10,28
LAS CARRERAS,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,4,5,4,9
MACHARETI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,0,3,2,4,3,14,17
MAIRANA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,2,15,1,5,5,4,2,3,11,27,38
MECAPACA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,3,0,2,3,11,6,19,25
MOJINETE,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
OMEREQUE,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,1,0,1,4,3,0,0,1,0,0,1,3,0,5,0,2,2,1,8,16,24
ORURO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,2,0,6,9,27,12,43,55
PELECHUCO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,1,0,0,0,4,4,8
PORCO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
PUCARANI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO ACOSTA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
PUERTO PEREZ,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,2,1,3,6,9
QUIME,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,1,2,0,4,2,13,8,21
RAVELO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,2,4,6
SACABA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,1,4,0,2,2,6,9,15,5,23,8,14,15,31,40,95,135
SACABAMBA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,2,3,5
SALINAS DE GARCI MENDOZA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,3
SAN IGNACIO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,4,0,1,0,6,9,12,10,3,6,12,6,38,31,69
SANTIAGO DE HUARI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,2,7,9
SANTIAGO DE MACHACA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,2,1,1,1,0,11,5,16
SIPE SIPE,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,2,0,1,0,0,0,0,0,0,4,3,1,0,1,2,6,7,12,15,27
TAHUA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
TOCO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,2,3,4,7,11
TOLATA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,1,0,1,2,4,3,2,4,1,3,0,0,4,4,13,16,29
TOMINA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,6,2,17,9,19,2,7,3,0,0,49,16,65
UYUNI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,4,5
VILA VILA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,4
VILLA CHARCAS,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,3,0,6,6,12,18
VILLA SERRANO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,4,0,0,0,0,4,2,0,0,0,0,1,2,0,0,0,0,5,0,0,8,10,18
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,2,4,5,9
VINTO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,0,0,7,4,16,20
YOTALA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,1,1,2,1,11,12
ZUDAÑEZ,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,5,16,21
ANDAMARCA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,4,5,9
ARQUE,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,3,1,7,2,2,0,0,0,1,3,14,17
ASCENCION DE GUARAYOS,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,1,2,5,7
AUCAPATA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,5,2,7
BAURES,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,2,0,1,1,5,6,12,18
BOLPEBRA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,1,0,2,2,0,0,1,5,6,2,0,2,0,1,10,12,22
BOYUIBE,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,1,1,6,0,8,1,2,8,5,11,22,33
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,5
CAMIRI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,4,2,2,7,5,12,14,26
CARAPARI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,1,2,7,5,12,17
CARMEN RIVERO TORREZ,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CHALLAPATA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,3,6,3,9,10,19
CHIMORE,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,2,1,2,2,3,10,11,21
CHIPAYA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1,0,1,7,8
CHOQUE COTA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,9,9
CHUMA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
CONCEPCION,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,4,1,0,1,1,0,2,0,2,3,6,0,0,1,8,2,23,8,31
CORIPATA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,4,3,7
COTOCA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,6,2,3,4,1,10,14,24
CURVA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,2,0,0,1,0,1,2,1,1,1,1,0,0,1,6,5,11
EL CHORO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,4,4
EL PUENTE(TJA),telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,2,4,2,10,6,16
EL VILLAR,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,2,0,0,0,0,0,8,1,7,3,3,1,2,0,0,5,22,27
ESCOMA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,3
EUREKA (SANTOS MERCADO),telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,1,1,1,3,1,6,5,4,5,5,6,4,6,23,25,48
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,4,7,7,14
GENERAL SAAVEDRA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,1,0,22,1,8,0,4,2,0,3,36,39
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,1,0,1,8,9
GUANAY,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,7,2,1,1,0,0,0,0,0,0,8,3,11
GUAQUI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,1,0,1,7,8
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,15,15
HUMANATA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,4,4,8
ICHOCA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,1,1,0,0,0,0,1,5,1,0,1,2,1,2,4,10,9,19
INCAHUASI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,3,2,5,5,10
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,3
LA PAZ,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,2,2,1,3,8,11,18,29
LAS CARRERAS,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,3,2,5
MACHARETI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0,1,1,1,1,0,5,6,11
MAIRANA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,2,0,0,7,2,14,16
OCURI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,6,4,10
OMEREQUE,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,6,0,3,1,6,4,18,22
ORURO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,1,2,0,1,0,2,0,0,2,12,1,0,0,7,10,23,14,47,61
PADILLA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,4,8,2,4,15,13,31,44
PAILON,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,12,8,16,8,9,12,15,20,52,48,100
PATACAMAYA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
PELECHUCO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,4,1,5
PORCO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,12,15,27
PUERTO ACOSTA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8
PUERTO CARABUCO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,3,0,4,7,11
PUERTO PEREZ,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,1,0,2,3,2,3,19,22
QUIABAYA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,1,4
QUIME,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,1,2,0,4,2,13,8,21
RAVELO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ROBORE,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,1,0,0,1,1,0,3,12,0,0,0,1,0,1,5,15,20
SACABA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,1,0,0,1,0,2,0,6,14,1,18,6,7,13,23,29,63,92
SACABAMBA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,3,3,6
SAMAIPATA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,1,0,2,5,4,1,0,1,2,7,5,8,12,22,26,48
SAN BENITO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,6,29,1,6,7,3,3,6,17,44,61
SAN IGNACIO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,3,0,9,0,8,3,13,9,10,13,43,56
SAN JUAN DE YAPACANI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1,8,0,2,0,3,4,1,5,16,21
SAN PABLO DE LIPEZ,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,2,4,6
SAN RAMON SCZ,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,1,0,0,0,0,1,1,1,0,1,0,3,0,1,0,0,3,0,5,7,12
SANTIAGO DE HUARI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,0,0,1,0,5,4,9
SANTIAGO DE MACHACA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,1,1,16,11,27
SENA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,1,1,0,1,0,0,2,5,1,0,0,0,2,0,6,7,13
SIPE SIPE,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,1,0,0,1,10,11
TIAHUANACU,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,2,2,2,2,21,23
TOLATA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,3,2,1,4,4,13,12,25
TOMINA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,4,0,1,0,0,0,22,5,13,7,16,9,20,11,16,8,92,40,132
TURCO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,5,5
UYUNI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,4,3,2,2,2,2,5,10,14,18,32
VILA VILA,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,1,0,1,2,1,2,12,14
VILLA CHARCAS,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,2,4,1,3,6,8,13,21
VILLA SERRANO,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,1,1,7,5,0,0,0,2,0,0,0,7,8,2,4,2,4,7,24,26,50
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,2,1,5,4,10,14
VITICHI,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3
WARNES,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,8,10,5,13,19,32
YAMPARAEZ,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,5,6
ZUDAÑEZ,telesalud,teledispositivos monitor de signos vitales,2024-02-01,0,0,0,0,0,0,0,0,0,0,15,20,5,1,0,0,0,0,0,0,20,21,41
