,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
TIQUIPAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,1,3,0,0,1,3,4
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,1,0,0,0,1,0,1
ATOCHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,4,0,0,0,4,0,4
BETANZOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,5,5,0,0,5,5,10
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,2,4,0,1,2,5,7
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,3,14,0,0,3,14,17
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,2,0,0,0,2,0,2
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,2,0,3,3
PUERTO RICO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,1,1,0,0,1,1,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,1,0,0,0,1,0,1
TACOPAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,1,0,0,0,1,0,1
TOLATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,0,0,1,1
VILLA RIVERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-02-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,0,0,32,0,32,32
BETANZOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,2,0,0,0,2,2
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,2,6,0,0,2,6,8
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,1,2,0,0,1,2,3
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,11,10,11,11,22
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,2,1,0,0,2,1,3
PUNA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,4,4,4,5,9
RURRENABAQUE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,3,0,7,0,10,0,10
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,0,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-03-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,2,0,3,2,5,2,7
COLCAPIRHUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,2,6,0,5,2,11,13
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,1,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,1,0,0,0,1,1
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,3,5,0,0,3,5,8
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,0,11,8,11,8,19
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,1,2,7,3,8,5,13
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,1,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,21,0,0,1,21,1,22
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,1,2,0,0,1,2,3
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,2,0,0,0,2,2
VILLA RIVERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,0,0,1,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-04-01,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,36,1,36,2,38
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,5,0,0,0,5,5
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,0,1,5,1,5,6
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,4,6,2,5,6,11,17
EL CHORO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,1,1,0,0,1,1,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,4,13,0,3,4,16,20
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,3,0,0,0,3,3
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,0,0,0,1,1
PUERTO RICO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,2,0,0,0,2,2
PUNATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,1,2,1,0,2,2,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,2,0,0,0,2,2
SAN BENITO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,1,1,0,0,1,1,2
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,2,3,0,0,2,3,5
SANTUARIO DE QUILLACAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,3,2,0,0,3,2,5
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,19,22,4,28,23,50,73
TIPUANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,0,0,1,0,1,1
TOCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,1,1,0,0,1,1,2
URIONDO (A. CONCEPCION),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-05-01,0,1,0,0,0,1,1
ARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,0,4,0,4,0,4
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,0,0,1,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,1,1,1,3,2,4,6
COLQUIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,9,1,1,1,10,11
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,32,40,11,22,43,62,105
GUAYARAMERIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,69,13,6,4,75,17,92
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,0,0,1,0,1,1
MORO MORO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,0,0,3,0,3,3
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,4,0,0,0,4,4
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,1,1,9,2,10,3,13
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,0,2,1,2,1,3
SHINAOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,7,4,0,7,7,11,18
TIPUANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,1,0,0,0,1,0,1
TOLATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,1,0,0,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,1,0,0,0,1,1
VACAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,0,1,1,1,1,2
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-06-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,1,1,0,0,1,1,2
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,2,1,3,1,5,6
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,0,1,1,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,18,25,41,0,59,25,84
EL PUENTE(TJA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,2,13,0,0,2,13,15
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,1,0,0,0,1,0,1
PADCAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,1,0,0,0,1,1
PADILLA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,1,0,0,0,1,0,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,1,2,0,2,1,3
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,1,1,0,0,1,1,2
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,1,0,0,0,1,0,1
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,1,2,0,0,1,2,3
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,0,1,1,1,1,2
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,0,2,0,2,0,2
SHINAOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,36,10,0,4,36,14,50
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,2,11,0,11,2,13
URIONDO (A. CONCEPCION),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,1,0,3,4,4,4,8
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,3,0,0,0,3,3
WARNES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-07-01,0,2,0,0,0,2,2
AIQUILE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,0,0,1,0,1,1
CALAMARCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,0,0,1,0,1,1
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,0,0,0,1,0,1
CAPINOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,0,0,1,0,1,1
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,0,0,0,1,0,1
CHIMORE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,0,0,2,0,2,2
CLIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,0,2,2,3,2,5
COLQUIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,2,0,0,0,2,2
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,0,3,1,3,1,4
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,30,28,82,48,112,76,188
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,6,11,0,0,6,11,17
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,0,4,0,4,0,4
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,1,0,0,0,1,1
SANTIVAÑES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,1,0,0,0,1,1
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,0,0,1,0,1,1
SHINAOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,2,0,0,1,2,3
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,3,1,1,2,4,6
TARATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,0,1,0,1,0,1
TOCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,0,0,0,1,0,1
VACAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-08-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,0,0,3,0,3,3
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,0,0,1,0,1,1
CALAMARCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,3,0,0,0,3,3
CAPINOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,2,0,0,0,2,2
CLIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,1,1,3,4,4,5,9
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,0,3,5,3,5,8
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,2,3,0,3,2,6,8
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,5,0,0,0,5,5
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,1,1,0,0,1,1,2
PADCAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,1,0,0,0,1,0,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,1,0,1,0,2,2
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,3,12,2,5,5,17,22
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,2,0,0,0,2,2
SHINAOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,4,7,1,1,5,8,13
TACOPAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-09-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,0,0,23,0,23,0,23
CARACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,15,7,7,7,22,14,36
COLCAPIRHUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,0,0,4,2,4,2,6
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,0,1,0,0,0,1,1
COLQUIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,0,0,0,1,0,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,9,3,29,15,38,18,56
GUANAY,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-10-01,0,0,2,0,2,0,2
