,group,variable,month,17.23 COVID-19 1RA DOSIS DENTRO,17.23 COVID-19 1RA DOSIS DENTRO,17.23 COVID-19 1RA DOSIS FUERA,17.23 COVID-19 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
BATALLAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,33,15,0,0,33,15,48
BELLA FLOR,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,2,2,6,4,8,12
BERMEJO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,14,4,0,0,14,4,18
BETANZOS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,25,15,0,0,25,15,40
BOLIVAR,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,0,0,0,3,0,3
BOLPEBRA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,1,3,3,3,4,7
BOYUIBE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,2,0,0,6,2,8
BUENA VISTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,10,3,0,0,10,3,13
CABEZAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,2,0,0,5,2,7
CAIROMA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,16,14,7,3,23,17,40
"CAIZA ""D""",otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,3,0,0,5,3,8
CAJUATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,22,19,9,21,31,40,71
CALACOTO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,1,3,1,3,4
CALAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,27,10,11,7,38,17,55
CAMARGO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,11,6,0,0,11,6,17
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,1,0,1,1,2,3
CAMIRI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,26,11,6,6,32,17,49
CAPINOTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,33,16,0,0,33,16,49
CAQUIAVIRI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,2,4,2,13,4,17
CARACOLLO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,35,16,0,0,35,16,51
CARANAVI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,166,33,28,15,194,48,242
CARAPARI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,1,1,0,7,1,8
CARIPUYO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,2,2,0,10,2,12
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,2,0,0,8,2,10
CATACORA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,4,4,4,4,8
CHACARILLA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,1,1,1,1,2
CHALLAPATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,39,16,7,6,46,22,68
CHAQUI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,2,1,1,4,3,7
CHARAGUA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,12,2,5,1,17,3,20
CHARAÑA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,2,1,0,5,2,7
CHAYANTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,22,1,1,1,23,2,25
CHIMORE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,35,14,6,1,41,15,56
CHIPAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,3,0,0,4,3,7
CHOQUE COTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,0,0,0,4,0,4
CHUA COCANI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,21,2,0,0,21,2,23
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 1ra dosis,2023-01-01,18,18,11,14,29,32,61
CHUMA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,0,22,22,25,22,47
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,0,1,0,6,0,6
CKOCHAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,1,2,1,6,2,8
CLIZA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,32,22,8,7,40,29,69
COBIJA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,56,29,54,30,110,59,169
COCAPATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,2,0,0,6,2,8
COCHABAMBA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1072,821,216,171,1288,992,2280
COLCAPIRHUA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,15,12,60,36,75,48,123
"COLCHA ""K""",otras vacunaciones,covid-19 1ra dosis,2023-01-01,10,4,1,2,11,6,17
COLLANA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,3,16,9,25,12,37
COLOMI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,31,12,9,10,40,22,62
COLQUECHACA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,17,7,7,5,24,12,36
COLQUENCHA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,10,4,8,6,18,10,28
COLQUIRI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,21,8,9,8,30,16,46
COMANCHE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,1,1,0,5,1,6
COMARAPA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,0,0,0,4,0,4
COMBAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,1,0,2,0,2
CONCEPCION,otras vacunaciones,covid-19 1ra dosis,2023-01-01,39,23,0,0,39,23,62
COPACABANA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,6,0,0,13,6,19
CORIPATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,35,32,11,2,46,34,80
CORO CORO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,8,12,1,18,9,27
COROICO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,24,18,18,8,42,26,68
CORQUE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,16,4,0,0,16,4,20
COTAGAITA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,11,2,2,2,13,4,17
COTOCA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,96,91,7,9,103,100,203
CUATRO CAÑADAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,7,3,2,9,9,18
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,0,3,3,5,3,8
CUEVO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,1,0,0,0,1,1
CULPINA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,8,5,0,11,8,19
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,5,0,0,4,5,9
CURVA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,4,2,4,2,6
DESAGUADERO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,14,1,1,0,15,1,16
EL ALTO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1023,594,398,177,1421,771,2192
EL CHORO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,2,0,0,3,2,5
EL PUENTE(STC),otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,6,0,0,3,6,9
EL PUENTE(TJA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,5,0,0,9,5,14
EL TORNO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,25,37,0,0,25,37,62
EL VILLAR,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,covid-19 1ra dosis,2023-01-01,7,1,0,0,7,1,8
ENTRE RIOS CBBA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,75,28,26,16,101,44,145
ESCOMA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,7,7,1,1,8,8,16
EUCALIPTUS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,2,0,0,6,2,8
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,2,1,2,1,3
FERNANDEZ ALONSO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,17,10,3,2,20,12,32
FILADELFIA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,0,5,3,7,3,10
GENERAL SAAVEDRA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,4,0,0,9,4,13
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,1,13,5,22,6,28
GUANAY,otras vacunaciones,covid-19 1ra dosis,2023-01-01,14,6,10,7,24,13,37
GUAQUI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,11,4,2,6,13,10,23
GUAYARAMERIN,otras vacunaciones,covid-19 1ra dosis,2023-01-01,35,29,11,6,46,35,81
GUTIERREZ,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,1,0,0,1,1,2
HUACARAJE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,2,0,0,0,2,2
HUACARETA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,2,0,0,3,2,5
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,0,0,1,0,1
HUACHACALLA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,3,0,0,3,3,6
HUANUNI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,15,9,0,0,15,9,24
HUARINA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,10,5,7,18,17,35
HUATAJATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,16,5,16,5,21
HUAYLLAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,3,1,6,6,9,15
HUMANATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,7,3,5,2,12,5,17
ICHOCA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,3,2,2,6,5,11
INCAHUASI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,3,0,0,2,3,5
INGAVI (HUMAITA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,0,0,1,0,1
INQUISIVI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,1,4,3,12,4,16
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,32,16,12,13,44,29,73
IXIAMAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,1,2,1,4,2,6
JESUS DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,10,9,7,8,17,17,34
LA ASUNTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,61,18,3,4,64,22,86
LA GUARDIA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,95,85,3,0,98,85,183
LA PAZ,otras vacunaciones,covid-19 1ra dosis,2023-01-01,575,562,371,214,946,776,1722
LAGUNILLAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,1,4,6,6,7,13
LAJA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,35,15,7,2,42,17,59
LAS CARRERAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,2,8,6,8,8,16
LICOMA PAMPA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,1,3,2,4,3,7
LLALLAGUA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,39,28,96,64,135,92,227
LLICA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,1,0,0,3,1,4
LURIBAY,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,8,11,13,24,21,45
MACHACAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,5,0,0,9,5,14
MACHARETI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,7,3,0,0,7,3,10
MAGDALENA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,2,0,0,2,2,4
MAIRANA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,2,1,0,4,2,6
MALLA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,3,1,3,1,4
MAPIRI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,15,3,0,16,15,31
MINEROS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,15,0,0,13,15,28
MIZQUE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,5,19,12,24,17,41
MOCOMOCO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,10,9,10,10,20,19,39
MOJINETE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,0,1,0,1,1
MOJOCOYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,1,0,1,0,2,2
MONTEAGUDO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,12,0,1,8,13,21
MONTERO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,141,108,12,2,153,110,263
MOROCHATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,2,3,3,7,5,12
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,0,1,1,3,1,4
OCURI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,2,5,7,8,9,17
OKINAWA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,2,1,2,9,4,13
OMEREQUE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,3,3,3,3,6
ORURO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,517,334,4,4,521,338,859
PADCAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,2,0,0,1,2,3
PADILLA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,1,2,0,7,1,8
PAILON,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,24,0,1,13,25,38
PALCA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,1,0,0,5,1,6
PALOS BLANCOS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,18,6,10,12,28,18,46
PAMPA AULLAGAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,1,0,0,1,1,2
PAMPA GRANDE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,0,0,0,4,0,4
PAPEL PAMPA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,12,11,2,2,14,13,27
PASORAPA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,1,0,0,0,1,1
PATACAMAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,73,20,1,0,74,20,94
PAZÑA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,2,0,0,0,2,2
PELECHUCO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,5,11,7,15,12,27
POCOATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,0,0,0,3,0,3
POCONA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,4,8,5,12,9,21
POJO (CBBA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,3,5,2,10,5,15
POOPO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,5,0,0,3,5,8
POROMA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,1,3,1,3,4
PORONGO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,17,1,1,14,18,32
PORTACHUELO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,12,9,1,6,13,15,28
PORVENIR,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,5,3,2,5,7,12
POSTRER VALLE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,0,2,1,2,3
POTOSI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,169,216,34,25,203,241,444
PRESTO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,1,1,1,1,2,3
PUCARA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,2,0,0,0,2,2
PUCARANI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,47,13,5,9,52,22,74
PUERTO ACOSTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,9,8,5,21,14,35
PUERTO CARABUCO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,8,16,9,24,17,41
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,1,1,1,5,2,7
PUERTO PEREZ,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,2,4,1,10,3,13
PUERTO QUIJARRO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,22,9,18,14,40,23,63
PUERTO RICO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,covid-19 1ra dosis,2023-01-01,31,13,0,0,31,13,44
PUERTO VILLARROEL,otras vacunaciones,covid-19 1ra dosis,2023-01-01,80,29,35,30,115,59,174
PUNA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,7,5,0,11,7,18
PUNATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,38,9,2,1,40,10,50
QUIABAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,0,12,5,14,5,19
QUILLACOLLO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,281,178,116,107,397,285,682
QUIME,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,2,2,0,10,2,12
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,2,0,0,1,2,3
RAVELO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,1,1,0,3,1,4
REYES,otras vacunaciones,covid-19 1ra dosis,2023-01-01,12,0,0,0,12,0,12
RIBERALTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,205,41,3,0,208,41,249
ROBORE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,33,9,6,2,39,11,50
RURRENABAQUE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,84,16,3,8,87,24,111
SABAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,14,12,0,0,14,12,26
SACABA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,270,154,64,47,334,201,535
SACABAMBA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,1,0,1,2,2,4
SACACA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,11,1,6,7,17,8,25
SAIPINA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,1,0,0,2,1,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,2,2,0,4,2,6
SAMAIPATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,1,3,4,3,5,8
SAN ANDRES,otras vacunaciones,covid-19 1ra dosis,2023-01-01,7,1,6,5,13,6,19
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,6,11,6,11,17
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,6,0,0,1,6,7
SAN BENITO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,15,11,0,0,15,11,26
SAN BORJA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,43,14,0,1,43,15,58
SAN BUENA VENTURA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,2,3,1,6,3,9
SAN CARLOS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,7,0,0,13,7,20
SAN IGNACIO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,7,3,5,7,12,10,22
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,55,31,3,2,58,33,91
SAN JAVIER(BNI),otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,0,0,1,0,1
SAN JAVIER(STC),otras vacunaciones,covid-19 1ra dosis,2023-01-01,12,6,0,0,12,6,18
SAN JOAQUIN,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,2,1,1,4,3,7
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,26,6,0,0,26,6,32
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,3,1,0,5,3,8
SAN JULIAN,otras vacunaciones,covid-19 1ra dosis,2023-01-01,28,15,0,1,28,16,44
SAN LORENZO(PND),otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,9,3,0,7,9,16
SAN LORENZO(TJA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,2,1,2,5,4,9
SAN LUCAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,5,0,0,6,5,11
SAN MATIAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,4,16,7,16,11,27
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,10,0,0,9,10,19
SAN PEDRO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,6,1,0,0,6,1,7
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,14,14,1,4,15,18,33
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,7,9,5,3,12,12,24
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,10,5,7,2,17,7,24
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,17,2,0,0,17,2,19
SAN PEDRO(PND),otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,1,0,1,0,1
SAN RAFAEL,otras vacunaciones,covid-19 1ra dosis,2023-01-01,11,3,0,0,11,3,14
SAN RAMON BENI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,5,0,0,4,5,9
SAN RAMON SCZ,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,6,0,0,3,6,9
SANTA ANA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,9,0,0,3,9,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1279,978,97,105,1376,1083,2459
SANTA ROSA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,2,0,0,1,2,3
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,18,5,0,0,18,5,23
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,11,1,2,0,13,1,14
SANTIAGO DE HUARI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,3,12,15,16,18,34
SANTIAGO DE HUATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,4,0,2,4,6,10
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,12,2,12,2,14
SANTIVAÑES,otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,3,0,0,9,3,12
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,8,6,0,10,8,18
SAPAHAQUI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,7,41,18,46,25,71
SENA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,9,26,22,34,31,65
SHINAOTA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,25,14,1,0,26,14,40
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,31,17,0,0,31,17,48
SICAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,7,0,0,2,7,2,9
SIPE SIPE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,25,14,22,18,47,32,79
SOPACHUY,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,0,0,0,2,0,2
SORACACHI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,17,5,0,0,17,5,22
SORATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,33,13,9,8,42,21,63
SUCRE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,192,172,6,3,198,175,373
TACACHI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,1,2,1,2,3
TACACOMA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,0,11,5,14,5,19
TACOBAMBA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,0,0,0,2,0,2
TACOPAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,12,1,0,10,12,22
TAHUA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,0,0,1,0,1
TAPACARI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,17,16,0,1,17,17,34
TARABUCO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,1,0,1,2,2,4
TARACO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,8,7,3,2,11,9,20
TARATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,5,0,0,0,5,0,5
TARIJA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,163,88,1,1,164,89,253
TARVITA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,2,3,3,7,5,12
TEOPONTE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,11,3,3,2,14,5,19
TIAHUANACU,otras vacunaciones,covid-19 1ra dosis,2023-01-01,14,8,2,1,16,9,25
TINGUIPAYA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,4,3,1,7,5,12
