,group,variable,month,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,TOTALES,TOTALES,TOTALES
CAPINOTA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,1,0,0,2,1,3
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,19,25,0,0,19,25,44
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,2,7,1,8,3,11
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,21,2,2,3,23,5,28
CHARAGUA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,39,7,0,0,39,7,46
CHARAÑA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,1,0,1,0,1
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,6,0,0,6,6,12
CHOQUE COTA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,6,0,0,3,6,9
CHUA COCANI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,10,0,10,0,10
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,5,4,0,1,5,5,10
CLIZA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,4,7,6,10,10,20
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,15,12,17,18,32,30,62
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,2,0,0,2,2,4
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,195,273,43,5,238,278,516
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,5,11,0,0,5,11,16
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,29,0,0,0,29,0,29
COLOMI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,5,31,0,34,5,39
COLQUENCHA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,3,5,5,6,8,14
COMANCHE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,6,0,0,0,6,6
COMARAPA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,2,0,0,1,2,3
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,4,3,0,0,4,3,7
CORIPATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,14,9,1,8,15,17,32
CORO CORO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,6,2,0,3,6,9
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,7,11,0,1,7,12,19
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,8,5,0,0,8,5,13
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,5,5,2,7,7,14
CURAHUARA DE CARANGAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,29,0,0,0,29,0,29
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,134,137,369,13,503,150,653
EL CHORO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,8,13,0,0,8,13,21
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,1,3,0,9,1,10
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,33,18,67,10,100,28,128
ESCOMA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,0,4,0,6,6
ESMERALDA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,1,0,1,0,1
FILADELFIA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,2,2,2,2,4
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,2,0,0,1,2,3
GUANAY,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,4,0,0,3,4,7
GUAQUI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,0,23,0,29,0,29
GUAYARAMERIN,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,27,3,219,3,246,6,252
GUTIERREZ,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,0,0,0,2,2
HUACARETA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,4,1,0,1,4,2,6
HUANUNI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
HUARINA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
HUATAJATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,1,3,2,6,3,9
INQUISIVI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,7,0,0,0,7,7
IRUPANA (VILLA DE LANZA),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,10,7,3,10,13,17,30
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,68,120,3,3,71,123,194
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,276,277,12,23,288,300,588
LAGUNILLAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,2,2,2,2,4
LAJA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,3,0,0,1,3,4
LAS CARRERAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,1,0,0,2,1,3
LLALLAGUA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,14,7,11,24,25,31,56
LLICA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,3,0,0,0,3,3
LURIBAY,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,2,0,0,1,2,3
MACHACAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,8,0,0,6,8,14
MACHARETI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,15,7,4,1,19,8,27
MAGDALENA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,0,2,0,2,2
MAPIRI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,15,23,10,32,25,55,80
MECAPACA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,0,1,0,1,1
MINEROS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,1,0,0,6,1,7
MIZQUE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,0,0,0,2,2
MOCOMOCO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,2,7,2,7,9
MONTEAGUDO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,22,23,1,1,23,24,47
MORO MORO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,1,7,8,9,9,18
OCURI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,7,10,7,10,17
OKINAWA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,3,1,3,2,5
OMEREQUE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,6,12,6,12,18
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,101,68,19,2,120,70,190
PADCAYA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,1,3,3,4,4,8
PAILON,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,6,0,0,0,6,6
PALOS BLANCOS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,11,10,4,9,15,19,34
PAMPA AULLAGAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,1,0,0,1,1,2
PASORAPA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,6,0,0,2,6,8
PATACAMAYA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,15,17,0,0,15,17,32
POCONA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,1,2,1,2,3
PORONGO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,0,3,0,3,3
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,5,1,2,3,7,10
PORVENIR,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,85,116,0,3,85,119,204
PUCARANI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,0,0,0,2,2
PUERTO ACOSTA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,2,11,2,11,13
PUERTO GONZALO MORENO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,1,7,2,7,9
PUERTO PEREZ,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,1,4,1,4,5
PUERTO QUIJARRO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,4,1,2,1,6,2,8
PUERTO SUAREZ,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,2,3,1,4,3,7
PUERTO VILLARROEL,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,37,62,34,47,71,109,180
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,7,19,0,0,7,19,26
QUILLACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,14,25,55,7,69,32,101
QUIME,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,1,8,1,8,9
QUIRUSILLAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,0,0,0,2,2
RAVELO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,4,0,0,0,4,4
RIBERALTA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,26,4,9,2,35,6,41
RURRENABAQUE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,5,17,16,23,21,44
SABAYA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,1,0,2,0,2
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,41,54,5,22,46,76,122
SACACA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,1,3,1,4,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,10,3,2,6,12,18
SAN ANDRES,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,7,15,7,15,22
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,1,1,2,2,3,5
SAN BENITO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,6,1,3,4,9,13
SAN BUENA VENTURA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,5,2,3,1,8,3,11
SAN CARLOS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,3,0,0,2,3,5
SAN IGNACIO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,4,3,2,4,6,10
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,69,39,6,0,75,39,114
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,7,4,7,5,12
SAN JAVIER(STC),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
SAN JOAQUIN,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,0,0,0,2,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,1,1,2,1,3
SAN JUAN DE YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,13,23,7,13,20,36,56
SAN LORENZO(PND),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,4,1,4,2,6
SAN LORENZO(TJA),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,1,0,0,1,1,2
SAN MATIAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,3,37,7,38,10,48
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,7,8,0,0,7,8,15
SANTA ANA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,4,0,0,1,4,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,930,855,22,20,952,875,1827
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,1,0,0,1,1,2
SANTIAGO DE CALLAPA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
SANTIAGO DE HUARI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,6,0,1,2,7,9
SANTIAGO DE HUATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
SANTIVAÑES,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
SAPAHAQUI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,6,0,1,3,7,10
SENA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,3,8,6,9,9,18
SHINAOTA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,4,4,38,1,42,5,47
SICA SICA (VILLA AROMA),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,0,2,0,2,2
SIPE SIPE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,3,0,0,2,3,5
SORATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,5,11,0,1,5,12,17
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,29,26,20,0,49,26,75
TACACOMA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,7,4,6,5,13,18
TAPACARI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
TARATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,1,0,0,1,1,2
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,134,69,1,0,135,69,204
TEOPONTE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,4,6,4,6,10
TIAHUANACU,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,2,2,2,2,4
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,11,10,4,8,15,18,33
TIRAQUE (CBBA),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
TOCO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,9,1,6,7,15,22
TOLATA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,13,0,0,0,13,0,13
TOLEDO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,0,0,0,2,2
TOTORA(ORR),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
TRIGAL,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,2,1,2,3,5
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,115,73,36,37,151,110,261
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,25,12,0,1,25,13,38
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,2,32,2,32,4,36
URIONDO (A. CONCEPCION),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,4,7,1,6,5,13,18
VALLEGRANDE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,4,2,0,0,4,2,6
VIACHA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,16,23,0,0,16,23,39
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,6,8,6,9,15
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,106,9,13,4,119,13,132
VILLA RIVERO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,1,3,1,3,4
VILLA SERRANO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,10,22,43,3,53,25,78
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,7,1,0,0,7,1,8
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,18,4,5,10,23,33
VINTO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,3,12,3,12,15
WARNES,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,34,25,20,1,54,26,80
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,59,26,0,1,59,27,86
YANACACHI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,13,16,3,2,16,18,34
ACACIO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,9,29,0,8,9,37,46
ACHOCALLA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,2,0,0,1,2,3
AIQUILE,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,4,1,0,1,4,2,6
ANCORAIMES,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,4,5,0,0,4,5,9
ANDAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,1,0,0,0,1,1
ARBIETO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,4,0,0,1,4,5
ARQUE,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,1,0,0,1,1,2
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,2,4,0,0,2,4,6
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,9,7,0,1,9,8,17
BELEN DE ANDAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,2,1,0,0,2,1,3
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,0,6,5,6,5,11
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,9,1,1,0,10,1,11
BOLPEBRA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,0,4,4,5,4,9
BOYUIBE,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,2,2,0,0,2,2,4
"CAIZA ""D""",otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,2,4,0,0,2,4,6
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,5,8,0,0,5,8,13
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,10,4,3,1,13,5,18
CAPINOTA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,4,2,0,0,4,2,6
CAQUIAVIRI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,4,2,3,1,7,3,10
CARACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,3,0,0,1,3,4
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,19,27,0,0,19,27,46
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,7,4,1,0,8,4,12
CARMEN RIVERO TORREZ,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,0,0,0,1,0,1
CHARAGUA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,0,0,1,1,1,2
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,5,224,40,225,45,270
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,7,7,17,8,24,15,39
CLIZA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,3,1,7,8,10,9,19
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,3,11,107,25,110,36,146
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,1,1,0,2,1,3
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,180,322,51,17,231,339,570
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,8,11,13,16,21,27,48
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,18,7,0,0,18,7,25
COLOMI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,0,1,1,1,1,2
COLQUENCHA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,1,0,2,0,3,3
CORIPATA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,9,12,5,5,14,17,31
CORO CORO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,0,6,6,6,6,12
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,4,9,1,1,5,10,15
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,16,15,5,1,21,16,37
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,6,5,0,2,6,7,13
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,0,0,1,0,1,1
CUEVO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,0,1,2,1,2,3
CULPINA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,0,1,0,1,0,1
CURAHUARA DE CARANGAS,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,71,103,23,47,94,150,244
EL CHORO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,3,0,0,0,3,3
EL PUENTE(STC),otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,2,0,0,0,2,2
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,3,10,2,0,5,10,15
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,11,2,0,0,11,2,13
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,24,27,1,2,25,29,54
ESMERALDA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,2,3,2,3,4,6,10
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,2,10,3,10,5,15
FILADELFIA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,1,6,9,6,10,16
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,4,0,0,1,4,5
GUANAY,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,11,6,0,1,11,7,18
GUAQUI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,3,1,3,6,6,7,13
HUACHACALLA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,0,210,0,210,0,210
HUANUNI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,4,9,0,4,4,13,17
HUARINA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,2,3,0,0,2,3,5
HUATAJATA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,2,2,3,3,5,8
HUAYLLAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,1,2,6,11,7,13,20
INQUISIVI,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,3,0,2,0,5,0,5
IRUPANA (VILLA DE LANZA),otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,4,6,4,3,8,9,17
IXIAMAS,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,5,7,11,11,16,18,34
LA ASUNTA,otras vacunaciones,antiamarilica ( dosis unica),2023-02-01,0,11,0,0,0,11,11
