,group,variable,month,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS FUERA,17.24 COVID-19 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,2,10,2,10,12
BERMEJO,otras vacunaciones,covid-19 2da dosis,2023-01-01,10,10,0,0,10,10,20
BETANZOS,otras vacunaciones,covid-19 2da dosis,2023-01-01,14,11,3,5,17,16,33
BOLIVAR,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,0,1,0,1
BOLPEBRA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,5,6,6,7,13
BOYUIBE,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,2,1,1,10,3,13
BUENA VISTA,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,4,1,2,9,6,15
CABEZAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,2,0,0,5,2,7
CAIROMA,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,2,4,1,12,3,15
"CAIZA ""D""",otras vacunaciones,covid-19 2da dosis,2023-01-01,2,5,0,1,2,6,8
CAJUATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,16,11,9,6,25,17,42
CALACOTO,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,13,2,13,2,15
CALAMARCA,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,7,5,8,14,15,29
CAMARGO,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,4,0,0,4,4,8
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 2da dosis,2023-01-01,2,1,0,0,2,1,3
CAMIRI,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,12,3,6,12,18,30
CAPINOTA,otras vacunaciones,covid-19 2da dosis,2023-01-01,11,9,0,0,11,9,20
CAQUIAVIRI,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,1,1,1,7,2,9
CARACOLLO,otras vacunaciones,covid-19 2da dosis,2023-01-01,28,13,0,0,28,13,41
CARANAVI,otras vacunaciones,covid-19 2da dosis,2023-01-01,46,28,9,3,55,31,86
CARAPARI,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,2,0,0,7,2,9
CARIPUYO,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,3,0,0,4,3,7
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,2,0,0,4,2,6
CATACORA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,3,3,3,3,6
CHALLAPATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,23,9,5,0,28,9,37
CHAQUI,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,3,1,1,2,4,6
CHARAGUA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,5,2,2,3,7,10
CHARAÑA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,0,1,1,2
CHAYANTA,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,1,4,0,12,1,13
CHIMORE,otras vacunaciones,covid-19 2da dosis,2023-01-01,17,3,43,0,60,3,63
CHIPAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,2,0,0,2,2,4
CHUA COCANI,otras vacunaciones,covid-19 2da dosis,2023-01-01,11,1,0,0,11,1,12
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 2da dosis,2023-01-01,12,14,2,11,14,25,39
CHUMA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,9,8,9,8,17
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,0,1,0,1
CKOCHAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,5,3,2,7,7,14
CLIZA,otras vacunaciones,covid-19 2da dosis,2023-01-01,22,12,15,21,37,33,70
COBIJA,otras vacunaciones,covid-19 2da dosis,2023-01-01,58,33,78,45,136,78,214
COCAPATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,10,0,0,4,10,14
COCHABAMBA,otras vacunaciones,covid-19 2da dosis,2023-01-01,907,765,175,152,1082,917,1999
COLCAPIRHUA,otras vacunaciones,covid-19 2da dosis,2023-01-01,12,15,60,50,72,65,137
"COLCHA ""K""",otras vacunaciones,covid-19 2da dosis,2023-01-01,8,1,1,0,9,1,10
COLLANA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,3,1,4,4,7,11
COLOMI,otras vacunaciones,covid-19 2da dosis,2023-01-01,16,2,2,9,18,11,29
COLPA BELGICA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,1,0,0,2,1,3
COLQUECHACA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,5,1,3,4,8,12
COLQUENCHA,otras vacunaciones,covid-19 2da dosis,2023-01-01,10,3,17,20,27,23,50
COLQUIRI,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,3,12,12,19,15,34
COMARAPA,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,3,0,0,7,3,10
COMBAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,1,1,1,1,2,3
CONCEPCION,otras vacunaciones,covid-19 2da dosis,2023-01-01,14,16,0,0,14,16,30
COPACABANA,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,8,0,0,7,8,15
CORIPATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,10,7,3,1,13,8,21
CORO CORO,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,22,1,23,1,24
COROICO,otras vacunaciones,covid-19 2da dosis,2023-01-01,12,10,8,8,20,18,38
CORQUE,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,2,0,0,4,2,6
COTAGAITA,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,3,4,0,9,3,12
COTOCA,otras vacunaciones,covid-19 2da dosis,2023-01-01,77,49,6,5,83,54,137
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,2,0,0,0,2,2
CUATRO CAÑADAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,16,4,5,2,21,6,27
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,3,1,3,1,4
CULPINA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,3,0,4,0,4
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,0,0,0,8,0,8
CURVA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,1,0,1,0,1
DESAGUADERO,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,1,2,1,4,2,6
EL ALTO,otras vacunaciones,covid-19 2da dosis,2023-01-01,580,419,367,295,947,714,1661
EL CHORO,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,1,0,0,4,1,5
EL PUENTE(STC),otras vacunaciones,covid-19 2da dosis,2023-01-01,1,2,0,0,1,2,3
EL PUENTE(TJA),otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,0,1,1,2
EL TORNO,otras vacunaciones,covid-19 2da dosis,2023-01-01,20,25,0,0,20,25,45
EL VILLAR,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,0,1,1,2
ENTRE RIOS TRJ,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,2,1,0,6,2,8
ENTRE RIOS CBBA,otras vacunaciones,covid-19 2da dosis,2023-01-01,56,24,11,10,67,34,101
ESCOMA,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,3,2,0,10,3,13
ESMERALDA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,0,0,3,1,4
EUCALIPTUS,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,2,0,0,6,2,8
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,0,3,0,3,3
FERNANDEZ ALONSO,otras vacunaciones,covid-19 2da dosis,2023-01-01,12,5,0,1,12,6,18
FILADELFIA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,1,8,4,8,5,13
GENERAL SAAVEDRA,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,9,0,0,6,9,15
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 2da dosis,2023-01-01,2,1,12,14,14,15,29
GUANAY,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,2,12,7,15,9,24
GUAQUI,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,2,6,4,12,6,18
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis,2023-01-01,13,16,6,7,19,23,42
HUACARAJE,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,2,0,0,1,2,3
HUACARETA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,0,0,0,3,0,3
HUACHACALLA,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,1,0,0,4,1,5
HUANUNI,otras vacunaciones,covid-19 2da dosis,2023-01-01,11,4,0,0,11,4,15
HUARINA,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,3,0,1,4,4,8
HUATAJATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,15,11,15,11,26
HUAYLLAMARCA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,3,2,6,4,9,13
HUMANATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,3,3,2,5,5,10
ICHOCA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,1,5,2,5,7
ICLA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,1,1,1,1,2
INCAHUASI,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,2,1,3,4,5,9
INGAVI (HUMAITA),otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,0,1,0,1
INQUISIVI,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,3,0,0,3,3,6
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 2da dosis,2023-01-01,12,6,14,2,26,8,34
IXIAMAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,1,1,1,2
JESUS DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,2,3,5,6,7,13
LA ASUNTA,otras vacunaciones,covid-19 2da dosis,2023-01-01,19,15,8,9,27,24,51
LA GUARDIA,otras vacunaciones,covid-19 2da dosis,2023-01-01,61,62,0,0,61,62,123
LA PAZ,otras vacunaciones,covid-19 2da dosis,2023-01-01,489,413,268,222,757,635,1392
LAGUNILLAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,4,7,2,9,6,15
LAJA,otras vacunaciones,covid-19 2da dosis,2023-01-01,14,11,1,1,15,12,27
LAS CARRERAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,3,4,4,5,9
LICOMA PAMPA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,1,2,1,2,2,4
LLALLAGUA,otras vacunaciones,covid-19 2da dosis,2023-01-01,31,19,76,50,107,69,176
LLICA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,0,1,0,1
LURIBAY,otras vacunaciones,covid-19 2da dosis,2023-01-01,12,10,3,4,15,14,29
MACHACAMARCA,otras vacunaciones,covid-19 2da dosis,2023-01-01,28,48,0,0,28,48,76
MACHARETI,otras vacunaciones,covid-19 2da dosis,2023-01-01,14,2,0,0,14,2,16
MAGDALENA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,4,0,0,2,4,6
MAIRANA,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,8,0,0,5,8,13
MALLA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,5,7,5,7,12
MAPIRI,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,8,2,0,11,8,19
MINEROS,otras vacunaciones,covid-19 2da dosis,2023-01-01,23,18,0,0,23,18,41
MIZQUE,otras vacunaciones,covid-19 2da dosis,2023-01-01,10,6,5,22,15,28,43
MOCOMOCO,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,4,13,9,21,13,34
MOJOCOYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,0,0,0,2,0,2
MONTEAGUDO,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,7,2,0,4,7,11
MONTERO,otras vacunaciones,covid-19 2da dosis,2023-01-01,88,94,4,1,92,95,187
MOROCHATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,8,5,9,5,14
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,2,5,3,5,8
OCURI,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,1,1,2,3
OKINAWA,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,9,1,1,7,10,17
OMEREQUE,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,1,2,1,2,3
ORURO,otras vacunaciones,covid-19 2da dosis,2023-01-01,410,265,2,0,412,265,677
PADCAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,0,1,1,2
PADILLA,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,3,0,4,6,7,13
PAILON,otras vacunaciones,covid-19 2da dosis,2023-01-01,11,12,0,0,11,12,23
PALOS BLANCOS,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,6,10,6,18,12,30
PAMPA AULLAGAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,0,0,3,1,4
PAPEL PAMPA,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,7,0,2,8,9,17
PATACAMAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,36,25,3,4,39,29,68
PAZÑA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,0,0,0,2,0,2
PELECHUCO,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,4,18,9,24,13,37
POCOATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,0,0,3,1,4
POCONA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,0,0,3,1,4
POJO (CBBA),otras vacunaciones,covid-19 2da dosis,2023-01-01,2,1,1,0,3,1,4
POOPO,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,4,0,0,3,4,7
POROMA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,2,10,3,11,14
PORONGO,otras vacunaciones,covid-19 2da dosis,2023-01-01,10,18,2,0,12,18,30
PORTACHUELO,otras vacunaciones,covid-19 2da dosis,2023-01-01,11,10,1,2,12,12,24
PORVENIR,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,2,4,3,6,5,11
POSTRER VALLE,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,4,0,2,0,6,6
POTOSI,otras vacunaciones,covid-19 2da dosis,2023-01-01,139,138,47,24,186,162,348
PRESTO,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,2,2,3,2,5
PUCARA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,covid-19 2da dosis,2023-01-01,13,5,9,7,22,12,34
PUERTO ACOSTA,otras vacunaciones,covid-19 2da dosis,2023-01-01,11,17,10,9,21,26,47
PUERTO CARABUCO,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,4,6,3,11,7,18
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,0,1,1,5,1,6
PUERTO PEREZ,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,2,2,7,6,9,15
PUERTO QUIJARRO,otras vacunaciones,covid-19 2da dosis,2023-01-01,149,10,25,9,174,19,193
PUERTO RICO,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,7,0,0,9,7,16
PUERTO VILLARROEL,otras vacunaciones,covid-19 2da dosis,2023-01-01,26,17,23,25,49,42,91
PUNA,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,3,2,0,7,3,10
PUNATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,24,13,6,3,30,16,46
QUIABAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,4,2,4,2,6
QUILLACOLLO,otras vacunaciones,covid-19 2da dosis,2023-01-01,212,125,111,87,323,212,535
QUIME,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,3,2,4,2,6
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 2da dosis,2023-01-01,4,4,0,0,4,4,8
RAVELO,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,2,3,3,3,6
REYES,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,1,0,0,5,1,6
RIBERALTA,otras vacunaciones,covid-19 2da dosis,2023-01-01,55,17,10,7,65,24,89
ROBORE,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,10,2,1,11,11,22
RURRENABAQUE,otras vacunaciones,covid-19 2da dosis,2023-01-01,27,7,6,4,33,11,44
SABAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,6,0,0,8,6,14
SACABA,otras vacunaciones,covid-19 2da dosis,2023-01-01,236,120,59,35,295,155,450
SACABAMBA,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,3,2,1,6,4,10
SACACA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,1,2,1,2,3
SAIPINA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,2,0,0,3,2,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,3,3,0,6,3,9
SAMAIPATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,1,3,4,4,8
SAN ANDRES,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,2,3,4,7,6,13
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,8,12,8,12,20
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,2,0,0,1,2,3
SAN BENITO,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,9,0,0,9,9,18
SAN BORJA,otras vacunaciones,covid-19 2da dosis,2023-01-01,10,8,0,1,10,9,19
SAN BUENA VENTURA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,1,0,1,0,1
SAN CARLOS,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,9,0,0,3,9,12
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,2,7,13,8,15,23
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-01-01,47,26,2,1,49,27,76
SAN JAVIER(STC),otras vacunaciones,covid-19 2da dosis,2023-01-01,6,6,0,0,6,6,12
SAN JOAQUIN,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,3,3,1,5,4,9
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,3,0,0,9,3,12
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,2,0,0,5,2,7
SAN JULIAN,otras vacunaciones,covid-19 2da dosis,2023-01-01,13,15,2,2,15,17,32
SAN LORENZO(PND),otras vacunaciones,covid-19 2da dosis,2023-01-01,2,4,3,3,5,7,12
SAN LORENZO(TJA),otras vacunaciones,covid-19 2da dosis,2023-01-01,1,3,0,0,1,3,4
SAN LUCAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,3,0,0,5,3,8
SAN MATIAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,29,4,29,4,33
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,13,4,0,7,13,20
SAN PEDRO,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,4,0,0,4,4,8
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,4,4,4,11,8,19
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,5,1,3,6,8,14
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,1,2,0,7,1,8
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,3,0,6,1,7
SAN RAFAEL,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,2,0,0,8,2,10
SAN RAMON BENI,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,6,0,0,2,6,8
SAN RAMON SCZ,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,5,0,0,4,5,9
SANTA ANA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,5,0,0,2,5,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1000,875,103,107,1103,982,2085
SANTA ROSA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,0,1,1,2
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 2da dosis,2023-01-01,12,7,0,0,12,7,19
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,0,0,3,1,4
SANTIAGO DE HUARI,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,4,12,9,16,13,29
SANTIAGO DE HUATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,0,1,0,1,1
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,0,7,1,9,1,10
SANTIVAÑES,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,3,0,0,3,3,6
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,10,8,10,8,18
SAPAHAQUI,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,2,26,18,27,20,47
SENA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,4,13,18,14,22,36
SHINAOTA,otras vacunaciones,covid-19 2da dosis,2023-01-01,14,8,0,0,14,8,22
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 2da dosis,2023-01-01,16,7,2,0,18,7,25
SICAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,0,2,3,3,6
SIPE SIPE,otras vacunaciones,covid-19 2da dosis,2023-01-01,12,9,30,9,42,18,60
SORACACHI,otras vacunaciones,covid-19 2da dosis,2023-01-01,10,3,0,2,10,5,15
SORATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,3,5,1,9,4,13
SUCRE,otras vacunaciones,covid-19 2da dosis,2023-01-01,119,106,2,2,121,108,229
TACACOMA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,4,6,3,8,7,15
TACOBAMBA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,0,0,0,2,0,2
TACOPAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,3,1,3,4
TAPACARI,otras vacunaciones,covid-19 2da dosis,2023-01-01,18,10,4,4,22,14,36
TARABUCO,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,0,1,1,2
TARACO,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,4,2,4,5,8,13
TARATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,4,0,0,7,4,11
TARIJA,otras vacunaciones,covid-19 2da dosis,2023-01-01,76,75,0,2,76,77,153
TARVITA,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,2,0,1,4,3,7
TEOPONTE,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,2,4,2,5,4,9
TIAHUANACU,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,2,0,0,6,2,8
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,0,2,3,4,3,7
TIPUANI,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,2,2,2,2,4
TIQUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-01-01,96,62,33,35,129,97,226
TIRAQUE (CBBA),otras vacunaciones,covid-19 2da dosis,2023-01-01,13,18,26,14,39,32,71
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 2da dosis,2023-01-01,3,0,8,5,11,5,16
TOCO,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,20,3,1,12,21,33
TOLATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,19,5,0,0,19,5,24
TOLEDO,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,3,0,0,3,3,6
TOMAVE,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,1,0,0,0,1,1
TOMINA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,0,1,0,1
TORO TORO,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,4,0,0,6,4,10
TOTORA(CBBA),otras vacunaciones,covid-19 2da dosis,2023-01-01,12,9,1,0,13,9,22
TOTORA(ORR),otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,0,1,1,2
TRIGAL,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,covid-19 2da dosis,2023-01-01,71,68,124,137,195,205,400
TUPIZA,otras vacunaciones,covid-19 2da dosis,2023-01-01,14,14,0,0,14,14,28
TURCO,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,5,0,0,7,5,12
