,group,variable,month,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,1,0,0,0,1,0,1
ATOCHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,8,10,0,0,8,10,18
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,0,1,1,0,1,1,2
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,1,0,0,0,1,0,1
SAN ANDRES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,5,7,0,0,5,7,12
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,1,2,0,0,1,2,3
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-03-01,0,4,0,0,0,4,4
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-04-01,0,1,6,2,6,3,9
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-04-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-04-01,20,14,0,0,20,14,34
RAVELO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-04-01,0,0,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-04-01,1,4,0,0,1,4,5
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-04-01,9,8,0,0,9,8,17
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-05-01,3,3,0,0,3,3,6
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-05-01,2,1,0,0,2,1,3
GUAYARAMERIN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-05-01,0,0,0,34,0,34,34
LA GUARDIA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-05-01,2,6,0,0,2,6,8
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-05-01,2,6,0,0,2,6,8
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-05-01,0,0,1,1,1,1,2
SAN CARLOS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-05-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-05-01,7,13,0,0,7,13,20
ATOCHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,0,2,0,0,0,2,2
CARACOLLO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,0,0,18,0,18,0,18
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,6,2,0,0,6,2,8
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,2,2,0,0,2,2,4
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,0,0,11,9,11,9,20
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,7,6,0,0,7,6,13
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,0,0,2,4,2,4,6
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-06-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-07-01,0,3,0,0,0,3,3
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-07-01,2,0,0,0,2,0,2
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-07-01,0,1,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-07-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-07-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-07-01,5,4,0,0,5,4,9
YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-07-01,0,3,0,0,0,3,3
ACHACACHI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,0,4,0,0,0,4,4
GUAYARAMERIN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,0,0,0,3,0,3,3
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,4,0,0,0,4,0,4
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,0,0,8,9,8,9,17
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,1,0,1,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,2,2,0,0,2,2,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,6,5,0,0,6,5,11
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-08-01,1,4,0,0,1,4,5
CALAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,1,0,0,0,1,0,1
CARANAVI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,1,0,0,0,1,0,1
COTOCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,0,2,0,0,0,2,2
LA GUARDIA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,12,9,0,0,12,9,21
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,1,8,0,0,1,8,9
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,7,4,0,0,7,4,11
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,0,1,79,119,79,120,199
YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-09-01,1,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,0,0,1,5,1,5,6
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,0,2,0,0,0,2,2
EXALTACION,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,4,0,0,0,4,0,4
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,8,9,54,27,62,36,98
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,1,0,0,0,1,0,1
SAN MATIAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,16,19,0,0,16,19,35
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,4,3,1,4,5,7,12
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,0,2,0,0,0,2,2
TUPIZA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-10-01,1,1,0,0,1,1,2
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,0,1,0,1,0,2,2
CHARAGUA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,0,8,0,1,0,9,9
GUANAY,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,0,0,6,0,6,0,6
LA GUARDIA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,1,0,0,0,1,0,1
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,0,1,12,11,12,12,24
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,7,11,3,0,10,11,21
RIBERALTA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,4,3,0,0,4,3,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,11,12,0,0,11,12,23
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,2,3,0,1,2,4,6
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,2,1,0,0,2,1,3
TUPIZA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-11-01,0,1,1,0,1,1,2
ACHACACHI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,2,2,0,0,2,2,4
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,1,3,13,0,14,3,17
RAVELO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,0,0,2,0,2,0,2
SAN CARLOS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,13,15,0,0,13,15,28
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-12-01,2,2,0,0,2,2,4
