,group,variable,month,17.28 COVID-19 DOSIS DE REFUERZO DENTRO,17.28 COVID-19 DOSIS DE REFUERZO DENTRO,17.28 COVID-19 DOSIS DE REFUERZO FUERA,17.28 COVID-19 DOSIS DE REFUERZO FUERA,TOTALES,TOTALES,TOTALES
CAMIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,1,0,0,2,1,3
CAPINOTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,8,8,0,0,8,8,16
CARACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,5,10,0,0,5,10,15
CARANAVI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,0,0,1,0,1
CARAPARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,0,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,1,0,0,1,1,2
CHALLAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,6,6,1,0,7,6,13
CHAQUI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,0,1,0,1,1
CHIMORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,3,64,0,64,3,67
CLIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,10,10,6,5,16,15,31
COBIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,38,29,33,38,71,67,138
COCHABAMBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,3033,3168,934,1045,3967,4213,8180
COLCAPIRHUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,20,14,169,192,189,206,395
"COLCHA ""K""",otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,9,2,3,3,12,15
COLOMI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,11,5,0,1,11,6,17
COLQUENCHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,20,15,0,0,20,15,35
CONCEPCION,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,7,0,0,1,7,8
COTAGAITA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,3,0,0,2,3,5
COTOCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,7,1,0,3,7,10
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,7,9,0,0,7,9,16
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,3,0,0,1,3,4
CULPINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,6,4,0,0,6,4,10
CURVA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,5,3,3,3,8,11
EL ALTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,91,78,81,44,172,122,294
EL PUENTE(STC),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,1,0,0,1,1,2
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,4,0,1,1,5,6
EL TORNO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,13,19,0,0,13,19,32
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,6,7,4,1,10,8,18
FILADELFIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,4,5,10,6,14,11,25
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,1,4,2,4,6
GUAYARAMERIN,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,9,0,0,0,9,9
HUACARETA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,0,0,0,1,1
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,0,1,0,1,1
INCAHUASI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,6,7,7,7,14
LA GUARDIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1062,1062,776,655,1838,1717,3555
LAGUNILLAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,0,2,0,2,2
LAS CARRERAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,4,5,4,6,10
LLALLAGUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,19,29,20,29,49
MACHARETI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,1,0,2,0,2
MINEROS,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,4,3,0,0,4,3,7
MIZQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,8,9,4,10,12,19,31
MONTEAGUDO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,17,15,0,0,17,15,32
MONTERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,10,5,0,0,10,5,15
MOROCHATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,133,134,0,0,133,134,267
PADILLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,19,15,54,69,73,84,157
PAMPA GRANDE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,7,2,8,2,10
PASORAPA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,13,15,3,2,16,17,33
POJO (CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,0,0,1,0,1
POROMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,0,0,1,0,1
PORONGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,10,20,6,3,16,23,39
POTOSI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,233,303,30,28,263,331,594
PUERTO RICO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,11,16,11,16,27
PUNATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,31,39,1,1,32,40,72
QUILLACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,308,305,221,202,529,507,1036
QUIRUSILLAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,4,0,4,8,8,8,16
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,1,0,0,2,1,3
ROBORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,8,41,11,43,19,62
RURRENABAQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,3,0,1,0,4,0,4
SACABA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,222,237,297,103,519,340,859
SACABAMBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,0,2,0,2,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,1,4,1,4,5
SAMAIPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,2,2,2,2,4
SAN BENITO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,19,6,0,0,19,6,25
SAN BORJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,3,3,0,0,3,3,6
SAN IGNACIO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,2,0,0,1,2,3
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,15,11,0,0,15,11,26
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,13,18,0,0,13,18,31
SAN JULIAN,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,7,7,14,7,21,14,35
SAN MATIAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,18,20,18,20,38
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,4,12,0,0,4,12,16
SAN RAFAEL,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,9,15,0,0,9,15,24
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,5,3,0,0,5,3,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,298,266,74,62,372,328,700
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,3,0,0,1,3,4
SANTIVAÑES,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,10,7,0,0,10,7,17
SENA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,1,2,1,3,2,5
SHINAOTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,0,0,0,2,0,2
SIPE SIPE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,2,4,2,4,6
SUCRE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,693,668,64,73,757,741,1498
TACOPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,1,1,1,2,2,4
TAHUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,0,0,1,0,1
TAPACARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,1,1,0,2,1,3
TARATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,5,12,0,2,5,14,19
TARIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,159,116,0,1,159,117,276
TARVITA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,0,0,1,2,1,3
TIQUIPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,59,75,17,23,76,98,174
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,2,0,0,2,2,4
TOCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,4,1,0,0,4,1,5
TOLATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,4,0,1,1,5,6
TOTORA(CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,3,12,2,13,5,18
TRINIDAD,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,3,12,44,14,47,26,73
TUPIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,18,14,0,0,18,14,32
UYUNI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,5,0,2,0,7,0,7
VACAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,3,1,0,3,3,6
VALLEGRANDE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,10,13,24,19,34,32,66
VILLA MONTES,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,25,9,0,0,25,9,34
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,0,1,0,1,1
VILLA RIVERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,2,11,1,0,3,11,14
VILLA TUNARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,10,10,3,1,13,11,24
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,11,6,0,1,11,7,18
VILLAZON,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,52,69,18,16,70,85,155
VINTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,41,42,98,116,139,158,297
YACUIBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,4,5,0,0,4,5,9
YAMPARAEZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,1,2,1,2,3
ZUDAÑEZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,0,0,1,0,1
AIQUILE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,11,16,1,1,12,17,29
ALALAY,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,6,9,0,0,6,9,15
ALCALA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,4,6,4,6,10
ANZALDO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,0,0,0,1,1
ARANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,6,5,2,1,8,6,14
ARBIETO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,10,13,1,1,11,14,25
ARQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,0,1,0,1,1
ATOCHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,2,17,87,18,89,107
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,5,7,4,8,9,15,24
AZURDUY,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,11,0,0,1,11,12
BERMEJO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,4,1,0,0,4,1,5
BETANZOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,4,3,0,0,4,3,7
BOLIVAR,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,0,0,0,1,0,1
BOLPEBRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,2,2,2,3,5
BUENA VISTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,3,0,0,2,3,5
"CAIZA ""D""",otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,0,1,0,1,1
CAJUATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,2,0,0,1,2,3
CAMARGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,34,23,0,1,34,24,58
CAMIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,0,2,0,4,4
CAPINOTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,5,7,0,0,5,7,12
CARACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,2,0,0,1,2,3
CHALLAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,0,0,0,2,2
CHIMORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,0,1,0,1,1
CLIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,9,5,8,1,17,6,23
COBIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,12,10,8,18,20,28,48
COCHABAMBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,807,920,414,471,1221,1391,2612
COLCAPIRHUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,7,9,95,97,102,106,208
"COLCHA ""K""",otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,144,60,0,0,144,60,204
COLLANA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,1,1,1,2,3
COLOMI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,3,0,0,0,3,3
COLQUENCHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,0,0,0,2,2
CONCEPCION,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,2,0,0,1,2,3
COTAGAITA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,0,7,0,7,7
COTOCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,4,3,5,6,9,9,18
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,20,8,20,8,28
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,0,1,0,2,2
CURVA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,1,1,1,1,2
EL ALTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,104,67,78,32,182,99,281
EL PUENTE(STC),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,0,0,0,1,0,1
EL TORNO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,3,6,0,0,3,6,9
EL VILLAR,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,2,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,1,0,1,0,1
FILADELFIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,3,3,3,3,6
GUAYARAMERIN,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,3,7,1,7,4,11
HUACARAJE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,0,0,0,2,2
HUANUNI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,4,0,5,2,9,2,11
LA ASUNTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,1,0,1,0,1
LA GUARDIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,490,596,914,808,1404,1404,2808
LLALLAGUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,6,7,9,13,15,20,35
MACHARETI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,1,1,1,1,2
MAIRANA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,0,0,0,1,0,1
MIZQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,2,4,3,6,5,11
MOJOCOYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,0,1,0,1,1
MONTEAGUDO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,3,3,14,9,17,12,29
MONTERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,4,3,0,0,4,3,7
MOROCHATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,0,0,0,2,0,2
ORURO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,49,53,15,1,64,54,118
PADILLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,13,10,34,22,47,32,79
PALOS BLANCOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,0,0,1,1,1,2
PAMPA GRANDE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,11,7,11,8,19
PASORAPA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,19,25,34,35,53,60,113
POCONA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,2,4,2,4,6
POROMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,3,2,3,2,5
PORONGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,3,4,2,5,5,9,14
POTOSI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,61,74,33,21,94,95,189
PUERTO RICO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,3,13,14,13,17,30
PUNA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,1,0,0,1,1,2
PUNATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,5,10,1,1,6,11,17
QUILLACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,91,105,119,132,210,237,447
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,3,8,2,4,5,12,17
RIBERALTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,3,2,0,0,3,2,5
ROBORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,3,4,3,6,9
SACABA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,59,57,71,62,130,119,249
SACABAMBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,0,1,0,3,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,7,12,2,1,9,13,22
SAN BENITO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,7,8,0,0,7,8,15
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,4,1,0,0,4,1,5
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,1,2,1,4,5
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,6,10,31,11,37,48
SAN RAFAEL,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,0,0,0,1,1
SAN RAMON BENI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,19,42,0,0,19,42,61
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,163,173,71,23,234,196,430
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,3,0,0,2,3,5
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,5,2,0,0,5,2,7
SENA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,0,0,0,2,2
SIPE SIPE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,0,25,33,27,33,60
SUCRE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,97,130,81,70,178,200,378
TACACOMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,2,0,2,0,2
TACOPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,1,5,1,6,2,8
TAPACARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,3,3,7,11,10,14,24
TARABUCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,2,0,0,0,2,2
TARATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,5,0,0,2,5,7
TARIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,57,49,40,6,97,55,152
TIQUIPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,17,22,22,27,39,49,88
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,12,1,53,9,65,10,75
TOCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,0,0,0,1,1
TOLATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,6,0,6,0,6
TOMINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,12,24,2,4,14,28,42
TOTORA(CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,13,14,2,0,15,14,29
TRINIDAD,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,7,3,2,4,9,7,16
TUPIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,34,20,19,1,53,21,74
UNCIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,4,5,4,5,8,10,18
UYUNI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,7,4,0,0,7,4,11
VACAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,3,0,1,2,4,6
VALLEGRANDE,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,4,6,26,21,30,27,57
VILA VILA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,3,4,5,5,8,13
VILLA MONTES,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,10,8,0,1,10,9,19
VILLA RIVERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,2,0,0,1,2,3
VILLA SERRANO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,20,32,46,75,66,107,173
VILLA TUNARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,3,3,0,1,3,4,7
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,2,3,1,0,3,3,6
VILLAZON,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,20,22,2,6,22,28,50
VINTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,16,9,43,53,59,62,121
WARNES,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,5,5,0,0,5,5,10
YACUIBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,12,14,14,16,26,30,56
YOCALLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,1,1,0,0,1,1,2
YOTALA,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,0,2,0,2,0,2
