,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,3,0,3,0,6,6
CAIROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,0,0,0,1,1
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,4,3,0,0,4,3,7
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,112,24,10,7,122,31,153
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,3,0,3,3
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,0,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,12,6,12,9,24,33
CATACORA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,1,0,1,1
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,0,0,0,2,0,2
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,3,6,4,7,11
CHUA COCANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,10,0,10,0,10
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,3,1,1,4,4,8
CHUMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,4,5,4,6,10
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,4,12,7,12,11,23
CLIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,5,7,3,8,8,15,23
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,4,16,187,28,191,44,235
COCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,12,34,0,0,12,34,46
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,55,87,2,7,57,94,151
"COLCHA ""K""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,2,1,3,8,5,13
COLLANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,0,0,1,0,1
COLOMI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,4,2,34,9,38,11,49
COLPA BELGICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,6,7,7,6,13,13,26
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,4,10,5,11,16
COLQUIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,0,1,1,2,3
COMARAPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,17,22,4,17,21,39,60
COMBAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,6,7,6,7,13
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,16,16,37,18,53,71
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,1,16,1,17,18
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,0,1,0,2,2
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,9,12,0,0,9,12,21
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,10,22,16,51,26,73,99
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,9,5,3,13,12,25
CUEVO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,2,2,0,9,2,11
CULPINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,0,0,1,1,2
DESAGUADERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,3,0,0,0,3,3
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,79,60,2,8,81,68,149
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,0,0,2,2,2,4
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,19,29,4,11,23,40,63
EL VILLAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,2,0,2,0,2
EUCALIPTUS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,2,2,3,2,5
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,2,0,1,0,3,3
GUANAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,2,0,0,2,2,4
GUAYARAMERIN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,9,10,22,18,31,49
HUACARETA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,13,3,0,0,13,3,16
HUARINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,4,4,16,6,20,26
HUATAJATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,2,3,2,4,6
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,3,1,3,1,4
HUMANATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,1,0,2,1,3
ICHOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,4,9,4,9,13
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,3,0,0,0,3,3
INQUISIVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,1,1,1,2,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,3,16,16,17,19,36
IXIAMAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,12,17,0,0,12,17,29
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,5,14,2,7,7,21,28
LA ASUNTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,2,6,2,8,4,12
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,42,61,30,68,72,129,201
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,326,646,87,114,413,760,1173
LAJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,8,18,8,25,16,41
LICOMA PAMPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,2,0,2,2
MACHACAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,2,0,2,2
MACHARETI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,2,0,0,7,2,9
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,2,17,38,18,40,58
MAIRANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,4,0,2,1,6,7
MAPIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,1,0,0,3,1,4
MINEROS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,51,154,0,0,51,154,205
MONTEAGUDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,5,0,0,1,5,6
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,18,43,47,94,65,137,202
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,0,0,1,1,2
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,1,0,1,1
OKINAWA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,6,7,30,41,36,48,84
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,13,15,12,5,25,20,45
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,15,10,21,18,36,54
PALCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,5,0,1,1,6,7
PALOS BLANCOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,4,0,5,0,5
PAMPA GRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,5,7,1,10,6,17,23
PAPEL PAMPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,1,0,1,1
PATACAMAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,2,2,2,3,5
PELECHUCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,10,5,7,7,17,24
POJO (CBBA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,5,3,4,5,9,14
POOPO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,0,0,0,1,1
PORCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,21,1,4,8,25,33
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,30,32,32,15,62,47,109
PUCARANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,6,2,4,5,10,15
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,3,0,3,1,4
PUERTO PEREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,2,1,2,1,3
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,1,8,23,10,24,34
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,9,19,0,0,9,19,28
PUNATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,50,17,38,54,88,71,159
QUIABAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,9,13,9,13,22
QUIME,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,9,25,9,26,35
REYES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,9,5,9,5,14
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,13,210,2,218,15,233
ROBORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,12,10,5,18,17,35
RURRENABAQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,10,4,7,11,17,28
SABAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,0,0,1,1,2
SACABA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,6,24,27,32,33,65
SACACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,0,0,1,0,1
SAIPINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,8,0,0,3,8,11
SAMAIPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,2,14,9,14,11,25
SAN ANDRES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,11,22,11,22,33
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,14,22,25,38,39,60,99
SAN BUENA VENTURA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,1,0,1,0,1
SAN CARLOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,11,0,0,8,11,19
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,4,4,6,17,10,21,31
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,13,26,34,33,47,80
SAN JAVIER(BNI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,4,1,11,14,15,15,30
SAN JAVIER(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,41,106,0,0,41,106,147
SAN JOAQUIN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,8,7,17,9,25,34
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,15,32,2,4,17,36,53
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,5,0,3,1,8,9
SAN JULIAN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,1,7,7,9,8,17
SAN LORENZO(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,1,0,1,1
SAN LUCAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,1,2,1,2,3
SAN MATIAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,16,62,56,70,72,142
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,5,2,0,0,5,2,7
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,0,2,1,2,3
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,5,1,1,1,6,7
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,3,18,4,19,23
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,2,2,6,3,8,11
SAN RAFAEL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,10,0,0,2,10,12
SANTA ANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,5,4,0,0,5,4,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1765,2379,1151,1176,2916,3555,6471
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,14,26,1,1,15,27,42
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,3,0,0,0,3,3
SAPAHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,8,5,3,1,11,6,17
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,2,0,0,0,2,2
SORATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,0,15,16,18,16,34
SUCRE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,25,61,32,60,57,121,178
TAHUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,4,7,4,7,11
TAPACARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,9,4,0,0,9,4,13
TARABUCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,3,1,0,3,3,6
TARIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,21,20,26,57,47,77,124
TIQUIPAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,5,8,3,6,8,14,22
TOLATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,3,4,5,5,8,13
TOTORA(CBBA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,4,12,4,12,8,20
TRINIDAD,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,27,44,84,79,111,123,234
TUPIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,5,0,0,3,5,8
UMALA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,5,5,6,5,11
URUBICHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,4,18,4,18,22
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,7,0,0,3,7,10
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,6,8,34,43,40,51,91
VIACHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,6,17,21,19,27,36,63
VILLA CHARCAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,1,0,1,0,1
VILLA MONTES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,24,8,6,6,30,14,44
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,13,4,0,0,13,4,17
VILLAZON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,0,0,1,0,1
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,71,136,91,129,162,265,427
YACO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,0,1,0,2,2
YACUIBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,24,41,2,7,26,48,74
YANACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,4,8,5,14,9,22,31
YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,25,23,14,27,39,50,89
YOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,1,2,0,2,1,3
YOTALA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,3,2,8,13,11,15,26
ACACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,1,3,1,3,4
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,5,9,9,13,14,22,36
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,2,7,1,8,3,15,18
ANZALDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,0,4,0,4,4
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,4,2,2,3,6,9
ARQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,1,11,9,12,10,22
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,39,91,0,0,39,91,130
ATOCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,0,1,0,1,1
AUCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,0,0,0,1,0,1
AYO AYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,0,1,0,1,1
AZURDUY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,20,10,18,8,38,18,56
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,3,1,1,1,4,5
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,5,9,5,9,14
BERMEJO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,1,0,0,0,1,1
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,0,10,18,11,18,29
BOLIVAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,25,44,190,47,215,91,306
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,4,1,2,1,6,7
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,4,0,1,0,5,5
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,65,18,20,34,85,52,137
CAPINOTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,1,2,1,2,3
CAQUIAVIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,2,1,2,1,3
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,2,1,0,0,2,1,3
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,0,0,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,4,8,12,23,16,31,47
CATACORA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,2,3,2,3,5
CHACARILLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,9,2,8,1,17,3,20
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,3,5,0,1,3,6,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,5,14,4,7,9,21,30
CHUMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,6,4,6,4,10
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,1,1,1,1,2
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,3,1,5,1,8,9
CLIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,0,35,20,36,20,56
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,5,7,120,12,125,19,144
COCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,6,0,4,0,10,10
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,30,78,48,70,78,148,226
"COLCHA ""K""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,1,0,0,1,1,2
COLPA BELGICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,2,1,3,2,5,3,8
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,1,8,8,8,9,17
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,1,0,0,1,1,2
COMARAPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,6,11,6,25,12,36,48
COMBAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,5,7,5,7,12
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,9,45,8,36,17,81,98
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,1,4,1,4,5
CORIPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,0,0,1,0,1,1
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,3,0,0,1,3,1,4
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,1,2,1,6,2,8,10
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,12,22,54,80,66,102,168
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,0,11,53,23,53,34,87
CULPINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-02-01,2,13,0,2,2,15,17
