,group,variable,month,17.25 COVID-19 DOSIS UNICA DENTRO,17.25 COVID-19 DOSIS UNICA DENTRO,17.25 COVID-19 DOSIS UNICA FUERA,17.25 COVID-19 DOSIS UNICA FUERA,TOTALES,TOTALES,TOTALES
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-01-01,5.0,6.0,0.0,0.0,5.0,6.0,11.0
MONTERO,otras vacunaciones,covid-19 dosis unica,2023-01-01,17.0,20.0,9.0,1.0,26.0,21.0,47.0
OKINAWA,otras vacunaciones,covid-19 dosis unica,2023-01-01,4.0,8.0,0.0,0.0,4.0,8.0,12.0
PALCA,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PORVENIR,otras vacunaciones,covid-19 dosis unica,2023-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2023-01-01,5.0,4.0,0.0,0.0,5.0,4.0,9.0
SAN JOAQUIN,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-01-01,25.0,27.0,0.0,0.0,25.0,27.0,52.0
TIPUANI,otras vacunaciones,covid-19 dosis unica,2023-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
TORO TORO,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-01-01,18.0,13.0,7.0,23.0,25.0,36.0,61.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-01-01,6.0,6.0,0.0,0.0,6.0,6.0,12.0
UNCIA,otras vacunaciones,covid-19 dosis unica,2023-01-01,3.0,4.0,5.0,4.0,8.0,8.0,16.0
UYUNI,otras vacunaciones,covid-19 dosis unica,2023-01-01,8.0,10.0,0.0,1.0,8.0,11.0,19.0
VILLAZON,otras vacunaciones,covid-19 dosis unica,2023-01-01,9.0,9.0,3.0,1.0,12.0,10.0,22.0
WARNES,otras vacunaciones,covid-19 dosis unica,2023-01-01,8.0,13.0,0.0,0.0,8.0,13.0,21.0
YACUIBA,otras vacunaciones,covid-19 dosis unica,2023-01-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
ALTO BENI,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BELLA FLOR,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
CAIROMA,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CHOQUE COTA,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COBIJA,otras vacunaciones,covid-19 dosis unica,2023-02-01,3.0,2.0,0.0,5.0,3.0,7.0,10.0
COLPA BELGICA,otras vacunaciones,covid-19 dosis unica,2023-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-02-01,12.0,17.0,0.0,0.0,12.0,17.0,29.0
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis unica,2023-02-01,2.0,0.0,3.0,1.0,5.0,1.0,6.0
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,1.0,1.0,7.0,1.0,8.0,9.0
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-02-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
OKINAWA,otras vacunaciones,covid-19 dosis unica,2023-02-01,2.0,7.0,0.0,0.0,2.0,7.0,9.0
PORVENIR,otras vacunaciones,covid-19 dosis unica,2023-02-01,1.0,10.0,0.0,0.0,1.0,10.0,11.0
PUERTO SILES,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,otras vacunaciones,covid-19 dosis unica,2023-02-01,8.0,7.0,0.0,0.0,8.0,7.0,15.0
SAN CARLOS,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis unica,2023-02-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-02-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
SAN JULIAN,otras vacunaciones,covid-19 dosis unica,2023-02-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-02-01,13.0,14.0,0.0,0.0,13.0,14.0,27.0
TACOBAMBA,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-02-01,0.0,0.0,2.0,4.0,2.0,4.0,6.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-02-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
UNCIA,otras vacunaciones,covid-19 dosis unica,2023-02-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
UYUNI,otras vacunaciones,covid-19 dosis unica,2023-02-01,1.0,0.0,2.0,1.0,3.0,1.0,4.0
VIACHA,otras vacunaciones,covid-19 dosis unica,2023-02-01,5.0,1.0,0.0,0.0,5.0,1.0,6.0
VILLAZON,otras vacunaciones,covid-19 dosis unica,2023-02-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
BELLA FLOR,otras vacunaciones,covid-19 dosis unica,2023-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
CALAMARCA,otras vacunaciones,covid-19 dosis unica,2023-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,otras vacunaciones,covid-19 dosis unica,2023-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COLPA BELGICA,otras vacunaciones,covid-19 dosis unica,2023-03-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
COROICO,otras vacunaciones,covid-19 dosis unica,2023-03-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
COTAGAITA,otras vacunaciones,covid-19 dosis unica,2023-03-01,2.0,4.0,2.0,2.0,4.0,6.0,10.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-03-01,2.0,3.0,1.0,1.0,3.0,4.0,7.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA ASUNTA,otras vacunaciones,covid-19 dosis unica,2023-03-01,1.0,0.0,2.0,1.0,3.0,1.0,4.0
MACHACAMARCA,otras vacunaciones,covid-19 dosis unica,2023-03-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
MINEROS,otras vacunaciones,covid-19 dosis unica,2023-03-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
MOCOMOCO,otras vacunaciones,covid-19 dosis unica,2023-03-01,1.0,2.0,0.0,1.0,1.0,3.0,4.0
OKINAWA,otras vacunaciones,covid-19 dosis unica,2023-03-01,3.0,1.0,0.0,2.0,3.0,3.0,6.0
SACACA,otras vacunaciones,covid-19 dosis unica,2023-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis unica,2023-03-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-03-01,4.0,5.0,0.0,0.0,4.0,5.0,9.0
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis unica,2023-03-01,0.0,2.0,1.0,0.0,1.0,2.0,3.0
TIPUANI,otras vacunaciones,covid-19 dosis unica,2023-03-01,0.0,0.0,4.0,4.0,4.0,4.0,8.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-03-01,3.0,2.0,10.0,5.0,13.0,7.0,20.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-03-01,11.0,9.0,0.0,0.0,11.0,9.0,20.0
UNCIA,otras vacunaciones,covid-19 dosis unica,2023-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
WARNES,otras vacunaciones,covid-19 dosis unica,2023-03-01,5.0,6.0,6.0,6.0,11.0,12.0,23.0
ANCORAIMES,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,1.0,2.0,1.0,2.0,3.0
AYO AYO,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CARANAVI,otras vacunaciones,covid-19 dosis unica,2023-04-01,1.0,0.0,2.0,1.0,3.0,1.0,4.0
COBIJA,otras vacunaciones,covid-19 dosis unica,2023-04-01,1.0,0.0,0.0,1.0,1.0,1.0,2.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-04-01,4.0,9.0,12.0,19.0,16.0,28.0,44.0
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis unica,2023-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,2.0,3.0,2.0,3.0,5.0
IXIAMAS,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-04-01,27.0,32.0,6.0,3.0,33.0,35.0,68.0
LAJA,otras vacunaciones,covid-19 dosis unica,2023-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MINEROS,otras vacunaciones,covid-19 dosis unica,2023-04-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
MONTERO,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
PAILON,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PALCA,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
PATACAMAYA,otras vacunaciones,covid-19 dosis unica,2023-04-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
QUIME,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2023-04-01,2.0,1.0,1.0,0.0,3.0,1.0,4.0
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,2.0,3.0,2.0,3.0,5.0
SAN JOAQUIN,otras vacunaciones,covid-19 dosis unica,2023-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN JULIAN,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,1.0,4.0,1.0,4.0,5.0
SAN PEDRO,otras vacunaciones,covid-19 dosis unica,2023-04-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-04-01,2.0,4.0,1.0,0.0,3.0,4.0,7.0
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,4.0,4.0,4.0,4.0,8.0
TIPUANI,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,0.0,4.0,2.0,4.0,2.0,6.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-04-01,3.0,2.0,48.0,14.0,51.0,16.0,67.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-04-01,29.0,20.0,8.0,10.0,37.0,30.0,67.0
UNCIA,otras vacunaciones,covid-19 dosis unica,2023-04-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
VILLA CHARCAS,otras vacunaciones,covid-19 dosis unica,2023-04-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
VILLA MONTES,otras vacunaciones,covid-19 dosis unica,2023-04-01,7.0,1.0,75.0,5.0,82.0,6.0,88.0
WARNES,otras vacunaciones,covid-19 dosis unica,2023-04-01,2.0,0.0,3.0,4.0,5.0,4.0,9.0
ACHACACHI,otras vacunaciones,covid-19 dosis unica,2023-05-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
ATOCHA,otras vacunaciones,covid-19 dosis unica,2023-05-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
BELLA FLOR,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
CARANAVI,otras vacunaciones,covid-19 dosis unica,2023-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,0.0,0.0,21.0,0.0,21.0,21.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COBIJA,otras vacunaciones,covid-19 dosis unica,2023-05-01,5.0,4.0,4.0,4.0,9.0,8.0,17.0
COTAGAITA,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-05-01,7.0,8.0,16.0,4.0,23.0,12.0,35.0
EL PUENTE(STC),otras vacunaciones,covid-19 dosis unica,2023-05-01,2.0,0.0,2.0,1.0,4.0,1.0,5.0
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-05-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
HUANUNI,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,1.0,5.0,0.0,5.0,1.0,6.0
LLALLAGUA,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
MINEROS,otras vacunaciones,covid-19 dosis unica,2023-05-01,30.0,0.0,0.0,0.0,30.0,0.0,30.0
MONTERO,otras vacunaciones,covid-19 dosis unica,2023-05-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
OKINAWA,otras vacunaciones,covid-19 dosis unica,2023-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
PAMPA GRANDE,otras vacunaciones,covid-19 dosis unica,2023-05-01,2.0,3.0,17.0,26.0,19.0,29.0,48.0
PAZÑA,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
PORCO,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2023-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,1.0,3.0,4.0,3.0,5.0,8.0
SAN JULIAN,otras vacunaciones,covid-19 dosis unica,2023-05-01,3.0,2.0,0.0,1.0,3.0,3.0,6.0
SANTA ANA,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-05-01,15.0,18.0,1.0,0.0,16.0,18.0,34.0
TINGUIPAYA,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TIPUANI,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,0.0,6.0,5.0,6.0,5.0,11.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-05-01,2.0,2.0,16.0,10.0,18.0,12.0,30.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-05-01,54.0,47.0,0.0,1.0,54.0,48.0,102.0
UYUNI,otras vacunaciones,covid-19 dosis unica,2023-05-01,11.0,6.0,1.0,0.0,12.0,6.0,18.0
VIACHA,otras vacunaciones,covid-19 dosis unica,2023-05-01,4.0,0.0,3.0,4.0,7.0,4.0,11.0
VILLA CHARCAS,otras vacunaciones,covid-19 dosis unica,2023-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA MONTES,otras vacunaciones,covid-19 dosis unica,2023-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
WARNES,otras vacunaciones,covid-19 dosis unica,2023-05-01,3.0,6.0,0.0,0.0,3.0,6.0,9.0
YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-05-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
ACHOCALLA,otras vacunaciones,covid-19 dosis unica,2023-06-01,10.0,14.0,19.0,36.0,29.0,50.0,79.0
ATOCHA,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AYO AYO,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
BELLA FLOR,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BERMEJO,otras vacunaciones,covid-19 dosis unica,2023-06-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2023-06-01,4.0,6.0,0.0,0.0,4.0,6.0,10.0
CARANAVI,otras vacunaciones,covid-19 dosis unica,2023-06-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
CARAPARI,otras vacunaciones,covid-19 dosis unica,2023-06-01,5.0,5.0,23.0,19.0,28.0,24.0,52.0
COLPA BELGICA,otras vacunaciones,covid-19 dosis unica,2023-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
DESAGUADERO,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-06-01,2.0,2.0,9.0,9.0,11.0,11.0,22.0
ESCOMA,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis unica,2023-06-01,3.0,3.0,0.0,0.0,3.0,3.0,6.0
FILADELFIA,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-06-01,12.0,10.0,95.0,6.0,107.0,16.0,123.0
MINEROS,otras vacunaciones,covid-19 dosis unica,2023-06-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
PAMPA GRANDE,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,0.0,8.0,8.0,8.0,8.0,16.0
POSTRER VALLE,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
RIBERALTA,otras vacunaciones,covid-19 dosis unica,2023-06-01,7.0,1.0,0.0,0.0,7.0,1.0,8.0
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2023-06-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,0.0,3.0,3.0,3.0,3.0,6.0
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-06-01,2.0,1.0,1.0,0.0,3.0,1.0,4.0
SAN PEDRO,otras vacunaciones,covid-19 dosis unica,2023-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2023-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-06-01,32.0,25.0,4.0,6.0,36.0,31.0,67.0
TIPUANI,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
TOMINA,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-06-01,1.0,2.0,5.0,6.0,6.0,8.0,14.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-06-01,15.0,13.0,2.0,0.0,17.0,13.0,30.0
UNCIA,otras vacunaciones,covid-19 dosis unica,2023-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
UYUNI,otras vacunaciones,covid-19 dosis unica,2023-06-01,11.0,8.0,0.0,1.0,11.0,9.0,20.0
VILLA MONTES,otras vacunaciones,covid-19 dosis unica,2023-06-01,2.0,4.0,2.0,4.0,4.0,8.0,12.0
YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-06-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
CAJUATA,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,0.0,2.0,0.0,3.0,0.0,3.0
CARANAVI,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,1.0,21.0,0.0,22.0,1.0,23.0
CARIPUYO,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,5.0,1.0,6.0,2.0,11.0,13.0
CHALLAPATA,otras vacunaciones,covid-19 dosis unica,2023-07-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
COBIJA,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COTAGAITA,otras vacunaciones,covid-19 dosis unica,2023-07-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-07-01,13.0,14.0,17.0,16.0,30.0,30.0,60.0
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis unica,2023-07-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,4.0,24.0,10.0,25.0,14.0,39.0
HUANUNI,otras vacunaciones,covid-19 dosis unica,2023-07-01,6.0,14.0,0.0,0.0,6.0,14.0,20.0
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis unica,2023-07-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-07-01,19.0,21.0,1.0,17.0,20.0,38.0,58.0
MINEROS,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,8.0,0.0,0.0,1.0,8.0,9.0
MONTERO,otras vacunaciones,covid-19 dosis unica,2023-07-01,4.0,5.0,1.0,1.0,5.0,6.0,11.0
PUCARANI,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis unica,2023-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-07-01,28.0,23.0,1.0,1.0,29.0,24.0,53.0
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis unica,2023-07-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
TIPUANI,otras vacunaciones,covid-19 dosis unica,2023-07-01,0.0,0.0,15.0,8.0,15.0,8.0,23.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-07-01,8.0,10.0,0.0,0.0,8.0,10.0,18.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-07-01,15.0,19.0,3.0,1.0,18.0,20.0,38.0
TURCO,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
UNCIA,otras vacunaciones,covid-19 dosis unica,2023-07-01,2.0,0.0,1.0,0.0,3.0,0.0,3.0
UYUNI,otras vacunaciones,covid-19 dosis unica,2023-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VIACHA,otras vacunaciones,covid-19 dosis unica,2023-07-01,7.0,7.0,0.0,0.0,7.0,7.0,14.0
