,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
BELLA FLOR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,3,6,3,6,9
BERMEJO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,4,0,0,2,4,6
BETANZOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
BOLPEBRA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,1,0,2,2
BOYUIBE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,0,0,0,2,0,2
BUENA VISTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,3,0,0,3,3,6
CABEZAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,8,0,5,1,13,14
CAIROMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,10,3,12,3,22,25
"CAIZA ""D""",otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
CAJUATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,3,0,0,1,3,4
CALAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,7,0,0,2,7,9
CAMIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,27,16,3,2,30,18,48
CAPINOTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,5,0,0,5,5,10
CARACOLLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,7,11,0,0,7,11,18
CARANAVI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,6,0,0,0,6,6
CARAPARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
CARIPUYO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,4,2,0,0,4,2,6
CHALLAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,14,0,5,0,19,19
CHAQUI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,1,0,0,2,1,3
CHARAGUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,11,0,1,1,12,13
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,0,1,0,4,4
CHUMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,2,2,3,2,5
CKOCHAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,0,0,0,3,3
CLIZA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,2,10,16,15,18,33
COBIJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,7,37,116,11,123,48,171
COCAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,7,0,2,3,9,12
COCHABAMBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,64,256,13,18,77,274,351
COLCAPIRHUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,7,12,7,9,14,21,35
"COLCHA ""K""",otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,0,0,0,5,0,5
COLLANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,21,3,7,8,28,36
COLPA BELGICA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
COLQUECHACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,2,0,6,6
COLQUENCHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,0,0,0,3,3
COLQUIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
COMARAPA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,2,1,1,3,3,6
CONCEPCION,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,5,0,0,2,5,7
COPACABANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,0,2,0,2,2
CORIPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
CORO CORO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,1,0,1,1,2
COROICO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,6,0,0,3,6,9
CORQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
COTOCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,7,35,2,11,9,46,55
CUATRO CAÑADAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,4,8,9,10,13,18,31
CULPINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,5,2,0,7,5,12
EL ALTO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,79,300,12,36,91,336,427
EL PUENTE(STC),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,0,0,0,3,0,3
EL PUENTE(TJA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,17,12,0,4,17,16,33
EL VILLAR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,6,10,5,6,11,16,27
ESCOMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,2,0,0,1,2,3
ESMERALDA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,7,2,4,3,11,14
GENERAL SAAVEDRA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,1,0,1,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,0,1,0,1,1
GUANAY,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,5,2,5,5,10,15
GUAYARAMERIN,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,28,9,16,11,44,55
HUACARAJE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
HUACARETA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,2,0,2,1,4,5
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,4,0,0,0,4,0,4
HUANUNI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,3,0,0,1,3,4
HUARINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,0,0,0,3,3
HUAYLLAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,1,1,1,2
ICLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
INCAHUASI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,4,1,0,2,4,6
INQUISIVI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,1,1,1,2
IXIAMAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,4,2,3,3,7,10
JESUS DE MACHACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,1,0,2,2
LA ASUNTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,4,0,4,1,8,9
LA GUARDIA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,5,5,4,6,9,15
LA PAZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,82,304,6,31,88,335,423
LAGUNILLAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,1,0,0,1,1,2
LAJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,6,1,0,2,6,8
LAS CARRERAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
LICOMA PAMPA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,1,0,1,0,1
LLALLAGUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,4,10,41,57,45,67,112
LLICA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,1,0,3,3
LORETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,2,5,2,6,8
MACHARETI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,6,2,0,0,6,2,8
MAGDALENA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,12,11,12,11,23
MAIRANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,8,1,1,2,9,11
MINEROS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,6,0,0,0,6,6
MIZQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,6,8,3,1,9,9,18
MONTERO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,61,2,6,2,67,69
MOROCHATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,2,0,3,1,5,6
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,1,4,1,6,2,8
NAZACARA DE PACAJES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,0,1,0,1,1
OCURI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
OKINAWA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,11,0,0,0,11,11
ORURO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,18,146,1,34,19,180,199
PADCAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
PADILLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,1,0,1,0,1
PAILON,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,38,1,4,6,42,48
PALCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,9,15,4,10,13,25,38
PAMPA GRANDE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,0,1,0,4,0,4
PATACAMAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
PAZÑA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
PELECHUCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
POCOATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
POCONA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,3,0,4,4
POJO (CBBA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,2,0,0,1,2,3
PORCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
POROMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,1,0,3,3
PORTACHUELO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,5,0,1,2,6,8
PORVENIR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,2,0,0,1,2,3
POTOSI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,18,96,10,8,28,104,132
PUCARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
PUERTO ACOSTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,1,0,1,0,1
PUERTO CARABUCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,178,1,178,1,179
PUERTO GONZALO MORENO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,0,0,0,3,3
PUERTO PEREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,2,0,0,1,2,3
PUERTO QUIJARRO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,3,67,0,68,3,71
PUERTO RICO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,4,3,4,4,8
PUERTO SUAREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,7,1,2,4,9,13
PUERTO VILLARROEL,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,19,8,23,11,42,53
PUNA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,7,0,2,1,9,10
PUNATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,12,2,12,3,24,27
QUIABAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,2,0,3,3
QUILLACOLLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,11,23,5,17,16,40,56
QUIME,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
QUIRUSILLAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,2,0,3,3
RAQAYPAMPA(ETA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
RAVELO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,5,1,3,1,8,9
RIBERALTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,17,0,0,0,17,17
ROBORE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,6,0,0,0,6,6
RURRENABAQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,10,0,7,0,17,17
SABAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,12,66,16,38,28,104,132
SACABAMBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,1,1,1,2
SACACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,2,1,2,4,6
SAMAIPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,3,8,1,9,4,13
SAN ANDRES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,3,25,35,27,38,65
SAN ANDRES DE MACHACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,0,2,0,2,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,1,0,3,3
SAN BENITO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,6,0,0,1,6,7
SAN BORJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,8,13,8,14,16,30
SAN BUENA VENTURA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,0,6,5,8,5,13
SAN CARLOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,6,9,0,0,6,9,15
SAN IGNACIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,4,4,30,43,34,47,81
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,36,59,0,2,36,61,97
SAN JAVIER(BNI),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,3,3,3,4,7
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,7,1,5,6,12,18
SAN JUAN DE YAPACANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,2,0,2,3,4,7
SAN JULIAN,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,7,13,8,15,15,30
SAN LORENZO(PND),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,3,1,0,2,3,5
SAN LORENZO(TJA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,3,0,0,1,3,4
SAN LUCAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,1,0,0,1,1,2
SAN MATIAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,6,6,17,18,23,24,47
SAN PEDRO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,1,0,0,5,1,6
SAN PEDRO DE BUENA VISTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
SAN PEDRO DE MACHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,5,0,2,0,7,7
SAN PEDRO DE TIQUINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,2,0,0,1,2,3
SAN RAFAEL,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,317,709,227,200,544,909,1453
SANTA ROSA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,7,0,0,2,7,9
SANTA ROSA DEL SARA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,1,7,2,7,9
SANTIAGO DE HUATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
SANTIVAÑES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,68,0,68,1,69
SANTUARIO DE QUILLACAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,2,2,2,2,4
SAPAHAQUI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,4,0,0,1,4,5
SENA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,6,9,11,10,17,27
SHINAOTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
SICA SICA (VILLA AROMA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
SICAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,1,0,0,2,1,3
SIPE SIPE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,18,13,28,16,46,62
SORACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
SORATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,4,3,0,4,4,8
SUCRE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,30,38,0,2,30,40,70
TACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,1,0,1,1,2,3
TACOPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,1,0,3,3
TAHUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,10,6,0,7,10,13,23
TARACO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,2,0,0,2,2,4
TARATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,5,0,2,2,7,9
TARIJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,11,55,3,7,14,62,76
TEOPONTE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,4,0,0,2,4,6
TIAHUANACU,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,0,1,0,4,4
TIPUANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,2,3,2,6,8
TIQUIPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,13,20,18,7,31,27,58
TIRAQUE (CBBA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,12,0,2,2,14,16
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,4,2,3,1,7,3,10
TOCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,7,1,3,1,10,11
TOLATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,3,2,3,3,6
TOLEDO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
TORO TORO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
TOTORA(CBBA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,7,11,4,11,11,22
TRIGAL,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,8,25,13,17,21,42,63
TUPIZA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,4,7,0,0,4,7,11
UNCIA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,7,1,7,1,14,15
URUBICHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,2,4,2,4,6
UYUNI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,7,0,0,2,7,9
VACAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,2,2,2,2,4
VALLEGRANDE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,7,8,0,11,7,18
VIACHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
VILA VILA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,4,0,0,2,4,2,6
VILLA MONTES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,26,2,0,0,26,2,28
VILLA NUEVA (LOMA ALTA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,6,13,7,13,20
