,group,variable,month,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,TOTALES,TOTALES,TOTALES
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,0,1,6,7,6,8,14
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,0,3,0,0,0,3,3
CALAMARCA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,0,7,0,0,0,7,7
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,4,6,0,0,4,6,10
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,21,21,0,0,21,21,42
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,1,1,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,0,0,1,3,1,3,4
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,0,2,0,0,0,2,2
SAN RAMON BENI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,13,14,0,0,13,14,27
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,10,7,2,0,12,7,19
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-02-01,3,1,0,0,3,1,4
CABEZAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,6,8,0,0,6,8,14
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,8,9,2,19,10,28,38
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,1,1,0,0,1,1,2
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,2,2,0,0,2,2,4
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,17,22,0,0,17,22,39
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,5,4,0,0,5,4,9
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,1,2,0,0,1,2,3
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,12,11,0,0,12,11,23
TACOPAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,0,0,1,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,11,6,0,0,11,6,17
TOMAVE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,18,17,2,0,20,17,37
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,2,1,1,0,3,1,4
VILLA NUEVA (LOMA ALTA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,1,0,0,0,1,0,1
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-03-01,1,0,0,0,1,0,1
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,2,0,0,0,2,0,2
BUENA VISTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,0,0,8,0,8,8
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,7,3,0,0,7,3,10
MAGDALENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,0,0,1,0,1,1
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,2,1,0,0,2,1,3
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,3,3,5,3,8,11
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,0,6,1,6,1,7
SAN CARLOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,1,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,0,4,1,4,1,5
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,1,1,0,1,1,2,3
SAN PEDRO DE QUEMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,0,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,12,16,0,0,12,16,28
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,3,3,0,8,3,11,14
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-04-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,4,2,0,0,4,2,6
CAMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,6,2,0,0,6,2,8
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,1,5,0,0,1,5,6
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,2,0,0,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,2,1,0,0,2,1,3
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,0,2,0,0,0,2,2
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,0,0,0,1,0,1,1
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,1,1,0,0,1,1,2
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,16,30,0,0,16,30,46
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,2,2,0,0,2,2,4
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-05-01,0,0,0,1,0,1,1
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,2,5,0,0,2,5,7
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,4,2,0,0,4,2,6
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,0,2,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,1,2,1,0,2,2,4
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,2,1,0,0,2,1,3
PALOS BLANCOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,2,1,0,0,2,1,3
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,0,2,0,0,0,2,2
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,3,7,3,8,6,15,21
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,9,5,0,0,9,5,14
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,0,3,0,0,0,3,3
TORO TORO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,0,0,5,3,5,3,8
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,9,11,0,0,9,11,20
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,0,2,0,0,0,2,2
VILLA TUNARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,0,0,1,0,1,0,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-06-01,1,0,0,0,1,0,1
BAURES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,3,0,0,0,3,0,3
CAMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,0,1,0,0,0,1,1
COMBAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,0,3,0,0,0,3,3
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,2,3,11,23,13,26,39
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,2,2,0,0,2,2,4
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,30,26,14,23,44,49,93
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,0,1,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,5,1,0,0,5,1,6
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,3,4,0,0,3,4,7
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,0,1,0,0,0,1,1
SAN PEDRO DE QUEMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,20,23,0,0,20,23,43
TARACO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,0,4,0,0,0,4,4
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,6,3,2,1,8,4,12
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,0,0,0,1,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-07-01,1,4,0,0,1,4,5
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,2,2,0,0,2,2,4
CARIPUYO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,0,1,0,0,0,1,1
COTOCA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,0,4,11,0,11,4,15
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,17,15,0,0,17,15,32
PORVENIR,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,0,0,4,4,4,4,8
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,7,6,0,0,7,6,13
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,32,36,0,0,32,36,68
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,2,3,0,0,2,3,5
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-08-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,1,3,0,0,1,3,4
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,0,4,0,0,0,4,4
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,0,4,0,0,0,4,4
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,2,2,0,1,2,3,5
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,0,0,1,1,1,1,2
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,0,0,0,5,0,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,23,26,0,4,23,30,53
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,0,0,1,2,1,2,3
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,2,0,0,0,2,0,2
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,0,0,1,0,1,0,1
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-09-01,1,0,0,0,1,0,1
COTOCA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,1,1,0,0,1,1,2
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,1,1,0,1,1,2,3
LLALLAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,0,1,2,0,2,1,3
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,2,0,0,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,4,3,6,4,10,7,17
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,2,0,0,0,2,0,2
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,6,12,0,0,6,12,18
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,6,11,0,0,6,11,17
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,6,7,0,0,6,7,13
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,3,0,0,0,3,0,3
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,2,2,0,0,2,2,4
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,0,4,0,0,0,4,4
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,1,1,0,2,1,3,4
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-10-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,0,0,2,0,2,2
COLQUECHACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,1,0,0,0,1,0,1
COTAGAITA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,1,6,0,0,1,6,7
GUANAY,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,0,21,0,21,0,21
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,1,0,5,0,6,0,6
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,5,6,0,0,5,6,11
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,2,0,0,0,2,0,2
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,4,2,0,0,4,2,6
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,2,3,0,0,2,3,5
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,3,9,0,0,3,9,12
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,2,0,0,0,2,2
VILLA NUEVA (LOMA ALTA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,0,1,0,1,0,1
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-11-01,0,1,0,33,0,34,34
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,1,1,0,0,1,1,2
BAURES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,3,2,0,0,3,2,5
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,4,2,0,0,4,2,6
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,2,0,0,0,2,0,2
LAGUNILLAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,2,0,0,0,2,0,2
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,0,3,0,0,0,3,3
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,4,4,0,0,4,4,8
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,2,2,16,0,18,2,20
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,0,0,0,6,0,6,6
SAN CARLOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,1,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,1,1,0,0,1,1,2
SAN LUCAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-12-01,1,0,0,0,1,0,1
