,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
CAIROMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,9,22,0,0,9,22,31
CAJUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,6,2,3,0,9,2,11
CALAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,3,0,0,2,3,5
CAMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,5,1,2,4,7,11
CAPINOTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,1,0,0,1,1,2
CAQUIAVIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,1,0,1,1,2
CARACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,2,13,4,16,6,22
CARANAVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,12,11,0,0,12,11,23
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,5,1,6,1,7
CATACORA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,0,3,0,3
CHALLAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,2,20,29,22,31,53
CHAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,6,0,0,4,6,10
CHARAGUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,2,0,3,3
CHOQUE COTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,2,7,6,7,8,15
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,10,3,7,7,17,10,27
CHUMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,18,15,18,15,33
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,4,24,16,27,20,47
CLIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,7,9,30,12,37,49
COBIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,2,7,14,9,16,25
COCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,5,0,0,2,5,7
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,134,171,87,94,221,265,486
"COLCHA ""K""",otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,7,14,6,5,13,19,32
COLPA BELGICA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,0,1,0,1
COLQUECHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,1,2,3,4,4,8
COLQUENCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,1,1,1,2
COLQUIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,3,2,1,3,4,7
COMANCHE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,2,1,1,1,3,4
COMARAPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,5,11,11,4,16,15,31
COMBAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,15,14,15,14,29
CONCEPCION,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,2,3,5,5,7,12
COPACABANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,6,14,7,14,21
CORIPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,17,11,7,3,24,14,38
COROICO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,5,3,5,4,9
COTAGAITA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,2,2,7,5,9,14
COTOCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,6,13,3,7,9,20,29
CUATRO CAÑADAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,3,7,11,9,14,23
CUEVO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,12,12,12,12,24
CULPINA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
DESAGUADERO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,6,14,0,0,6,14,20
EL ALTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,23,29,5,6,28,35,63
EL PUENTE(STC),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,2,1,0,3,2,5
EL PUENTE(TJA),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,2,4,2,4,6
EL TORNO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,13,18,6,3,19,21,40
EL VILLAR,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,5,3,0,0,5,3,8
EUCALIPTUS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,2,3,3,3,6
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,6,5,0,0,6,5,11
GUANAY,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,19,12,16,12,35,24,59
HUACARETA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,0,0,0,2,0,2
HUARINA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,13,20,13,20,33
HUATAJATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,6,11,26,15,32,47
HUAYLLAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,5,3,5,4,9
HUMANATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,23,31,3,2,26,33,59
ICHOCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,5,3,5,8
INQUISIVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,9,1,1,1,10,2,12
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,8,5,12,7,20,12,32
IXIAMAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,3,1,0,5,3,8
JESUS DE MACHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,11,8,5,6,16,14,30
LA ASUNTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,1,14,6,17,7,24
LA GUARDIA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,18,10,5,11,23,21,44
LA PAZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,305,436,166,144,471,580,1051
LAJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,2,2,0,4,2,6
LICOMA PAMPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,0,7,3,9,3,12
MACHACAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,8,14,8,14,22
MAGDALENA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,12,14,12,15,27
MAIRANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,11,10,12,10,22
MAPIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,0,1,0,1
MECAPACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,6,5,6,5,11
MINEROS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,9,11,0,0,9,11,20
MOCOMOCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,1,6,4,10,5,15
MONTEAGUDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,6,0,0,3,6,9
MONTERO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,13,11,20,31,33,42,75
OCURI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,8,6,10,15,18,21,39
OKINAWA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,0,14,10,16,10,26
ORURO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,15,15,8,10,23,25,48
PADCAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,1,0,0,2,1,3
PAILON,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,9,2,10,2,12
PALCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,0,1,0,1,1
PALOS BLANCOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,9,4,9,4,13
PAMPA GRANDE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,5,1,5,2,7
PAPEL PAMPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,5,6,13,10,18,28
PAZÑA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,1,2,1,3,4
PELECHUCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,0,0,1,0,1
POCOATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,5,3,6,10,11,13,24
POJO (CBBA),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,2,3,2,5
PORONGO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,8,0,0,4,8,12
POSTRER VALLE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,15,11,5,9,20,20,40
PUCARANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,8,7,1,2,9,9,18
PUERTO ACOSTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,0,0,1,0,1
PUERTO CARABUCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,20,17,20,17,37
PUERTO PEREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,8,9,8,9,17
PUERTO QUIJARRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,3,3,8,5,11,16
PUERTO RICO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,2,1,2,3
PUERTO SUAREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,2,0,0,4,2,6
PUNA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,3,0,0,4,3,7
PUNATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,5,2,34,52,39,54,93
QUIABAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,16,21,16,22,38
QUIME,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,4,4,4,4,8
REYES,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,1,1,1,2,3
RIBERALTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,5,20,20,22,25,47
ROBORE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,1,2,0,4,1,5
RURRENABAQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,3,3,3,4,6,10
SACABA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,2,5,12,6,14,20
SAIPINA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,2,0,0,2,2,4
SAMAIPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,2,10,5,13,7,20
SAN ANDRES,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,8,10,8,10,18
SAN ANDRES DE MACHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,8,3,8,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,3,0,0,3,3,6
SAN BORJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,2,12,13,14,15,29
SAN BUENA VENTURA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,7,3,7,10
SAN CARLOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,5,10,11,13,16,29
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,18,15,1,4,19,19,38
SAN JAVIER(BNI),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,6,3,6,9
SAN JAVIER(STC),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,11,12,0,0,11,12,23
SAN JOAQUIN,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,6,12,1,0,7,12,19
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,2,0,0,2,2,4
SAN JULIAN,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,0,2,3,5,3,8
SAN LORENZO(TJA),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,1,0,2,2
SAN LUCAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,1,6,8,7,9,16
SAN MATIAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,3,17,23,20,26,46
SAN PABLO DE LIPEZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,4,3,4,7
SAN PEDRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,1,1,1,2,3
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,0,20,17,23,17,40
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,2,4,7,5,9,14
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,3,3,5,5,8,13
SAN RAFAEL,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,4,0,0,4,4,8
SAN RAMON BENI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,4,0,0,1,4,5
SANTA ANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,2,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,370,402,100,115,470,517,987
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,5,4,3,8,8,16
SANTIAGO DE CALLAPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,1,1,0,3,1,4
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,11,14,11,14,25
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,1,3,6,4,7,11
SANTIAGO DE MACHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,2,2,2,2,4
SANTIVAÑES,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,4,4,4,4,8,12
SAPAHAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,1,6,7,7,8,15
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,1,10,5,11,6,17
SICAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,0,0,1,0,1
SORATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,4,42,36,45,40,85
SUCRE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,59,73,2,6,61,79,140
TACOBAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,15,16,15,16,31
TAHUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,13,11,13,11,24
TARABUCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,0,0,0,2,0,2
TARACO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,4,3,4,7
TARATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,3,0,2,1,5,6
TARIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,18,11,4,3,22,14,36
TINGUIPAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,9,7,9,7,16
TIQUIPAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,11,6,9,9,20,29
TOLATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,8,6,7,7,15,13,28
TOLEDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,8,7,0,0,8,7,15
TOTORA(CBBA),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,2,5,2,2,4,7,11
TRINIDAD,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,10,17,43,39,53,56,109
TUPIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,2,3,0,6,2,8
TURCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,5,5,5,5,10
UMALA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,10,15,13,16,23,31,54
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,1,9,7,10,8,18
URUBICHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,6,9,7,7,13,16,29
UYUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,5,8,10,12,15,20,35
VACAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,7,7,7,7,14
VALLEGRANDE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,5,13,12,17,17,34
VIACHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,8,6,10,11,18,17,35
VILLA CHARCAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,5,1,5,6
VILLA MONTES,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,5,7,0,1,5,8,13
VILLAZON,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,2,0,0,1,2,3
WALDO BALLIVIAN,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,1,1,1,2
WARNES,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,25,33,16,16,41,49,90
YACO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,6,6,1,4,7,10,17
YACUIBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,2,3,3,6,5,11
YANACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,1,12,9,15,10,25
YAPACANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,2,6,3,10,5,15
YOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,4,3,4,7
YOTALA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,2,16,25,17,27,44
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,7,7,18,20,25,27,52
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,16,12,8,16,24,28,52
ANCORAIMES,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,0,1,0,1,1
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,2,1,2,1,3
ANTEQUERA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,1,7,6,7,7,14
APOLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,17,15,10,11,27,26,53
ARAMPAMPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,1,1,11,8,12,9,21
ARQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,3,3,0,0,3,3,6
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,5,8,3,2,8,10,18
ATOCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,0,1,0,1,1
AUCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,3,1,2,1,5,2,7
AYO AYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,32,35,8,6,40,41,81
AZURDUY,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,1,2,1,2,3
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,12,10,6,10,18,20,38
BELEN DE URMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,1,0,0,0,1,0,1
BETANZOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,2,1,36,31,38,32,70
BOLIVAR,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,17,17,1,0,18,17,35
BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,24,19,9,8,33,27,60
CABEZAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,1,1,5,4,6,5,11
CAJUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,9,12,0,1,9,13,22
CALAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,1,4,10,4,11,15
CAMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,4,6,4,13,8,19,27
CAPINOTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,1,2,10,11,11,13,24
CAQUIAVIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,10,4,6,9,16,13,29
CARACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,11,12,2,3,13,15,28
CARANAVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,1,1,0,0,1,1,2
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,8,7,2,0,10,7,17
CATACORA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,1,5,1,5,6
CHACARILLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,2,3,0,0,2,3,5
CHALLAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,3,2,9,9,12,11,23
CHARAGUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,5,8,3,1,8,9,17
CHARAÑA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,2,3,5,4,7,7,14
CHOQUE COTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,2,3,0,1,2,4,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,6,10,11,6,17,16,33
CHUMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,1,0,20,17,21,17,38
CKOCHAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,18,26,8,11,26,37,63
CLIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,4,1,22,32,26,33,59
COBIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,3,0,5,5,8,5,13
COCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,0,1,0,1,1
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,90,113,89,144,179,257,436
COLLANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-02-01,0,0,0,1,0,1,1
