,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,2,0,3,3
CHUMA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,5,0,3,0,8,8
COCHABAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,50,0,2,0,52,52
COLCAPIRHUA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,4,0,6,6
COLPA BELGICA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
COLQUECHACA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
COLQUENCHA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
COLQUIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
COMARAPA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
CORQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,26,0,0,0,26,26
EL TORNO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,4,0,0,0,4,4
ENTRE RIOS TRJ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,1,0,3,3
EUCALIPTUS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
GUANAY,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
HUACARETA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,2,0,2,2
ICLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,1,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,1,0,2,2
IXIAMAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
LA GUARDIA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,121,0,9,0,130,130
LAGUNILLAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,4,0,4,4
LAS CARRERAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
LLALLAGUA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,7,0,7,7
LORETO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,4,0,0,0,4,4
MACHARETI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
MOJOCOYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,1,0,2,2
MONTERO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,9,0,3,0,12,12
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,2,0,2,2
ORURO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,37,0,1,0,38,38
PADCAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
PADILLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,3,0,4,4
PAILON,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
PAPEL PAMPA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
PATACAMAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
PELECHUCO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
POCOATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
POOPO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
PORONGO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,5,0,9,0,14,14
POTOSI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,11,0,0,0,11,11
PUERTO QUIJARRO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,6,0,7,7
PUERTO SUAREZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,4,0,4,0,8,8
RAVELO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,3,0,4,4
SACABA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,13,0,3,0,16,16
SALINAS DE GARCI MENDOZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,5,0,5,5
SAN BUENA VENTURA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,5,0,5,5
SAN CARLOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,7,0,0,0,7,7
SAN JUAN DE YAPACANI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,3,0,0,0,3,3
SAN LUCAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,7,0,4,0,11,11
SAN PEDRO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,6,0,2,0,8,8
SAN RAFAEL,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,20,0,0,0,20,20
SANTIVAÑES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
SICA SICA (VILLA AROMA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
SIPE SIPE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
SUCRE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,10,0,10,0,20,20
TIQUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,3,0,0,0,3,3
TOMINA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,37,0,39,39
TUPIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
UNCIA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,2,0,2,2
UYUNI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,2,0,3,3
VIACHA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
VILA VILA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
VILLA MONTES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
VILLA SERRANO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,3,0,0,0,3,3
VILLA TUNARI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,1,0,2,2
VILLAZON,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,1,0,2,2
VINTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,2,0,3,3
VITICHI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
WALDO BALLIVIAN,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
WARNES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,22,0,3,0,25,25
YAPACANI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
YOTALA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,1,0,2,2
YUNCHARA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
ANDAMARCA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
ANZALDO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,3,0,3,3
ARBIETO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
AYO AYO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,7,0,7,7
AZURDUY,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,5,0,21,0,26,26
BETANZOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
BOLIVAR,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
BUENA VISTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
CAIROMA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,7,0,0,0,7,7
CALAMARCA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
CHALLAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,3,0,0,0,3,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,3,0,4,4
COCHABAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,18,0,4,0,22,22
"COLCHA ""K""",otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
COLQUIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
CORIPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
CORO CORO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
DESAGUADERO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,6,0,7,0,13,13
EL ALTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,10,0,14,0,24,24
EL VILLAR,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,2,0,2,2
HUACHACALLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
HUANUNI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,2,0,2,2
HUARINA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
HUAYLLAMARCA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
ICLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,49,0,1,0,50,50
LAS CARRERAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
LLALLAGUA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,3,0,3,3
MACHARETI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,5,0,25,0,30,30
MINEROS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,3,0,4,4
MOJOCOYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
MONTERO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,4,0,2,0,6,6
OKINAWA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,2,0,2,2
ORURO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,15,0,0,0,15,15
PADILLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,2,0,2,2
PAILON,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,5,0,11,0,16,16
PELECHUCO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,2,0,2,2
POOPO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,1,0,2,2
PORCO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,34,0,34,34
POTOSI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,4,0,0,0,4,4
PRESTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,4,0,4,4
PUERTO QUIJARRO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,1,0,2,2
QUILLACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,5,0,6,6
RIBERALTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,2,0,2,2
RURRENABAQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,4,0,13,0,17,17
SACABAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
SAN ANDRES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,6,0,7,7
SAN JAVIER(BNI),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,3,0,0,0,3,3
SAN JUAN DE YAPACANI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
SAN JULIAN,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,3,0,1,0,4,4
SAN LUCAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,6,0,1,0,7,7
SAN PEDRO DE BUENA VISTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,2,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
SAN RAFAEL,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,9,0,1,0,10,10
SANTIVAÑES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
SIPE SIPE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,11,0,12,12
SUCRE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,15,0,18,0,33,33
TARIJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
TIQUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,13,0,6,0,19,19
TODOS SANTOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
TOMINA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,1,0,2,2
TOTORA(CBBA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,1,0,3,3
TRIGAL,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,7,0,23,0,30,30
TUPIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,1,0,3,3
UMALA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,0,0,2,2
UYUNI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
VIACHA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
VILLA CHARCAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,2,0,2,2
VILLA SERRANO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
VILLA TUNARI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,5,0,5,5
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,2,0,1,0,3,3
VILLAZON,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,0,0,1,0,1,1
WALDO BALLIVIAN,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,0,0,1,1
WARNES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,16,0,1,0,17,17
YACUIBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,1,0,1,0,2,2
YAPACANI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-02-01,0,6,0,0,0,6,6
ACHACACHI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,0,0,2,0,2,2
ANDAMARCA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,0,0,1,0,1,1
ATOCHA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,0,0,1,0,1,1
AUCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,0,0,2,0,2,2
AYO AYO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,2,0,1,0,3,3
BUENA VISTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,1,0,0,0,1,1
CALACOTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,0,0,5,0,5,5
CALAMARCA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-03-01,0,2,0,0,0,2,2
