,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
CAMIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,6,0,0,0,6,6
CAPINOTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,3,0,0,1,3,4
CARACOLLO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,3,0,0,0,3,3
CARAPARI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,3,0,0,1,3,4
CHALLAPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,3,0,0,1,3,4
CHIPAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
CHOQUE COTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,0,0,0,2,0,2
CHUA COCANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,4,0,0,0,4,4
CLIZA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,0,0,0,2,0,2
COBIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,2,2,4,2,6,8
COCAPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,14,45,1,1,15,46,61
COLCAPIRHUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
COLOMI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,4,0,0,2,4,6
COLQUIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,3,0,0,2,3,5
COPACABANA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,0,1,0,1,0,1
CORIPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,3,0,0,0,3,3
COTOCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,0,0,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,50,61,1,1,51,62,113
EL PUENTE(STC),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
EL TORNO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,3,12,0,0,3,12,15
FILADELFIA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,3,4,0,4,3,7
GUAYARAMERIN,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,4,6,8,21,12,27,39
HUANUNI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
HUARINA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,0,0,0,2,0,2
HUATAJATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,6,0,1,0,7,7
INQUISIVI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,1,0,2,2
IXIAMAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
LA ASUNTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,40,80,7,15,47,95,142
LAS CARRERAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
LLALLAGUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,10,14,6,16,16,30,46
MAGDALENA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,0,0,0,2,0,2
MOJOCOYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,4,1,0,0,4,1,5
MONTEAGUDO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,9,0,0,1,9,10
MOROCHATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,3,0,0,1,3,4
OKINAWA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,29,63,0,1,29,64,93
PAILON,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
POJO (CBBA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,3,3,0,0,3,3,6
POTOSI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,53,105,0,0,53,105,158
PUCARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
PUERTO ACOSTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,3,3,0,0,3,3,6
PUERTO CARABUCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,5,0,0,1,5,6
PUERTO PEREZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,0,0,2,0,2,2
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,2,0,0,1,2,3
PUNATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,3,6,0,0,3,6,9
QUILLACOLLO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,5,0,0,2,5,7
RAVELO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,15,217,2,219,17,236
ROBORE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
SACABA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,7,15,0,2,7,17,24
SALINAS DE GARCI MENDOZA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
SAN CARLOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
SAN JAVIER(STC),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,2,0,0,1,2,3
SAN JOAQUIN,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,1,0,0,2,1,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,2,0,0,1,2,3
SAN JULIAN,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,9,0,0,1,9,10
SAN LORENZO(PND),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,29,127,0,0,29,127,156
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,1,0,0,2,1,3
SANTIAGO DE HUARI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,2,0,0,2,2,4
SENA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,0,1,0,1,0,1
SHINAOTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,0,0,7,0,7,7
SIPE SIPE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,5,0,0,0,5,5
SUCRE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
TACOPAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,3,2,0,2,3,4,7
TARIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,32,85,0,0,32,85,117
TIQUIPAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,4,11,0,0,4,11,15
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
TOLATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
TOLEDO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
TOTORA(CBBA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,4,7,33,2,37,9,46
TUPIZA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
TURCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
UNCIA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,1,1,1,2,2,4
UYUNI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
VALLEGRANDE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,2,0,2,1,4,5
VIACHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
VILLA TUNARI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,15,0,0,2,15,17
VINTO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,0,0,1,0,1,1
WARNES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,19,47,0,1,19,48,67
ACACIO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,4,0,0,2,4,6
ACHACACHI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,3,0,0,2,3,5
AIQUILE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,5,0,0,2,5,7
ARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,2,0,1,1,3,4
ARBIETO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,3,0,0,0,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,6,0,0,2,6,8
ATOCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,7,0,0,1,7,8
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
AZURDUY,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,3,0,0,0,3,3
BAURES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,3,0,0,2,3,5
BOLPEBRA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,0,3,3,3,3,6
BUENA VISTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,5,0,0,0,5,5
CAIROMA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,2,0,0,0,2,2
"CAIZA ""D""",otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,2,0,0,0,2,2
CALACOTO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,2,0,0,1,2,3
CAPINOTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
CARACOLLO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
CHALLAPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,2,0,0,1,2,3
CHARAGUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,3,4,0,0,3,4,7
CHIPAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,0,0,0,1,0,1
CHOQUE COTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,0,0,0,1,0,1
CHUA COCANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,4,0,0,0,4,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,2,0,0,1,2,3
CLIZA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,3,3,0,0,3,3,6
COBIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,5,0,0,0,5,5
COCAPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,3,6,7,3,10,9,19
COLCAPIRHUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,3,0,0,0,3,3
COLOMI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
CONCEPCION,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,3,0,1,1,4,5
EL ALTO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,19,20,17,17,36,37,73
EL CHORO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,3,0,0,2,3,5
EL PUENTE(STC),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,4,0,0,2,4,6
EL TORNO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,5,0,0,1,5,6
EUCALIPTUS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,6,0,0,0,6,6
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
HUACARETA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
HUARINA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,0,0,0,1,0,1
INQUISIVI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,1,2,1,3,4
IXIAMAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,3,6,0,0,3,6,9
LA GUARDIA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,8,0,0,1,8,9
LA PAZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,27,58,8,16,35,74,109
LAS CARRERAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,10,13,0,0,10,13,23
LLALLAGUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,8,0,0,1,8,9
MAGDALENA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,3,0,0,0,3,3
MOJOCOYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,11,0,0,1,11,12
MONTERO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,8,9,1,0,9,9,18
ORURO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,34,31,0,0,34,31,65
PAILON,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,2,0,1,0,3,3
PALCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
PATACAMAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
POCONA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
PORONGO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,2,0,0,0,2,2
PORTACHUELO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
PORVENIR,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,2,0,0,1,2,3
POTOSI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,9,24,0,0,9,24,33
PRESTO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
PUCARA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,3,0,0,0,3,3
PUCARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,2,0,0,1,2,3
PUERTO ACOSTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,2,0,0,0,2,2
PUERTO CARABUCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,2,0,0,2,2,4
PUERTO RICO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
PUNATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,3,0,0,0,3,3
QUILLACOLLO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,3,9,4,19,7,28,35
RAVELO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,3,0,0,0,3,3
RURRENABAQUE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,0,2,0,2,0,2
SABAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,3,4,0,0,3,4,7
SACABA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,14,0,1,2,15,17
SACABAMBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,3,0,0,1,3,4
SAN IGNACIO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,14,0,0,1,14,15
SAN MATIAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,3,1,0,0,3,1,4
SAN PABLO DE LIPEZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,2,0,0,0,2,2
SAN PEDRO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,82,174,165,40,247,214,461
SANTA ROSA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,0,2,15,2,15,17
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,0,0,0,1,0,1
SANTIVAÑES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,2,4,0,0,2,4,6
SANTUARIO DE QUILLACAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
SIPE SIPE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,4,7,0,0,4,7,11
SORATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,0,1,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,4,8,0,0,4,8,12
TARABUCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,0,0,0,1,0,1
TARATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,1,0,0,1,1,2
TARIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,7,29,0,0,7,29,36
TIQUIPAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,5,12,0,0,5,12,17
TIRAQUE (CBBA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,3,2,4,3,7,10
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,0,0,2,0,2,2
TOCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,0,0,0,1,0,1
TOLATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,4,0,0,0,4,4
TOLEDO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,0,0,0,1,0,1
TORO TORO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,3,0,0,0,3,0,3
TOTORA(CBBA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,0,1,4,1,4,5
TRINIDAD,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,9,16,196,1,205,17,222
TUPIZA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,1,6,0,0,1,6,7
URIONDO (A. CONCEPCION),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-02-01,0,1,0,0,0,1,1
