,group,variable,month,17.26 COVID-19 3RA DOSIS DENTRO,17.26 COVID-19 3RA DOSIS DENTRO,17.26 COVID-19 3RA DOSIS FUERA,17.26 COVID-19 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,0,1,6,4,6,10
BERMEJO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,15,5,0,0,15,5,20
BETANZOS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,8,0,0,8,8,16
BOLIVAR,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,1,0,1,0,1
BOLPEBRA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,2,4,3,9,5,14
BOYUIBE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,24,2,0,0,24,2,26
BUENA VISTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,17,8,4,3,21,11,32
CABEZAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,21,5,0,0,21,5,26
CAIROMA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,7,5,6,13,13,26
"CAIZA ""D""",otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,4,0,3,1,7,8
CAJUATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,23,30,20,16,43,46,89
CALACOTO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,2,3,5,5,7,12
CALAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,2,21,8,25,10,35
CAMARGO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,11,11,0,1,11,12,23
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,50,15,4,0,54,15,69
CAPINOTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,30,26,0,0,30,26,56
CAQUIAVIRI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,5,2,1,10,6,16
CARACOLLO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,35,18,0,0,35,18,53
CARANAVI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,26,16,8,2,34,18,52
CARAPARI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,7,11,6,3,13,14,27
CARIPUYO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,1,0,0,3,1,4
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 3ra dosis,2023-01-01,11,9,0,0,11,9,20
CATACORA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,1,5,1,5,6
CHACARILLA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,0,0,2,0,2
CHALLAPATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,31,18,13,5,44,23,67
CHAQUI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,5,0,0,1,5,6
CHARAGUA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,4,2,1,10,5,15
CHARAÑA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,2,2,1,2,3,5
CHAYANTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,3,0,1,0,4,4
CHIMORE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,24,21,166,2,190,23,213
CHIPAYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,0,0,2,3,5
CHOQUE COTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,4,0,0,4,4,8
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,15,6,9,14,24,38
CHUMA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,4,16,12,20,16,36
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,0,0,2,0,2
CKOCHAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,2,1,2,1,3
CLIZA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,33,41,36,55,69,96,165
COBIJA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,58,76,153,125,211,201,412
COCAPATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,13,0,0,5,13,18
COCHABAMBA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2966,3611,810,875,3776,4486,8262
COLCAPIRHUA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,45,55,197,212,242,267,509
"COLCHA ""K""",otras vacunaciones,covid-19 3ra dosis,2023-01-01,30,9,1,0,31,9,40
COLLANA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,5,6,8,9,13,22
COLOMI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,13,11,11,17,24,28,52
COLPA BELGICA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,0,0,0,4,0,4
COLQUECHACA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,1,5,2,7,3,10
COLQUENCHA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,12,5,25,27,37,32,69
COLQUIRI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,9,9,16,9,25,18,43
COMANCHE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,1,0,0,1,1,2
COMARAPA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,3,0,0,4,3,7
COMBAYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,1,0,2,0,2
CONCEPCION,otras vacunaciones,covid-19 3ra dosis,2023-01-01,13,14,0,0,13,14,27
COPACABANA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,7,12,1,0,8,12,20
CORIPATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,15,20,4,3,19,23,42
CORO CORO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,9,5,36,2,45,7,52
COROICO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,18,24,3,2,21,26,47
CORQUE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,5,0,0,4,5,9
COTAGAITA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,5,3,5,8,10,18
COTOCA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,108,118,16,24,124,142,266
CUATRO CAÑADAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,15,9,5,1,20,10,30
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,6,6,7,6,13
CUEVO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,2,0,0,1,2,3
CULPINA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,5,2,0,6,5,11
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,0,0,2,3,5
CURVA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,5,6,6,6,12
DESAGUADERO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,572,660,262,241,834,901,1735
EL CHORO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,0,0,0,3,0,3
EL PUENTE(STC),otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,8,0,0,1,8,9
EL PUENTE(TJA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,6,1,6,6,12,18
EL TORNO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,41,45,1,1,42,46,88
ENTRE RIOS TRJ,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,17,1,4,3,21,24
ENTRE RIOS CBBA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,44,19,32,26,76,45,121
ESCARA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,1,0,0,1,1,2
ESCOMA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,3,2,2,8,5,13
ESMERALDA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,5,0,0,6,5,11
EUCALIPTUS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,0,0,2,3,5
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,1,4,1,4,5
FERNANDEZ ALONSO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,21,9,1,6,22,15,37
FILADELFIA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,1,1,6,1,7,8
GENERAL SAAVEDRA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,13,19,0,0,13,19,32
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,2,7,8,8,10,18
GUANAY,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,4,8,7,14,11,25
GUAQUI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,1,3,0,9,1,10
GUAYARAMERIN,otras vacunaciones,covid-19 3ra dosis,2023-01-01,14,21,7,5,21,26,47
GUTIERREZ,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,0,0,1,0,1
HUACARAJE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,3,0,0,0,3,3
HUACARETA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,1,0,0,5,1,6
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,2,1,3,3,5,8
HUACHACALLA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,2,0,0,6,2,8
HUANUNI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,14,13,0,0,14,13,27
HUARINA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,7,4,6,10,13,23
HUATAJATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,25,18,25,18,43
HUAYLLAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,5,5,2,9,7,16
HUMANATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,2,0,0,3,2,5
ICHOCA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,2,7,8,13,10,23
INCAHUASI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,1,0,0,3,1,4
INGAVI (HUMAITA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,0,0,1,0,1
INQUISIVI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,1,0,0,2,1,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,13,14,23,23,36,37,73
IXIAMAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,4,2,1,3,5,8
JESUS DE MACHACA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,4,6,8,10,12,22
LA ASUNTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,16,18,6,4,22,22,44
LA GUARDIA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,143,171,1,1,144,172,316
LA PAZ,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1218,1646,796,963,2014,2609,4623
LAGUNILLAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,9,8,15,11,24,19,43
LAJA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,18,25,4,6,22,31,53
LAS CARRERAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,1,8,22,10,23,33
LICOMA PAMPA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,2,4,2,4,6
LLALLAGUA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,35,43,58,76,93,119,212
LLICA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,0,0,2,0,2
LURIBAY,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,5,18,18,24,23,47
MACHACAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,14,21,0,0,14,21,35
MACHARETI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,48,16,0,0,48,16,64
MAGDALENA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,2,1,3,1,4
MAIRANA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,7,0,0,4,7,11
MALLA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,0,1,1,1,2
MAPIRI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,4,0,0,8,4,12
MINEROS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,19,38,1,0,20,38,58
MIZQUE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,16,8,26,46,42,54,96
MOCOMOCO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,9,31,26,37,35,72
MOJOCOYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,3,2,5,5,8,13
MONTEAGUDO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,19,13,1,2,20,15,35
MONTERO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,170,239,7,10,177,249,426
MOROCHATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,1,3,0,7,1,8
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,1,5,11,7,12,19
NAZACARA DE PACAJES,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,1,0,1,0,1
OCURI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,3,4,4,4,8
OKINAWA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,15,18,3,2,18,20,38
OMEREQUE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,16,12,16,12,28
ORURO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,955,819,21,28,976,847,1823
PADCAYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,3,0,0,4,3,7
PADILLA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,7,15,15,20,22,35,57
PAILON,otras vacunaciones,covid-19 3ra dosis,2023-01-01,11,9,2,2,13,11,24
PALCA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,0,0,1,0,1
PALOS BLANCOS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,11,9,13,16,24,25,49
PAMPA AULLAGAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,0,0,2,3,5
PAMPA GRANDE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,2,1,0,4,2,6
PAPEL PAMPA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,12,6,2,2,14,8,22
PASORAPA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,3,3,2,4,5,9
PATACAMAYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,32,14,0,1,32,15,47
PAZÑA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,4,0,0,3,4,7
PELECHUCO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,1,5,6,6,7,13
POCOATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,0,0,0,3,0,3
POCONA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,5,1,0,6,5,11
POJO (CBBA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,2,2,4,2,6,8
POOPO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,7,12,0,0,7,12,19
POROMA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,1,2,4,3,5,8
PORONGO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,13,20,2,1,15,21,36
PORTACHUELO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,15,13,6,9,21,22,43
PORVENIR,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,6,7,0,7,6,13
POSTRER VALLE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,9,6,8,10,17,27
POTOSI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,252,370,195,69,447,439,886
PRESTO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,1,2,3,2,5
PUCARA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,4,10,9,16,13,29
PUERTO ACOSTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,4,5,5,7,9,16
PUERTO CARABUCO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,11,4,9,9,20,13,33
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,5,0,1,1,6,7
PUERTO PEREZ,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,1,0,1,2,2,4
PUERTO QUIJARRO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,1,0,0,1,1,2
PUERTO RICO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,3,0,0,0,3,3
PUERTO SUAREZ,otras vacunaciones,covid-19 3ra dosis,2023-01-01,41,58,0,0,41,58,99
PUERTO VILLARROEL,otras vacunaciones,covid-19 3ra dosis,2023-01-01,28,19,25,41,53,60,113
PUNA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,7,4,1,0,8,4,12
PUNATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,50,39,15,10,65,49,114
QUIABAYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,1,3,1,3,4
QUILLACOLLO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,538,484,392,311,930,795,1725
QUIME,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,3,6,6,7,9,16
QUIRUSILLAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,1,2,8,3,9,12
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,1,0,3,0,3
RAVELO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,1,1,0,2,1,3
REYES,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,2,0,0,2,2,4
RIBERALTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,38,47,1,3,39,50,89
ROBORE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,34,25,68,9,102,34,136
RURRENABAQUE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,23,24,15,14,38,38,76
SABAYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,12,10,0,0,12,10,22
SACABA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,470,476,211,193,681,669,1350
SACABAMBA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,1,6,7,9,8,17
SACACA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,1,1,4,5,5,10
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,2,1,3,5,5,10
SAMAIPATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,4,2,3,4,7,11
SAN ANDRES,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,2,12,11,14,13,27
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,1,4,7,6,8,14
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,8,0,2,3,10,13
SAN BENITO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,39,13,0,0,39,13,52
SAN BORJA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,17,14,0,0,17,14,31
SAN BUENA VENTURA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,2,3,2,3,5
SAN CARLOS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,11,0,0,3,11,14
SAN IGNACIO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,9,4,11,10,20,14,34
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,86,85,1,4,87,89,176
SAN JAVIER(STC),otras vacunaciones,covid-19 3ra dosis,2023-01-01,14,16,0,0,14,16,30
SAN JOAQUIN,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,3,1,1,4,4,8
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,19,11,0,0,19,11,30
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,7,0,3,6,10,16
SAN JULIAN,otras vacunaciones,covid-19 3ra dosis,2023-01-01,21,30,11,12,32,42,74
SAN LORENZO(PND),otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,12,4,8,12,20,32
SAN LORENZO(TJA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,6,4,11,8,17,25
SAN LUCAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,6,2,0,7,6,13
SAN MATIAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,62,8,62,8,70
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,18,47,14,3,32,50,82
SAN PEDRO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,7,13,1,1,8,14,22
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,12,15,5,3,17,18,35
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,1,1,3,3,4,7
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,11,3,4,1,15,4,19
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,1,1,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,4,3,6,6,12
SAN PEDRO(PND),otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,1,0,1,0,1
SAN RAFAEL,otras vacunaciones,covid-19 3ra dosis,2023-01-01,22,12,0,0,22,12,34
SAN RAMON BENI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,17,0,0,8,17,25
SAN RAMON SCZ,otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,10,0,0,5,10,15
SANTA ANA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,10,0,0,3,10,13
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2280,2191,389,399,2669,2590,5259
SANTA ROSA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,3,0,0,6,3,9
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,10,6,0,0,10,6,16
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,0,0,2,3,5
SANTIAGO DE HUARI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,8,5,10,32,18,37,55
SANTIAGO DE HUATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,1,3,3,3,6
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,0,15,14,15,14,29
SANTIVAÑES,otras vacunaciones,covid-19 3ra dosis,2023-01-01,18,18,0,0,18,18,36
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,1,1,3,4,7
SAPAHAQUI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,3,61,55,61,58,119
SENA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,0,9,15,15,15,30
SHINAOTA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,16,22,0,0,16,22,38
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,11,4,1,3,12,7,19
SICAYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,5,8,4,3,9,11,20
SIPE SIPE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,31,18,47,43,78,61,139
SOPACHUY,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,1,0,0,0,1,1
SORACACHI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,9,4,0,0,9,4,13
SORATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,10,7,1,11,11,22
SUCRE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,264,324,30,30,294,354,648
TACACOMA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,1,6,8,6,9,15
TACOBAMBA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,0,0,1,0,1
TACOPAYA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,1,0,7,1,8,9
TAHUA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,31,32,5,3,36,35,71
TARABUCO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,1,3,4,5,5,10
TARACO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,0,0,2,0,2
TARATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,12,9,1,4,13,13,26
TARIJA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,161,207,5,8,166,215,381
TARVITA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,4,5,3,7,7,14
TEOPONTE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,9,5,3,3,12,8,20
