,group,variable,month,17.21 SR DENTRO,17.21 SR DENTRO,17.21 SR FUERA,17.21 SR FUERA,TOTALES,TOTALES,TOTALES
COBIJA,otras vacunaciones,sr,2023-01-01,2,2,40,28,42,30,72
COCHABAMBA,otras vacunaciones,sr,2023-01-01,162,242,34,69,196,311,507
COLCAPIRHUA,otras vacunaciones,sr,2023-01-01,1,6,6,10,7,16,23
"COLCHA ""K""",otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
COLPA BELGICA,otras vacunaciones,sr,2023-01-01,0,2,0,0,0,2,2
COMARAPA,otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,sr,2023-01-01,13,9,4,3,17,12,29
COPACABANA,otras vacunaciones,sr,2023-01-01,3,11,17,48,20,59,79
CORO CORO,otras vacunaciones,sr,2023-01-01,5,1,0,0,5,1,6
CORQUE,otras vacunaciones,sr,2023-01-01,5,1,0,0,5,1,6
COTOCA,otras vacunaciones,sr,2023-01-01,4,7,0,0,4,7,11
CUATRO CAÑADAS,otras vacunaciones,sr,2023-01-01,1,4,2,1,3,5,8
CUEVO,otras vacunaciones,sr,2023-01-01,0,0,1,1,1,1,2
CULPINA,otras vacunaciones,sr,2023-01-01,0,0,4,0,4,0,4
CURAHUARA DE CARANGAS,otras vacunaciones,sr,2023-01-01,0,0,1,1,1,1,2
EL ALTO,otras vacunaciones,sr,2023-01-01,37,36,6,11,43,47,90
EL CHORO,otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,sr,2023-01-01,1,2,0,0,1,2,3
ENTRE RIOS TRJ,otras vacunaciones,sr,2023-01-01,0,2,0,0,0,2,2
ESCOMA,otras vacunaciones,sr,2023-01-01,0,0,0,3,0,3,3
FILADELFIA,otras vacunaciones,sr,2023-01-01,0,1,1,2,1,3,4
GENERAL SAAVEDRA,otras vacunaciones,sr,2023-01-01,0,3,0,1,0,4,4
GUAYARAMERIN,otras vacunaciones,sr,2023-01-01,4,3,12,6,16,9,25
HUACARAJE,otras vacunaciones,sr,2023-01-01,1,1,0,0,1,1,2
HUACARETA,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
HUATAJATA,otras vacunaciones,sr,2023-01-01,1,0,1,0,2,0,2
HUAYLLAMARCA,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
IXIAMAS,otras vacunaciones,sr,2023-01-01,14,6,4,8,18,14,32
LA GUARDIA,otras vacunaciones,sr,2023-01-01,4,4,9,10,13,14,27
LA PAZ,otras vacunaciones,sr,2023-01-01,126,130,16,9,142,139,281
LAS CARRERAS,otras vacunaciones,sr,2023-01-01,0,0,0,1,0,1,1
LLALLAGUA,otras vacunaciones,sr,2023-01-01,6,3,9,15,15,18,33
LORETO,otras vacunaciones,sr,2023-01-01,0,0,9,11,9,11,20
LURIBAY,otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
MACHACAMARCA,otras vacunaciones,sr,2023-01-01,0,0,0,1,0,1,1
MAPIRI,otras vacunaciones,sr,2023-01-01,0,0,1,0,1,0,1
MECAPACA,otras vacunaciones,sr,2023-01-01,1,2,0,0,1,2,3
MIZQUE,otras vacunaciones,sr,2023-01-01,1,1,3,0,4,1,5
MOCOMOCO,otras vacunaciones,sr,2023-01-01,2,7,2,12,4,19,23
MOJOCOYA,otras vacunaciones,sr,2023-01-01,0,0,3,7,3,7,10
MONTERO,otras vacunaciones,sr,2023-01-01,1,5,0,0,1,5,6
ORURO,otras vacunaciones,sr,2023-01-01,16,17,15,19,31,36,67
PADILLA,otras vacunaciones,sr,2023-01-01,0,2,4,1,4,3,7
PAILON,otras vacunaciones,sr,2023-01-01,1,2,1,1,2,3,5
PALCA,otras vacunaciones,sr,2023-01-01,1,4,4,2,5,6,11
PAMPA AULLAGAS,otras vacunaciones,sr,2023-01-01,3,5,0,0,3,5,8
PAMPA GRANDE,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
PAPEL PAMPA,otras vacunaciones,sr,2023-01-01,0,0,2,2,2,2,4
PATACAMAYA,otras vacunaciones,sr,2023-01-01,1,1,0,0,1,1,2
PORTACHUELO,otras vacunaciones,sr,2023-01-01,4,2,0,0,4,2,6
PORVENIR,otras vacunaciones,sr,2023-01-01,0,1,1,2,1,3,4
POTOSI,otras vacunaciones,sr,2023-01-01,92,166,0,2,92,168,260
PUCARA,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,sr,2023-01-01,0,1,2,0,2,1,3
PUERTO ACOSTA,otras vacunaciones,sr,2023-01-01,4,4,4,8,8,12,20
PUERTO CARABUCO,otras vacunaciones,sr,2023-01-01,5,7,8,2,13,9,22
PUERTO PEREZ,otras vacunaciones,sr,2023-01-01,0,4,3,1,3,5,8
PUERTO QUIJARRO,otras vacunaciones,sr,2023-01-01,1,1,2,1,3,2,5
PUERTO RICO,otras vacunaciones,sr,2023-01-01,0,0,1,4,1,4,5
PUERTO VILLARROEL,otras vacunaciones,sr,2023-01-01,2,5,0,0,2,5,7
PUNATA,otras vacunaciones,sr,2023-01-01,4,1,1,1,5,2,7
QUILLACOLLO,otras vacunaciones,sr,2023-01-01,12,15,7,13,19,28,47
REYES,otras vacunaciones,sr,2023-01-01,0,0,1,3,1,3,4
RURRENABAQUE,otras vacunaciones,sr,2023-01-01,11,15,23,28,34,43,77
SACABA,otras vacunaciones,sr,2023-01-01,8,13,1,3,9,16,25
SALINAS DE GARCI MENDOZA,otras vacunaciones,sr,2023-01-01,1,1,0,0,1,1,2
SAN ANDRES,otras vacunaciones,sr,2023-01-01,1,8,34,35,35,43,78
SAN BORJA,otras vacunaciones,sr,2023-01-01,2,5,0,0,2,5,7
SAN BUENA VENTURA,otras vacunaciones,sr,2023-01-01,0,0,5,3,5,3,8
SAN IGNACIO,otras vacunaciones,sr,2023-01-01,5,6,58,58,63,64,127
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2023-01-01,10,10,1,2,11,12,23
SAN JAVIER(BNI),otras vacunaciones,sr,2023-01-01,1,0,4,2,5,2,7
SAN JAVIER(STC),otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,sr,2023-01-01,0,7,1,4,1,11,12
SAN LORENZO(TJA),otras vacunaciones,sr,2023-01-01,1,4,0,0,1,4,5
SAN LUCAS,otras vacunaciones,sr,2023-01-01,1,2,0,0,1,2,3
SAN MIGUEL DE VELASCO,otras vacunaciones,sr,2023-01-01,1,3,0,0,1,3,4
SAN PEDRO,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,sr,2023-01-01,0,5,0,0,0,5,5
SAN RAMON BENI,otras vacunaciones,sr,2023-01-01,6,9,0,0,6,9,15
SAN RAMON SCZ,otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,sr,2023-01-01,3,3,0,0,3,3,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2023-01-01,295,302,43,62,338,364,702
SANTA ROSA,otras vacunaciones,sr,2023-01-01,6,6,0,0,6,6,12
SANTA ROSA DEL SARA,otras vacunaciones,sr,2023-01-01,0,2,0,2,0,4,4
SANTIAGO DE HUATA,otras vacunaciones,sr,2023-01-01,5,4,0,1,5,5,10
SENA,otras vacunaciones,sr,2023-01-01,1,1,11,12,12,13,25
SHINAOTA,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),otras vacunaciones,sr,2023-01-01,0,0,0,1,0,1,1
SIPE SIPE,otras vacunaciones,sr,2023-01-01,1,3,0,0,1,3,4
SORATA,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,sr,2023-01-01,16,37,3,4,19,41,60
TAPACARI,otras vacunaciones,sr,2023-01-01,0,3,0,2,0,5,5
TARATA,otras vacunaciones,sr,2023-01-01,1,2,2,1,3,3,6
TARIJA,otras vacunaciones,sr,2023-01-01,15,30,23,22,38,52,90
TARVITA,otras vacunaciones,sr,2023-01-01,0,5,0,0,0,5,5
TEOPONTE,otras vacunaciones,sr,2023-01-01,6,9,0,0,6,9,15
TINGUIPAYA,otras vacunaciones,sr,2023-01-01,1,0,2,0,3,0,3
TIQUIPAYA,otras vacunaciones,sr,2023-01-01,2,0,0,0,2,0,2
TOCO,otras vacunaciones,sr,2023-01-01,0,2,0,1,0,3,3
TOLATA,otras vacunaciones,sr,2023-01-01,0,0,0,1,0,1,1
TOLEDO,otras vacunaciones,sr,2023-01-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,sr,2023-01-01,29,65,392,472,421,537,958
TUPIZA,otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
UYUNI,otras vacunaciones,sr,2023-01-01,2,0,3,8,5,8,13
VALLEGRANDE,otras vacunaciones,sr,2023-01-01,3,4,0,3,3,7,10
VIACHA,otras vacunaciones,sr,2023-01-01,1,1,1,0,2,1,3
VILLA MONTES,otras vacunaciones,sr,2023-01-01,6,5,0,0,6,5,11
VILLA NUEVA (LOMA ALTA),otras vacunaciones,sr,2023-01-01,1,0,1,6,2,6,8
VILLA RIVERO,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,sr,2023-01-01,11,37,3,6,14,43,57
VILLAZON,otras vacunaciones,sr,2023-01-01,8,13,25,30,33,43,76
WARNES,otras vacunaciones,sr,2023-01-01,9,19,2,1,11,20,31
YACUIBA,otras vacunaciones,sr,2023-01-01,23,15,8,9,31,24,55
YAPACANI,otras vacunaciones,sr,2023-01-01,2,4,4,9,6,13,19
ACHACACHI,otras vacunaciones,sr,2023-02-01,1,1,0,0,1,1,2
ACHOCALLA,otras vacunaciones,sr,2023-02-01,0,1,4,1,4,2,6
AIQUILE,otras vacunaciones,sr,2023-02-01,1,1,0,0,1,1,2
ALCALA,otras vacunaciones,sr,2023-02-01,2,5,0,0,2,5,7
ANDAMARCA,otras vacunaciones,sr,2023-02-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,sr,2023-02-01,0,0,1,0,1,0,1
ARANI,otras vacunaciones,sr,2023-02-01,0,0,1,1,1,1,2
ARQUE,otras vacunaciones,sr,2023-02-01,0,2,0,0,0,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2023-02-01,0,2,2,0,2,2,4
ATOCHA,otras vacunaciones,sr,2023-02-01,1,2,0,0,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,sr,2023-02-01,0,0,1,0,1,0,1
BATALLAS,otras vacunaciones,sr,2023-02-01,2,28,1,6,3,34,37
BAURES,otras vacunaciones,sr,2023-02-01,0,0,1,0,1,0,1
BELLA FLOR,otras vacunaciones,sr,2023-02-01,0,0,2,3,2,3,5
BERMEJO,otras vacunaciones,sr,2023-02-01,2,1,0,0,2,1,3
BOLPEBRA,otras vacunaciones,sr,2023-02-01,0,0,1,1,1,1,2
BUENA VISTA,otras vacunaciones,sr,2023-02-01,2,0,0,0,2,0,2
CAIROMA,otras vacunaciones,sr,2023-02-01,0,0,2,0,2,0,2
CALAMARCA,otras vacunaciones,sr,2023-02-01,0,2,0,0,0,2,2
CAPINOTA,otras vacunaciones,sr,2023-02-01,0,0,2,5,2,5,7
CARACOLLO,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,sr,2023-02-01,5,4,2,1,7,5,12
CARMEN RIVERO TORREZ,otras vacunaciones,sr,2023-02-01,2,3,0,0,2,3,5
CHALLAPATA,otras vacunaciones,sr,2023-02-01,0,0,1,0,1,0,1
CHARAGUA,otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
CHARAÑA,otras vacunaciones,sr,2023-02-01,0,1,2,0,2,1,3
CHIMORE,otras vacunaciones,sr,2023-02-01,0,0,6,0,6,0,6
CHIPAYA,otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,sr,2023-02-01,0,0,11,9,11,9,20
CLIZA,otras vacunaciones,sr,2023-02-01,0,2,0,4,0,6,6
COBIJA,otras vacunaciones,sr,2023-02-01,15,5,4,12,19,17,36
COCHABAMBA,otras vacunaciones,sr,2023-02-01,76,111,57,63,133,174,307
COLCAPIRHUA,otras vacunaciones,sr,2023-02-01,2,1,5,3,7,4,11
"COLCHA ""K""",otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
COLLANA,otras vacunaciones,sr,2023-02-01,1,3,0,0,1,3,4
COLOMI,otras vacunaciones,sr,2023-02-01,0,1,1,1,1,2,3
COLPA BELGICA,otras vacunaciones,sr,2023-02-01,1,0,2,0,3,0,3
COLQUENCHA,otras vacunaciones,sr,2023-02-01,2,5,0,0,2,5,7
COMANCHE,otras vacunaciones,sr,2023-02-01,0,0,0,1,0,1,1
COMARAPA,otras vacunaciones,sr,2023-02-01,1,3,1,1,2,4,6
COMBAYA,otras vacunaciones,sr,2023-02-01,1,1,0,0,1,1,2
CONCEPCION,otras vacunaciones,sr,2023-02-01,1,5,3,1,4,6,10
CORO CORO,otras vacunaciones,sr,2023-02-01,1,2,1,0,2,2,4
COTOCA,otras vacunaciones,sr,2023-02-01,37,38,2,1,39,39,78
CUATRO CAÑADAS,otras vacunaciones,sr,2023-02-01,0,1,1,1,1,2,3
CURAHUARA DE CARANGAS,otras vacunaciones,sr,2023-02-01,2,3,0,0,2,3,5
EL ALTO,otras vacunaciones,sr,2023-02-01,21,43,15,24,36,67,103
EL CHORO,otras vacunaciones,sr,2023-02-01,3,0,0,0,3,0,3
EL TORNO,otras vacunaciones,sr,2023-02-01,0,5,0,0,0,5,5
EL VILLAR,otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,sr,2023-02-01,8,4,0,0,8,4,12
ESMERALDA,otras vacunaciones,sr,2023-02-01,0,2,0,0,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,sr,2023-02-01,0,0,1,0,1,0,1
EXALTACION,otras vacunaciones,sr,2023-02-01,0,0,17,0,17,0,17
FILADELFIA,otras vacunaciones,sr,2023-02-01,3,9,8,7,11,16,27
GENERAL SAAVEDRA,otras vacunaciones,sr,2023-02-01,0,3,0,2,0,5,5
GUAYARAMERIN,otras vacunaciones,sr,2023-02-01,3,2,89,139,92,141,233
HUACARAJE,otras vacunaciones,sr,2023-02-01,1,2,0,0,1,2,3
HUACARETA,otras vacunaciones,sr,2023-02-01,1,1,0,0,1,1,2
HUACHACALLA,otras vacunaciones,sr,2023-02-01,0,0,208,0,208,0,208
HUANUNI,otras vacunaciones,sr,2023-02-01,4,9,1,4,5,13,18
HUAYLLAMARCA,otras vacunaciones,sr,2023-02-01,2,1,0,0,2,1,3
IXIAMAS,otras vacunaciones,sr,2023-02-01,2,8,27,14,29,22,51
LA GUARDIA,otras vacunaciones,sr,2023-02-01,4,11,1,2,5,13,18
LA PAZ,otras vacunaciones,sr,2023-02-01,88,89,23,13,111,102,213
LLALLAGUA,otras vacunaciones,sr,2023-02-01,1,0,1,5,2,5,7
MAGDALENA,otras vacunaciones,sr,2023-02-01,0,0,4,5,4,5,9
MAPIRI,otras vacunaciones,sr,2023-02-01,0,0,8,0,8,0,8
MIZQUE,otras vacunaciones,sr,2023-02-01,0,0,2,2,2,2,4
MOCOMOCO,otras vacunaciones,sr,2023-02-01,0,0,1,1,1,1,2
MOJOCOYA,otras vacunaciones,sr,2023-02-01,9,20,10,10,19,30,49
MONTEAGUDO,otras vacunaciones,sr,2023-02-01,1,1,0,0,1,1,2
MONTERO,otras vacunaciones,sr,2023-02-01,5,5,1,0,6,5,11
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,sr,2023-02-01,0,0,3,0,3,0,3
ORURO,otras vacunaciones,sr,2023-02-01,19,20,7,8,26,28,54
PAILON,otras vacunaciones,sr,2023-02-01,0,2,40,44,40,46,86
PALCA,otras vacunaciones,sr,2023-02-01,2,1,1,0,3,1,4
PALOS BLANCOS,otras vacunaciones,sr,2023-02-01,2,1,0,0,2,1,3
PAMPA AULLAGAS,otras vacunaciones,sr,2023-02-01,2,1,0,0,2,1,3
PATACAMAYA,otras vacunaciones,sr,2023-02-01,1,1,0,0,1,1,2
POCONA,otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
PORTACHUELO,otras vacunaciones,sr,2023-02-01,0,2,0,0,0,2,2
PORVENIR,otras vacunaciones,sr,2023-02-01,0,2,7,2,7,4,11
POSTRER VALLE,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,sr,2023-02-01,56,90,0,0,56,90,146
PUCARANI,otras vacunaciones,sr,2023-02-01,3,6,3,1,6,7,13
PUERTO ACOSTA,otras vacunaciones,sr,2023-02-01,0,3,3,1,3,4,7
PUERTO CARABUCO,otras vacunaciones,sr,2023-02-01,2,0,17,12,19,12,31
PUERTO QUIJARRO,otras vacunaciones,sr,2023-02-01,1,0,1,0,2,0,2
PUERTO RICO,otras vacunaciones,sr,2023-02-01,0,0,7,6,7,6,13
PUERTO VILLARROEL,otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
PUNATA,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,sr,2023-02-01,11,19,13,17,24,36,60
RAVELO,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
REYES,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
ROBORE,otras vacunaciones,sr,2023-02-01,1,1,0,0,1,1,2
RURRENABAQUE,otras vacunaciones,sr,2023-02-01,3,4,0,3,3,7,10
SABAYA,otras vacunaciones,sr,2023-02-01,1,2,0,0,1,2,3
SACABA,otras vacunaciones,sr,2023-02-01,2,6,2,1,4,7,11
SALINAS DE GARCI MENDOZA,otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
SAN ANDRES,otras vacunaciones,sr,2023-02-01,4,4,7,18,11,22,33
SAN ANTONIO DE LOMERIO,otras vacunaciones,sr,2023-02-01,2,2,0,0,2,2,4
SAN BORJA,otras vacunaciones,sr,2023-02-01,0,3,12,20,12,23,35
SAN BUENA VENTURA,otras vacunaciones,sr,2023-02-01,0,0,1,2,1,2,3
SAN CARLOS,otras vacunaciones,sr,2023-02-01,1,0,3,2,4,2,6
SAN IGNACIO,otras vacunaciones,sr,2023-02-01,15,11,58,97,73,108,181
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2023-02-01,4,8,2,0,6,8,14
SAN JAVIER(STC),otras vacunaciones,sr,2023-02-01,20,24,0,0,20,24,44
SAN JOSE DE CHIQUITOS,otras vacunaciones,sr,2023-02-01,0,0,0,2,0,2,2
SAN JULIAN,otras vacunaciones,sr,2023-02-01,0,8,0,0,0,8,8
SAN LORENZO(TJA),otras vacunaciones,sr,2023-02-01,0,1,1,1,1,2,3
SAN LUCAS,otras vacunaciones,sr,2023-02-01,1,1,1,0,2,1,3
SAN RAMON BENI,otras vacunaciones,sr,2023-02-01,8,28,0,0,8,28,36
SAN RAMON SCZ,otras vacunaciones,sr,2023-02-01,3,0,0,0,3,0,3
SANTA ANA,otras vacunaciones,sr,2023-02-01,3,5,78,0,81,5,86
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2023-02-01,133,195,57,61,190,256,446
SANTA ROSA DEL SARA,otras vacunaciones,sr,2023-02-01,2,3,0,0,2,3,5
SANTIAGO DE HUARI,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
SANTIAGO DE MACHACA,otras vacunaciones,sr,2023-02-01,0,0,2,0,2,0,2
SANTIVAÑES,otras vacunaciones,sr,2023-02-01,4,3,4,2,8,5,13
SENA,otras vacunaciones,sr,2023-02-01,1,4,13,17,14,21,35
SHINAOTA,otras vacunaciones,sr,2023-02-01,0,3,0,0,0,3,3
SIPE SIPE,otras vacunaciones,sr,2023-02-01,1,1,1,2,2,3,5
SORATA,otras vacunaciones,sr,2023-02-01,1,0,0,4,1,4,5
SUCRE,otras vacunaciones,sr,2023-02-01,7,18,6,1,13,19,32
TACOPAYA,otras vacunaciones,sr,2023-02-01,2,1,0,0,2,1,3
TAPACARI,otras vacunaciones,sr,2023-02-01,1,2,0,0,1,2,3
TARABUCO,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,sr,2023-02-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,sr,2023-02-01,6,26,4,2,10,28,38
TARVITA,otras vacunaciones,sr,2023-02-01,0,1,6,9,6,10,16
TEOPONTE,otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
TIPUANI,otras vacunaciones,sr,2023-02-01,0,0,9,1,9,1,10
TIRAQUE (CBBA),otras vacunaciones,sr,2023-02-01,0,0,5,3,5,3,8
TOCO,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
TOLATA,otras vacunaciones,sr,2023-02-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,sr,2023-02-01,15,42,322,347,337,389,726
TUPIZA,otras vacunaciones,sr,2023-02-01,0,2,0,0,0,2,2
URIONDO (A. CONCEPCION),otras vacunaciones,sr,2023-02-01,0,0,4,6,4,6,10
UYUNI,otras vacunaciones,sr,2023-02-01,0,2,0,0,0,2,2
VACAS,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,sr,2023-02-01,0,3,0,0,0,3,3
VIACHA,otras vacunaciones,sr,2023-02-01,0,0,8,14,8,14,22
VILLA CHARCAS,otras vacunaciones,sr,2023-02-01,0,0,6,4,6,4,10
VILLA MONTES,otras vacunaciones,sr,2023-02-01,5,2,0,0,5,2,7
VILLA NUEVA (LOMA ALTA),otras vacunaciones,sr,2023-02-01,0,0,1,2,1,2,3
VILLA RIVERO,otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,sr,2023-02-01,4,3,3,7,7,10,17
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,sr,2023-02-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,sr,2023-02-01,1,10,6,16,7,26,33
WARNES,otras vacunaciones,sr,2023-02-01,3,5,5,5,8,10,18
YACUIBA,otras vacunaciones,sr,2023-02-01,7,10,27,30,34,40,74
YAPACANI,otras vacunaciones,sr,2023-02-01,1,2,0,0,1,2,3
YOTALA,otras vacunaciones,sr,2023-02-01,0,1,0,0,0,1,1
YUNCHARA,otras vacunaciones,sr,2023-02-01,0,0,2,5,2,5,7
ACACIO,otras vacunaciones,sr,2023-03-01,0,0,0,1,0,1,1
ACHACACHI,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
ACHOCALLA,otras vacunaciones,sr,2023-03-01,2,1,1,1,3,2,5
AIQUILE,otras vacunaciones,sr,2023-03-01,0,1,2,0,2,1,3
ANDAMARCA,otras vacunaciones,sr,2023-03-01,0,0,0,2,0,2,2
ANTEQUERA,otras vacunaciones,sr,2023-03-01,0,0,4,3,4,3,7
ARBIETO,otras vacunaciones,sr,2023-03-01,1,1,3,0,4,1,5
ARQUE,otras vacunaciones,sr,2023-03-01,0,1,0,4,0,5,5
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2023-03-01,4,1,3,4,7,5,12
ATOCHA,otras vacunaciones,sr,2023-03-01,0,2,3,3,3,5,8
AYO AYO,otras vacunaciones,sr,2023-03-01,1,2,19,16,20,18,38
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,sr,2023-03-01,0,0,2,1,2,1,3
BATALLAS,otras vacunaciones,sr,2023-03-01,1,3,35,41,36,44,80
BAURES,otras vacunaciones,sr,2023-03-01,2,0,2,1,4,1,5
BELEN DE ANDAMARCA,otras vacunaciones,sr,2023-03-01,3,10,0,1,3,11,14
BELLA FLOR,otras vacunaciones,sr,2023-03-01,0,0,2,0,2,0,2
BERMEJO,otras vacunaciones,sr,2023-03-01,1,1,10,10,11,11,22
BOLIVAR,otras vacunaciones,sr,2023-03-01,1,3,1,3,2,6,8
BOYUIBE,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,sr,2023-03-01,3,4,8,3,11,7,18
"CAIZA ""D""",otras vacunaciones,sr,2023-03-01,4,1,0,0,4,1,5
CAJUATA,otras vacunaciones,sr,2023-03-01,0,0,1,0,1,0,1
CALAMARCA,otras vacunaciones,sr,2023-03-01,3,2,10,14,13,16,29
CAMARGO,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,sr,2023-03-01,0,0,12,8,12,8,20
CAPINOTA,otras vacunaciones,sr,2023-03-01,1,0,4,6,5,6,11
CARACOLLO,otras vacunaciones,sr,2023-03-01,0,1,6,14,6,15,21
CARANAVI,otras vacunaciones,sr,2023-03-01,24,17,50,35,74,52,126
