,group,variable,month,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,10,6,0,0,10,6,16
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,1,4,0,0,1,4,5
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,2,2,0,0,2,2,4
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,1,2,0,0,1,2,3
ATOCHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,0,2,0,0,0,2,2
CALAMARCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,6,14,0,0,6,14,20
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,8,7,0,0,8,7,15
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,2,1,0,0,2,1,3
SAN JULIAN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,13,14,0,0,13,14,27
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-03-01,1,1,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,6,1,0,0,6,1,7
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,3,2,0,0,3,2,5
OKINAWA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,1,0,0,0,1,0,1
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,2,1,2,2,4,3,7
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,1,0,1,0,2,0,2
SAN RAMON BENI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,6,9,0,0,6,9,15
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,6,7,0,0,6,7,13
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,0,1,1,0,1,1,2
WARNES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-04-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,5,7,0,0,5,7,12
LA GUARDIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,0,6,0,0,0,6,6
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,5,2,0,0,5,2,7
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,2,0,0,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,2,1,0,0,2,1,3
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,2,6,0,0,2,6,8
SAN JULIAN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,11,14,0,0,11,14,25
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,0,0,4,6,4,6,10
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,3,0,0,0,3,0,3
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,0,1,0,0,0,1,1
UNCIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-05-01,0,0,4,5,4,5,9
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,2,0,0,0,2,0,2
CURAHUARA DE CARANGAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,4,0,0,0,4,0,4
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,4,6,0,0,4,6,10
MAGDALENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,6,9,0,0,6,9,15
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,2,2,0,0,2,2,4
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-06-01,12,12,0,0,12,12,24
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,3,0,0,0,3,0,3
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,1,7,0,0,1,7,8
FILADELFIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,0,1,1,0,1,1,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,2,0,0,0,2,0,2
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,0,2,0,0,0,2,2
SAN JULIAN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,1,1,0,0,1,1,2
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,0,0,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,8,2,0,0,8,2,10
SIPE SIPE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,0,1,0,0,0,1,1
TARACO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,2,1,2,3,4,4,8
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-07-01,3,1,0,0,3,1,4
ACHACACHI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,0,7,0,0,0,7,7
COTOCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,2,0,0,0,2,0,2
LA GUARDIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,2,2,0,0,2,2,4
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,14,13,15,11,29,24,53
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,6,0,0,0,6,0,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,20,24,0,0,20,24,44
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,2,0,0,0,2,0,2
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-08-01,0,0,1,0,1,0,1
COTOCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,4,1,0,0,4,1,5
GUAYARAMERIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,1,1,0,0,1,1,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,8,6,0,0,8,6,14
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,0,1,0,1,0,2,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,2,2,0,0,2,2,4
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,0,9,0,0,0,9,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,19,21,0,0,19,21,40
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,1,0,0,0,1,0,1
WARNES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-09-01,0,1,0,0,0,1,1
ATOCHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,1,3,0,0,1,3,4
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,1,0,0,0,1,0,1
COTOCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,3,3,1,0,4,3,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,21,23,0,0,21,23,44
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,1,1,1,4,2,5,7
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-10-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,1,0,0,0,1,0,1
COTAGAITA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,0,4,0,0,0,4,4
GUANAY,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,0,0,1,0,1,0,1
LA GUARDIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,2,7,1,0,3,7,10
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,1,4,0,0,1,4,5
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,5,9,0,0,5,9,14
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,6,5,0,0,6,5,11
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,2,0,0,0,2,0,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,2,3,0,0,2,3,5
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-11-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,2,0,0,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,1,0,3,0,4,0,4
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,5,72,0,0,5,72,77
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,2,2,0,0,2,2,4
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,1,0,0,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,0,3,0,0,0,3,3
VILLA MONTES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-12-01,1,0,0,0,1,0,1
