,group,variable,month,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
AYO AYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,2,0,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,14,21,21,19,35,40,75
AZURDUY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,10,2,1,6,11,17
BATALLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,3,0,0,1,3,4
BELLA FLOR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,4,6,5,6,11
BERMEJO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,28,7,0,0,28,7,35
BETANZOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,9,6,4,2,13,8,21
BOLIVAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,1,0,0,2,1,3
BOLPEBRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,1,3,6,5,7,12
BOYUIBE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,13,1,0,1,13,2,15
BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,7,7,2,2,9,9,18
CABEZAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,14,3,0,0,14,3,17
CAIROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,13,4,5,10,18,28
"CAIZA ""D""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,2,8,0,8,2,10
CAJUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,11,7,16,12,27,19,46
CALAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,12,13,13,15,28
CAMARGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,7,17,0,2,7,19,26
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,2,1,2,3
CAMIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,60,23,2,0,62,23,85
CAPINOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,8,11,0,0,8,11,19
CAQUIAVIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,0,1,0,1,1
CARACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,15,13,0,0,15,13,28
CARANAVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,10,9,3,5,13,14,27
CARAPARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,11,9,0,1,11,10,21
CARIPUYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,0,0,1,1,2
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,8,0,0,4,8,12
CATACORA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,0,1,0,1,1
CHACARILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,0,0,1,2,3
CHALLAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,25,12,2,1,27,13,40
CHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,0,2,2,5,7
CHARAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,4,0,11,2,15,17
CHARAÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,1,1,1,2
CHAYANTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,2,1,0,3,2,5
CHIMORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,15,11,166,0,181,11,192
CHIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,0,0,2,3,5
CHOQUE COTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,3,0,0,0,3,3
CHUA COCANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,5,0,0,4,5,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,6,4,0,7,6,13
CHUMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,1,16,11,20,12,32
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,0,0,1,1,2
CKOCHAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,2,4,3,4,7
CLIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,30,27,14,22,44,49,93
COBIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,38,53,108,128,146,181,327
COCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,6,0,0,4,6,10
COCHABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2962,4105,947,1153,3909,5258,9167
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,50,37,231,215,281,252,533
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,19,19,0,2,19,21,40
COLLANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,5,5,2,10,7,17
COLOMI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,12,0,4,4,16,20
COLPA BELGICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,1,0,0,3,1,4
COLQUECHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,4,1,2,4,6,10
COLQUENCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,15,21,16,22,38
COLQUIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,2,4,7,7,9,16
COMANCHE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,0,1,0,1,1
COMARAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,10,0,0,6,10,16
COMBAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,0,0,0,2,0,2
CONCEPCION,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,10,11,0,0,10,11,21
COPACABANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,4,0,0,0,4,4
CORIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,5,2,1,5,6,11
CORO CORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,2,19,0,23,2,25
COROICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,5,0,0,6,5,11
CORQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,4,6,4,10,8,18
COTOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,42,65,13,12,55,77,132
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,6,53,4,56,10,66
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,5,1,7,1,12,13
CULPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,3,1,0,5,3,8
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,0,0,1,2,3
CURVA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,3,5,3,6,6,12
DESAGUADERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,334,373,89,88,423,461,884
EL CHORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,0,0,0,2,0,2
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,4,0,0,6,4,10
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,5,2,3,2,8,10
EL TORNO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,32,36,0,0,32,36,68
EL VILLAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,0,1,1,2,3
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,13,6,2,5,15,11,26
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,23,13,35,17,58,30,88
ESCOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,4,1,1,2,5,7
ESMERALDA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,0,0,2,3,5
EUCALIPTUS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,2,1,2,3
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,11,4,0,1,11,5,16
FILADELFIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,2,0,3,0,5,5
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,7,0,0,6,7,13
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,10,8,10,8,18
GUANAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,5,8,5,8,13
GUAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,2,0,2,0,2
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,7,15,6,5,13,20,33
HUACARETA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,1,0,0,4,1,5
HUACHACALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,0,0,2,3,5
HUANUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,7,0,0,4,7,11
HUARINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,5,2,2,4,7,11
HUATAJATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,13,6,13,6,19
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,4,1,1,3,5,8
ICHOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,1,4,2,5,7
ICLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,0,1,0,1
INCAHUASI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,3,0,0,0,3,3
INQUISIVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,2,0,2,1,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,8,11,20,15,28,26,54
IXIAMAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,4,1,1,3,5,8
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,3,10,10,13,13,26
LA ASUNTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,7,0,1,5,8,13
LA GUARDIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,106,152,3,2,109,154,263
LA PAZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1091,1551,819,752,1910,2303,4213
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,8,11,14,14,22,36
LAJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,10,5,2,2,12,7,19
LAS CARRERAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,9,5,9,9,18,27
LICOMA PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,0,1,0,1
LLALLAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,27,30,61,88,88,118,206
LLICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,2,0,0,0,2,2
LURIBAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,0,5,5,7,5,12
MACHARETI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,12,2,1,7,13,20
MAGDALENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,1,1,2,3,3,6
MAIRANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,7,0,0,3,7,10
MALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,2,0,0,0,2,2
MAPIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,0,0,0,2,0,2
MINEROS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,36,33,1,0,37,33,70
MIZQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,6,11,31,17,37,54
MOCOMOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,9,9,11,12,23
MOJOCOYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,0,1,0,1,1
MONTEAGUDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,12,12,0,0,12,12,24
MONTERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,109,180,9,16,118,196,314
MORO MORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,1,0,2,0,2
MOROCHATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,1,2,6,4,7,11
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,1,11,1,12,13
NAZACARA DE PACAJES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,3,1,0,1,3,4
OCURI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,4,1,4,5
OKINAWA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,22,2,4,8,26,34
OMEREQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,2,1,2,3
ORURO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,470,511,1,4,471,515,986
PADCAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,3,0,0,1,3,4
PADILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,8,28,36,72,44,100,144
PAILON,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,8,0,0,5,8,13
PALCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,0,1,0,1
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,9,20,15,25,24,49
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,0,0,1,2,3
PAMPA GRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,5,0,7,3,10
PAPEL PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,2,0,2,2,4,6
PASORAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,7,3,2,7,9,16
PATACAMAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,2,1,3,1,4
PAZÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,4,0,0,3,4,7
PELECHUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,2,1,2,1,3
POCONA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,2,1,0,4,2,6
POJO (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,1,1,1,2
POOPO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,5,0,0,3,5,8
POROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,4,1,4,5
PORONGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,25,30,5,4,30,34,64
PORTACHUELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,9,14,0,4,9,18,27
PORVENIR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,2,3,1,5,3,8
POSTRER VALLE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,10,16,1,0,11,16,27
POTOSI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,314,424,45,56,359,480,839
PRESTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,1,3,2,4,6
PUCARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,4,0,0,0,4,4
PUCARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,3,4,4,6,10
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,5,2,5,3,8
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,10,0,8,3,18,21
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,0,0,0,1,1
PUERTO PEREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,2,3,3,3,6
PUERTO RICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,3,0,0,1,3,4
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,5,27,24,33,29,62
PUNA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,0,0,1,2,3
PUNATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,59,46,11,4,70,50,120
QUIABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,0,4,0,4,4
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,333,410,296,301,629,711,1340
QUIME,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,1,2,3,4,4,8
QUIRUSILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,5,5,7,8,15
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,0,1,0,2,2
RAVELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,1,1,2,1,3
REYES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,0,0,1,1,2
RIBERALTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,27,18,0,0,27,18,45
ROBORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,13,32,139,17,152,49,201
RURRENABAQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,8,3,3,9,11,12,23
SABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,4,0,0,3,4,7
SACABA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,311,384,237,163,548,547,1095
SACABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,4,1,4,5
SACACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,2,0,0,3,2,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,4,5,9,6,13,19
SAMAIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,4,4,5,6,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,7,0,0,3,7,10
SAN BENITO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,50,22,0,0,50,22,72
SAN BORJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,11,0,0,3,11,14
SAN CARLOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,11,9,0,0,11,9,20
SAN IGNACIO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,5,9,10,13,15,28
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,38,49,0,0,38,49,87
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,13,21,0,0,13,21,34
SAN JOAQUIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,7,0,1,2,8,10
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,19,10,1,0,20,10,30
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,5,0,2,6,7,13
SAN JULIAN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,12,2,9,7,21,28
SAN LORENZO(PND),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,7,4,7,7,14,21
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,9,10,7,15,16,25,41
SAN LUCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,2,0,0,3,2,5
SAN MATIAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,38,15,38,15,53
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,13,55,4,2,17,57,74
SAN PEDRO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,8,0,1,6,9,15
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,12,1,2,5,14,19
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,2,1,4,4,8
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,0,0,0,4,0,4
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,1,0,0,2,1,3
SAN RAFAEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,11,30,0,0,11,30,41
SAN RAMON BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,7,0,0,5,7,12
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,8,4,0,0,8,4,12
SANTA ANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,12,0,0,4,12,16
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1864,1762,480,377,2344,2139,4483
SANTA ROSA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,8,0,0,4,8,12
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,13,12,0,0,13,12,25
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,0,1,0,1
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,8,25,24,31,32,63
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,0,0,1,2,3
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,3,5,3,5,8
SANTIVAÑES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,20,14,0,0,20,14,34
SAPAHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,4,37,56,38,60,98
SENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,4,6,7,6,11,17
SHINAOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,12,0,0,3,12,15
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,0,0,0,6,0,6
SICAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,5,1,1,1,6,7
SIPE SIPE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,17,14,21,29,38,43,81
