,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,2,0,0,8
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,2,2,1,6
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,11,10,0,0,21
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,22,19,19,12,72
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,7,1,3,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,5,4,4,14
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,13,8,0,0,21
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,0,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,10,1,1,19
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,11,0,0,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,0,1,0,3
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,26,22,1,0,49
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,15,21,1,2,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,9,0,0,13
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,14,9,1,1,25
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,46,28,1,1,76
CARANGAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,1,0,0,1
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,8,1,0,14
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,6,1,0,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,5,1,0,8
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,0,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,20,19,10,4,53
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,5,2,3,16
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,22,22,9,10,63
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,12,3,1,21
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,36,25,5,2,68
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,3,0,1,4
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,13,9,3,5,30
CHUMA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,0,1,2,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,5,2,5,17
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,3,3,6,14
CLIZA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,15,19,3,1,38
COBIJA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,32,43,3,4,82
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,16,7,11,7,41
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,564,544,7,6,1121
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,34,42,0,0,76
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,14,0,0,21
COLLANA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,3,0,0,4
COLOMI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,23,15,1,0,39
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,9,3,2,17
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,9,8,3,3,23
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,13,0,0,20
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,11,8,6,4,29
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,2,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,17,19,2,0,38
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,1,0,0,1
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,19,20,9,7,55
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,3,4,6,17
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,16,26,0,0,42
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,7,0,1,13
COROICO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,16,11,2,4,33
CORQUE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,0,0,0,3
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,11,13,3,1,28
COTOCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,64,58,10,7,139
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,16,22,0,0,38
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,0,0,0,3
CUEVO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,3,2,2,8
CULPINA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,9,6,2,1,18
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,2,1,0,7
CURVA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,0,0,2
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,5,3,0,10
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,525,546,191,158,1420
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,3,0,0,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,7,1,1,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,11,7,0,2,20
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,37,51,0,1,89
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,3,1,1,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,15,6,0,3,24
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,64,66,0,0,130
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,2,3,3,9
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,5,1,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,2,0,1,4
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,9,1,3,18
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,2,5,5,12
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,10,11,0,0,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,5,1,1,14
GUANAY,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,9,11,0,2,22
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,4,0,0,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,51,41,2,4,98
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,14,3,2,27
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,3,1,0,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,2,1,1,4
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,12,9,12,9,42
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,0,0,0,3
HUARINA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,2,0,0,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,2,0,0,8
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,2,2,5
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,0,0,2,4
ICLA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,2,1,1,6
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,4,3,4,13
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,1,0,0,1
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,8,2,1,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,14,17,0,2,33
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,13,1,3,23
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,10,1,0,16
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,37,30,8,6,81
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,105,86,1,1,193
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,462,432,0,0,894
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,3,0,0,5
LAJA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,9,17,0,1,27
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,4,0,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,19,13,30,24,86
LLICA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,3,1,0,5
LORETO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,1,2,4
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,8,0,0,12
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,1,0,3
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,3,2,0,8
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,2,0,4,11
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,10,0,0,18
MALLA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,0,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,15,11,1,0,27
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,4,1,4,17
MINEROS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,18,13,0,0,31
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,19,19,6,7,51
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,4,4,4,20
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,1,0,3
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,5,3,0,16
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,19,21,0,3,43
MONTERO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,108,96,0,2,206
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,5,2,4,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,0,0,1,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,3,0,4
OCURI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,6,6,4,22
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,4,0,1,13
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,1,2,0,7
ORURO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,282,265,2,2,551
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,13,0,0,20
PADILLA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,7,0,0,13
PAILON,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,35,33,24,17,109
PALCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,20,19,4,2,45
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,17,25,2,1,45
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,2,1,0,9
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,1,1,3
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,1,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,25,9,2,0,36
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,0,0,1
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,2,1,1,11
POCOATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,7,5,5,25
POCONA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,5,4,3,15
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,17,8,0,0,25
POOPO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,5,1,0,6
PORCO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,19,1,3,28
POROMA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,11,6,6,4,27
PORONGO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,11,7,1,3,22
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,11,13,1,1,26
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,1,2,1,8
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,0,0,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,247,223,15,18,503
PRESTO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,6,2,3,14
PUCARA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,2,0,0,3
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,14,22,7,7,50
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,2,2,5,13
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,6,6,3,23
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,2,2,3,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,1,4,6,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,8,0,1,16
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,10,2,0,0,12
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,4,5,4,21
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,68,68,2,5,143
PUNA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,3,6,8,22
PUNATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,24,27,11,4,66
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,1,4,7
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,85,81,94,80,340
QUIME,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,8,0,0,9
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,0,0,0,2
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,7,2,0,14
RAVELO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,7,3,6,21
REYES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,7,1,1,15
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,114,125,7,9,255
ROBORE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,3,0,0,5
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,21,20,4,1,46
SABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,2,1,0,5
SACABA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,129,119,14,17,279
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,2,1,0,3
SACACA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,11,6,6,30
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,8,0,0,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,4,0,0,10
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,10,0,1,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,8,0,0,15
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,1,2,0,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,0,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,6,0,1,13
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,8,0,0,12
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,38,42,7,5,92
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,10,0,3,19
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,12,18,0,0,30
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,17,18,6,1,42
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,41,36,16,13,106
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,1,0,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,13,14,0,0,27
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,1,0,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,10,9,32,25,76
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,4,0,0,5
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,40,31,2,4,77
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,2,0,0,6
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,13,19,3,1,36
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,16,21,15,6,58
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,9,14,2,3,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,9,8,2,1,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,0,0,2,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,7,0,0,9
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,13,12,8,6,39
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,2,0,1,10
SAN PEDRO DE MACHA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,9,12,6,3,30
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,0,1,0,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,2,1,3,6
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,4,4,2,3,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,0,0,3,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,6,0,0,13
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,11,15,0,0,26
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1095,1036,16,12,2159
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,18,18,3,0,39
