,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
BELLA FLOR,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,0,1,3
BERMEJO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,16,29,0,0,45
BETANZOS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,17,18,6,4,45
BOLIVAR,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,5,3,2,14
BOLPEBRA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,0,1,2
BOYUIBE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,2,0,1,6
BUENA VISTA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,14,15,1,1,31
CABEZAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,26,15,12,8,61
CAIROMA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,9,2,2,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,2,1,2,9
CAJUATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,13,17,0,0,30
CALACOTO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,2,2,1,5
CALAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,9,1,1,16
CAMARGO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,4,5,2,13
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,2,1,0,3
CAMIRI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,22,1,0,34
CAPINOTA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,17,16,0,2,35
CAQUIAVIRI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,2,0,0,3
CARACOLLO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,15,13,2,2,32
CARANAVI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,41,28,1,0,70
CARAPARI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,9,1,1,20
CARIPUYO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,3,2,1,9
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,0,2,2,7
CATACORA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,1,0,1,4
CHACARILLA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,14,16,7,6,43
CHAQUI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,7,1,2,12
CHARAGUA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,20,15,4,10,49
CHARAÑA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,0,0,1,3
CHAYANTA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,6,1,3,16
CHIMORE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,24,15,7,3,49
CHIPAYA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,1,0,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,2,3,0,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,12,1,2,24
CHUMA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,1,5,1,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,4,5,0,12
CKOCHAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,8,6,5,2,21
CLIZA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,13,2,0,24
COBIJA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,29,45,8,7,89
COCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,8,8,4,10,30
COCHABAMBA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,520,538,7,9,1074
COLCAPIRHUA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,26,27,0,0,53
"COLCHA ""K""",vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,4,4,2,12
COLLANA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,1,0,2,3
COLOMI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,21,14,1,1,37
COLPA BELGICA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,9,4,1,19
COLQUECHACA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,12,11,4,5,32
COLQUENCHA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,14,10,0,0,24
COLQUIRI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,9,3,2,25
COMANCHE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,4,0,0,6
COMARAPA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,16,11,0,0,27
COMBAYA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,2,0,3
CONCEPCION,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,20,18,3,5,46
COPACABANA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,3,1,3,8
CORIPATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,15,14,0,0,29
CORO CORO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,5,1,1,10
COROICO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,12,4,4,27
CORQUE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,1,0,0,4
COTAGAITA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,16,12,1,2,31
COTOCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,47,55,5,4,111
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,10,13,1,0,24
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,1,0,3
CUEVO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,2,1,1,8
CULPINA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,19,9,0,2,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,2,0,0,3
CURVA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,1,1,3,5
DESAGUADERO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,2,0,2,6
EL ALTO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,546,501,138,148,1333
EL CHORO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,0,1,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,4,0,4,11
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,8,0,1,16
EL TORNO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,54,44,0,1,99
EL VILLAR,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,0,0,0,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,23,2,4,38
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,50,44,1,2,97
ESCOMA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,0,4,3,7
EUCALIPTUS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,2,0,0,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,4,1,1,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,5,0,0,16
FILADELFIA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,0,3,5,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,15,0,0,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,6,0,0,10
GUANAY,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,7,2,5,23
GUAQUI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,2,0,2,4
GUAYARAMERIN,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,29,33,5,4,71
GUTIERREZ,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,5,1,2,17
HUACARETA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,5,1,0,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,0,0,1,1
HUANUNI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,14,8,1,29
HUARACAJE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,0,0,2
HUARINA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,1,3,0,11
HUATAJATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,1,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,2,2,0,6
HUMANATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,2,2,1,8
ICHOCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,1,0,2
ICLA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,5,2,1,11
INCAHUASI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,4,3,1,17
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,2,0,0,3
INQUISIVI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,7,2,3,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,10,3,0,24
IXIAMAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,4,1,1,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,0,1,0,6
LA ASUNTA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,34,29,3,10,76
LA GUARDIA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,102,106,1,3,212
LA PAZ,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,419,376,7,6,808
LA RIVERA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,0,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,3,1,2,12
LAJA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,10,10,0,1,21
LAS CARRERAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,5,0,0,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,1,0,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,18,21,25,73
LLICA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,0,1,3
LORETO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,2,0,0,4
LURIBAY,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,5,0,0,14
MACHACAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,1,0,0,3
MACHARETI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,4,3,2,13
MAGDALENA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,5,1,1,12
MAIRANA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,10,11,0,0,21
MALLA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,2,2,3,7
MAPIRI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,10,16,0,0,26
MECAPACA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,6,1,1,15
MINEROS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,16,4,2,33
MIZQUE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,10,8,4,9,31
MOCOMOCO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,5,3,1,18
MOJINETE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,6,0,0,7
MONTEAGUDO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,17,15,0,0,32
MONTERO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,105,108,2,3,218
MORO MORO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,1,4,5,12
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,1,2,0,6
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,0,1,3,4
OCURI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,1,3,3,18
OKINAWA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,4,1,0,9
OMEREQUE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,2,2,4,10
ORURO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,242,222,1,2,467
PADCAYA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,13,2,1,19
PADILLA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,5,0,0,8
PAILON,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,24,19,16,14,73
PALCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,15,5,6,35
PALOS BLANCOS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,15,22,3,1,41
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,4,0,0,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,8,0,0,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,4,4,3,14
PASORAPA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,0,0,1
PATACAMAYA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,12,18,4,7,41
PAZÑA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,3,0,2,10
PELECHUCO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,8,0,0,14
POCOATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,12,5,14,7,38
POCONA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,8,5,5,3,21
POJO (CBBA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,6,0,0,15
POOPO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,4,0,1,12
PORCO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,14,7,1,0,22
POROMA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,5,6,5,19
PORONGO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,12,6,6,29
PORTACHUELO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,12,6,0,1,19
PORVENIR,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,5,2,0,9
POTOSI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,203,215,12,15,445
PRESTO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,2,3,3,12
PUCARA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,19,16,4,13,52
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,1,3,2,9
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,10,3,1,3,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,2,3,2,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,4,1,3,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,32,33,0,3,68
PUERTO RICO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,5,0,0,12
PUERTO SILES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,9,8,6,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,63,58,0,2,123
PUNA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,7,5,6,21
PUNATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,26,19,8,9,62
QUIABAYA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,1,0,3
QUILLACOLLO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,81,74,105,107,367
QUIME,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,4,0,0,8
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,9,0,2,16
RAVELO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,3,7,5,22
REYES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,8,6,0,2,16
RIBERALTA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,123,94,3,9,229
ROBORE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,18,13,0,0,31
RURRENABAQUE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,17,19,4,1,41
SABAYA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,1,2,1,8
SACABA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,122,127,6,15,270
SACABAMBA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,0,0,2
SACACA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,8,12,11,3,34
SAIPINA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,3,0,0,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,3,0,0,6
SAMAIPATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,5,0,1,17
SAN AGUSTIN,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,2,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,12,2,3,28
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,3,1,1,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,0,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,2,1,0,8
SAN BENITO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,12,11,0,0,23
SAN BORJA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,43,39,6,3,91
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,7,0,1,11
SAN CARLOS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,11,14,0,0,25
SAN IGNACIO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,13,18,3,3,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,45,49,5,11,110
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,3,0,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,11,0,0,18
SAN JOAQUIN,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,7,4,0,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,19,16,5,3,43
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,9,1,1,0,11
SAN JULIAN,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,35,35,4,5,79
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,5,1,1,0,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,15,11,0,0,26
SAN LUCAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,14,10,7,9,40
