,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
CAMARGO,vacunaciones en menores de 1 ano,bcg,2021-01-01,11,4,0,0,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,0,0,1
CAMIRI,vacunaciones en menores de 1 ano,bcg,2021-01-01,30,31,0,1,62
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,6,0,0,14
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,3,1,6
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2021-01-01,11,3,1,0,15
CARANAVI,vacunaciones en menores de 1 ano,bcg,2021-01-01,38,46,2,2,88
CARAPARI,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,4,5,4,16
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,0,0,4,7
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,3,0,0,4
CATACORA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,15,28,4,5,52
CHAQUI,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,2,4,5,14
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2021-01-01,9,13,4,5,31
CHARAÑA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,2,2,4
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,7,6,6,19
CHIMORE,vacunaciones en menores de 1 ano,bcg,2021-01-01,17,13,2,0,32
CHOQUE COTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,2,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2021-01-01,9,6,0,1,16
CHUMA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,3,2,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,2,4,4,14
CKOCHAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,5,5,6,24
CLIZA,vacunaciones en menores de 1 ano,bcg,2021-01-01,20,14,0,1,35
COBIJA,vacunaciones en menores de 1 ano,bcg,2021-01-01,49,38,4,4,95
COCAPATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,0,9,10,23
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2021-01-01,585,535,3,3,1126
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2021-01-01,22,18,0,0,40
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,2,2,6
COLLANA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,1,0,2
COLOMI,vacunaciones en menores de 1 ano,bcg,2021-01-01,10,9,2,4,25
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,0,1,4
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2021-01-01,9,1,10,9,29
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,1,11,3,19
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,7,2,6,21
COMANCHE,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,1,1,3
COMARAPA,vacunaciones en menores de 1 ano,bcg,2021-01-01,15,15,0,0,30
COMBAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,1,1,2
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2021-01-01,15,21,8,10,54
COPACABANA,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,0,4,3,13
CORIPATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,10,8,0,0,18
CORO CORO,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,1,2,4
COROICO,vacunaciones en menores de 1 ano,bcg,2021-01-01,12,4,2,0,18
CORQUE,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,1,0,4
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,4,1,3,12
COTOCA,vacunaciones en menores de 1 ano,bcg,2021-01-01,52,36,3,1,92
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,15,14,0,0,29
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,0,1,1
CUEVO,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,0,0,1,3
CULPINA,vacunaciones en menores de 1 ano,bcg,2021-01-01,10,5,0,1,16
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,1,0,2
CURVA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,3,2,5
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,6,0,0,10
EL ALTO,vacunaciones en menores de 1 ano,bcg,2021-01-01,457,452,29,35,973
EL CHORO,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,2,1,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,2,2,1,5
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,6,4,12
EL TORNO,vacunaciones en menores de 1 ano,bcg,2021-01-01,36,58,2,4,100
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,1,0,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,bcg,2021-01-01,13,7,2,1,23
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,bcg,2021-01-01,28,17,0,0,45
ESCOMA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,2,0,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,3,0,3,7
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,0,1,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,5,0,0,11
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2021-01-01,2,1,2,5,10
GUANAY,vacunaciones en menores de 1 ano,bcg,2021-01-01,9,8,0,2,19
GUAQUI,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,3,2,8,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2021-01-01,41,31,0,0,72
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,4,2,1,10
HUACARETA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,3,0,2,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,0,3,3
HUACHACALLA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,0,0,0,3
HUANUNI,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,7,1,0,16
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,0,0,1
HUMANATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,7,1,8
ICHOCA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,3,2,6
ICLA,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,1,2,1,9
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,2,2,2,10
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,0,0,1
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,3,5,4,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2021-01-01,8,2,5,2,17
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,5,1,0,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,5,2,6,14
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,32,30,4,5,71
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2021-01-01,60,56,0,2,118
LA PAZ,vacunaciones en menores de 1 ano,bcg,2021-01-01,435,443,1,2,881
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,2,0,3,5
LAJA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,6,3,3,14
LAS CARRERAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,2,0,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,0,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2021-01-01,12,21,26,21,80
LLICA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,3,3,1,10
LORETO,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,0,0,0,2
LURIBAY,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,1,1,5
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,0,1,1
MACHARETI,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,5,0,1,11
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,3,2,1,9
MAIRANA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,4,0,0,7
MALLA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,1,3,4
MAPIRI,vacunaciones en menores de 1 ano,bcg,2021-01-01,13,12,0,1,26
MECAPACA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,4,4,2,13
MINEROS,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,6,0,0,11
MIZQUE,vacunaciones en menores de 1 ano,bcg,2021-01-01,17,13,4,3,37
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,8,10,19
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,1,1,1,9
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2021-01-01,23,7,0,0,30
MONTERO,vacunaciones en menores de 1 ano,bcg,2021-01-01,189,183,0,0,372
MORO MORO,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,0,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,3,5,3,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,1,0,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,0,1,1
OCURI,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,3,8,7,22
OKINAWA,vacunaciones en menores de 1 ano,bcg,2021-01-01,10,4,1,1,16
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,2,1,3,8
ORURO,vacunaciones en menores de 1 ano,bcg,2021-01-01,220,231,7,3,461
PADCAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,5,0,2,9
PADILLA,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,7,0,0,15
PAILON,vacunaciones en menores de 1 ano,bcg,2021-01-01,53,31,12,19,115
PALCA,vacunaciones en menores de 1 ano,bcg,2021-01-01,10,5,10,6,31
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2021-01-01,15,15,6,6,42
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,0,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,3,0,0,8
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,1,1,4
PASORAPA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,2,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,18,16,0,1,35
PAZÑA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,2,1,3,9
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,2,3,6
POCOATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,13,18,34
POCONA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,3,4,4,13
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2021-01-01,1,5,0,0,6
POOPO,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,3,1,2,6
PORCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,5,0,0,11
POROMA,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,3,4,4,18
PORONGO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,0,0,3
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2021-01-01,9,6,1,0,16
PORVENIR,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,0,1,2
POTOSI,vacunaciones en menores de 1 ano,bcg,2021-01-01,152,182,11,11,356
PRESTO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,4,5,1,11
PUCARANI,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,4,14,11,32
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,1,6,7,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,6,4,10
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,1,1,1,5
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,2,3,5
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,9,0,0,16
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,7,0,0,10
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2021-01-01,12,24,0,0,36
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2021-01-01,66,57,1,0,124
PUNA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,4,6,3,14
PUNATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,35,43,2,2,82
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,1,2,3
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2021-01-01,94,85,9,13,201
QUIME,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,2,4,3,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,0,0,1
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,bcg,2021-01-01,1,3,3,4,11
RAVELO,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,3,2,3,11
REYES,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,8,1,0,16
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,63,69,50,38,220
ROBORE,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,11,0,0,19
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2021-01-01,11,21,5,9,46
SABAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,0,1,3
SACABA,vacunaciones en menores de 1 ano,bcg,2021-01-01,104,123,3,5,235
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,0,1,4
SACACA,vacunaciones en menores de 1 ano,bcg,2021-01-01,9,4,13,7,33
SAIPINA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,0,0,3
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,2,3,1,10
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,5,0,0,8
SAN AGUSTIN,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,3,0,3
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,3,2,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,2,2,1,9
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,4,0,0,8
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2021-01-01,49,46,4,7,106
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2021-01-01,11,11,1,2,25
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2021-01-01,18,9,1,1,29
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2021-01-01,14,8,8,3,33
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,56,50,2,1,109
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,0,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2021-01-01,20,13,0,0,33
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,3,0,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2021-01-01,13,15,47,28,103
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,3,0,0,3
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2021-01-01,33,29,0,0,62
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2021-01-01,2,2,0,1,5
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2021-01-01,7,11,1,1,20
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,16,19,7,5,47
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,13,11,1,5,30
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,6,1,0,14
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,0,1,3
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,1,0,0,3
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,15,12,13,9,49
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,1,2,4
SAN PEDRO DE MACHA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,5,17,22,45
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,0,0,1,3
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,1,3,4,11
SAN RAMON BENI,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,3,0,0,5
SAN RAMON SCZ,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,5,0,0,10
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2021-01-01,21,16,0,0,37
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1256,1116,17,19,2408
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,5,3,1,15
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,11,0,0,18
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,2,1,0,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,0,4,6
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,0,8,2,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,2,0,1,3
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,2,0,0,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,2,0,2,6
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,1,7,3,14
SENA,vacunaciones en menores de 1 ano,bcg,2021-01-01,50,8,0,0,58
SHINAOTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,26,20,1,0,47
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2021-01-01,12,6,3,1,22
SICAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,3,1,5
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2021-01-01,31,35,0,2,68
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,4,3,2,13
SORACACHI,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,3,4,3,12
SORATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,7,7,5,27
SUCRE,vacunaciones en menores de 1 ano,bcg,2021-01-01,186,178,1,1,366
TACACHI,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,0,1,1
TACACOMA,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,5,0,0,9
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,4,5,9
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,0,5,4,12
TAPACARI,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,4,5,7,21
TARABUCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,7,1,1,15
TARACO,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,2,1,3
TARATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,4,1,0,8
TARIJA,vacunaciones en menores de 1 ano,bcg,2021-01-01,121,139,9,3,272
TARVITA,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,2,2,3,13
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,10,2,2,17
TIAHUANACU,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,7,3,1,18
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,4,15,12,32
TIPUANI,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,5,1,0,7
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2021-01-01,24,26,8,6,64
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2021-01-01,13,12,2,4,31
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,1,2,3
TOCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,2,1,0,8
TOLATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,2,0,1,5
TOLEDO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,4,0,0,5
TOMAVE,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,5,4,11
TOMINA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,3,1,0,5
TORO TORO,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,4,2,6,19
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2021-01-01,19,21,0,1,41
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,3,1,4
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2021-01-01,103,87,0,0,190
TUPIZA,vacunaciones en menores de 1 ano,bcg,2021-01-01,28,22,3,1,54
TURCO,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,2,1,0,3
UMALA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,4,3,9
UNCIA,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,5,3,3,19
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2021-01-01,1,6,1,1,9
URUBICHA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,3,0,0,3
UYUNI,vacunaciones en menores de 1 ano,bcg,2021-01-01,11,27,4,1,43
VACAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,3,7,12
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2021-01-01,13,9,0,0,22
VIACHA,vacunaciones en menores de 1 ano,bcg,2021-01-01,39,44,3,6,92
VILA VILA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,4,1,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,10,4,3,23
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2021-01-01,25,39,1,3,68
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,1,0,2
VILLA RIVERO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,4,2,8
VILLA SERRANO,vacunaciones en menores de 1 ano,bcg,2021-01-01,3,3,2,0,8
VILLA TUNARI,vacunaciones en menores de 1 ano,bcg,2021-01-01,79,89,15,16,199
