municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
YACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-04-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-04-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-04-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-04-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-04-01,1,1
SABAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-04-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-04-01,2,2
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-04-01,1,1
CHACARILLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-05-01,4,4
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-05-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-05-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-05-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-05-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,2,2
HUAYLLAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
SANTIVAÑES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-06-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,3,3
MACHACAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,0,0
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-07-01,2,2
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,1,1
SAMAIPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,0,0
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-08-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,2,2
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-09-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-10-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-10-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-10-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-10-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-10-01,0,0
TOLEDO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-11-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-11-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-11-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-11-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-11-01,7,7
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-11-01,0,0
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-11-01,1,1
ALCALA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-12-01,1,1
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-12-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-12-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-12-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-12-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-12-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-12-01,2,2
TARIJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-12-01,1,1
