municipality,group,variable,month,N° de TB extrapulmonar nuevos,TOTAL
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,5,5
RIBERALTA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
RURRENABAQUE,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,16,16
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,4,4
TAPACARI,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,2,2
TEOPONTE,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
TIAWANACU,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
TIRAQUE (CBBA),tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
TOTORA(CBBA),tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,2,2
UMALA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,3,3
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
YAMPARAEZ,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
ACHACACHI,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
CHAYANTA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,10,10
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
CONCEPCION,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
CORIPATA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,15,15
FERNANDEZ ALONSO,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
GUANAY,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
LA ASUNTA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,3,3
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,28,28
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
MINEROS,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
MIZQUE,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,4,4
PALCA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
RIBERALTA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
SAN BORJA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,4,4
SAN LORENZO(TJA),tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,12,12
SICA SICA (VILLA AROMA),tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,6,6
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
VILLA MONTES,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2008-05-01,2,2
CAJUATA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
CARMEN RIVERO TORREZ,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,14,14
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
CORIPATA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,2,2
CUATRO CAÑADAS,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,10,10
EL PUENTE(TJA),tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,48,48
MOJOCOYA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
MONTEAGUDO,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,3,3
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,6,6
PALOS BLANCOS,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
PATACAMAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
PUERTO RICO,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,2,2
SAN JUAN DE YAPACANI,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
SAN JULIAN,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,14,14
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
TACACOMA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,2,2
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,2,2
VILLA MONTES,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
VITICHI,tuberculosis,n de tb extrapulmonar nuevos,2008-06-01,1,1
AZURDUY,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,2,2
"CAIZA ""D""",tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
CAQUIAVIRI,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,2,2
CHALLAPATA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
CHAYANTA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
CLIZA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,20,20
CORIPATA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,2,2
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
CUATRO CAÑADAS,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,16,16
EL PUENTE(TJA),tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,33,33
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
MAIRANA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
MOJOCOYA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
OMEREQUE,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,7,7
PAZÑA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,7,7
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,2,2
RURRENABAQUE,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
SAN BORJA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,3,3
SAN JULIAN,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
SAN RAFAEL,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,14,14
SIPE SIPE,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,7,7
TARATA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,3,3
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,2,2
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,2,2
VILLA MONTES,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,2,2
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2008-07-01,2,2
ACHACACHI,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
ARANI,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,2,2
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,4,4
CAJUATA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,15,15
ENTRE RIOS,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
GENERAL SAAVEDRA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,46,46
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,2,2
MINEROS,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,10,10
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,4,4
PUNA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,3,3
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,2,2
ROBORE,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,2,2
SAN JULIAN,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
SAN LUCAS,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,19,19
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,4,4
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,2,2
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,4,4
YAPACANI,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
YUNCHARA,tuberculosis,n de tb extrapulmonar nuevos,2008-08-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,2,2
BUENA VISTA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
CAJUATA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,3,3
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,14,14
COLPA BELGICA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
CORIPATA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,20,20
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,37,37
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,6,6
PALOS BLANCOS,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,5,5
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
SAN BORJA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,2,2
SAN JOAQUIN,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,26,26
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,3,3
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
TEOPONTE,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
TIPUANI,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,2,2
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,2,2
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2008-09-01,1,1
AIQUILE,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
CABEZAS,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,4,4
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,13,13
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,2,2
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,2,2
COTAGAITA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
CULPINA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
DESAGUADERO,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,20,20
GENERAL SAAVEDRA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,44,44
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,2,2
MINEROS,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,2,2
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,8,8
PADCAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
PORCO,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
PUNA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,5,5
ROBORE,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,2,2
SAN IGNACIO DE VELASCO,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,3,3
SAN JOSE DE CHIQUITOS,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,36,36
SIPE SIPE,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,3,3
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,4,4
TIPUANI,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,2,2
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
UYUNI,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
VILLAZON,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2008-10-01,3,3
APOLO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
CABEZAS,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,2,2
CHALLAPATA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
CHAYANTA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
