municipality,group,variable,month,N° de Quimioprofilaxis en menores de 5,TOTAL
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,11,11
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,4,4
COROICO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,5,5
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,12,12
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,5,5
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,9,9
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,9,9
MOCOMOCO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,2,2
POOPO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,2,2
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,3,3
PUERTO CARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,3,3
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,3,3
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,4,4
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,13,13
SOPACHUY,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,1,1
SORATA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,1,1
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,8,8
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,4,4
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,1,1
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,2,2
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,1,1
UYUNI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,1,1
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,2,2
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,13,13
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,1,1
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,6,6
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,13,13
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,10,10
EL PUENTE(STC),tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,3,3
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,14,14
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,3,3
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
LAJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,4,4
MIZQUE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
MONTEAGUDO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,3,3
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
PALCA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,3,3
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,6,6
SAMAIPATA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
SAN CARLOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
SAN JULIAN,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,10,10
SIPE SIPE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,3,3
TACOPAYA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,8,8
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,7,7
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
UNCIA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,10,10
VILLAZON,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
YACO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,2,2
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-04-01,1,1
ACHACACHI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,4,4
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,6,6
CHAQUI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,11,11
CORIPATA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,9,9
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,4,4
IRUPANA (VILLA DE LANZA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,3,3
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,4,4
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
LURIBAY,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
MINEROS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,6,6
PADCAYA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
PAMPA GRANDE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,4,4
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,4,4
RURRENABAQUE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,3,3
SAN AGUSTIN,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
SAN CARLOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
SAN JULIAN,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
SAN LORENZO(TJA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,15,15
SIPE SIPE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,5,5
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,4,4
TOMINA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,4,4
UNCIA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
VACAS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,2,2
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,6,6
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,6,6
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,4,4
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,10,10
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-05-01,1,1
ACHACACHI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
CAPINOTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,8,8
CARAPARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,7,7
CHARAGUA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,15,15
CUATRO CAÑADAS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,16,16
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,7,7
GENERAL SAAVEDRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
GUAYARAMERIN,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
HUANUNI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
HUARACAJE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,4,4
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
OCURI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
PALOS BLANCOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
PAZÑA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
PORTACHUELO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,4,4
SAN JULIAN,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,5,5
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,17,17
SIPE SIPE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,5,5
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,4,4
TIQUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
TUPIZA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,3,3
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
VILLA SERRANO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,2,2
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,6,6
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,4,4
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-06-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
BETANZOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
CAPINOTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,5,5
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,16,16
COLOMI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
CORIPATA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
COROICO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,11,11
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
HUACHACALLA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,4,4
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,6,6
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,4,4
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,3,3
MAIRANA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
OCURI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
OKINAWA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
PORTACHUELO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,9,9
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,12,12
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,7,7
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,26,26
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,4,4
TIQUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,4,4
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,3,3
URIONDO (A. CONCEPCION),tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,13,13
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,1,1
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,4,4
YANACACHI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,2,2
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-07-01,6,6
ASCENCION DE GUARAYOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,3,3
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,4,4
BOYUIBE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
CALACOTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,18,18
COLOMI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
DESAGUADERO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,14,14
EL PUENTE(STC),tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,2,2
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,2,2
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,4,4
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,2,2
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,2,2
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
MINEROS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
MIZQUE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,4,4
PATACAMAYA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
POCONA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,6,6
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,3,3
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,9,9
ROBORE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,3,3
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
SAN JULIAN,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
SAN MIGUEL DE VELASCO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,15,15
SIPE SIPE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,3,3
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
TARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,3,3
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,3,3
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,7,7
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,4,4
TUPIZA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
URUBICHA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,2,2
UYUNI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,4,4
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,2,2
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,1,1
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-08-01,13,13
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,1,1
BETANZOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,3,3
CAMATAQUI (C. VILLA ABECIA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,2,2
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,2,2
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,2,2
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,3,3
CHUMA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,1,1
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,6,6
CUATRO CAÑADAS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,1,1
CULPINA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,11,11
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,4,4
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-09-01,4,4
