municipality,group,variable,month,N° de Sintomáticos Respiratorios,TOTAL
POCOATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
POCONA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
POJO (CBBA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
POOPO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
PORCO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
POROMA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
PORONGO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,9,9
PORTACHUELO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,37,37
PORVENIR,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
POTOSI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,86,86
PRESTO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
PUERTO ACOSTA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,23,23
PUERTO CARABUCO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
PUERTO GONZALO MORENO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
PUERTO VILLARROEL,tuberculosis,n de sintomaticos respiratorios,2008-01-01,102,102
PUNA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
PUNATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,21,21
QUILLACOLLO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,61,61
QUIME,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
RAVELO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
REYES,tuberculosis,n de sintomaticos respiratorios,2008-01-01,8,8
RIBERALTA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,86,86
ROBORE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
RURRENABAQUE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,16,16
SACABA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,61,61
SACACA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,6,6
SAIPINA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
SALINAS DE GARCI MENDOZA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
SAMAIPATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
SAN AGUSTIN,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
SAN ANDRES,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
SAN BENITO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
SAN BUENA VENTURA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
SAN IGNACIO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,46,46
SAN IGNACIO DE VELASCO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,23,23
SAN JOAQUIN,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
SAN LORENZO(TJA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
SAN LUCAS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,31,31
SAN MIGUEL DE VELASCO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,22,22
SAN PEDRO DE BUENA VISTA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
SANTA ANA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,13,13
SANTA CRUZ DE LA SIERRA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,316,316
SANTA ROSA DEL SARA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,14,14
SANTIAGO DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,6,6
SANTIVAÑES,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
SAPAHAQUI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
SICA SICA (VILLA AROMA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
SICAYA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
SIPE SIPE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,28,28
SOPACHUY,tuberculosis,n de sintomaticos respiratorios,2008-01-01,6,6
SORACACHI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
SORATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,30,30
SUCRE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,132,132
TACACOMA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
TACOPAYA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
TAPACARI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
TARABUCO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,25,25
TARATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,11,11
TARIJA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,134,134
TARVITA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
TEOPONTE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,18,18
TIAWANACU,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
TINGUIPAYA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
TIPUANI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,22,22
TIQUIPAYA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,26,26
TIRAQUE (CBBA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,28,28
TOCO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
TOLATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
TOLEDO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
TOMAVE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
TOMINA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,9,9
TOTORA(CBBA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
TOTORA(ORR),tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
TRINIDAD,tuberculosis,n de sintomaticos respiratorios,2008-01-01,66,66
TUPIZA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,41,41
UNCIA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,10,10
URIONDO (A. CONCEPCION),tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
UYUNI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,10,10
VACAS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
VALLEGRANDE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,17,17
VIACHA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,40,40
VILA VILA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
VILLA MONTES,tuberculosis,n de sintomaticos respiratorios,2008-01-01,44,44
VILLA SERRANO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
VILLA TUNARI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,113,113
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
VILLAZON,tuberculosis,n de sintomaticos respiratorios,2008-01-01,9,9
VINTO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,18,18
VITICHI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
WARNES,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
YACUIBA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,71,71
YAMPARAEZ,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
YANACACHI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
YOCALLA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,8,8
YOTALA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
YUNCHARA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
ZUDAÑEZ,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
ACACIO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
ACHACACHI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,27,27
ACHOCALLA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,5,5
AIQUILE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,11,11
ALALAY,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
ALCALA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
ANCORAIMES,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
ANDAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,7,7
ANZALDO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
APOLO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
ARAMPAMPA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
ARANI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
ARBIETO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
ARQUE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
AYATA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,8,8
AYO AYO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de sintomaticos respiratorios,2008-02-01,28,28
AZURDUY,tuberculosis,n de sintomaticos respiratorios,2008-02-01,10,10
BATALLAS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,8,8
BELEN DE URMIRI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
BERMEJO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,45,45
BETANZOS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
BOLIVAR,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
BOYUIBE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,5,5
CABEZAS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
CAIROMA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
"CAIZA ""D""",tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
CAJUATA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
CALACOTO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
CALAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
CAMARGO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,14,14
CAMATAQUI (C. VILLA ABECIA),tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
CAPINOTA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,11,11
CAQUIAVIRI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
CARACOLLO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,7,7
CARANAVI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,76,76
CARAPARI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,15,15
CHALLAPATA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,17,17
CHAQUI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
CHARAGUA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,12,12
CHARAÑA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
CHAYANTA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,7,7
CHIMORE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,13,13
CHIPAYA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
CHOQUE COTA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de sintomaticos respiratorios,2008-02-01,35,35
CHUMA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,5,5
CLIZA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,11,11
COBIJA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,42,42
COCHABAMBA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,264,264
COIPASA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
COLCAPIRHUA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,20,20
"COLCHA ""K""",tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
COLOMI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,7,7
COLPA BELGICA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,7,7
COLQUECHACA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,5,5
COLQUENCHA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,7,7
COLQUIRI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,13,13
COMANCHE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
COMARAPA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,9,9
COMBAYA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
COPACABANA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,8,8
CORIPATA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,12,12
CORO CORO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
COROICO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,30,30
CORQUE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,6,6
COTAGAITA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,7,7
COTOCA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,42,42
CUCHUMUELA (V. G. VILLARROEL),tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
CUEVO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,5,5
CULPINA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
CURAHUARA DE CARANGAS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
CURVA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
EL ALTO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,502,502
EL CHORO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
EL PUENTE(TJA),tuberculosis,n de sintomaticos respiratorios,2008-02-01,8,8
EL TORNO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,46,46
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,6,6
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,39,39
EUCALIPTUS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
GUANAY,tuberculosis,n de sintomaticos respiratorios,2008-02-01,13,13
GUAQUI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
GUAYARAMERIN,tuberculosis,n de sintomaticos respiratorios,2008-02-01,45,45
GUTIERREZ,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
HUACARETA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
HUACAYA (VILLA DE HUACAYA),tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
HUANUNI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,10,10
HUARACAJE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
HUAYLLAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
ICLA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
INCAHUASI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,14,14
INGAVI (HUMAITA),tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
INQUISIVI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
IRUPANA (VILLA DE LANZA),tuberculosis,n de sintomaticos respiratorios,2008-02-01,15,15
IXIAMAS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
JESUS DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
LA ASUNTA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,48,48
LA GUARDIA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,52,52
LA PAZ,tuberculosis,n de sintomaticos respiratorios,2008-02-01,510,510
LAGUNILLAS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,12,12
LAJA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
LAS CARRERAS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,5,5
LLALLAGUA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,13,13
LLICA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
LURIBAY,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
MACHACAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,7,7
MACHARETI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
MAGDALENA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,13,13
MAIRANA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,5,5
MAPIRI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,13,13
MECAPACA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
MIZQUE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,5,5
MOCOMOCO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
MOJOCOYA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,6,6
MONTEAGUDO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,52,52
MOROCHATA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
OCURI,tuberculosis,n de sintomaticos respiratorios,2008-02-01,3,3
OMEREQUE,tuberculosis,n de sintomaticos respiratorios,2008-02-01,16,16
ORURO,tuberculosis,n de sintomaticos respiratorios,2008-02-01,219,219
PADCAYA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,4,4
PADILLA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,8,8
PALCA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
PALOS BLANCOS,tuberculosis,n de sintomaticos respiratorios,2008-02-01,34,34
PAPEL PAMPA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,2,2
PASORAPA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,1,1
PATACAMAYA,tuberculosis,n de sintomaticos respiratorios,2008-02-01,22,22
