municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
ACHACACHI,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,7,7
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,2,2
EL PUENTE(TJA),tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
EL VILLAR,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,6,6
OCURI,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
POJO (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
PORVENIR,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,3,3
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,12,12
TEOPONTE,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,4,4
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,2,2
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,3,3
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2008-04-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,2,2
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,6,6
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,6,6
TARABUCO,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
VIACHA,tuberculosis,tratamientos iniciados con esquema lll,2008-05-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,7,7
COTOCA,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,3,3
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,1,1
OCURI,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,1,1
PUERTO RICO,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,10,10
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,2,2
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2008-06-01,2,2
CABEZAS,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,4,4
CUEVO,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,1,1
EL PUENTE(TJA),tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,5,5
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,1,1
PADCAYA,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,6,6
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2008-07-01,2,2
ARANI,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,3,3
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,4,4
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,4,4
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,8,8
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,7,7
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2008-08-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,3,3
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
POROMA,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,13,13
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,8,8
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2008-09-01,2,2
CHARAGUA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,3,3
CORIPATA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,2,2
OKINAWA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
PADCAYA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
POROMA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,3,3
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,6,6
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,11,11
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,3,3
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2008-10-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,7,7
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,2,2
EL TORNO,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
HUANUNI,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
INCAHUASI,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,2,2
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,4,4
SORATA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,4,4
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,2,2
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
TOTORA(CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,5,5
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2008-11-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,3,3
CORIPATA,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,3,3
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,3,3
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,2,2
POCONA,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,2,2
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,6,6
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,6,6
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,3,3
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2008-12-01,1,1
