,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CHARAÑA,atencion odontologica,restauraciones,2013-01-01,2,3,2,3,5
CHAYANTA,atencion odontologica,restauraciones,2013-01-01,8,14,8,14,22
CHIMORE,atencion odontologica,restauraciones,2013-01-01,34,77,34,77,111
CHIPAYA,atencion odontologica,restauraciones,2013-01-01,1,20,1,20,21
CHOQUE COTA,atencion odontologica,restauraciones,2013-01-01,0,14,0,14,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2013-01-01,48,108,48,108,156
CHUMA,atencion odontologica,restauraciones,2013-01-01,27,31,27,31,58
CKOCHAS,atencion odontologica,restauraciones,2013-01-01,14,21,14,21,35
CLIZA,atencion odontologica,restauraciones,2013-01-01,105,161,105,161,266
COBIJA,atencion odontologica,restauraciones,2013-01-01,485,507,485,507,992
COCAPATA,atencion odontologica,restauraciones,2013-01-01,17,10,17,10,27
COCHABAMBA,atencion odontologica,restauraciones,2013-01-01,3262,4607,3262,4607,7869
COIPASA,atencion odontologica,restauraciones,2013-01-01,18,23,18,23,41
COLCAPIRHUA,atencion odontologica,restauraciones,2013-01-01,145,196,145,196,341
"COLCHA ""K""",atencion odontologica,restauraciones,2013-01-01,4,1,4,1,5
COLLANA,atencion odontologica,restauraciones,2013-01-01,19,15,19,15,34
COLOMI,atencion odontologica,restauraciones,2013-01-01,18,28,18,28,46
COLPA BELGICA,atencion odontologica,restauraciones,2013-01-01,7,21,7,21,28
COLQUECHACA,atencion odontologica,restauraciones,2013-01-01,48,95,48,95,143
COLQUENCHA,atencion odontologica,restauraciones,2013-01-01,5,8,5,8,13
COLQUIRI,atencion odontologica,restauraciones,2013-01-01,71,59,71,59,130
COMANCHE,atencion odontologica,restauraciones,2013-01-01,6,23,6,23,29
COMARAPA,atencion odontologica,restauraciones,2013-01-01,19,104,19,104,123
CONCEPCION,atencion odontologica,restauraciones,2013-01-01,24,51,24,51,75
COPACABANA,atencion odontologica,restauraciones,2013-01-01,12,28,12,28,40
CORIPATA,atencion odontologica,restauraciones,2013-01-01,3,17,3,17,20
CORO CORO,atencion odontologica,restauraciones,2013-01-01,9,17,9,17,26
COROICO,atencion odontologica,restauraciones,2013-01-01,41,86,41,86,127
CORQUE,atencion odontologica,restauraciones,2013-01-01,12,28,12,28,40
COTAGAITA,atencion odontologica,restauraciones,2013-01-01,150,282,150,282,432
COTOCA,atencion odontologica,restauraciones,2013-01-01,31,96,31,96,127
CUATRO CAÑADAS,atencion odontologica,restauraciones,2013-01-01,54,136,54,136,190
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2013-01-01,1,4,1,4,5
CUEVO,atencion odontologica,restauraciones,2013-01-01,7,7,7,7,14
CULPINA,atencion odontologica,restauraciones,2013-01-01,4,59,4,59,63
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2013-01-01,4,6,4,6,10
CURVA,atencion odontologica,restauraciones,2013-01-01,14,20,14,20,34
DESAGUADERO,atencion odontologica,restauraciones,2013-01-01,29,34,29,34,63
EL ALTO,atencion odontologica,restauraciones,2013-01-01,4383,6106,4383,6106,10489
EL PUENTE(STC),atencion odontologica,restauraciones,2013-01-01,11,12,11,12,23
EL PUENTE(TJA),atencion odontologica,restauraciones,2013-01-01,34,82,34,82,116
EL TORNO,atencion odontologica,restauraciones,2013-01-01,48,197,48,197,245
EL VILLAR,atencion odontologica,restauraciones,2013-01-01,9,10,9,10,19
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2013-01-01,55,146,55,146,201
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2013-01-01,31,101,31,101,132
ESCOMA,atencion odontologica,restauraciones,2013-01-01,23,34,23,34,57
EUCALIPTUS,atencion odontologica,restauraciones,2013-01-01,19,32,19,32,51
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2013-01-01,53,69,53,69,122
FILADELFIA,atencion odontologica,restauraciones,2013-01-01,14,19,14,19,33
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2013-01-01,18,30,18,30,48
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2013-01-01,13,26,13,26,39
GUANAY,atencion odontologica,restauraciones,2013-01-01,5,47,5,47,52
GUAQUI,atencion odontologica,restauraciones,2013-01-01,22,28,22,28,50
GUAYARAMERIN,atencion odontologica,restauraciones,2013-01-01,258,459,258,459,717
GUTIERREZ,atencion odontologica,restauraciones,2013-01-01,16,29,16,29,45
HUACARETA,atencion odontologica,restauraciones,2013-01-01,28,84,28,84,112
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2013-01-01,14,22,14,22,36
HUACHACALLA,atencion odontologica,restauraciones,2013-01-01,8,27,8,27,35
HUANUNI,atencion odontologica,restauraciones,2013-01-01,85,193,85,193,278
HUARACAJE,atencion odontologica,restauraciones,2013-01-01,7,18,7,18,25
HUARINA,atencion odontologica,restauraciones,2013-01-01,9,26,9,26,35
HUATAJATA,atencion odontologica,restauraciones,2013-01-01,8,22,8,22,30
HUAYLLAMARCA,atencion odontologica,restauraciones,2013-01-01,19,40,19,40,59
HUMANATA,atencion odontologica,restauraciones,2013-01-01,3,3,3,3,6
ICHOCA,atencion odontologica,restauraciones,2013-01-01,1,2,1,2,3
ICLA,atencion odontologica,restauraciones,2013-01-01,31,35,31,35,66
INCAHUASI,atencion odontologica,restauraciones,2013-01-01,42,70,42,70,112
INGAVI (HUMAITA),atencion odontologica,restauraciones,2013-01-01,2,8,2,8,10
INQUISIVI,atencion odontologica,restauraciones,2013-01-01,15,11,15,11,26
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2013-01-01,33,62,33,62,95
IXIAMAS,atencion odontologica,restauraciones,2013-01-01,26,44,26,44,70
JESUS DE MACHACA,atencion odontologica,restauraciones,2013-01-01,22,64,22,64,86
LA ASUNTA,atencion odontologica,restauraciones,2013-01-01,6,4,6,4,10
LA GUARDIA,atencion odontologica,restauraciones,2013-01-01,78,170,78,170,248
LA PAZ,atencion odontologica,restauraciones,2013-01-01,4700,6231,4700,6231,10931
LAGUNILLAS,atencion odontologica,restauraciones,2013-01-01,1,5,1,5,6
LAJA,atencion odontologica,restauraciones,2013-01-01,6,47,6,47,53
LAS CARRERAS,atencion odontologica,restauraciones,2013-01-01,11,17,11,17,28
LICOMA PAMPA,atencion odontologica,restauraciones,2013-01-01,15,21,15,21,36
LLALLAGUA,atencion odontologica,restauraciones,2013-01-01,55,135,55,135,190
LURIBAY,atencion odontologica,restauraciones,2013-01-01,8,6,8,6,14
MACHACAMARCA,atencion odontologica,restauraciones,2013-01-01,11,10,11,10,21
MACHARETI,atencion odontologica,restauraciones,2013-01-01,15,44,15,44,59
MAGDALENA,atencion odontologica,restauraciones,2013-01-01,80,125,80,125,205
MAIRANA,atencion odontologica,restauraciones,2013-01-01,17,61,17,61,78
MALLA,atencion odontologica,restauraciones,2013-01-01,7,12,7,12,19
MAPIRI,atencion odontologica,restauraciones,2013-01-01,16,72,16,72,88
MECAPACA,atencion odontologica,restauraciones,2013-01-01,43,51,43,51,94
MINEROS,atencion odontologica,restauraciones,2013-01-01,58,57,58,57,115
MIZQUE,atencion odontologica,restauraciones,2013-01-01,41,74,41,74,115
MOCOMOCO,atencion odontologica,restauraciones,2013-01-01,20,21,20,21,41
MOJOCOYA,atencion odontologica,restauraciones,2013-01-01,15,17,15,17,32
MONTEAGUDO,atencion odontologica,restauraciones,2013-01-01,127,262,127,262,389
MONTERO,atencion odontologica,restauraciones,2013-01-01,175,201,175,201,376
MORO MORO,atencion odontologica,restauraciones,2013-01-01,4,2,4,2,6
MOROCHATA,atencion odontologica,restauraciones,2013-01-01,12,37,12,37,49
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,restauraciones,2013-01-01,94,71,94,71,165
OCURI,atencion odontologica,restauraciones,2013-01-01,3,13,3,13,16
OKINAWA,atencion odontologica,restauraciones,2013-01-01,0,16,0,16,16
OMEREQUE,atencion odontologica,restauraciones,2013-01-01,5,11,5,11,16
ORURO,atencion odontologica,restauraciones,2013-01-01,1473,2196,1473,2196,3669
PADCAYA,atencion odontologica,restauraciones,2013-01-01,58,93,58,93,151
PADILLA,atencion odontologica,restauraciones,2013-01-01,66,130,66,130,196
PAILON,atencion odontologica,restauraciones,2013-01-01,45,78,45,78,123
PALCA,atencion odontologica,restauraciones,2013-01-01,36,36,36,36,72
PALOS BLANCOS,atencion odontologica,restauraciones,2013-01-01,62,41,62,41,103
PAMPA AULLAGAS,atencion odontologica,restauraciones,2013-01-01,36,33,36,33,69
PAMPA GRANDE,atencion odontologica,restauraciones,2013-01-01,15,47,15,47,62
PAPEL PAMPA,atencion odontologica,restauraciones,2013-01-01,39,30,39,30,69
PASORAPA,atencion odontologica,restauraciones,2013-01-01,3,0,3,0,3
PATACAMAYA,atencion odontologica,restauraciones,2013-01-01,45,89,45,89,134
PAZÑA,atencion odontologica,restauraciones,2013-01-01,12,33,12,33,45
PELECHUCO,atencion odontologica,restauraciones,2013-01-01,37,40,37,40,77
POCOATA,atencion odontologica,restauraciones,2013-01-01,3,7,3,7,10
POCONA,atencion odontologica,restauraciones,2013-01-01,28,38,28,38,66
POJO (CBBA),atencion odontologica,restauraciones,2013-01-01,146,179,146,179,325
POOPO,atencion odontologica,restauraciones,2013-01-01,20,32,20,32,52
PORCO,atencion odontologica,restauraciones,2013-01-01,11,17,11,17,28
POROMA,atencion odontologica,restauraciones,2013-01-01,12,27,12,27,39
PORONGO,atencion odontologica,restauraciones,2013-01-01,6,20,6,20,26
PORTACHUELO,atencion odontologica,restauraciones,2013-01-01,38,100,38,100,138
PORVENIR,atencion odontologica,restauraciones,2013-01-01,61,100,61,100,161
POSTRER VALLE,atencion odontologica,restauraciones,2013-01-01,42,90,42,90,132
POTOSI,atencion odontologica,restauraciones,2013-01-01,886,1325,886,1325,2211
PRESTO,atencion odontologica,restauraciones,2013-01-01,3,13,3,13,16
PUCARANI,atencion odontologica,restauraciones,2013-01-01,52,84,52,84,136
PUERTO ACOSTA,atencion odontologica,restauraciones,2013-01-01,9,7,9,7,16
PUERTO CARABUCO,atencion odontologica,restauraciones,2013-01-01,20,47,20,47,67
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2013-01-01,80,105,80,105,185
PUERTO PEREZ,atencion odontologica,restauraciones,2013-01-01,1,1,1,1,2
PUERTO QUIJARRO,atencion odontologica,restauraciones,2013-01-01,53,52,53,52,105
PUERTO RICO,atencion odontologica,restauraciones,2013-01-01,128,155,128,155,283
PUERTO SUAREZ,atencion odontologica,restauraciones,2013-01-01,35,56,35,56,91
PUERTO VILLARROEL,atencion odontologica,restauraciones,2013-01-01,116,220,116,220,336
PUNA,atencion odontologica,restauraciones,2013-01-01,10,45,10,45,55
PUNATA,atencion odontologica,restauraciones,2013-01-01,207,289,207,289,496
QUIABAYA,atencion odontologica,restauraciones,2013-01-01,16,13,16,13,29
QUILLACOLLO,atencion odontologica,restauraciones,2013-01-01,502,871,502,871,1373
QUIME,atencion odontologica,restauraciones,2013-01-01,28,99,28,99,127
QUIRUSILLAS,atencion odontologica,restauraciones,2013-01-01,4,4,4,4,8
RAVELO,atencion odontologica,restauraciones,2013-01-01,2,18,2,18,20
REYES,atencion odontologica,restauraciones,2013-01-01,4,10,4,10,14
RIBERALTA,atencion odontologica,restauraciones,2013-01-01,47,135,47,135,182
ROBORE,atencion odontologica,restauraciones,2013-01-01,38,77,38,77,115
RURRENABAQUE,atencion odontologica,restauraciones,2013-01-01,14,19,14,19,33
SABAYA,atencion odontologica,restauraciones,2013-01-01,26,38,26,38,64
SACABA,atencion odontologica,restauraciones,2013-01-01,285,422,285,422,707
SACABAMBA,atencion odontologica,restauraciones,2013-01-01,7,26,7,26,33
SACACA,atencion odontologica,restauraciones,2013-01-01,11,6,11,6,17
SAIPINA,atencion odontologica,restauraciones,2013-01-01,43,64,43,64,107
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2013-01-01,87,134,87,134,221
SAMAIPATA,atencion odontologica,restauraciones,2013-01-01,3,47,3,47,50
SAN AGUSTIN,atencion odontologica,restauraciones,2013-01-01,4,2,4,2,6
SAN ANDRES,atencion odontologica,restauraciones,2013-01-01,12,14,12,14,26
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2013-01-01,7,17,7,17,24
SAN ANTONIO DE ESMORUCO,atencion odontologica,restauraciones,2013-01-01,3,6,3,6,9
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2013-01-01,0,14,0,14,14
SAN BENITO,atencion odontologica,restauraciones,2013-01-01,97,41,97,41,138
SAN BORJA,atencion odontologica,restauraciones,2013-01-01,46,101,46,101,147
SAN BUENA VENTURA,atencion odontologica,restauraciones,2013-01-01,25,46,25,46,71
SAN CARLOS,atencion odontologica,restauraciones,2013-01-01,59,78,59,78,137
SAN IGNACIO,atencion odontologica,restauraciones,2013-01-01,162,273,162,273,435
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2013-01-01,43,66,43,66,109
SAN JAVIER(STC),atencion odontologica,restauraciones,2013-01-01,20,45,20,45,65
SAN JOAQUIN,atencion odontologica,restauraciones,2013-01-01,8,12,8,12,20
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2013-01-01,62,79,62,79,141
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2013-01-01,14,21,14,21,35
SAN JULIAN,atencion odontologica,restauraciones,2013-01-01,14,69,14,69,83
SAN LORENZO(PND),atencion odontologica,restauraciones,2013-01-01,4,8,4,8,12
SAN LORENZO(TJA),atencion odontologica,restauraciones,2013-01-01,54,156,54,156,210
SAN LUCAS,atencion odontologica,restauraciones,2013-01-01,41,116,41,116,157
SAN MATIAS,atencion odontologica,restauraciones,2013-01-01,25,61,25,61,86
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2013-01-01,26,85,26,85,111
SAN PEDRO,atencion odontologica,restauraciones,2013-01-01,60,80,60,80,140
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2013-01-01,39,69,39,69,108
SAN PEDRO DE CURAHUARA,atencion odontologica,restauraciones,2013-01-01,33,71,33,71,104
SAN PEDRO DE TIQUINA,atencion odontologica,restauraciones,2013-01-01,1,1,1,1,2
SAN RAFAEL,atencion odontologica,restauraciones,2013-01-01,2,38,2,38,40
SAN RAMON BENI,atencion odontologica,restauraciones,2013-01-01,21,38,21,38,59
SAN RAMON SCZ,atencion odontologica,restauraciones,2013-01-01,21,28,21,28,49
SANTA ANA,atencion odontologica,restauraciones,2013-01-01,41,107,41,107,148
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2013-01-01,2253,4125,2253,4125,6378
SANTA ROSA,atencion odontologica,restauraciones,2013-01-01,15,19,15,19,34
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2013-01-01,44,94,44,94,138
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2013-01-01,0,4,0,4,4
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2013-01-01,311,256,311,256,567
SANTIAGO DE HUATA,atencion odontologica,restauraciones,2013-01-01,10,32,10,32,42
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2013-01-01,24,40,24,40,64
SANTIVAÑES,atencion odontologica,restauraciones,2013-01-01,21,32,21,32,53
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2013-01-01,9,6,9,6,15
SAPAHAQUI,atencion odontologica,restauraciones,2013-01-01,10,18,10,18,28
SENA,atencion odontologica,restauraciones,2013-01-01,7,9,7,9,16
SHINAOTA,atencion odontologica,restauraciones,2013-01-01,46,134,46,134,180
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2013-01-01,14,32,14,32,46
SICAYA,atencion odontologica,restauraciones,2013-01-01,0,2,0,2,2
SIPE SIPE,atencion odontologica,restauraciones,2013-01-01,114,208,114,208,322
SOPACHUY,atencion odontologica,restauraciones,2013-01-01,40,87,40,87,127
SORACACHI,atencion odontologica,restauraciones,2013-01-01,18,40,18,40,58
SORATA,atencion odontologica,restauraciones,2013-01-01,39,48,39,48,87
SUCRE,atencion odontologica,restauraciones,2013-01-01,2740,4317,2740,4317,7057
TACACOMA,atencion odontologica,restauraciones,2013-01-01,214,45,214,45,259
TACOPAYA,atencion odontologica,restauraciones,2013-01-01,8,35,8,35,43
TAHUA,atencion odontologica,restauraciones,2013-01-01,1,1,1,1,2
TAPACARI,atencion odontologica,restauraciones,2013-01-01,83,92,83,92,175
TARABUCO,atencion odontologica,restauraciones,2013-01-01,15,50,15,50,65
TARACO,atencion odontologica,restauraciones,2013-01-01,52,57,52,57,109
TARATA,atencion odontologica,restauraciones,2013-01-01,88,140,88,140,228
TARIJA,atencion odontologica,restauraciones,2013-01-01,1199,2062,1199,2062,3261
TARVITA,atencion odontologica,restauraciones,2013-01-01,39,60,39,60,99
TEOPONTE,atencion odontologica,restauraciones,2013-01-01,7,7,7,7,14
TIAWANACU,atencion odontologica,restauraciones,2013-01-01,38,23,38,23,61
TINGUIPAYA,atencion odontologica,restauraciones,2013-01-01,2,10,2,10,12
TIPUANI,atencion odontologica,restauraciones,2013-01-01,8,9,8,9,17
TIQUIPAYA,atencion odontologica,restauraciones,2013-01-01,558,747,558,747,1305
TIRAQUE (CBBA),atencion odontologica,restauraciones,2013-01-01,42,75,42,75,117
TOCO,atencion odontologica,restauraciones,2013-01-01,24,43,24,43,67
TOLATA,atencion odontologica,restauraciones,2013-01-01,28,56,28,56,84
TOLEDO,atencion odontologica,restauraciones,2013-01-01,19,38,19,38,57
TOMAVE,atencion odontologica,restauraciones,2013-01-01,12,25,12,25,37
TOMINA,atencion odontologica,restauraciones,2013-01-01,45,74,45,74,119
TORO TORO,atencion odontologica,restauraciones,2013-01-01,5,19,5,19,24
TOTORA(CBBA),atencion odontologica,restauraciones,2013-01-01,39,80,39,80,119
TOTORA(ORR),atencion odontologica,restauraciones,2013-01-01,1,3,1,3,4
TRIGAL,atencion odontologica,restauraciones,2013-01-01,5,11,5,11,16
TRINIDAD,atencion odontologica,restauraciones,2013-01-01,354,740,354,740,1094
TUPIZA,atencion odontologica,restauraciones,2013-01-01,132,123,132,123,255
TURCO,atencion odontologica,restauraciones,2013-01-01,9,9,9,9,18
UMALA,atencion odontologica,restauraciones,2013-01-01,0,21,0,21,21
UNCIA,atencion odontologica,restauraciones,2013-01-01,59,73,59,73,132
URIONDO (A. CONCEPCION),atencion odontologica,restauraciones,2013-01-01,150,312,150,312,462
URUBICHA,atencion odontologica,restauraciones,2013-01-01,3,11,3,11,14
UYUNI,atencion odontologica,restauraciones,2013-01-01,57,89,57,89,146
VACAS,atencion odontologica,restauraciones,2013-01-01,39,75,39,75,114
VALLEGRANDE,atencion odontologica,restauraciones,2013-01-01,86,163,86,163,249
VIACHA,atencion odontologica,restauraciones,2013-01-01,165,165,165,165,330
VILA VILA,atencion odontologica,restauraciones,2013-01-01,0,3,0,3,3
VILLA CHARCAS,atencion odontologica,restauraciones,2013-01-01,10,26,10,26,36
VILLA MONTES,atencion odontologica,restauraciones,2013-01-01,235,621,235,621,856
VILLA NUEVA (LOMA ALTA),atencion odontologica,restauraciones,2013-01-01,23,29,23,29,52
VILLA RIVERO,atencion odontologica,restauraciones,2013-01-01,0,1,0,1,1
VILLA SERRANO,atencion odontologica,restauraciones,2013-01-01,96,167,96,167,263
VILLA TUNARI,atencion odontologica,restauraciones,2013-01-01,273,387,273,387,660
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,restauraciones,2013-01-01,83,128,83,128,211
VILLAZON,atencion odontologica,restauraciones,2013-01-01,124,148,124,148,272
VINTO,atencion odontologica,restauraciones,2013-01-01,65,159,65,159,224
VITICHI,atencion odontologica,restauraciones,2013-01-01,22,15,22,15,37
WALDO BALLIVIAN,atencion odontologica,restauraciones,2013-01-01,2,3,2,3,5
WARNES,atencion odontologica,restauraciones,2013-01-01,35,76,35,76,111
YACO,atencion odontologica,restauraciones,2013-01-01,2,0,2,0,2
YACUIBA,atencion odontologica,restauraciones,2013-01-01,223,420,223,420,643
YAMPARAEZ,atencion odontologica,restauraciones,2013-01-01,15,22,15,22,37
YANACACHI,atencion odontologica,restauraciones,2013-01-01,18,30,18,30,48
YAPACANI,atencion odontologica,restauraciones,2013-01-01,23,119,23,119,142
YOTALA,atencion odontologica,restauraciones,2013-01-01,14,68,14,68,82
YUNCHARA,atencion odontologica,restauraciones,2013-01-01,33,51,33,51,84
ZUDAÑEZ,atencion odontologica,restauraciones,2013-01-01,19,23,19,23,42
ACACIO,atencion odontologica,restauraciones,2013-02-01,2,15,2,15,17
ACHACACHI,atencion odontologica,restauraciones,2013-02-01,102,185,102,185,287
ACHOCALLA,atencion odontologica,restauraciones,2013-02-01,19,38,19,38,57
AIQUILE,atencion odontologica,restauraciones,2013-02-01,32,107,32,107,139
ALALAY,atencion odontologica,restauraciones,2013-02-01,0,3,0,3,3
ALCALA,atencion odontologica,restauraciones,2013-02-01,6,23,6,23,29
ALTO BENI,atencion odontologica,restauraciones,2013-02-01,11,13,11,13,24
ANCORAIMES,atencion odontologica,restauraciones,2013-02-01,8,12,8,12,20
ANDAMARCA,atencion odontologica,restauraciones,2013-02-01,5,8,5,8,13
ANTEQUERA,atencion odontologica,restauraciones,2013-02-01,18,23,18,23,41
ANZALDO,atencion odontologica,restauraciones,2013-02-01,17,62,17,62,79
APOLO,atencion odontologica,restauraciones,2013-02-01,22,37,22,37,59
ARAMPAMPA,atencion odontologica,restauraciones,2013-02-01,8,18,8,18,26
ARANI,atencion odontologica,restauraciones,2013-02-01,32,42,32,42,74
ARBIETO,atencion odontologica,restauraciones,2013-02-01,42,67,42,67,109
ARQUE,atencion odontologica,restauraciones,2013-02-01,5,45,5,45,50
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2013-02-01,9,36,9,36,45
ATOCHA,atencion odontologica,restauraciones,2013-02-01,190,159,190,159,349
AYATA,atencion odontologica,restauraciones,2013-02-01,14,29,14,29,43
AYO AYO,atencion odontologica,restauraciones,2013-02-01,3,7,3,7,10
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2013-02-01,143,205,143,205,348
AZURDUY,atencion odontologica,restauraciones,2013-02-01,10,10,10,10,20
BATALLAS,atencion odontologica,restauraciones,2013-02-01,31,48,31,48,79
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2013-02-01,18,31,18,31,49
BELEN DE URMIRI,atencion odontologica,restauraciones,2013-02-01,1,2,1,2,3
BERMEJO,atencion odontologica,restauraciones,2013-02-01,152,270,152,270,422
BETANZOS,atencion odontologica,restauraciones,2013-02-01,30,67,30,67,97
BOLIVAR,atencion odontologica,restauraciones,2013-02-01,16,30,16,30,46
BOLPEBRA,atencion odontologica,restauraciones,2013-02-01,0,2,0,2,2
BOYUIBE,atencion odontologica,restauraciones,2013-02-01,13,22,13,22,35
BUENA VISTA,atencion odontologica,restauraciones,2013-02-01,12,24,12,24,36
CABEZAS,atencion odontologica,restauraciones,2013-02-01,19,39,19,39,58
CAIROMA,atencion odontologica,restauraciones,2013-02-01,7,19,7,19,26
"CAIZA ""D""",atencion odontologica,restauraciones,2013-02-01,29,34,29,34,63
CAJUATA,atencion odontologica,restauraciones,2013-02-01,34,33,34,33,67
CALACOTO,atencion odontologica,restauraciones,2013-02-01,13,18,13,18,31
CALAMARCA,atencion odontologica,restauraciones,2013-02-01,62,118,62,118,180
